Tipo de indicador;Indicador;Descripción del indicador;Observaciones;Valor
INDICADORES FINANCIEROS Y PRESUPUESTARIOS;Superávit / habitante;Resultado presupuestario ajustado / nº habitantes;;147 euros
INDICADORES FINANCIEROS Y PRESUPUESTARIOS;Autonomia fiscal;Derechos reconocidos netos tributarios / Derechos reconocidos netos totales;;26%
INDICADORES RELACIONADOS CON LOS INGRESOS Y GASTOS DE LA CORPORACIÓN;Ingresos fiscales / habitante;Ingresos tributarios / nº habitantes;;410 euros
INDICADORES RELACIONADOS CON LOS INGRESOS Y GASTOS DE LA CORPORACIÓN;Gasto / habitante;Obligaciones reconocidas netas / nº habitantes;;1568 euros
INDICADORES RELACIONADOS CON LOS INGRESOS Y GASTOS DE LA CORPORACIÓN;Inversión / habitante;Obligaciones reconocidas netas / nº habitantes;Capítulos 6 y 7;352 euros
INDICADORES RELACIONADOS CON LOS INGRESOS Y GASTOS DE LA CORPORACIÓN;Periodo medio pago;Obligaciones ptes pago x 365 días / Obligaciones reconocidas netas;;48 días
INDICADORES RELACIONADOS CON LOS INGRESOS Y GASTOS DE LA CORPORACIÓN;Periodo medio pago;(Derechos ptes cobro x 365 días) / Derechos reconocidos netos;Capitulos 1 a 3;50 días
INDICADORES ENDEUDAMIENTO;Deuda / habitante;Pasivo exigible financiero / nº habitantes;;31 euros
INDICADORES ENDEUDAMIENTO;Deuda / habitante;Deuda Municipal / Presupuesto total Ayuntamiento;;2%
INDICADORES URBANISMO Y OBRAS PÚBLICAS;Inversiones urbanismo;Porcentaje de gastos derivados del urbanismo / Presupuesto total gastos;;9%
INDICADORES URBANISMO Y OBRAS PÚBLICAS;Ingresos urbanismo;Porcentaje de ingresos derivados del urbanismo / Presupuesto total ingresos;;3%
INDICADORES URBANISMO Y OBRAS PÚBLICAS;Inversión en infraestructuras por habitante;Gastos del ejercicio (ejecutados) en inversión en infraestructuras / nº habitantes;;170 euros
