NumeroExpediente;Coordinacion;Area;TipoContrato;ProcedimientoLicitacion;ObjetoContrato;Contratista;ImporteLicitacion;ImporteAdjudicacion;PreciosUnitarios;DuracionMeses;AnioAdjudicacion;Situacion;
074000000130;Coord. SEGURIDAD CIUDADANA;AREA DE SEGURIDAD CIUDADANA;Servicios;Concurso;Servicio de vigilancia sin armas y seguridad, de los edificios municipales Principal, Anexo y Aznar.;PROSEGUR COMPAÑÍA DE SEGURIDAD, S.A.;140.000,00€;140.000,00€;validado;12 meses;2008;Finalizado;
075303000033;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Obras;Subasta;Obra de habilitación de nuevos vestuarios en planta baja del edificio del patiodel CEP Cervantes.;ELECNOR, S.A.;250.552,06€;247.922,09€;--;7 meses;2008;Finalizado;
070619000020;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Negociado;Obra de anulación del Centro de Transformación sito en Estrada de San Agustín y modificación de las lineas de baja y media tensión.;IBERDROLA S.A.;304.877,94€;304.877,94€;--;3 meses;2008;Finalizado;
070130000035;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;AREA DE ECONOMIA Y HACIENDA;Suministro;Concurso;Suministro de material bibliográfico y multimedia en cualquier lengua y soporte para las diferentes oficinas municipales durante los años 2008, 2009 y 2010.;LIBRERÍA CÁMARA S.L.;150.000,00€;150.000,00€;validado;36 meses;2008;Finalizado;
070998000055;GABINETE DE ALCALDIA Y COMUNICACION;DIRECCION DEL GABINETE DE ALCALDIA Y COMUNICACION;Servicios;Concurso;Asistencia en materia de comunicación y prensa al Ayuntamiento de Bilbao.;CAMBIO DE IMAGEN S.L.;380.000,00€;379.000,00€;--;24 meses;2008;Finalizado;
072507000349;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Servicios;Concurso;Gestión del programa Taquilla de Barrio 2008.;TARTEAN ZERBITZUAK S.L.;44.939,00€;44.900,00€;--;12 meses;2008;Finalizado;
075199000092;Coord. POLITICAS SOCIALES;AREA DE ACCION SOCIAL;Obras;Subasta;Obras de instalación de una plataforma elevadora en el Hogar deJubilados de Indautxu.;CONSTRUCCIONES Y REFORMAS ATER,S.L.;90.000,00€;78.746,33€;--;2 meses;2008;Finalizado;
070130000028;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;AREA DE ECONOMIA Y HACIENDA;Suministro;Concurso;Suministro de material de oficina, cajas archivadoras verdes e impresos con destino al Ayuntamiento de Bilbao, años 2008,2009 y 2010.;PAPYNDUX, S.A. , LIBRERIA BASCONIA, S.L., ARTES GRAFICAS CELORRIO S.COOP;525.000,00€;525.000,00€;validado;36 meses;2008;Finalizado;
081220000051;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE PLANIFICACION URBANA;Servicios;Concurso;Revisión y actualización de la Ordenanza municipal de Protección del Medio Ambiente.;FUNDACIÓN TECNALIA RESEARCH y INNOVATION;75.000,00€;68.092,00€;--;4 meses;2008;Finalizado;
072505000135;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Servicios;Concurso;Servicio para la organización y custodia del archivo municipal de Bilbao.;U.T.E. ARCAL GRUPO NORTE, S.A. Y AGYCA ASTURIAS, S. A. U.T.E. abreviadamente UTE ARCAL AGYCA BILBAO C.I.F.;612.000,00€;612.000,00€;validado;24 meses;2008;Finalizado;
070130000014;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;AREA DE ECONOMIA Y HACIENDA;Suministro;Concurso;Suministro de diverso mobiliario de oficina con destino a las Áreas y Servicios Municipales.;GLOBAL EQUIPAMIENTO Y MOBILIARIO CONTEMPORANEOS S.L.;380.000,00€;380.000,00€;validado;36 meses;2008;Finalizado;
070130000015;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;AREA DE ECONOMIA Y HACIENDA;Suministro;Concurso;Suministro de sillería diversa con destino a las Áreas y Servicios Municipales.;BIPLAX, INDUSTRIAS DEL MUEBLE S.A.;240.000,00€;240.000,00€;validado;36 meses;2008;Finalizado;
070130000029;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;AREA DE ECONOMIA Y HACIENDA;Suministro;Concurso;Suministro de impresos con destino al Área de Economía y Hacienda para el año 2008.;GRAKONOR, S.L.;62.000,00€;62.000,00€;validado;10 MESES Y MEDIO;2008;Finalizado;
075193000013;Coord. POLITICAS SOCIALES;AREA DE ACCION SOCIAL;Servicios;Negociado;Servicio de ropa blanca con destino al albergue municipal de Elejabarri.;LAVANINDU, S.L.;26.522,00€;25.204,00€;--;10 Y MEDIO;2008;Finalizado;
072505000129;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Suministro;Concurso;Suministro de publicaciones periódicas inventariables españolas y extranjeras ( prensa y revistas) para la RED DE BIBLIOTECAS MUNICIPALES.;LIBRERÍA CÁMARA S.L.;44.100,00€;44.100,00€;validado;24 meses;2008;Finalizado;
075193000014;Coord. POLITICAS SOCIALES;AREA DE ACCION SOCIAL;Servicios;Negociado;Servicio de lavandería del centro municipal de baja exigencia y del alojamiento invernal ubicados en Alameda Mazarredo de Bilbao.;LAVANINDU, S.L.;13.000,00€;9.727,20€;--;10 y MEDIO;2008;Finalizado;
070638000019;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Servicios;Negociado;Asistencia técnica para la implantación de la dirección participativa por objetivos en el modelo de gestión del Area de Obras y Servicios.;ULIKER 3, S.L.;30.000,00€;29.800,00€;--;12 meses;2008;Finalizado;
070638000020;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Servicios;Negociado;Asistencia técnica para el asesoramiento para el diseño y elaboración del balance de actuación del Área de obras y Servicios. ;ULIKER 3, S.L.;28.000,00€;27.500,00€;--;12 meses;2008;Finalizado;
020619000020;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Negociado;Instalación de aire acondicionado en las oficinas de Medio Ambiente.;GIROA, S.A.;74.454,55€;59.292,65€;--;2 meses;2008;Finalizado;
070619000009;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Concurso;Sustitución del ascensor y obras auxiliares para cerramiento de vidrio del hueco en la Casa Consistorial.;ZARDOYA OTIS S.A.;149.154,69€;131.376,00€;--;2 meses;2008;Finalizado;
073031000006;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Servicios;Concurso;Asistencia técnica para actualización de datos referidos a estacionamientos en laVilla de Bilbao.;FUNDACION IKERTIA;31.034,00€;26.280,00€;--;6 meses;2008;Finalizado;
075221000060;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Suministro;Negociado;Suministro en régimen de alquiler de cinco aseos portátiles (cuatro para el mercadillo de Bolueta y uno para el de Txurdinaga-Otxarkoaga).;CARPAS IBARRA;24.720,00€;17.956,80€;--;10 meses;2008;Finalizado;
075303000039;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Obras;Subasta;Rehabilitación de fachadas en el Centro Educativo San Mamés.;AROS ESTUDIO DE ARQUITECTURA S.A.;273.890,16€;219.986,20€;--;4 meses;2008;Finalizado;
074000000140;Coord. SEGURIDAD CIUDADANA;AREA DE SEGURIDAD CIUDADANA;Suministro;Concurso;Suministro de un equipo de rayos X para el control de accesos a las dependencias del Ayuntamiento. ;TARGET TECNOLOGÍA S.A,;42.000,00€;33.640,00€;--;1 meses;2008;Finalizado;
073170000069;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Servicios;Concurso;Asistencia técnica consistente en realización de trabajos y estudios sobre el transporte.;ERYBA, S.L. ESTUDIOS DE MERCADO;241.020,56€;241.020,56€;validado;24 meses;2008;Finalizado;
084000000036;Coord. SEGURIDAD CIUDADANA;AREA DE SEGURIDAD CIUDADANA;Suministro;Concurso;Adquisición de cuatro perros adiestrados en funciones de seguridad ciudadana, con destino a la Unidad Móvil de Apoyo de la Policía Municipal de Bilbao.;KUME DENDAK, S.L.U.;22.000,00€;21.800,00€;--;2 meses;2008;Finalizado;
