DISTRITO;DISTRITO;SECCIÓN
1;DEUSTU;2
1;DEUSTU;3
1;DEUSTU;5
1;DEUSTU;6
1;DEUSTU;7
1;DEUSTU;8
1;DEUSTU;9
1;DEUSTU;10
1;DEUSTU;11
1;DEUSTU;12
1;DEUSTU;13
1;DEUSTU;15
1;DEUSTU;16
1;DEUSTU;17
1;DEUSTU;18
1;DEUSTU;19
1;DEUSTU;20
1;DEUSTU;21
1;DEUSTU;22
1;DEUSTU;23
1;DEUSTU;25
1;DEUSTU;26
1;DEUSTU;27
1;DEUSTU;28
1;DEUSTU;29
1;DEUSTU;30
1;DEUSTU;31
1;DEUSTU;32
1;DEUSTU;33
1;DEUSTU;34
1;DEUSTU;35
1;DEUSTU;36
1;DEUSTU;37
1;DEUSTU;38
1;DEUSTU;39
1;DEUSTU;40
1;DEUSTU;41
1;DEUSTU;42
1;DEUSTU;43
1;DEUSTU;44
1;DEUSTU;45
1;DEUSTU;46
2;URIBARRI;1
2;URIBARRI;2
2;URIBARRI;3
2;URIBARRI;5
2;URIBARRI;6
2;URIBARRI;7
2;URIBARRI;8
2;URIBARRI;9
2;URIBARRI;10
2;URIBARRI;11
2;URIBARRI;12
2;URIBARRI;13
2;URIBARRI;14
2;URIBARRI;15
2;URIBARRI;16
2;URIBARRI;18
2;URIBARRI;19
2;URIBARRI;20
2;URIBARRI;21
2;URIBARRI;22
2;URIBARRI;23
2;URIBARRI;24
2;URIBARRI;25
2;URIBARRI;26
2;URIBARRI;27
2;URIBARRI;28
2;URIBARRI;29
2;URIBARRI;30
2;URIBARRI;31
2;URIBARRI;32
2;URIBARRI;33
2;URIBARRI;34
2;URIBARRI;35
3;OTXARKOAGA-TXURDINAGA;1
3;OTXARKOAGA-TXURDINAGA;2
3;OTXARKOAGA-TXURDINAGA;3
3;OTXARKOAGA-TXURDINAGA;5
3;OTXARKOAGA-TXURDINAGA;6
3;OTXARKOAGA-TXURDINAGA;7
3;OTXARKOAGA-TXURDINAGA;8
3;OTXARKOAGA-TXURDINAGA;9
3;OTXARKOAGA-TXURDINAGA;10
3;OTXARKOAGA-TXURDINAGA;11
3;OTXARKOAGA-TXURDINAGA;13
3;OTXARKOAGA-TXURDINAGA;14
3;OTXARKOAGA-TXURDINAGA;15
3;OTXARKOAGA-TXURDINAGA;16
3;OTXARKOAGA-TXURDINAGA;17
3;OTXARKOAGA-TXURDINAGA;18
3;OTXARKOAGA-TXURDINAGA;19
3;OTXARKOAGA-TXURDINAGA;20
3;OTXARKOAGA-TXURDINAGA;21
3;OTXARKOAGA-TXURDINAGA;22
3;OTXARKOAGA-TXURDINAGA;23
4;BEGOÑA;2
4;BEGOÑA;3
4;BEGOÑA;5
4;BEGOÑA;6
4;BEGOÑA;8
4;BEGOÑA;9
4;BEGOÑA;10
4;BEGOÑA;12
4;BEGOÑA;13
4;BEGOÑA;14
4;BEGOÑA;15
4;BEGOÑA;16
4;BEGOÑA;17
4;BEGOÑA;18
4;BEGOÑA;19
4;BEGOÑA;20
4;BEGOÑA;21
4;BEGOÑA;22
4;BEGOÑA;24
4;BEGOÑA;25
4;BEGOÑA;26
4;BEGOÑA;27
4;BEGOÑA;28
4;BEGOÑA;29
4;BEGOÑA;30
4;BEGOÑA;31
4;BEGOÑA;32
4;BEGOÑA;33
4;BEGOÑA;35
4;BEGOÑA;36
4;BEGOÑA;37
4;BEGOÑA;38
4;BEGOÑA;39
5;IBAIONDO;1
5;IBAIONDO;2
5;IBAIONDO;3
5;IBAIONDO;4
5;IBAIONDO;5
5;IBAIONDO;6
5;IBAIONDO;7
5;IBAIONDO;8
5;IBAIONDO;9
5;IBAIONDO;10
5;IBAIONDO;11
5;IBAIONDO;12
5;IBAIONDO;13
5;IBAIONDO;14
5;IBAIONDO;15
5;IBAIONDO;16
5;IBAIONDO;17
5;IBAIONDO;18
5;IBAIONDO;19
5;IBAIONDO;20
5;IBAIONDO;21
5;IBAIONDO;22
5;IBAIONDO;24
5;IBAIONDO;25
5;IBAIONDO;26
5;IBAIONDO;28
5;IBAIONDO;29
5;IBAIONDO;30
5;IBAIONDO;31
5;IBAIONDO;32
5;IBAIONDO;34
5;IBAIONDO;35
5;IBAIONDO;36
5;IBAIONDO;37
5;IBAIONDO;38
5;IBAIONDO;39
5;IBAIONDO;40
5;IBAIONDO;41
5;IBAIONDO;42
5;IBAIONDO;43
5;IBAIONDO;44
5;IBAIONDO;45
5;IBAIONDO;46
6;ABANDO;1
6;ABANDO;2
6;ABANDO;3
6;ABANDO;4
6;ABANDO;5
6;ABANDO;6
6;ABANDO;7
6;ABANDO;8
6;ABANDO;9
6;ABANDO;10
6;ABANDO;11
6;ABANDO;12
6;ABANDO;13
6;ABANDO;15
6;ABANDO;16
6;ABANDO;17
6;ABANDO;18
6;ABANDO;19
6;ABANDO;20
6;ABANDO;21
6;ABANDO;22
6;ABANDO;23
6;ABANDO;24
6;ABANDO;25
6;ABANDO;26
6;ABANDO;27
6;ABANDO;28
6;ABANDO;29
6;ABANDO;30
6;ABANDO;31
6;ABANDO;32
6;ABANDO;33
6;ABANDO;34
6;ABANDO;35
6;ABANDO;36
6;ABANDO;37
6;ABANDO;38
6;ABANDO;39
6;ABANDO;41
6;ABANDO;42
6;ABANDO;43
6;ABANDO;44
6;ABANDO;45
6;ABANDO;46
7;ERREKALDE;1
7;ERREKALDE;2
7;ERREKALDE;3
7;ERREKALDE;4
7;ERREKALDE;5
7;ERREKALDE;6
7;ERREKALDE;7
7;ERREKALDE;8
7;ERREKALDE;10
7;ERREKALDE;12
7;ERREKALDE;13
7;ERREKALDE;14
7;ERREKALDE;15
7;ERREKALDE;16
7;ERREKALDE;17
7;ERREKALDE;19
7;ERREKALDE;21
7;ERREKALDE;22
7;ERREKALDE;23
7;ERREKALDE;24
7;ERREKALDE;26
7;ERREKALDE;27
7;ERREKALDE;28
7;ERREKALDE;29
7;ERREKALDE;30
7;ERREKALDE;31
7;ERREKALDE;32
7;ERREKALDE;33
7;ERREKALDE;34
7;ERREKALDE;35
7;ERREKALDE;36
7;ERREKALDE;37
7;ERREKALDE;38
7;ERREKALDE;39
7;ERREKALDE;40
7;ERREKALDE;41
7;ERREKALDE;42
