NumeroExpediente;Coordinacion;Area;TipoContrato;ProcedimientoLicitacion;ObjetoContrato;Contratista;ImporteLicitacion;ImporteAdjudicacion;PreciosUnitarios;DuracionMeses;AnioAdjudicacion;Situacion;
2015053413;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE EUSKERA Y EDUCACION;Obras;Negociado; Trabajos de reparación del patio interior del CEIP Felix Serrano.;SANTUCHU GRUPO EMPRESARIAL, S.A.;66.199,85€;46.008,89€;--;3 meses;--;En Ejecución;
061512000004;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Obras;Concurso;Obras de urbanización de circunvalación y ascensor desde Rekalde.;VICONSA, S.A.;2.659.749,00€;2.650.000,00€;--;15 meses;2007;Finalizado;
040618000034;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Concurso;Urbanización de la superficie del aparcamiento de la Plaza Zabálburu.;UTE, CONSTRUCCIONES OLÁBARRI S.L., CONSTRUCCIONES LAUKI S.A. Y EXCAVACIONES VIUDA DE SÁINZ S.A.;2.562.874,75€;2.498.802,75€;--;8 meses;2007;Finalizado;
060618000014;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Concurso;Urbanización de la Plaza Dario Regoyos;PROYECTOS Y OBRAS PABISA,S.A.;359.711,09€;351.773,38€;--;4 meses;2007;Finalizado;
060619000004;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Negociado;Restauración y nueva ubicación del panel de azulejos que se encontraba en la fábrica de Toldos Goyoaga.;GEMMA AIZPIRI FERNÁNDEZ;56.000,00€;55.000,00€;--;1 meses;2007;Finalizado;
070619000007;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Subasta;Cambio de ventanas y pavimentación de solera y cubierta del Edifico Beta, sito en Ribera de Zorrozaurre.;CONSTRUCCIONES CASTELLANO S.A.;223.727,19€;185.581,69€;--;3 meses;2007;Finalizado;
070619000011;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Negociado;Obras de adecuación de la planta sótano del Edificio Anexo.;CONSTRUCCIONES CASTELLANO, S.A.;38.394,85€;38.390,00€;--;2 meses;2007;Finalizado;
071512000001;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Concurso;Obras de urbanización de los accesos a la parte alta del Barrio de Betolaza.;CONSTRUCCIONES Y PROMOCIONES BALZOLA, S.A.;1.812.689,75€;1.578.309,00€;--;8 meses;2007;Finalizado;
071008000003;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE PLANIFICACION URBANA;Obras;Concurso;Obras de derribo de edificio industrial en la calle Particular de Costa, nº 4.;CONSTRUCCIONES Y EXCAVACIONES ERRI-BERRI, S.L.;166.921,11€;160.350,00€;--;4 meses;2007;Finalizado;
070615000001;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Concurso;Estabilización de ladera en el Campo de Fútbol Tres Arbolitos, fase II.;UTE PAVIMENTOS DE VIZCAYA S.A., SOGECROS S.L. (UTE ARBOLITOS);265.929,19€;260.398,62€;--;2 meses;2007;Finalizado;
061008000006;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE PLANIFICACION URBANA;Obras;Negociado;Contrato marco para la realización de obras de consolidación estructural, apeos, instalaciones auxiliares de protección a viales públicos, retirada de elementos y otros, en ejecución de la acción subsidiaria prevista en la legislación urbanística.;CONSTRUCCIONES SESAR ALONSO, S.L.;120.000,00€;120.000,00€;validado;24 meses;2007;Finalizado;
055303000012;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Obras;Subasta;Obra de instalación de ascensor en E.P.A. La Merced.;CONSTRUCCIONES ARTELU Y HARGIN DE P.L. S.A.L.;96.159,00€;86.446,93€;--;4 meses;2007;Finalizado;
070993000001;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Concurso;Obras de acondicionamiento de local para Asociación de Danzas en la calle Castaños nº 27.;CONSTRUCCIONES EDER S.A.;260.706,28€;243.804,50€;--;4 meses;2007;Finalizado;
060618000009;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Concurso;Obras de urbanización de la plaza de Ibarrekolanda (Conservatorio Sarriko).;VICONSA, S.A.;3.198.765,75€;2.678.966,50€;--;9 y Medio;2007;Finalizado;
075199000094;Coord. POLITICAS SOCIALES;AREA DE ACCION SOCIAL;Obras;Subasta;Obras de acondicionamiento de local para jubilados en la Carretera Basurto-Castrejana, nº 22.;ELECNOR, S.A.;299.949,53€;270.869,53€;--;5 meses;2007;Finalizado;
070614000001;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Concurso;Obras de adecuación y reparación de la Presa de Ordunte.;UTE PRESA DE ORDUNTE;806.748,38€;790.613,81€;--;5 meses;2007;Finalizado;
071508000004;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Obras;Subasta;Obras de reparación de defectos y deficiencias en el Aparcamiento de Sagarmínaga.;LEYMA CONSTRUCCIONES DEL NORTE S.L.;80.490,58€;70.877,59€;--;1 meses;2007;Finalizado;
071508000003;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Obras;Subasta;Obras de reparación de defectos y deficiencias en el Aparcamiento de Plaza del Funicular.;TECNICAS DE REPARACIONES ESTRUCTURAL AITZGORRI, S.L.;111.749,93€;107.162,27€;--;4 meses;2007;Finalizado;
070619000004;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Negociado;Habilitación de edificio para Hogar de Jubilados y otros usos equipamentales en la calle Encarnación nº 27.;CONSTRUCCIONES CASTELLANO, S.A.;598.534,50€;597.935,00€;--;8 meses;2007;Finalizado;
070619000012;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Concurso;Obras de reforma del caserío “Txakoli Aguirre”en Arangoiti para centro municipal de barrio.;PROYECTOS Y CONSTRUCCIONES ALBATROS, S.A.;749.986,44€;696.000,00€;--;9 meses;2007;Finalizado;
070614000002;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Concurso;Obras de remodelación del Depósito de Elejabarri.;CONSTRUCCIONES FHIMASA, S.A.;1.268.130,88€;1.266.999,88€;--;12 meses;2007;Finalizado;
070619000019;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Subasta;Obra de climatización del Hogar del Jubilado de Deusto.;CECOBA SERVICIOS INTEGRALES, S.A.;247.505,45€;20.649.380,00€;--;5 meses;2007;Finalizado;
070618000006;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Concurso;Ejecución de nuevo edificio con aulas de informática en Elorrieta Erreka Mari EFPS .;CONSTRUCCIONES Y OBRAS NERVION;230.463,16€;230.463,00€;--;6 meses;2007;Finalizado;
075303000033;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Obras;Subasta;Obra de habilitación de nuevos vestuarios en planta baja del edificio del patiodel CEP Cervantes.;ELECNOR, S.A.;250.552,06€;247.922,09€;--;7 meses;2008;Finalizado;
070619000020;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Negociado;Obra de anulación del Centro de Transformación sito en Estrada de San Agustín y modificación de las lineas de baja y media tensión.;IBERDROLA S.A.;304.877,94€;304.877,94€;--;3 meses;2008;Finalizado;
