NumeroExpediente;Coordinacion;Area;TipoContrato;ProcedimientoLicitacion;ObjetoContrato;Contratista;ImporteLicitacion;ImporteAdjudicacion;PreciosUnitarios;DuracionMeses;AnioAdjudicacion;Situacion;
083031000013;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Suministro;Concurso;Suministro, montaje, instalación, configuración, integración, pruebas y puesta en marcha nodos de comunicaciones para despliegue de la red de comunicaciones Gigabit Ethernet sobre fibra óptica del Área de Circulación y Transportes del Ayuntamiento de Bilbao;SOCIEDAD IBÉRICA DE CONSTRUCCIONES ELECTRICAS, S.A. (SICE);157.000,00€;127.848,75€;validado;5 meses;2009;Finalizado;
080639000014;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Concurso;Dirección de obra de la Fase II del Edificio San Agustín.;IMB Arquitectos, S.C.;617.120,00€;536.894,38€;--;12 meses;2009;Finalizado;
085200000037;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE SALUD Y CONSUMO;Suministro;Negociado;Suministro de dos vehículos tipo “combi” con destino al Área de Salud y Consumo.;LEIOA WAGEN, S.A.;35.000,00€;35.000,00€;--;1 meses;2009;Finalizado;
083031000011;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Suministro;Concurso;Suministro, montaje, instalación, integración, pruebas y puesta en marcha de paneles de mensaje variable urbanos para información a conductores en varios de entrada a la Villa de Bilbao.;GERTEK , S.A.;235.000,00€;234.567,78€;validado;5 y UNA SEMANA;2009;Finalizado;
080619000013;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Concurso;Obras de habilitación de local para oficina de Seguridad Ciudadana en Abando.;CONSTRUCCIONES Y OBRAS NERVION;231.757,09€;205.000,00€;--;3 meses;2009;Finalizado;
083031000014;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Servicios;Negociado;Servicio consistente en la elaboración del Plan de señalización informativa (de orientación) en la Villa de Bilbao.;IDOM, INGENIERÍA Y CONSULTORÍA, S.A.;30.000,00€;27.000,00€;--;6 meses;2009;Finalizado;
082408000008;--;--;Servicios;Negociado;Servicio consistente en la  elaboración del plan de desarrollo a futuro del servicio 010 del Ayuntamiento de Bilbao.;BMASI STRATEGY S.L;56.840,00€;49.880,00€;--;4 meses;2009;Finalizado;
085223000031;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE SALUD Y CONSUMO;Servicios;Concurso;Servicio de vigilancia sin armas y seguridad para el Mercado Municipal de La Ribera.;OMBUDS CIA. DE SEGURIDAD, S.A.;145.000,00€;145.000,00€;validado;12 meses;2009;Finalizado;
085305000028;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Servicios;Negociado;Servicio para la redacción de un estudio de apertura de centros educativos públicos en el municipio de Bilbao, en periodos no lectivos.;DELOITTE, S.L.;60.000,00€;59.160,00€;--;3 Y MEDIO;2009;Finalizado;
081187000063;Coord. SEGURIDAD CIUDADANA;AREA DE SEGURIDAD CIUDADANA;Suministro;Concurso;Suministro de un autobomba urbana para el Servicio de Bomberos de la  Dirección  de Protección Civil.;ITURRI, S.A.;355.000,00€;354.902,00€;--;9 meses;2009;Finalizado;
084000000156;Coord. SEGURIDAD CIUDADANA;AREA DE SEGURIDAD CIUDADANA;Suministro;Negociado;Equipamiento informático para el centro de proceso de datos (CPD) del Área de Seguridad del Ayuntamiento de Bilbao. ;DATA BASE STORAGE, S.L.;40.000,00€;38.280,00€;--;1 meses;2009;Finalizado;
081187000061;Coord. SEGURIDAD CIUDADANA;AREA DE SEGURIDAD CIUDADANA;Suministro;Concurso;Suministro de un  vehículo porta-contenedores con destino a la Dirección de Protección Civil.;ALBATROS PROMOTORA EMPRESARIAL, S.A.;180.000,00€;170.999,00€;--;6 meses;2009;Finalizado;
081014000017;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE PLANIFICACION URBANA;Servicios;Concurso;Realización de un estudio de alternativas de desarrollo urbanístico del Area de la denominada Punta de Zorrotza;LKS INGENIERIA, S.COOP;137.228,00€;109.782,40€;--;9 meses;2009;Finalizado;
083031000012;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Suministro;Concurso;Suministro, montaje, instalación, configuración, integración, pruebas y puesta en marcha de aforadores no intrusivos en varias entradas a la Villa de Bilbao.;ELECTRONIC TRAFIC, S.A.;100.000,00€;94.861,09€;validado;4 Y MEDIO ;2009;Finalizado;
080616000006;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Concurso;Obras de mejora de la seguridad vial.;PROYECTOS Y OBRAS PABISA,S.A.;836.374,00€;710.848,19€;--;4 y medio;2009;Finalizado;
081187000062;Coord. SEGURIDAD CIUDADANA;AREA DE SEGURIDAD CIUDADANA;Suministro;Concurso;Suministro de cascos de intervención bomberos con destino a la Dirección de Protección Civil.;MSA ESPAÑOLA, S.A.U.;110.000,00€;110.000,00€;validado;2 meses;2009;Finalizado;
083031000015;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Suministro;Concurso;Suministro, montaje, instalación, configuración, integración, pruebas y puesta en marcha de un sistema de balizamiento luminoso de señalización de paso de tranvía vinculado a la red semafórica en los soportales de la C/ La Ribera.;ETRA NORTE S.A.;150.000,00€;93.679,28€;validado;5 Y MEDIO;2009;Finalizado;
085221000023;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Suministro;Negociado;Suministro en régimen de alquiler de cinco (5) WC durante el año 2009 (cuatro para el mercadillo de Bolueta y uno para el de Txurdinaga-Otxarkoaga).;CARPAS IBARRA;25.000,00€;19.140,00€;--;11 meses;2009;Finalizado;
083031000002;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Servicios;Concurso;Servicio de redacción del Plan Integral de Movilidad 2010-2015 (en adelante PIM) de la Villa de Bilbao.;LEBER, PLANIFICACIÓN  E INGENIERIA, S.A;152.300,00€;135.981,00€;--;11 Y TRES SEMANAS;2009;Finalizado;
082242000001;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;;Servicios;Negociado;Servicio consistente en la elaboración e implantación del Plan de Autoprotección en centros e instalaciones municipales.;PREVING CONSULTORES NORTE, S.L. .;35.000,00€;26.749,60€;--;3 meses;2009;Finalizado;
080619000014;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Negociado;Redacción de proyecto y ejecución de las obras de acondicionamiento deldenominado local 4 en el complejo residencial “Isozaki Atea”.;VIZCAINA DE EDIFICACIONES S.A.;272.245,81€;272.245,81€;--;1 meses;2009;Finalizado;
