EJE;DEN. EJE (CORTA);DEN. EJE (LARGA);DESCRIPCIÓN;OBJETIVO;DEN. OBJETIVO (CORTA);DEN. OBJETIVO (LARGA);DESCRIPCIÓN;LINEA;DEN. LINEA ACTUACIÓN (CORTA);DEN. LINEA ACTUACIÓN (LARGA);DESCRIPCIÓN;PEP;DEN. PEP(CORTA);DEN. PEP(LARGA);;AMOUNT
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10101;Servicios públicos;Evaluación y seguimiento de servicios y proyectos públicos;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2005000166;Proyecto Perseo;Proyecto Perseo;Proyecto Perseo;302200
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10101;Servicios públicos;Evaluación y seguimiento de servicios y proyectos públicos;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000339;Estudios satisfacción y expectativas;Estudios de satisfacción y expectativas de las personas usuarias y la ciudadanía;Estudios de satisfacción y expectativas de las personas usuarias y la ciudadanía;81420
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10101;Servicios públicos;Evaluación y seguimiento de servicios y proyectos públicos;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2007000031;Programa de Auditorías y Evaluaciones;Programa de Auditorías y Evaluaciones;Programa de Auditorías y Evaluaciones;70000
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10101;Servicios públicos;Evaluación y seguimiento de servicios y proyectos públicos;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2010000005;Sistema de indicadores;Sistema de indicadores;Sistema de indicadores;50000
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10101;Servicios públicos;Evaluación y seguimiento de servicios y proyectos públicos;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2010000018;Observatorio de barrios;Observatorio de barrios;Observatorio de barrios;38000
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10101;Servicios públicos;Evaluación y seguimiento de servicios y proyectos públicos;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2012000033;Mantenimiento Sistema Perseo;Mantenimiento sistema informático Perseo;Mantenimiento sistema informático Perseo;35000
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10102;Gobierno;Apoyo al gobierno;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000081;G/C afecto Junta Gobierno;Gasto corriente afecto Junta Gobierno;Gasto corriente afecto Junta Gobierno;8000
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10102;Gobierno;Apoyo al gobierno;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000084;G/C Asesoría Jurídica;Gasto corriente Asesoría Jurídica;Gasto corriente Asesoría Jurídica;100000
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10103;Corporación;Apoyo a la corporación;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2005000012;Asignación económica grupos políticos;Asignaciones económicas a grupos políticos;Asignaciones económicas a grupos políticos;538405
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10103;Corporación;Apoyo a la corporación;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000018;G/C vehículos municipales;Gasto corriente vehículos municipales;Gasto corriente vehículos municipales;130000
