NumeroExpediente;Coordinacion;Area;TipoContrato;ProcedimientoLicitacion;ObjetoContrato;Contratista;ImporteLicitacion;ImporteAdjudicacion;PreciosUnitarios;DuracionMeses;AnioAdjudicacion;Situacion;
111377000002;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Concesión dominio público;Concurso;Aprovechamiento privativo y explotación del kiosco del Arenal.;ORLOIBAIA, S.L.;--;--;--;180 meses;--;En Ejecución;
051505000005;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Concesión de obra pública;Concurso;Redacción de Proyecto, construcción y explotación de estacionamiento para vehículos en la vaguada de Prim-Dolaretxe.;APARCAMIENTOS CASCO VIEJO, S.L.;--;--;--;40 años;2007;En ejecución con modificado;
075223000021;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE SALUD Y CONSUMO;Gestión de servicio público;Concurso;Gestión y explotación en régimen de concesión del Mercado de Abando.;MERCADO DE ABANDO CONCESIONARIA DEL AYUNTAMIENTO DE BILBAO S.L.;--;--;--;420 meses;2008;En Ejecución;
084000000075;Coord. SEGURIDAD CIUDADANA;AREA DE SEGURIDAD CIUDADANA;Contrato patrimonial;Subasta;Enajenación de vehículos retirados de las vía pública y ubicados en los depósitosmunicipales.;DESGUACES VIDAURRETA, S.L.;--;--;--;12 meses;2008;Finalizado;
073032000004;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Gestión de servicio público;Concurso;Gestión, mediante concesión, del servicio de transporte público colectivo urbano, en autobús, de la Villa de Bilbao.;AUTOBUSES URBANOS DE BILBAO S.A.U.;223.770.032,00€;223.770.032,00€;--;96 meses;2008;En ejecución con modificado;
072212000007;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;;Contrato privado;Concurso;Seguro de asistencia sanitaria para el personal del Excmo. Ayuntamiento de Bilbao.;IGUALATORIO MÉDICO QUIRÚRGICO, S.A. DE SEGUROS Y REASEGUROS;5.200.000,00€;5.200.000,00€;validado;24 meses;2008;Finalizado;
091505000001;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Gestión de servicio público;Concurso;Gestión y explotación de parcelas en los aparcamientos municipales de Torres Quevedo, La Peña Ibarrekolanda y Jardines de Garai.;ISOLUX CORSÁN APARCAMIENTOS S.L.;--;--;--;120 meses;2009;En Ejecución;
091377000237;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Concesión dominio público;Concurso;Aprovechamiento privativo y explotación del kiosco del Parque de Ribera de Abandoibarra.;EL PANTALAN HOSTELERÍA, S.L.;--;--;--;180 meses;2010;En Ejecución;
094000000130;Coord. SEGURIDAD CIUDADANA;AREA DE SEGURIDAD CIUDADANA;Contrato patrimonial;Subasta;Enajenación de vehículos ubicados en los depósitos municipales.;ORTUELLA CAR RECICLYNG, S.L.;--;--;--;12 meses;2010;Finalizado;
090095000016;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;AREA DE ECONOMIA Y HACIENDA;Contrato patrimonial;Concurso;Enajenación de parcela denominada como DRz_E_b en el Plan Especial de Ordenación Urbana del Área Mixta de Zorrotzaurre.;FUNDACION METROPOLI PARA LA INNOVACION Y EL DISEÑO DEL TERRITORIO;--;--;--;--;2010;En Ejecución;
101505000003;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Concesión de obra pública;Concurso;Rehabilitación y explotación del aparcamiento municipal de rotación del Ensanche, situado en la Plaza Conde Aresti de Bilbao.;APARCAMIENTO PLAZA DEL ENSANCHE, SDAD. CONCESIONARIA DEL AYTO.BILBAO S.A.;--;--;--;242 meses;2010;En Ejecución;
101505000004;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Concesión de obra pública;Concurso;Remodelación, rehabilitación y explotación en régimen rotacional del aparcamiento municipal situado bajo el patio del Instituto Miguel de Unamuno de Bilbao;PARKING UNAMUNO, SOCIEDAD CONCESIONARIA DEL AYUNTAMIENTO DE BILBAO S.A;--;--;--;242 meses;2010;En Ejecución;
101377000028;--;--;Concesión dominio público;Concurso;APROVECHAMENTO PRIVATIVO Y EXPLOTACION DEL KIOSKO FRENTE AL MUSEO GUGGENHEIM.;JUAN OÑA CASTILLO;--;--;--;180 meses;2011;En Ejecución;
100095000005;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;AREA DE ECONOMIA Y HACIENDA;Contrato patrimonial;Subasta;Enajenación de dos fincas de propiedad municipal sitas en Miribilla.;UTE PARQUE MIRIBILLA;--;--;--;--;2011;Finalizado;
110135000001;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;AREA DE ECONOMIA Y HACIENDA;Contrato privado;Concurso;Pólizas de seguros del Excmo. Ayuntamiento de Bilbao;ZURICH INSURANCE P.L.C. SUCURSAL EN ESPAÑA.
, BILBAO, COMPAÑÍA DE SEGUROS Y REASEGUROS C.I.F., UTE SEGURCAIXA ADESLAS, S.A. / VIDACAIXA, S.A.;6.306.000,00€;5.297.259,00€;validado;--;2011;En ejecución de prorroga prevista en el contrato;
113032000001;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Gestión de servicio público;Concurso;Gestion del servicio público, en la modalidad de concesión, del equipamiento (marquesinas, soportes de información, oppis y aceras modulares) situado en las paradas de autobuses del transporte público colectivo urbano.;CEMUSA-CORPORACIÓN EUROPEA DE MOBILIARIO URBANO SA;--;--;--;48 meses;2012;En Ejecución;
120095000002;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;AREA DE ECONOMIA Y HACIENDA;Contrato patrimonial;Subasta;Enajenación de una finca de propiedad municipal sita en Monte Artxanda.;MARIA TERESA BILBAO IRIONDO;--;--;--;--;2012;Finalizado;
122212000002;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;;Contrato privado;Concurso;Póliza de  seguro de asistencia sanitaria privada para el personal asegurado al servicio del Excmo. Ayuntamiento de Bilbao.;IGUALATORIO MÉDICO QUIRÚRGICO, S.A. DE SEGUROS Y REASEGUROS;4.000.000,00€;4.000.000,00€;validado;24 meses;2012;En Ejecución;
121496000029;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;AREA DE ALCALDIA, CONTRATACION Y RECURSOS HUMANOS;Gestión de servicio público;Concurso;Gestión, en la modalidad de concesión ,de servicio público  del “Albergue Bilbao Aterpetxea” y su edificio anexo sito  en Bilbao, Ctra. Basurto – Kastrexana, 70.  ;SUSPERGINTZA ELKARTEA;--;--;--;144 meses;2012;En Ejecución;
120095000003;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;AREA DE ECONOMIA Y HACIENDA;Contrato patrimonial;Subasta;Enajenación de una cuota indivisa de un 20,492 %  de la finca sita en cuesta de Olabeaga , Basurto. ;EUROPEA DE FINANZAS Y COMERCIALIZACIÓN DE SERVICIOS EMPRESARIALES, S.A.;--;--;--;--;2012;Finalizado;
121505000002;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Concesión de obra pública;Negociado;Concesión de obra pública para la ejecución y explotación del aparcamiento municipal para residentes entre las manzanas SZ-R28 y SZ-R29 del Area de reparto 541 de Miribilla.;JAUREGUIZAR PROMOCIÓN Y GESTIÓN INMOBILIARIA, S.L.;10,00€;10,00€;--;6 años;2013;En Ejecución;
2014027202;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;AREA DE ECONOMIA Y HACIENDA;Contrato patrimonial;Subasta;Enajenación de finca municipal en Monte Artxanda (antiguo restaurante La Parrilla);REFESAMA, S.L.;--;--;--;--;2014;En Ejecución;
2014051007;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Gestión de servicio público;Concurso;Explotación, en régimen de alquiler, de 53 parcelas de titularidad municipal disponibles en el Aparcamiento Municipal existente en la calle Karmelo en Santutxu (Carmelo II).;ISOLUX CORSÁN APARCAMIENTOS S.L.;--;--;--;60 meses;2014;En Ejecución;
2015008691;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;AREA DE ECONOMIA Y HACIENDA;Contrato privado;Concurso;Contratación de pólizas de vida y accidentes de empleados y corporativos del Ayuntamiento de Bilbao.;CAJA DE SEGUROS REUNIDOS, COMPAÑÍA DE SEGUROS Y REASEGUROS, S.A. - CASER;1.366.667,00€;1.366.667,00€;validado;20 meses;2015;En Ejecución;
