Capitulo;Den Capítulo Corta;Den Capítulo Larga;Descripcion;Articulo;Den. Artículo Corta;Den. Artículo Larga;Descripcion;Subconcepto;Den. Subconcepto Corta;Den. Subconcepto Larga;Descripcion;Detalle subconcepto tabla (código);Detalle subconcepto tabla (corto);Detalle subconcepto tabla largo;Detalle subconcepto tabla descripcion;Importe
1;Impuestos directos;Impuestos directos;;11;Capital;Impuestos directos sobre el capital;Impuestos directos sobre el capital;11202;Impuesto bienes inmuebles;Impuesto sobre bienes inmuebles de naturaleza urbana;Impuesto sobre bienes inmuebles de naturaleza urbana;112020;; ¬;;45620000
1;Impuestos directos;Impuestos directos;;11;Capital;Impuestos directos sobre el capital;Impuestos directos sobre el capital;11301;Impuesto vehiculos ;Impuesto sobre vehiculos de traccion mecanica;Impuesto sobre vehiculos de traccion mecanica;113010;; ¬;;17800000
1;Impuestos directos;Impuestos directos;;11;Capital;Impuestos directos sobre el capital;Impuestos directos sobre el capital;11401;Impuesto plusvalia;Impuesto sobre el incremento del valor de los terrenos de naturaleza urbana;Impuesto sobre el incremento del valor de los terrenos de naturaleza urbana;114010;; ¬;;6950000
1;Impuestos directos;Impuestos directos;;13;Actividades economicas;Impuesto sobre actividades economicas;Impuesto sobre actividades economicas;13001;Impuesto actividades economicas;Impuesto sobre actividades economicas;Impuesto sobre actividades economicas;130010;; ¬;;15300000
2;Impuestos indirectos;Impuestos indirectos;;28;Otros impuestos indirectos;Otros impuestos indirectos;Otros impuestos indirectos;28201;Impuesto construcciones y obras;Impuesto sobre construcciones, instalaciones y obras;Impuesto sobre construcciones, instalaciones y obras;282010;; ¬;;6550000
3;Tasas y otros ingresos;Tasas y otros ingresos;;30;Ventas no patrimoniales;Ventas no patrimoniales;Ventas no patrimoniales;30002;Venta bienes no aprovechables;Venta de bienes no aprovechables;Venta de bienes no aprovechables;300020;; ¬;;2000
3;Tasas y otros ingresos;Tasas y otros ingresos;;30;Ventas no patrimoniales;Ventas no patrimoniales;Ventas no patrimoniales;30004;Venta vehiculos abandonados ;Venta de vehiculos abandonados en depositos municipales;Venta de vehiculos abandonados en depositos municipales;300040;; ¬;;30000
3;Tasas y otros ingresos;Tasas y otros ingresos;;31;Tasas prestacion servicios;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;31001;Recogida basuras;Tasa por recogida domiciliaria de basuras y residuos solidos urbanos;Tasa por recogida domiciliaria de basuras y residuos solidos urbanos;310010;; ¬;;20600000
3;Tasas y otros ingresos;Tasas y otros ingresos;;31;Tasas prestacion servicios;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;31002;Alcantarillado;Tasa por servicio de alcantarillado;Tasa por servicio de alcantarillado;310020;; ¬;;6570000
3;Tasas y otros ingresos;Tasas y otros ingresos;;31;Tasas prestacion servicios;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;31999;Otras Tasas;Otras Tasas;Otras Tasas;310040;Tasa por expedición y entrega de documentos;Tasa por expedición y entrega de documentos;Tasa por expedición y entrega de documentos;15200
