NumeroExpediente;Coordinacion;Area;TipoContrato;ProcedimientoLicitacion;ObjetoContrato;Contratista;ImporteLicitacion;ImporteAdjudicacion;PreciosUnitarios;DuracionMeses;AnioAdjudicacion;Situacion;
095034000019;Coord. POLITICAS SOCIALES;AREA DE IGUALDAD, COOPERACION, CONVIVENCIA Y FIESTAS;Servicios;Concurso;Servicio Municipal de Inmigración (SEMI 2010);ASOCIACION CEAR-EUSKADI;142.102,41€;132.800,00€;--;12 meses;2010;Finalizado;
095303000052;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Servicios;Negociado;Revisión y modificación de proyecto y dirección de obra de las obras de construcción de Haurreskola Zankoeta de Bilbao.;Jose Mª MENCHACA ARALUCE;60.000,00€;59.972,00€;--;9 meses;2010;Finalizado;
090643000002;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Servicios;Negociado;Servicios de mantenimiento de los accesos mecánicos a Solokoetxe.;THYSSENKRUPP ELEVADORES, S.L.;35.253,94€;35.253,93€;--;12 meses;2010;Finalizado;
095302000038;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Servicios;Concurso;Mantenimiento de equipos de bombeo en Colegios Públicos de la Vila.;INBORSA, S.L.;60.000,00€;60.000,00€;--;24 meses;2010;En ejecución de prorroga prevista en el contrato;
091377000237;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Concesión dominio público;Concurso;Aprovechamiento privativo y explotación del kiosco del Parque de Ribera de Abandoibarra.;EL PANTALAN HOSTELERÍA, S.L.;--;--;--;180 meses;2010;En Ejecución;
095303000049;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Servicios;Negociado;Servicio consistente en la redacción del proyecto y dirección de la obra de "reforma y adecuación de la haurreskola Zamakola".;INGENIERIA, ESTUDIOS Y PROYECTOS NIP, S.A.;58.000,00€;54.520,00€;--;2 meses;2010;En Ejecución;
095193000002;Coord. POLITICAS SOCIALES;AREA DE ACCION SOCIAL;Servicios;Concurso;Ayuda a domicilio en el municipio de Bilbao.;Aurrerantz Sdad. Coop -A eliminar, ASOCIACIÓN URGATZI PARA LA PROMOCIÓN DEL BIENESTAR;32.980.000,00€;31.404.974,00€;validado;24 meses;2010;Finalizado;
091714000001;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;AREA DE ECONOMIA Y HACIENDA;Servicios;Concurso;Servicio consistente en la  contratación de servicio de vigilancia sin armas en los edificios municipales.;PROSEGUR COMPAÑÍA DE SEGURIDAD, S.A.;5.817.116,00€;5.667.165,00€;--;48 meses;2010;Finalizado;
092003000021;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE JUVENTUD Y DEPORTE;Servicios;Concurso;Servicio consistente en la planificación, gestión y dinamización de las áreas infantiles (Haurguneak y Kideguneak).;ASOCIACIÓN EDUCATIVA ALDAIKA, GOZALDI GAZTE ELKARTEA, ASOCIACIÓN TENDEL, SUSPERGINTZA ELKARTEA , ERAGINTZA KULTUR ERAKUNDEA, ASOCIACIÓN D.C. GURE LURRA, BITARTEKARI ELKARTEA;204.128,69€;183.536,56€;--;12 meses;2010;Finalizado;
092023000009;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE JUVENTUD Y DEPORTE;Servicios;Concurso;Servicio consistente en la planificación, gestión y dinamización de las áreas jóvenes (Gazteguneak).;ASOCIACIÓN EDUCATIVA ALDAIKA, SUSPERGINTZA ELKARTEA , ASOCIACIÓN TENDEL, ERAGINTZA KULTUR ERAKUNDEA, ASOCIACIÓN D.C. GURE LURRA;392.346,12€;338.229,41€;--;12 meses;2010;Finalizado;
094000000130;Coord. SEGURIDAD CIUDADANA;AREA DE SEGURIDAD CIUDADANA;Contrato patrimonial;Subasta;Enajenación de vehículos ubicados en los depósitos municipales.;ORTUELLA CAR RECICLYNG, S.L.;--;--;--;12 meses;2010;Finalizado;
091014000023;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE PLANIFICACION URBANA;Servicios;Negociado;Servicio consistente en la elaboración de un estudio de afecciones territoriales y sectoriales al municipio de Bilbao;LKS INGENIERIA, S.COOP;46.284,00€;34.800,00€;--;5 meses;2010;Finalizado;
090619000015;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Concurso;obras contenidas en el proyecto de ejecución del Edificio para nueva Sede del Ayuntamiento de Bilbao en el solar de San Agustín, fase III.;UTE NUEVA SEDE AYTO. BILBAO, FASE III - FASE IV (EXBASA S.L.  / GIROA  S.A. /  TECUNI S.A.);6.859.478,50€;5.384.690,50€;--;10 meses;2010;Finalizado;
092507000336;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Servicios;Negociado;Servicio de diseño, confección, distribución e instalación de elementos de publicidad para el programa FANT 2010.;IMPACTO ESTRATEGIAS DE COMUNICACIÓN, S.L.;22.800,00€;22.040,00€;--;3 meses;2010;Finalizado;
100619000002;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Negociado;Adecuación y mejora de centro social municipal (Centro de Mayores de Santutxu).;CYCASA CANTERAS Y CONSTRUCCIONES, S.A.;176.115,20€;158.503,69€;--;3 meses;2010;Finalizado;
101008000006;--;--;Obras;Negociado;Obras para la renovación de la instalación de ACS y calefacción para mejorar su eficiencia energética, en el grupo Zuatzu de Viviendas Municipales.;SANTUCHU GRUPO EMPRESARIAL, S.A.;118.900,00€;109.533,00€;--;1 meses;2010;Finalizado;
101008000005;--;--;Obras;Negociado;Renovación de sistemas de iluminación por otros de mayor eficiencia en los portales propiedad de Viviendas Municipales.;SANTUCHU GRUPO EMPRESARIAL, S.A.;87.232,00€;85.487,36€;--;1 meses;2010;Finalizado;
101010000005;--;--;Servicios;Negociado;Digitalización de escrituras, contratos de arrendamiento y documentos asociados del O.A.L. Viviendas Municipales.;KUDEAKETA ZERBITZUAK, S.L.;27.008,28€;24.307,46€;--;8 meses;2010;Finalizado;
095303000037;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE EUSKERA Y EDUCACION;Obras;Concurso;Obras de  construcción de la escuela infantil (haurreskola) de  San Ignacio (Distrito 1).;JOSE ANTONIO OLABARRI CONSTRUCCIONES, S.L.;1.361.290,50€;1.325.076,50€;--;13,5;2010;Finalizado;
