NumeroExpediente;Coordinacion;Area;TipoContrato;ProcedimientoLicitacion;ObjetoContrato;Contratista;ImporteLicitacion;ImporteAdjudicacion;PreciosUnitarios;DuracionMeses;AnioAdjudicacion;Situacion;
062507000335;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Servicios;Concurso;Estudio del impacto económico de las actividades promovidas por el Área.;DELOITTE, S.L.;60.000,00€;60.000,00€;--;6  meses;2007;Finalizado;
064000000132;Coord. SEGURIDAD CIUDADANA;AREA DE SEGURIDAD CIUDADANA;Suministro;Negociado;Suministro de 450 buzos ignífugos de intervención con destino a la Policía Municipal;SAGRES, S.L. - PARTENON;108.000,00€;102.847,50€;--;3  meses;2007;Finalizado;
073170000006;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Servicios;Subasta;Servicio de retirada de parquímetros de propiedad municipal.;ELECTRICIDAD MARTIN S.A.;12.000,00€;11.995,00€;--;2 meses;2007;Finalizado;
073031000001;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Servicios;Negociado;Asistencia técnica para la dirección del proyecto deobras de renovación de la Sala de Control de Tráfico del Ayuntamiento.;IDOM, INGENIERÍA Y CONSULTORÍA, S.A.;20.000,00€;19.900,00€;--;5 meses;2007;Finalizado;
075221000014;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE SALUD Y CONSUMO;Suministro;Negociado;Suministro en régimen de alquiler de cinco aseos portátiles (cuatro para el mercadillo de Bolueta y uno para el de Txurdinaga – Otxarkoaga).;CARPAS IBARRA;18.000,00€;17.497,44€;--;9 meses;2007;Finalizado;
072518000001;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Servicios;Concurso;Servicio de gestión y asistencia técnica del desarrollo del Plan de impulso y normalización del euskera en el sector del comercio en Bilbao.;SIADECO S. COOP. L.;90.000,00€;89.100,00€;--;9 meses;2007;Finalizado;
065165000202;Coord. POLITICAS SOCIALES;AREA DE ACCION SOCIAL;Servicios;Negociado;Elaboración de informes de disponibilidad de vivienda para reagrupación familiar de personas extranjeras domiciliadas en Bilbao.;LKS IAMM;15.000,00€;15.000,00€;validado;9 meses;2007;Finalizado;
064540000012;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;AREA DE ATENCION CIUDADANA, PARTICIPACION Y DISTRITOS;Servicios;Concurso;Elaboración de un catálogo de servicios del Ayuntamiento.;SOLUZIONA, CONSULTORIA Y TECNOLOGIA S.L.U.;210.000,00€;195.300,00€;--;9 meses;2007;Finalizado;
060638000010;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Servicios;Concurso;Elaboración de un estudio sobre la actividad de mantenimiento de espacios públicos del Ayuntamiento.;DELOITTE, S.L.;90.000,00€;60.000,00€;--;3 meses;2007;Finalizado;
061512000004;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Obras;Concurso;Obras de urbanización de circunvalación y ascensor desde Rekalde.;VICONSA, S.A.;2.659.749,00€;2.650.000,00€;--;15 meses;2007;Finalizado;
040618000034;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Concurso;Urbanización de la superficie del aparcamiento de la Plaza Zabálburu.;UTE, CONSTRUCCIONES OLÁBARRI S.L., CONSTRUCCIONES LAUKI S.A. Y EXCAVACIONES VIUDA DE SÁINZ S.A.;2.562.874,75€;2.498.802,75€;--;8 meses;2007;Finalizado;
