NumeroExpediente;Coordinacion;Area;TipoContrato;ProcedimientoLicitacion;ObjetoContrato;Contratista;ImporteLicitacion;ImporteAdjudicacion;PreciosUnitarios;DuracionMeses;AnioAdjudicacion;Situacion;
100638000005;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Servicios;Negociado;Dirección de obra de reparación del vano móvil del Puente de Deusto (Fase II) y redacción del proyecto de liquidación (“as built”).;IDOM, INGENIERÍA Y CONSULTORÍA, S.A.;61.510,72€;60.925,45€;validado;5 meses y 3 semanas;2011;Finalizado;
100619000010;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Negociado;Obras de derribo parcial del Matadero de Zorroza.;ZANJADORAS Y DESMONTES S.A.;175.471,27€;156.169,44€;--;3 meses;2011;Finalizado;
101377000028;--;--;Concesión dominio público;Concurso;APROVECHAMENTO PRIVATIVO Y EXPLOTACION DEL KIOSKO FRENTE AL MUSEO GUGGENHEIM.;JUAN OÑA CASTILLO;--;--;--;180 meses;2011;En Ejecución;
100629000001;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Suministro;Concurso;Equipamiento para nuevas Sedes Municipales (Edificio San Agustín y CMD Zankoeta).;GLOBAL EQUIPAMIENTO Y MOBILIARIO CONTEMPORANEOS S.L.;1.527.028,00€;1.223.145,25€;validado;10 meses;2011;Finalizado;
101220000064;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE PLANIFICACION URBANA;Servicios;Concurso;Servicio de reparación y mantenimiento de los elementos que componen el Servicio Municipal de préstamo automático de bicicletas de Bilbao. ;INICIATIVAS AMBIENTALES DE EUSKADI, S.L.;226.560,00€;205.341,69€;--;7 meses;2011;Finalizado;
102026000016;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE JUVENTUD Y DEPORTE;Servicios;Concurso;Servicio para la gestión del proyecto Bilborock 2010.;EMANKOR;170.000,00€;158.002,00€;--;10 meses;2011;Finalizado;
100615000002;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Concurso;Obras de renovación de la red de saneamiento del barrio de Masustegui (fase I).;VICONSA, S.A.;3.051.650,75€;2.441.320,75€;--;10 meses;2011;Finalizado;
100618000005;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Concurso;Obra de reparación del vano móvil del puente de Deusto, Fase II.;TRABAJOS ESPECIALES ZUT, S.A. – CYCASA CANTERAS Y CONSTRUCCIONES, S.A., UNION TEMPORAL DE EMPRESAS LEY 18/1982 abreviadamente “UTE DEUSTO”.;740.385,31€;602.841,94€;--;6 meses;2011;Finalizado;
102024000004;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE JUVENTUD Y DEPORTE;Servicios;Concurso;Servicio de promoción de iniciativas juveniles;SUSPERGINTZA ELKARTEA;195.000,00€;194.700,00€;--;10 meses;2011;Finalizado;
102507000187;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Servicios;Negociado;Servicio consistente en la programación y coordinación de actividades cinematográficas del Festival de Cine Fantástico de Bilbao FANT 2011.;DESENFOQUE, S.L.;66.120,00€;66.080,00€;--;6 meses;2011;Finalizado;
102507000205;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Servicios;Negociado;Publicidad para el Festival de Cine Fantástico de Bilbao FANT 2011.;IMPACTO ESTRATEGIAS DE COMUNICACIÓN S.L.;22.800,00€;22.100,22€;--;3 meses;2011;Finalizado;
