NumeroExpediente;Coordinacion;Area;TipoContrato;ProcedimientoLicitacion;ObjetoContrato;Contratista;ImporteLicitacion;ImporteAdjudicacion;PreciosUnitarios;DuracionMeses;AnioAdjudicacion;Situacion;
145193000007;Coord. POLITICAS SOCIALES;AREA DE ACCION SOCIAL;Servicios;Negociado;Servicio de apoyo en la gestión del “Centro Bonapate” a la Asociación de Personas de la 3ª edad de Santutxu.;ASOCIACIÓN HEZITHAZIA;66.000,00€;60.000,00€;--;12 meses;--;Finalizado;
141408000002;Coord. POLITICAS SOCIALES;AREA DE IGUALDAD, COOPERACION, CONVIVENCIA Y FIESTAS;Servicios;Negociado;Servicio de vigilancia sin armas y seguridad de los espacios festivos durante la Aste Nagusa 2014.;PROSETECNISA;31.702,00€;29.996,47€;--;1 semana;--;En Ejecución;
2015016786;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Servicios;Concurso;Conservación y mantenimiento de los jardines, arbolado viario, jardineras, estructuras florales y jardines de los distritos del municipio de Bilbao.;URBASER S.A. - CYCASA CANTERAS Y CONSTRUCCIONES S.A. UTE LEY 18/1982, DE 26 DE MAYO.;28.613.600,00€;27.200.024,00€;--;48 meses;--;En Ejecución;
040640000001;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;--;Servicios;Concurso;Limpieza pública urbana y gestión de residuos sólidos.;UTE FOMENTO DE CONSTRUCCIONES Y CONTRATAS, S.A. / GMSM MEDIOAMBIENTE, S.A. (RSU BILBAO UTE);37.503.000,00€;35.993.236,00€;--;84 meses;2005;En ejecución con modificado;
062507000335;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Servicios;Concurso;Estudio del impacto económico de las actividades promovidas por el Área.;DELOITTE, S.L.;60.000,00€;60.000,00€;--;6  meses;2007;Finalizado;
073170000006;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Servicios;Subasta;Servicio de retirada de parquímetros de propiedad municipal.;ELECTRICIDAD MARTIN S.A.;12.000,00€;11.995,00€;--;2 meses;2007;Finalizado;
073031000001;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Servicios;Negociado;Asistencia técnica para la dirección del proyecto deobras de renovación de la Sala de Control de Tráfico del Ayuntamiento.;IDOM, INGENIERÍA Y CONSULTORÍA, S.A.;20.000,00€;19.900,00€;--;5 meses;2007;Finalizado;
072518000001;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Servicios;Concurso;Servicio de gestión y asistencia técnica del desarrollo del Plan de impulso y normalización del euskera en el sector del comercio en Bilbao.;SIADECO S. COOP. L.;90.000,00€;89.100,00€;--;9 meses;2007;Finalizado;
065165000202;Coord. POLITICAS SOCIALES;AREA DE ACCION SOCIAL;Servicios;Negociado;Elaboración de informes de disponibilidad de vivienda para reagrupación familiar de personas extranjeras domiciliadas en Bilbao.;LKS IAMM;15.000,00€;15.000,00€;validado;9 meses;2007;Finalizado;
064540000012;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;AREA DE ATENCION CIUDADANA, PARTICIPACION Y DISTRITOS;Servicios;Concurso;Elaboración de un catálogo de servicios del Ayuntamiento.;SOLUZIONA, CONSULTORIA Y TECNOLOGIA S.L.U.;210.000,00€;195.300,00€;--;9 meses;2007;Finalizado;
