CIF;Empresa;Direccion;Codigo_postal;Telefono;Fax;Email
U95566675; U.T.E. F.E.I. 6 ;C/ HENAO, 2, BAJO;48009;944417272;944417700;pabisa@pabisa-cys.com
B-98130529;10-4 ZONA POLICIAL S.L.;CIUDAD LAVAL 13   GANDIA  (VALENCIA);46702;685737500;962875942;tienda@10-4zonapolicial.es
B48911028;97 SYF, S.L.;GRAN VIA, 81, 5ª PLANTA  DPTO. 6    BILBAO;48011;944398210;944417188;info@97sf.es
G95023347;A4SC, URBANISMO Y EDIFICACIÓN C.I.F. ;BAILEN, Nº 5 – 1º DCHA;48003;669777630;;josu.a4sc@infonegocio.com
B79217790;ACCENTURE, SL Sociedad Unipersonal;EDIF. TORRE PICASSO, PZ PABLO RUIZ PICASSO S/N;28020;915426000;;carlos.coll@accenture.com
A95113361;ACCIONA AGUA S.A.;RAMON RUBIAL 2.     ERANDIO;48950;946050731;946050944;mmuniz@acciona.es
B31806664;ACR2 PROMOCIONES, S.L.;POLIGONO IRUREGAÑA 71, 6ª;31195;946450080;944249827;
B48581554;ADYPA S.L.;SANTUTXU, 49   (BILBAO);48004;944336393;944337315;adypa@adypa.com
B48587554;ADYPA S.L.;SANTUTXU 49;48004;944336393;944337315;adypa@adypa.com
A28526275;AERONAVAL DE CONSTRUCCIONES E INSTALACIONES, S.A. (ACISA);Juan de la Cierva 18 Pol. Ind. De A Grela;15008;981145088;981275042;elena.nunez@acisa.es
A81062820;AFI, CONSULTORES DE LAS ADMINISTRACIONES PÚBLICAS S.A.;ESPAÑOLETO 19    MADRID;28010;915200107;915200120;luciac@afi.es
B95042123;AGAL MOTOR  COMERCIAL, S.L.;JOSE VARA , 7  BARAKALDO;48903;944970099;944971309;canter@agalmotor.es
B48979231;AGENCIA DE PRENSA Y PUBLICIDAD IMAGINE, S.L.;C/ COSTA, 8-10, 2ª PLANTA;48010;944444155;;imagine@imaginegrupo.com
