Aplicació pressupost;Descripció;Pressupost Inicial;Modificacions;Pressupost final;Obligacions reconegudes;Pagaments;Pendent pagaments;Estat execució
100/9120A/10000;Retribucions bàsiques  ;520.909,90;0,00;520.909,90;566.088,46;566.088,46;0,00;-45.178,56
100/9120A/16000;Seguretat social;87.348,59;0,00;87.348,59;111.990,72;111.990,72;0,00;-24.642,13
100/9120A/16009;Altres quotes;1.093,80;0,00;1.093,80;0,00;0,00;0,00;1.093,80
100/9120A/23000;Dietes de càrrecs electius;332.380,00;-5.156,00;327.224,00;318.096,00;318.096,00;0,00;9.128,00
100/9120A/48700;Transferències grups municipals;290.455,42;5.156,00;295.611,42;262.050,84;262.050,84;0,00;33.560,58
120/9220A/12000;Salaris del Grup A1;29.779,33;0,00;29.779,33;23.705,49;23.705,49;0,00;6.073,84
120/9220A/12003;Salaris del Grup C1;9.884,84;0,00;9.884,84;10.294,00;10.294,00;0,00;-409,16
120/9220A/12004;Salaris del Grup C2;41.593,28;0,00;41.593,28;42.251,55;42.251,55;0,00;-658,27
120/9220A/12005;Salaris del Grup E;7.678,58;0,00;7.678,58;3.947,05;3.947,05;0,00;3.731,53
120/9220A/12006;Triennis;12.110,99;0,00;12.110,99;10.032,41;10.032,41;0,00;2.078,58
120/9220A/12100;Complement de destí;41.612,63;0,00;41.612,63;35.962,84;35.962,84;0,00;5.649,79
120/9220A/12101;Complement  específic;78.624,60;0,00;78.624,60;71.756,25;71.756,25;0,00;6.868,35
120/9220A/12103;Altres complements;58.724,97;0,00;58.724,97;73.962,49;73.962,49;0,00;-15.237,52
120/9220A/15000;Productivitat;586,29;0,00;586,29;7.777,04;7.777,04;0,00;-7.190,75
120/9220A/16000;Seguretat social;68.171,58;0,00;68.171,58;56.363,04;56.363,04;0,00;11.808,54
120/9220A/22199;Altres subministraments;500,00;0,00;500,00;394,30;118,49;275,81;105,70
120/9220A/22201;Comunicacions postals;4.000,00;0,00;4.000,00;1.993,77;1.130,80;862,97;2.006,23
120/9220A/22699;Altres despeses diverses;2.000,00;0,00;2.000,00;1.218,22;366,66;851,56;781,78
120/9220A/22706;Estudis i treballs tècnics;500,00;0,00;500,00;699,80;699,80;0,00;-199,80
120/9220A/22799;Altres treballs realitzats per altres empreses i prof.;10,00;0,00;10,00;0,00;0,00;0,00;10,00
120/9220A/23020;Dietes personal no directiu;3.000,00;0,00;3.000,00;459,19;314,68;144,51;2.540,81
120/9220A/48300;Subvencions i aportacions institucionals;81.139,00;500,00;81.639,00;81.640,52;81.140,52;500,00;-1,52
