Aplicació pressupost;Descripció;Pressupost Inicial;Modificacions;Pressupost final;Obligacions reconegudes;Pagaments;Pendent pagaments;Estat execució
100/9120A/10000;Retribucions bàsiques  ;678.077,40;-5.600,47;672.476,93;613.102,78;613.102,78;0,00;59.374,15
100/9120A/16000;Seguretat social;124.043,70;0,00;124.043,70;121.123,44;121.123,44;0,00;2.920,26
100/9120A/16009;Altres quotes;0,00;10,00;10,00;1.386,84;1.386,84;0,00;-1.376,84
100/9120A/23000;Dietes de càrrecs electius;303.000,00;4.512,00;307.512,00;301.452,00;301.452,00;0,00;6.060,00
100/9120A/48700;Transferències grups municipals;295.065,24;1.348,00;296.413,24;296.412,12;296.412,12;0,00;1,12
130/9202A/12000;Salaris del Grup A1;29.354,64;0,00;29.354,64;28.354,26;28.354,26;0,00;1.000,38
130/9202A/12003;Salaris del Grup C1;9.884,84;0,00;9.884,84;9.398,93;9.398,93;0,00;485,91
130/9202A/12004;Salaris del Grup C2;25.135,74;-27,96;25.107,78;21.942,59;21.942,59;0,00;3.165,19
130/9202A/12006;Triennis;15.325,12;0,00;15.325,12;13.338,19;13.338,19;0,00;1.986,93
130/9202A/12100;Complement de destí;37.970,04;-15,28;37.954,76;36.987,72;36.987,72;0,00;967,04
130/9202A/12101;Complement  específic;84.289,32;-26,83;84.262,49;86.091,93;86.091,93;0,00;-1.829,44
130/9202A/12103;Altres complements;43.786,64;0,00;43.786,64;37.863,85;37.863,85;0,00;5.922,79
130/9202A/15000;Productivitat;11.082,16;0,00;11.082,16;5.595,10;5.595,10;0,00;5.487,06
130/9202A/16000;Seguretat social;52.111,72;-27,25;52.084,47;52.336,64;52.336,64;0,00;-252,17
130/9202A/22001;Premsa, revistes, llibres i altres publicacions;80,00;0,00;80,00;28,00;28,00;0,00;52,00
130/9202A/22201;Comunicacions postals;2.000,00;0,00;2.000,00;798,88;725,44;73,44;1.201,12
210/2350A/11000;Retribucions bàsiques;14.742,24;0,00;14.742,24;7.819,65;7.819,65;0,00;6.922,59
