"CÓDIGO PUESTO","DENOMINACIÓN","TOTAL RETRIBUCIONES"
"50100-01","DIRECTOR DEPARTAMENTO DE GESTIÓN DE INGRESOS",65754.48
"50400-01","DIRECTOR DEPARTAMENTO ADMINISTRACIÓN",67464.84
"50200-01","DIRECTOR DEPARTAMENTO GESTIÓN DE  SANCIONES",65701.32
"50300-01","DIRECTOR DEPARTAMENTO RECAUDACIÓN",65184.36
"50500-01","DIRECTOR DEPARTAMENTO INFORMATICA",60623.40
"50150-01","JEFE INSPECCION TRIBUTOS",61900.88
"50110-01","ADJUNTO SERVICIO SECCION PRIMERA",58480.16
"50220-01","ADJUNTO SERVICIO RECURSOS",58480.16
"50410-01","ADJUNTO SERVICIO RR.HH. Y RÉGIMEN INTERIOR",62772.56
"50150-04","INSPECTOR TRIBUTOS",53919.46
"50150-02","INSPECTOR TRIBUTOS",56199.94
"50150-09","INSPECTOR TRIBUTOS",56199.94
"50150-08","INSPECTOR TRIBUTOS",29240.21
"50150-05","INSPECTOR TRIBUTOS",4920.88
"50150-06","INSPECTOR TRIBUTOS",56329.18
"50150-07","INSPECTOR TRIBUTOS",52779.22
"50150-11","INSPECTOR TRIBUTOS",57910.30
"50150-10","INSPECTOR TRIBUTOS",50498.74
"50150-03","INSPECTOR TRIBUTOS",55059.70
"50140-01","JEFE SECCION TASAS",50773.82
"50130-01","JEFE SECCION TERCERA",52484.18
"50210-01","JEFE SECCION INSTRUCCION Y TRAMITACION ",51914.06
"50160-01","JEFE SECCION ADMTVA. INSPECCION TRIBUTOS",54764.66
"50120-01","JEFE SECCION SEGUNDA",53624.42
"50320-01","JEFE SECCION DE RECAUDACION EJECUTIVA",50773.82
"50420-01","JEFE SECCIÓN GESTIÓN ECONÓMICA Y CONTRATACIÓN",54764.66
"50340-01","JEFE SECCIÓN RECURSOS Y RECLAMACIONES",49063.46
"50111-01","ADJUNTO SECC. TAG. LIQUIDACION I.A.E",49049.74
"50131-01","ADJUNTO SECC. TAG. EXENCION CERTIF. I.B.I.",46769.26
"50121-01","ADJUNTO SECC. TAG. PLUSVALIA",48340.30
"50132-01","JEFE NEG. TAG. RECLAMACION IBI",45117.06
"50143-01","JEFE NEG. TAG. VIA PUBLICA.",45117.06
"50141-01","JEFE NEG. TAG.GESTION TRIBUT. RESIDUOS",42836.58
"50220-02","T.A.G.",40686.54
"50220-03","T.A.G.",43479.28
"50101-01","JEFE OFICINA TECNICA",44724.04
"50101-02","TECNICO MEDIO OFICINA TECNICA",35657.50
"50212-01","ADJUNTO DE SECCION ADMVO. TRAMITACION",40031.96
"50332-01","ADJUNTO DE SECC. ADMVO.RECAUDACION VOLUNTARIA",36748.04
"50133-01","JEFE NGDO. ADMVO. LIQUIDACION IBI",37265.84
"50113-01","JEFE NGDO. ADMVO. VEHICULOS",38075.34
"50135-01","JEFE NGDO. ADMVO. REGTRO. NOTIF. Y ARCHIV. IBI",37033.86
"50134-01","JEFE NGDO. ADMVO. DEVOLUCION Y BAJA IBI",33981.92
"50112-01","JEFE NGDO. ADMVO. DEVOLUCIONES IAE",39820.00
"50142-01","JEFE NGDO. ADMVO. APERTURAS Y EXT. INCENDIOS",37265.84
"50122-01","JEFE NGDO. ADMVO. I.C.I.O.",37265.84
"50150-15","AUXILIAR INSPECCION TRIBUTOS",37038.38
"50150-14","AUXILIAR INSPECCION TRIBUTOS",37277.60
"50332-02","JEFE GRUPO ADMVO. RECAUDACION VOLUNTARIA",33562.90
"50211-02","JEFE GRUPO ADMVO. INSTRUCCION 1",34026.86
"50121-02","JEFE GRUPO ADMVO. PLUSVALIA",33536.32
