"COD.","PUESTO","TOTAL"
1,"Director Gerente ",62329.27
2,"DIRECTOR/A PLANIFICACIÓN TURÍSTICA",67599.56
3,"DIRECTOR/A DE PROMOCIÓN",42553.45
4,"DIRECTOR/A DE ESTIÓN PRESUPUESTARIA Y ADMINISTRACIÓN",43838.64
5,"JEFE/A DE DEPARTAMENTO PROMOCIÓN (ADJUNTÍA AL GERENTE)",53725.56
6,"JEFE/A DEPARTAMENTO NUEVOS PROYECTOS Y RELACIONES INSTITUCIONALES (ADJUNTÍA AL GERENTE)",51825.86
7,"JEFE/A DPTO. COMUNICACIÓN",45426.99
8,"JEFE/A DPTO. ADMINISTRACIÓN",44377.76
9,"TECNICO TURISMO",36619.43
10,"TECNICO TURISMO",36619.43
11,"TECNICO TURISMO",35843.59
12,"TECNICO TURISMO",34161.90
13,"TECNICO TURISMO",35843.58
14,"TECNICO TURISMO",34795.13
15,"TECNICO TURISMO",33528.65
16,"TECNICO TURISMO",37743.30
17,"ADMINISTRATIVO",25304.84
18,"AUX. INF. TURISTICA",25115.69
19,"AUX. INF. TURISTICA",26454.80
20,"AUX. INF. TURISTICA",24730.83
21,"AUX. ADMINISTRATIVO",23770.21
