"Clasificación_Económica","Descripción_Clasificación_Económica","Previsiones_Iniciales","Derechos_Reconocidos_Totales","Derechos_Reconocidos_Netos","Derechos_Recaudados","Recaudación_Líquida"
10000,"IMPUESTO SOBRE LA RENTA PERSONAS FISICAS",13435506.05,14044600.00,13912400.08,14044600.00,13912400.08
11300,"IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA URBANA",196653542.81,181594210.49,178628843.61,98197391.25,95770101.58
11500,"IMP. S/VEHICULOS DE TRACCION MECANICA",35010938.92,32505342.02,32269710.49,24084119.71,24008139.93
11600,"IMPTO.S/INCREMENTO VALOR TERRENOS",23575304.42,36693044.72,35918309.59,28981396.73,28929528.26
13000,"IMPUESTO SOBRE ACTIVIDADES ECONOMICAS",43808849.55,44737660.03,44008658.24,29140297.29,28901862.03
21000,"IMPUESTO SOBRE EL VALOR AÑADIDO  (I.V.A.)",9647139.09,10437104.57,10152950.57,10437104.57,10152950.57
22000,"IMPUESTO SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS",140971.58,144996.50,143492.30,144996.50,143492.30
22001,"IMPUESTO SOBRE LA CERVEZA",53436.15,62346.14,62207.90,62346.14,62207.90
22003,"IMPUESTO SOBRE LAS LABORES DEL TABACO",1158800.08,1158800.04,853152.11,1158800.04,853152.11
22004,"IMPUESTO SOBRE HIDROCARBUROS",1692510.51,1936369.76,1931153.36,1936369.76,1931153.36
22006,"IMPUESTO SOBRE PRODUCTOS INTERMEDIOS",2807.07,3404.62,3382.30,3404.62,3382.30
29000,"IMPTO.S/CONSTRUC.,INSTALAC. Y OBRAS",6784893.06,7280903.32,7205461.50,6254840.16,6179398.34
30201,"RECOGIDA DE BASURA Y RESI.SÓLIDOS VIVIENDAS",18152308.80,17042475.39,16946177.25,13368844.90,13359331.52
30202,"RECOGIDA DE BASURA Y RESI.SÓLIDOS LOCALES COMERCIALES",21500000.38,18346661.91,17861906.96,9728460.57,9575121.09
30901,"SERVICIOS FUNERARIOS ( CEMENTERIO)",2037556.00,2158734.66,2153470.09,2127298.00,2122033.43
30902,"TASA POR AUTORIZACIONES Y SERVICIOS EN MERCADOS",887485.04,912754.62,910395.57,510742.63,508494.79
31901,"CONTROL ESTABLECIMIENTOS CARNÍCOS Y OTROS SERV.LABORATORIO",79497.00,111203.53,110713.18,47106.88,46840.73
32500,"TASA POR EXPEDICIÓN DE DOCUMENTOS",43868.00,29390.94,29390.94,29390.94,29390.94
32601,"TASA POR RETIRADA DE VEHICULOS",2033216.00,1841431.13,1840768.53,1841431.13,1840768.53
32902,"RETIRADA MERCANCÍA VÍA PÚBLICA Y VENTA AMBULANTE",1000.00,0.00,0.00,0.00,0.00
32903,"DERECHOS DE EXAMEN",1500.00,6244.14,6244.14,6244.14,6244.14
32904,"LICENCIA APERTURA ESTABLECIMIENTOS",0.00,4398.00,-3066.10,4398.00,-3066.10
32905,"LICENCIA AUTOTAXIS Y VEHICUULOS ALQUILER",314714.46,83064.06,83054.91,83064.06,83054.91
32906,"EXTINCIÓN DE INCENDIOS",4774.00,25059.14,25059.14,4019.75,4019.75
32907,"SERVICIOS ESPECIALES GRANDES  TRANSPORTES",51500.00,39560.00,39560.00,39560.00,39560.00
32908,"TASA POR ORGANIZAC DE VISITAS Y OTROS  CASA CONSISTORIAL",500.00,0.00,0.00,0.00,0.00
33001,"RESERVA VIA PBCA. APARCAM. CARGA Y DESCARGA",1283606.72,1197004.00,1181525.56,892251.64,887880.68
33100,"ENTRADA DE VEHICULOS",5048028.00,4856541.80,4830970.08,1654297.87,1628726.15
33200,"TASA OCUPACIÓN SUBSUELO.SUMTRO.ELECTRICIDAD Y GAS",5618723.28,7703888.03,7652144.56,3691645.87,3691645.87
33300,"TELEFONÍA MÓVIL",0.00,0.00,-4700.62,0.00,-4700.62
33801,"OCUPACIÓN SUBSUELO TELEFÓNICA ESPAÑA  S.A.",2370402.00,1671399.81,1671399.81,1671399.81,1671399.81
33902,"TASA POR CASETAS,ATRACCIONES  Y OTROS FERIA DE ABRIL",4200760.56,4154555.64,4154167.00,1974580.26,1974191.62
33903,"RODAJE Y ARRASTRE VEHÍCULOS  TRACCIÓN ANIMAL FERIA DE ABRIL",157329.45,156499.35,156380.70,154245.00,154126.35
33905,"TASA POR OCUPACIÓN COCHERAS MUNICIPALES",108810.80,105840.00,105829.20,93578.67,93578.67
33906,"TASA POR OCUPACIÓN PUESTOS Y OTROS USOS EN MERCADOS",1000.00,0.00,0.00,0.00,0.00
33911,"TASA OCUPACIÓN EDIFICIOS DOMINIO PÚBLICO",45082.00,52703.00,51974.63,41766.43,41766.43
34201,"PRECIOS PÚBLICOS TALLERES DE DISTRITOS",403699.00,282880.52,281645.53,282880.52,281645.53
34400,"ESPACIOS MUSEÍSTICOS",1888.00,0.00,0.00,0.00,0.00
34900,"PRECIO PÚBLICO ANÁLISIS Y OTROS SERV. LAB. MPAL. A DOM. Y EN",10000.00,0.00,0.00,0.00,0.00
35100,"CONTRIBUCIÓN ESPECIAL SERVICIO PREVENCIÓN Y EXTINCIÓN DE INC",2177285.00,2235291.60,2235291.60,2235291.60,2235291.60
38901,"REINTEGRO DE PAGOS INDEBIDOS EJERCICIOS ANTERIORES",447356.10,322373.16,322373.16,81696.48,81696.48
39120,"MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACION",25729910.40,24907606.02,24213705.17,9656665.61,9069270.23
39190,"OTRAS MULTAS Y SANCIONES",1679217.00,830197.71,738402.69,263089.78,194697.54
39210,"RECARGO EJECUTIVO",7122000.00,0.00,0.00,0.00,0.00
39211,"RECARGO DE APREMIO",0.00,5681326.85,5675486.60,5681326.85,5675486.60
39300,"INTERESES DE DEMORA",7445252.00,4855425.33,4785204.96,4276725.11,4254568.83
39900,"OTROS INGRESOS DIVERSOS IMPREVISTOS",5117322.00,1784695.56,1782917.60,1743067.38,1742489.42
39901,"ANUNCIOS DE PARTICULARES",35495.52,43547.49,40988.68,43547.49,40988.68
39902,"COSTAS",0.00,868848.02,868123.97,868848.02,868123.97
41101,"REINTEGRO R. ALCAZAR, PERSONAL ADSCRITO",330000.00,195634.99,195634.99,195634.99,195634.99
42010,"FONDO COMPLEMENTARIO DE FINANCIACIÓN",272849726.71,272055116.75,259523873.88,272055116.75,259523873.88
42090,"OTRAS TRANSF. CORRIENTES DE LA ADMON GENERAL DEL ESTADO",5430264.83,5394763.01,5394763.01,5394763.01,5394763.01
42100,"DEL SERVICIO PUBLICO DE EMPLEO ESTATAL",0.00,133548.00,133548.00,133548.00,133548.00
42190,"DE OTROS ORGANISMOS AUTÓNOMOS Y AGENCIAS ESTATALES",0.00,0.00,0.00,0.00,0.00
44100,"TRANSFERENCIAS TUSSAM",0.00,0.00,0.00,0.00,0.00
45000,"PARTICIPACIÓN EN TRIBUTOS DE LA COMUNIDAD AUTÓNOMA",25474075.27,25474075.27,25474075.27,25473458.79,25473458.79
45002,"TRANSF.CTES EN CUMPLIMIENTO DE CONV.SERV.SOC Y POLIT.IGUALDA",29270226.22,24521094.67,21915227.54,24521094.67,21915227.54
45030,"TRANSF. CTES. CONVENIOS CON LA C.A. EDUCACIÓN",277676.24,210339.77,210339.77,210339.77,210339.77
45080,"OTRAS SUBVENCIONES CORRIENTES DE LA ADMIN.GRAL DE LA CCAA",0.00,2628217.86,2541552.29,2628217.86,2541552.29
45105,"SUBVENCION  SERV.ANDALUZ DE EMPLEO ALPÈS",0.00,0.00,0.00,0.00,0.00
45106,"SUBVENCION S.A.E PROGRAMA ORIENTA",0.00,0.00,0.00,0.00,0.00
45110,"SUBV. SAE   E.T. ALCOSA",0.00,0.00,0.00,0.00,0.00
45112,"SUBV. SAE ESCUELA TALLER MIRAFLORES",0.00,0.00,0.00,0.00,0.00
45114,"SUBV SAE T. E. POLIGONO SUR  I",0.00,0.00,0.00,0.00,0.00
45117,"SUBV. SAE ESCUELA  TALLER  SUR",0.00,0.00,0.00,0.00,0.00
45119,"SUBV. SAE T. E.  POLGONO SUR II",0.00,0.00,0.00,0.00,0.00
45120,"SUBV. SAE ESCUELA TALLER EN TORREBLANCA",0.00,0.00,0.00,0.00,0.00
45122,"P. ACCIONES EXPERIMENTALES",0.00,0.00,0.00,0.00,0.00
45123,"P.EXPERIENCIAS PROFESIONALES PARA EL EMPLEO",0.00,0.00,0.00,0.00,0.00
45131,"SUVB. SAE TALLER DE EMPLEO TORREBLANCA",0.00,0.00,0.00,0.00,0.00
45132,"SUVB. SAE TALLER EMPLEO  NORTE",0.00,0.00,0.00,0.00,0.00
45134,"SUBV. SAE TALLER EMPLEO AMATE",0.00,0.00,0.00,0.00,0.00
45136,"SUBV. SAE ESCUELA TALLER AMATE",0.00,0.00,0.00,0.00,0.00
45137,"SUBVENCION SAE E. TALLER S. PABLO",0.00,0.00,0.00,0.00,0.00
45139,"SUBV. SAE DINAMIZACIÓN PRELABORAL POLÍGONO SUR",339928.64,0.00,0.00,0.00,0.00
45142,"DEL S.A.E. PROGRAMA  EMPLEA JOVEN",0.00,0.00,0.00,0.00,0.00
45143,"DEL INST.ANDALUZ DE ADM.PUBLICA. PLAN DE FORMACIÓN",0.00,19620.75,19620.75,19620.75,19620.75
45144,"SUBV.S.A.E. PROGRAMA EMPLE@+30",0.00,0.00,-3174012.64,0.00,-3174012.64
