"DENOMINACIÓN PLAZA","GRUPO","TITULACIÓN ACADÉMICA","NÚMERO","VACANTES"
"Técnico de Centro de Información","A","Título de Doctor, Licenciado, Ingeniero, Arquitecto o equivalente",1,0
"Arquitecto Superior","A","Arquitecto Superior",1,1
"Técnico Superior Ingeniero Industrial","A","Ingeniero Superior Industrial",1,1
"Técnico de Deportes","A","Título de Doctor, Licenciado, Ingeniero, Arquitecto o equivalente",2,0
"Licenciado en Derecho","A","Licenciado en Derecho",1,1
"Graduado Social","B","Graduado Social, Técnico de Relaciones Laborales",1,0
"Técnico de Servicios Sociales","B","Graduado Social, Técnico de Relaciones Laborales",1,0
"Arquitecto Técnico","B","Arquitecto Técnico",2,0
"Técnico Control de Calidad","B","Título de Ingeniero Técnico, Diplomado Universitario, Arquitecto Técnico o equivalente",1,1
"Coordinador de Voluntariado","B","Título de Ingeniero Técnico, Diplomado Universitario, Arquitecto Técnico o equivalente",1,0
"Director de Instalaciones Deportivas","B","Título de Ingeniero Técnico, Diplomado Universitario, Arquitecto Técnico o equivalente",6,1
"Coordinador de Deportes","B","Título de Ingeniero Técnico, Diplomado Universitario, Arquitecto Técnico o equivalente",11,2
"Coordinador","B","Título de Ingeniero Técnico, Diplomado Universitario, Arquitecto Técnico o equivalente",10,6
"Programador","C","Título de Bachiller Superior, Formación Profesional de segundo grado, o equivalente.",4,1
"Delineante","C","Formación profesional de segundo grado delineante o equivalente",3,1
"Jefe de Mantenimiento","C","Título de Bachiller Superior, Formación Profesional de segundo grado, o equivalente",9,5
"Técnico Auxiliar Deportivo","C","Título de Bachiller Superior, Formación Profesional de segundo grado, o equivalente",32,12
"Administrativo","C","Título de Bachiller Superior, Formación Profesional de segundo grado, o equivalente",1,1
"Auxiliar Administrativo","D","Título de Graduado Escolar, Formación Profesional de Primer Grado o equivalente",36,10
"Oficial 1ª Polivalente","D","Título de Graduado Escolar, Formación Profesional de Primer Grado o equivalente",31,9
"Ayudante Polivalente","E","Certificado de Escolaridad",86,40
"Ayudante Auxiliar ","E","Certificado de Escolaridad",3,0
"Ordenanza","E","Certificado de Escolaridad",3,1
