"Código_del_Área","Denominación_del_Área","Código_de_la_Dirección_General","Denominación_de_la_Dirección_General","Clasificación_Orgánica","Denominación_de_la_Clasificación_Orgnánica","Programa_de_Gasto","Denominación_del_Programa_de_Gasto","Clasificación_Económica","Descripción_de_la_Claasificación_Económica","Créditos_Iniciales","Créditos_Totales_Consignados","Gastos_Autorizados","Disposiciones_ó_Compromisos","Obligaciones_Reconocidas","Pagos_Realizados"
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",91396,"AMORTIZACIÓN PTMO. DEXIA SABADELL (INV. 2009)",780609.04,780609.04,780609.04,780609.04,780609.04,780609.04
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31097,"INTERESES PRÉSTAMO BBVA (AMPLIACIÓN PALACIO EXPOSICIONES)",1922249.28,1922249.28,1922249.74,1922249.74,1922249.74,1922249.74
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31004,"INTERESES  PRÉSTAMO BANESTO (INV. 2009)",92625.00,92625.00,61407.63,61407.63,61407.63,61407.63
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31079,"INTERESES B.S.C.H. (INV. 2002)",2737.03,2737.03,198.98,198.98,198.98,198.98
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31099,"INTERESES PRÉSTAMO I.C.O.  ''''PLAN BARRIOS''''",33590.15,33590.15,174.91,174.91,174.91,174.91
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",91303,"AMORTIZACIÓN PRÉSTAMO EUROHYPO (INV 07)",1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",91351,"AMORTIZACION PRÉSTAMO BSCH (INV 2002)",416582.32,416582.32,416582.32,416582.32,416582.32,416582.32
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",91394,"AMORTIZACION PTMO. UNICAJA (INV 2003)",1646773.16,1646773.16,1646773.16,1646773.16,1646773.16,1646773.16
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",91330,"AMORTIZACIÓN PRÉSTAMO SANTANDER (PLAN PAGO PROVEEDORES)",1304816.48,1304816.48,1304816.48,1304816.48,1304816.48,1304816.48
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",91304,"AMORTIZACIÓN PTMO. BBVA-DEXIA-BCL (REFINANCIACIÓN)",14531119.80,14531119.80,14531119.80,14531119.80,14531119.80,14531119.80
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",91354,"AMORTIZACIÓN PRÉSTAMO CAJA MADRID (INV 2004)",1921235.40,1921235.40,1921235.40,1921235.40,1921235.40,1921235.40
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31096,"INTERESES PRÉSTAMO LA CAIXA (PARQUE ARTE SACRO)",274692.84,274692.84,207461.68,207461.68,207461.68,207461.68
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",91101,"AMORTIZ. PTMO Mº INDUSTRIA, TURISMO Y COMERCIO (SUBV.2008)",23993.19,23993.19,23993.19,23993.19,23993.19,23993.19
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",91331,"AMORTIZACIÓN PRÉSTAMO BBVA (PLAN PAGO PROVEEDORES)",3125000.00,3125000.00,3125000.00,3125000.00,3125000.00,3125000.00
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31006,"INTERESES BBVA-DEXIA SABADEL Y BCL (REFINANCIACIÓN 2008)",12189823.40,12189823.40,12225735.45,12225735.45,12225735.45,12225735.45
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31089,"INTERESES PRÉSTAMO CAJA MADRID-2 (INV. 2004)",325339.18,325339.18,325340.03,325340.03,325340.03,325340.03
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",91307,"AMORTIZACIÓN PRÉSTAMO SANTANDER (INV. 2010)",1200000.00,1200000.00,1200000.00,1200000.00,1200000.00,1200000.00
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31000,"INTERESES OPERACIONES DE TESORERÍA",94291.67,34291.67,0.00,0.00,0.00,0.00
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",91125,"AMORTIZACIÓN PRÉSTAMO I. C. O. (INV.06)",1126666.68,1126666.68,1126666.68,1126666.68,1126666.68,1126666.68
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",91322,"AMORTIZACIÓN PRÉSTAMO BBVA (AMPLIACIÓM PALACIO EXPOSICIONES)",4361842.11,4361842.11,4361842.11,4361842.11,4361842.11,4361842.11
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31003,"INTERESES PRÉSTAMO BBVA (INV. 2009)",49541.56,49541.56,33823.03,33823.03,33823.03,33823.03
