"Fun.","Eco.","Descripción","Créditos Iniciales","Créditos Totales consignados","Gastos Autorizados","Disposiciones ó Compromisos","Obligaciones Reconocidas","Pagos Realizados"
1101,31000,"Intereses prestamo Ayto Pago a proveedores",4294.32,4294.32,1568.71,1568.71,1568.71,1568.71
1101,91100,"Amortización préstamo",39263.15,39263.15,19631.58,19631.58,19631.58,19631.58
33000,10100,"retribuciones  básicas",238452.00,238452.00,136258.64,136258.64,136258.64,119226.31
33000,20300,"ARREND. MAQUINA. INSTALACIÓN Y UTILLAJES",250000.00,250000.00,105906.60,105906.60,56670.64,56045.07
33000,21500,"CONSERVACIÓN MOBILIARIO Y ENSERES",3500.00,3500.00,1143.45,1143.45,1143.45,0.00
33000,21300,"REPARACIÓN MAQINARIAS, INSTALACIONES Y UTILLAJE",192586.53,192586.53,69315.35,69315.35,41071.93,40999.33
33000,22799,"TRABAJOS REALIZADOS POR EMPRESAS Y PROFESIONALES",1145309.16,1145309.16,638163.56,638163.56,302797.94,280273.59
33000,22708,"GASTOS DE RECAUDACIÓN",251300.00,251300.00,205549.58,162416.56,124861.69,103082.90
33000,22706,"ESTUDIOS Y TRABAJOS PLANES SEGURIDAD EDIFICIOS ICAS",5000.00,5000.00,0.00,0.00,0.00,0.00
33000,22701,"SEGURIDAD",465000.00,465000.00,292008.23,195731.02,127820.35,127820.35
33000,22700,"LIMPIEZA",274000.00,274000.00,321371.56,321371.56,107793.16,86603.30
33000,22699,"GASTOS DIVERSOS",200800.00,200800.00,65684.25,62559.24,47975.91,23587.91
33000,22602,"PUBLICIDAD Y PROPAGANDA",720000.00,720000.00,410277.01,373610.34,195983.24,163039.65
33000,22601,"ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS",12000.00,12000.00,1238.48,1238.48,1238.48,968.48
33000,22502,"TRIBUTOS",5768.00,5768.00,0.00,0.00,0.00,0.00
33000,22400,"SEGUROS",25000.00,25000.00,20811.61,20811.61,20811.61,20811.61
33000,22111,"SUMINISTROS MATERIAL FUNGIBLE",47000.00,47000.00,35286.14,35286.14,35286.14,35286.14
33000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",20000.00,20000.00,5124.00,5124.00,2590.00,2590.00
33000,22000,"MATERIAL DE OFICINA",12000.00,12000.00,16782.27,16782.27,9522.27,8483.63
33000,23110,"GASTOS DE LOCOMOCION",10000.00,10000.00,4131.42,4131.42,4131.42,3766.53
33000,23010,"DIETAS",10000.00,10000.00,2297.76,2297.76,2297.76,1480.86
33000,16000,"SEGURIDAD SOCIAL",68212.00,68212.00,39758.55,39758.55,39758.55,34072.10
33000,61900,"Inversiones de reposición en bienes y edificios",40000.00,40000.00,0.00,0.00,0.00,0.00
33000,62600,"EQUIPOS PROCESOS INFORMACIÓN",40000.00,40000.00,0.00,0.00,0.00,0.00
33000,62900,"INVERSIONES NUEVA OTROS EDIFICIOS",130000.00,130000.00,9450.12,9450.12,0.00,0.00
