"Código_del_Área","Denominación_del_Área","Código_de_la_Dirección_General","Denominación_de_la_Dirección_General","Clasificación_Orgánica","Denominación_de_la_Clasificación_Orgnánica","Programa_de_Gasto","Denominación_del_Programa_de_Gasto","Clasificación_Económica","Descripción_de_la_Claasificación_Económica","Créditos_Iniciales","Créditos_Totales_Consignados","Gastos_Autorizados","Disposiciones_ó_Compromisos","Obligaciones_Reconocidas","Pagos_Realizados"
"ICAS","","","","","",33000,"Admon. General Cultura",10100,"RETRIBUCIONES BASICAS"," 238.452,00 € "," 249.979,44 € ",49074.74,49074.74,49074.74,49074.74
"","","","","","",33000,"Admon. General Cultura",16000,"SEGURIDAD SOCIAL"," 68.212,00 € "," 71.439,68 € ",11301.11,11301.11,11301.11,11301.11
"","","","","","",,"",,"TOTAL CAPITULO 1"," 306.664,00 € "," 321.419,12 € ",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",33000,"Admon. General Cultura",20200,"ARRENDAMIENTOS DE EDIFICIOS Y OTRAS CONSTRUCCIONES ",""," 90.000,00 € ",,,,
"","","","","","",33000,"Admon. General Cultura",20300,"ARREND. MAQUINA. INSTALACIÓN Y UTILLAJES"," 250.000,00 € "," 225.000,00 € ",13624.90,13624.90,7078.50,
"","","","","","",33000,"Admon. General Cultura",21200,"REPARACIONES MANTENIMIENTOS Y CONSERVACION DE EDIFICIOS",""," 81.752,32 € ",,,,
"","","","","","",33000,"Admon. General Cultura",21300,"REPARACIÓN MAQINARIAS, INSTALACIONES Y UTILLAJE"," 192.586,53 € "," 190.000,00 € ",30226.50,30226.50,1336.15,544.50
"","","","","","",33000,"Admon. General Cultura",21500,"CONSERVACIÓN MOBILIARIO Y ENSERES"," 3.500,00 € "," 3.500,00 € ",,,,
"","","","","","",33000,"Admon. General Cultura",22000,"MATERIAL DE OFICINA"," 12.000,00 € "," 17.000,00 € ",2153.99,2153.99,1738.51,
"","","","","","",33000,"Admon. General Cultura",22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES"," 20.000,00 € "," 15.000,00 € ",2590.00,2590.00,2590.00,
"","","","","","",33000,"Admon. General Cultura",22111,"SUMINISTROS MATERIAL FUNGIBLE"," 47.000,00 € "," 37.000,00 € ",,,,
"","","","","","",33000,"Admon. General Cultura",22400,"SEGUROS"," 25.000,00 € "," 25.000,00 € ",,,,
"","","","","","",33000,"Admon. General Cultura",22502,"TRIBUTOS"," 5.768,00 € "," 7.000,00 € ",,,,
"","","","","","",33000,"Admon. General Cultura",22601,"ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS"," 12.000,00 € "," 12.000,00 € ",7300.00,7300.00,,
"","","","","","",33000,"Admon. General Cultura",22602,"PUBLICIDAD Y PROPAGANDA"," 720.000,00 € "," 504.750,00 € ",133105.88,133105.88,30869.04,8221.95
"","","","","","",33000,"Admon. General Cultura",22699,"GASTOS DIVERSOS"," 200.800,00 € "," 200.000,00 € ",24242.87,24242.87,13826.20,1529.44
"","","","","","",33000,"Admon. General Cultura",22700,"LIMPIEZA"," 274.000,00 € "," 395.000,00 € ",252072.60,252072.60,45927.91,44157.92
"","","","","","",33000,"Admon. General Cultura",22701,"SEGURIDAD"," 465.000,00 € "," 565.000,00 € ",245970.33,245970.33,4112.19,
"","","","","","",33000,"Admon. General Cultura",22704,"DEPÓSITOS "," -   € "," 16.500,00 € ",,,,
"","","","","","",33000,"Admon. General Cultura",22706,"ESTUDIOS Y TRABAJOS PLANES SEGURIDAD EDIFICIOS ICAS"," 5.000,00 € "," 5.000,00 € ",,,,
"","","","","","",33000,"Admon. General Cultura",22708,"GASTOS DE RECAUDACIÓN"," 251.300,00 € "," 185.000,00 € ",100879.91,50568.11,,
"","","","","","",33000,"Admon. General Cultura",22799,"TRABAJOS REALIZADOS POR EMPRESAS Y PROFESIONALES"," 1.145.309,16 € "," 990.000,00 € ",480168.51,480168.51,71253.85,13759.62
"","","","","","",33000,"Admon. General Cultura",23010,"DIETAS"," 10.000,00 € "," 7.000,00 € ",,,,
"","","","","","",33000,"Admon. General Cultura",23110,"GASTOS DE LOCOMOCION"," 10.000,00 € "," 10.000,00 € ",,,,
"","","","","","",33000,"Admon. General Cultura",23310,"OTRAS INDEMNIZACIONES"," -   € "," 7.000,00 € ",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",33210,"FOMENTO LIBRO Y LECTURA",22609,"ACTIVIDADES CULTURALES .FOMENTO LIBRO Y LECTURA"," 234.652,00 € "," 200.000,00 € ",26197.16,26197.16,12825.73,1120.99
"","","","","","",,"",,"","","",,,,
"","","","","","",33300,"EXPOSICIONES",22609,"ACTIVIDADES CULTURALES . EXPOSICIONES"," 350.000,00 € "," 250.000,00 € ",3865.29,3865.29,1808.29,
"","","","","","",,"",,"","","",,,,
"","","","","","",33307,"DISTRITOS",22609,"ACTIVIDADES CULTURALES . DISTRITOS"," 176.000,00 € "," 115.000,00 € ",65875.99,65875.99,65875.99,4795.99
"","","","","","",,"",,"","","",,,,
"","","","","","",33400,"FOMENTO DE LA CULTURA",22609,"ACTIVIDADES CULTURALES. FOMENTO DE LA CULTURA"," 150.000,00 € "," 120.000,00 € ",134660.80,134660.80,115437.68,86400.00
"","","","","","",33400,"FOMENTO DE LA CULTURA",22606,"REUNIONES Y CONF. FOMENTO DE LA CULTURA"," 12.000,00 € ","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",33401,"CINE",20200,"ARRENDAMIENTOS DE EDIFICIOS Y OTRAS CONSTRUCCIONES . CINE",""," 80.000,00 € ",,,,
"","","","","","",33401,"CINE",20300,"ARREND. MAQUINA. INSTALACIÓN Y UTILLAJES. CINE",""," 163.090,48 € ",,,,
"","","","","","",33401,"CINE",22400,"SEGUROS. CINE",""," 960,00 € ",,,,
"","","","","","",33401,"CINE",22601,"ATENCIONES PROTOCOLARIAS Y REPRES. CINE",""," 200.000,00 € ",,,,
