"Política de gastos","Den. Politica Gasto","Capítulo","Denominación","Euros "
430,"Administración General de comercio, turismo y pequeñas y medianas empresas",1,"SUBTOTAL CAPÍTULO I GASTOS DE PERSONAL",273379.34
430,"Administración General de comercio, turismo y pequeñas y medianas empresas",2,"SUBTOTAL CAPÍTULO II GASTOS CORRIENTES",193426.28
430,"Administración General de comercio, turismo y pequeñas y medianas empresas",3,"SUBTOTAL CAPÍTULO III GASTOS FINANCIEROS",1000.00
430,"Administración General de comercio, turismo y pequeñas y medianas empresas",4,"SUBTOTAL CAPÍTULO IV TRANSFERENCIAS CORRIENTES",0
430,"Administración General de comercio, turismo y pequeñas y medianas empresas",6,"SUBTOTAL CAPÍTULO VI TRANSFERENCIAS DE CAPITAL",322000.00
433,"Información y promoción turística",1,"SUBTOTAL CAPÍTULO I GASTOS DE PERSONAL",870848.53
434,"Información y promoción turística",2,"SUBTOTAL CAPÍTULO II GASTOS CORRIENTES",1061706.88
435,"Información y promoción turística",3,"SUBTOTAL CAPÍTULO III GASTOS FINANCIEROS",0
436,"Información y promoción turística",4,"SUBTOTAL CAPÍTULO IV TRANSFERENCIAS CORRIENTES",100517.36
437,"Información y promoción turística",6,"SUBTOTAL CAPÍTULO VI TRANSFERENCIAS DE CAPITAL",38000.00
