"Eco.","Descripción","Previsiones Iniciales","Drchos Reconocidos Totales","Derechos Reconocidos Netos","Derechos Recaudados","Recaudación Líquida"
34900,"OTROS PRECIOS PÚBLICOS",0.00,0.00,0.00,0.00,0.00
38900,"REINTEGROS DE PRESUPUESTOS CERRADOS",0.00,321.75,321.75,321.75,321.75
46200,"APORTACION AYUNTAMIENTO DE SEVILLA",2439378.40,1270250.13,1270250.13,1270250.13,1270250.13
46201,"APORTACION AYUNTAMIENTO DE SEVILLA. FUNCIONARIOS ADSCRITOS",0.00,0.00,0.00,0.00,0.00
47000,"APORTACIONES EMPRESAS PRIVADAS PATROCINIOS",60000.00,0.00,0.00,0.00,0.00
52000,"INTERESES DE DEPOSITOS DE ENTIDADES FINANCIERAS",1500.00,201.47,201.47,201.47,201.47
55000,"DE CONCESIONES ADTVAS. CON CONTRAPRESTACIÓN PERIÓDICA",0.00,0.00,0.00,0.00,0.00
76200,"APORTACION DE AYUNTAMIENTO DE SEVILLA",60000.00,0.01,0.01,0.01,0.01
76201,"PLAN TURISTICO DE SEVILLA",300000.00,1563039.19,1563039.19,1563039.19,1563039.19
87000,"Para gastos generales.",0.00,0.00,0.00,0.00,0.00
87010,"Para gastos con financiación afectada.",0.00,0.00,0.00,0.00,0.00
