"Clasificación_Económica","Descripción_Clasificación_Económica","Previsiones_Iniciales","Derechos_Reconocidos_Totales","Derechos_Reconocidos_Netos","Recaudación_Líquida"
10000,"IMPUESTO SOBRE LA RENTA PERSONAS FISICAS",13945450.11,13435506.05,13380422.75,5543044.20
11300,"IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA URBANA",188653542.81,94946347.00,94905899.21,2305246.46
11500,"IMP. S/VEHICULOS DE TRACCION MECANICA",35010938.92,32043858.41,31969618.38,6494866.03
11600,"IMPTO.S/INCREMENTO VALOR TERRENOS",31575304.42,18696928.43,18695287.82,14086299.49
13000,"IMPUESTO SOBRE ACTIVIDADES ECONOMICAS",43808849.55,18836161.76,18706695.76,8505149.34
21000,"IMPUESTO SOBRE EL VALOR AÑADIDO  (I.V.A.)",10223989.04,9647139.09,9528741.59,3901243.80
22000,"IMPUESTO SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS",143868.37,140971.58,140344.83,58111.40
22001,"IMPUESTO SOBRE LA CERVEZA",62242.49,53436.15,53378.55,22207.45
22003,"IMPUESTO SOBRE LAS LABORES DEL TABACO",853407.15,1158800.08,1158375.08,482408.35
22004,"IMPUESTO SOBRE HIDROCARBUROS",1932457.49,1692510.51,1690337.01,703039.20
22006,"IMPUESTO SOBRE PRODUCTOS INTERMEDIOS",3387.91,2807.07,2797.77,1160.30
29000,"IMPTO.S/CONSTRUC.,INSTALAC. Y OBRAS",6894893.06,3644823.95,3644695.01,3001212.98
30201,"RECOGIDA DE BASURA Y RESI.SÓLIDOS VIVIENDAS",18152308.80,8077616.01,8069286.84,3919332.14
30202,"RECOGIDA DE BASURA Y RESI.SÓLIDOS LOCALES COMERCIALES",21500000.38,8410820.36,8386007.48,2761170.89
30901,"SERVICIOS FUNERARIOS ( CEMENTERIO)",2037556.00,1129008.54,1128819.59,1112756.76
30902,"TASA POR AUTORIZACIONES Y SERVICIOS EN MERCADOS",887485.04,406418.54,406323.12,160261.18
31901,"CONTROL ESTABLECIMIENTOS CARNÍCOS Y OTROS SERV.LABORATORIO",79497.00,42780.86,42773.93,16296.94
32500,"TASA POR EXPEDICIÓN DE DOCUMENTOS",43868.00,17503.41,17503.41,17503.41
32601,"TASA POR RETIRADA DE VEHICULOS",2033216.00,762315.67,762315.67,762315.67
32902,"RETIRADA MERCANCÍA VÍA PÚBLICA Y VENTA AMBULANTE",1000.00,0.00,0.00,0.00
32903,"DERECHOS DE EXAMEN",1500.00,0.00,0.00,0.00
32904,"LICENCIA APERTURA ESTABLECIMIENTOS",0.00,4202.40,2796.45,2796.45
32905,"LICENCIA AUTOTAXIS Y VEHICUULOS ALQUILER",314714.46,31463.28,31383.28,31383.28
32906,"EXTINCIÓN DE INCENDIOS",4774.00,4540.95,4540.95,0.00
32907,"SERVICIOS ESPECIALES GRANDES  TRANSPORTES",51500.00,26940.00,26940.00,26940.00
32908,"TASA POR ORGANIZAC DE VISITAS Y OTROS  CASA CONSISTORIAL",500.00,0.00,0.00,0.00
33001,"RESERVA VIA PBCA. APARCAM. CARGA Y DESCARGA",1283606.72,595657.00,594745.48,379239.85
33100,"ENTRADA DE VEHICULOS",5048028.00,310665.80,308056.46,52517.44
33200,"TASA OCUPACIÓN SUBSUELO.SUMTRO.ELECTRICIDAD Y GAS",5618723.28,2895796.43,2895796.43,2075598.27
33801,"OCUPACIÓN SUBSUELO TELEFÓNICA ESPAÑA  S.A.",2370402.00,425692.14,425692.14,425692.14
33902,"TASA POR CASETAS,ATRACCIONES  Y OTROS FERIA DE ABRIL",4200760.56,1881617.75,1881510.78,1870873.80
33903,"RODAJE Y ARRASTRE VEHÍCULOS  TRACCIÓN ANIMAL FERIA DE ABRIL",157329.45,156380.70,156380.70,150566.85
33905,"TASA POR OCUPACIÓN COCHERAS MUNICIPALES",108810.80,52920.00,52909.20,38059.20
33906,"TASA POR OCUPACIÓN PUESTOS Y OTROS USOS EN MERCADOS",1000.00,0.00,0.00,0.00
33911,"TASA OCUPACIÓN EDIFICIOS DOMINIO PÚBLICO",45082.00,27216.00,27149.49,13955.49
34201,"PRECIOS PÚBLICOS TALLERES DE DISTRITOS",403699.00,32044.93,31728.96,31728.96
34400,"ESPACIOS MUSEÍSTICOS",1888.00,0.00,0.00,0.00
34900,"PRECIO PÚBLICO ANÁLISIS Y OTROS SERV. LAB. MPAL. A DOM. Y EN",10000.00,0.00,0.00,0.00
35100,"CONTRIBUCIÓN ESPECIAL SERVICIO PREVENCIÓN Y EXTINCIÓN DE INC",2177285.00,0.00,0.00,0.00
38901,"REINTEGRO DE PAGOS INDEBIDOS EJERCICIOS ANTERIORES",100333.32,58163.98,58163.98,58107.06
39120,"MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACION",25729910.40,11416885.33,11346412.99,3813619.86
39190,"OTRAS MULTAS Y SANCIONES",1679217.00,542588.49,504566.83,853.19
39210,"RECARGO EJECUTIVO",7122000.00,0.00,0.00,0.00
39211,"RECARGO DE APREMIO",0.00,2753994.57,2603788.21,2603788.21
39300,"INTERESES DE DEMORA",5445252.00,2139179.57,2032633.15,1755972.86
39900,"OTROS INGRESOS DIVERSOS IMPREVISTOS",2677322.00,124202.64,124134.64,115866.53
39901,"ANUNCIOS DE PARTICULARES",35924.59,15606.12,15606.12,15606.12
39902,"COSTAS",0.00,465758.83,462557.40,462557.40
41101,"REINTEGRO R. ALCAZAR, PERSONAL ADSCRITO",350000.00,241047.92,241047.92,241047.92
42010,"FONDO COMPLEMENTARIO DE FINANCIACIÓN",268827973.88,258399306.71,256741588.11,106008659.20
42090,"OTRAS TRANSF. CORRIENTES DE LA ADMON GENERAL DEL ESTADO",5394763.01,0.00,0.00,0.00
42100,"DEL SERVICIO PUBLICO DE ESPLEO ESTATAL",0.00,0.00,-2900.39,-2900.39
42190,"DE OTROS ORGANISMOS AUTÓNOMOS Y AGENCIAS ESTATALES",0.00,7245.43,7245.43,7245.43
44100,"TRANSFERENCIAS TUSSAM",0.00,60101.22,60101.22,60101.22
44101,"DE SOCIEDADES MERCANTILES - CONTURSA",0.00,15189.50,15189.50,15189.50
45000,"PARTICIPACIÓN EN TRIBUTOS DE LA COMUNIDAD AUTÓNOMA",25349378.29,25349378.29,25349378.29,6337344.57
45002,"TRANSF.CTES EN CUMPLIMIENTO DE CONV.SERV.SOC Y POLIT.IGUALDA",29448998.76,14570407.51,14567356.22,11795287.27
45030,"TRANSF. CTES. CONVENIOS CON LA C.A. EDUCACIÓN",280453.02,210339.75,210339.75,210339.75
45080,"OTRAS SUBVENCIONES CORRIENTES DE LA ADMIN.GRAL DE LA CCAA",740497.00,770497.00,693079.69,693079.69
45105,"SUBVENCION  SERV.ANDALUZ DE EMPLEO ALPÈS",0.00,0.00,0.00,0.00
45106,"SUBVENCION S.A.E PROGRAMA ORIENTA",0.00,523930.42,523930.42,523930.42
45110,"SUBV. SAE E.T. ALCOSA",0.00,0.00,0.00,0.00
45112,"SUBV. SAE ESCUELA TALLER MIRAFLORES",0.00,19636.34,19636.34,19636.34
45114,"SUBV SAE T. E. POLIGONO SUR  I",0.00,0.00,0.00,0.00
45117,"SUBV. SAE ESCUELA  TALLER  SUR",0.00,0.00,0.00,0.00
45119,"SUBV. SAE T. E.  POLGONO SUR II",0.00,0.00,0.00,0.00
45120,"SUBV. SAE ESCUELA TALLER EN TORREBLANCA",0.00,0.00,0.00,0.00
45122,"P. ACCIONES EXPERIMENTALES",0.00,0.00,0.00,0.00
45123,"P.EXPERIENCIAS PROFESIONALES PARA EL EMPLEO",0.00,0.00,0.00,0.00
45131,"SUVB. SAE TALLER DE EMPLEO TORREBLANCA",0.00,0.00,0.00,0.00
45132,"SUVB. SAE T. E. NORTE",0.00,0.00,0.00,0.00
45134,"SUBV. SAE T.E. AMATE",0.00,0.00,0.00,0.00
45136,"SUBV. SAE ESCUELA TALLER AMATE",0.00,0.00,0.00,0.00
45137,"SUBVENCION SAE E. TALLER S. PABLO",0.00,24886.23,24886.23,24886.23
45139,"SUBV. SAE DINAMIZACIÓN PRELABORAL POLÍGONO SUR",340528.64,0.00,0.00,0.00
45142,"DEL S.A.E. PROGRAMA  EMPLEA JOVEN",5934097.20,8763000.00,8763000.00,8763000.00
45143,"DEL INST.ANDALUZ DE ADM.PUBLICA. PLAN DE FORMACIÓN",0.00,10345.20,10345.20,10345.20
45144,"SUBV.S.A.E. PROGRAMA EMPLE@+30",4065902.80,6004200.00,6004200.00,6004200.00
45303,"APORTACION EPSA CONVENIO VACIE",0.00,0.00,0.00,0.00
46101,"SUBV. DIPUTACIÓN PROV. P.FOMENTO EMPLEO AGRARIO( PFOEA)",0.00,48077.28,48077.28,48077.28
49000,"SUBVENCION PROYECTO REDES",0.00,0.00,0.00,0.00
49101,"SUBVENCIÓN DUSI",3098374.06,0.00,0.00,0.00
51191,"INTERESES PRÉSTAMO A GMU PPP",247811.40,72113.12,72113.12,72113.12
51195,"INTERESES PRÉSTAMO A IMD PPP",1389.79,599.41,599.41,599.41
51492,"INTERESES PRÉSTAMO A TUSSAM PPP",99600.99,28983.89,28983.89,28983.89
51494,"INTERESES PRÉSTAMO A ICAS PPP",3635.93,1058.06,1058.06,1058.06
51496,"INTERESES PRÉSTAMO A EMVISESA PPP",2176.70,633.42,633.42,633.42
52000,"INTERESES DE DEPOSITOS EN BANCOS",50000.00,4131.30,4131.30,4131.30
54100,"ARRENDAMIENTO DE FINCAS URBANAS",984327.00,806583.69,806583.69,721568.13
