"Org.","Fun.","Eco.","Descripción","Créditos Iniciales","Créditos Totales consignados","Gastos Autorizados","Disposiciones ó Compromisos","Obligaciones Reconocidas","Pagos Realizados"
70000,11,31000,"DEVOLUCION INTERESES PAGO PROVEEDORES AL AYUNTAMIENTO SEVILL",1641.45,1641.45,599.63,599.63,599.63,599.63
70000,11,91100,"Amortización préstamos a largo plazo de entes del sector púb",15007.86,15007.86,7503.94,7503.94,7503.94,7503.94
70000,340,15100,"Gratificaciones",105040.00,105040.00,37610.85,37610.85,31640.15,31640.15
70000,340,16204,"Acción social",125000.00,125000.00,36771.62,36771.62,29425.26,28676.68
70000,340,13002,"Otras remuneraciones laboral fijo",3721126.08,3761383.50,2006929.10,2006929.10,2006929.10,1687827.25
70000,340,13100,"Retribuciones personal laboral eventual",284942.45,284942.45,254455.18,254455.18,157793.44,157793.44
70000,340,13000,"Retribuciones básicas laboral fijo",4266621.09,4266621.09,2589471.52,2589471.52,2589471.52,2390867.46
70000,340,16200,"Formación y Perfeccionamiento del Personal",35508.71,35508.71,3450.00,3450.00,1650.00,0.00
70000,340,15000,"Productividad",325219.00,325219.00,233841.04,233841.04,168972.23,168972.23
70000,340,10100,"Retribuciones básicas y otras remuneraciones",63961.93,63961.93,39112.84,39112.84,39112.84,34544.15
70000,340,16000,"Cuotas Sociales de la Seguridad Social",2882150.04,2882150.04,1062556.70,1062556.70,1062556.70,1062556.70
70000,340,22200,"Telefónicas",136216.36,136216.36,134314.04,134314.04,14926.79,14926.79
70000,340,22708,"Servicios de recaudación",500.00,500.00,10.33,10.33,10.33,10.33
70000,340,22502,"Tributos Locales",14325.00,14325.00,4806.85,4806.85,4806.85,4676.94
70000,340,21400,"Mantenimiento de elementos de transporte",30000.00,30000.00,30000.00,30000.00,0.00,0.00
70000,340,20200,"Edificios y otras construcciones",45000.00,45000.00,16373.75,16373.75,16373.75,16253.35
70000,340,22400,"Primas de Seguros",362578.02,362578.02,363983.46,363983.46,225544.39,198335.21
70000,340,22601,"Atenciones  protocolarias y representativas",8000.00,8000.00,0.00,0.00,0.00,0.00
70000,340,23020,"Dietas de personal",20000.00,20000.00,1818.34,1818.34,1818.34,1785.28
70000,340,20900,"Cánones",615.00,615.00,0.00,0.00,0.00,0.00
70000,340,22002,"Material informático no inventariable",49580.00,49580.00,26745.38,26745.38,18745.38,18745.38
70000,340,22001,"Prensa, revistas, libros y otras publicaciones",3500.00,3500.00,1550.00,1550.00,1550.00,1550.00
70000,340,23120,"Gastos de locomoción",6500.00,6500.00,3793.41,3793.41,1932.92,1342.66
70000,340,22000,"Ordinario, no inventariable",6000.00,6000.00,6000.00,6000.00,407.29,407.29
70000,340,21600,"Equipamiento para procesos de información",52600.00,52600.00,42526.35,42526.35,20432.18,17114.80
70000,340,22201,"Postales",4500.00,4500.00,4802.28,4802.28,2436.93,2268.76
70000,340,23320,"Indemnizaciones extraordinarias personal laboral",1500.00,1500.00,0.00,0.00,0.00,0.00
70000,340,35200,"Intereses de Demora",75000.00,75000.00,8271.24,8271.24,8271.24,8271.24
70000,340,62900,"Otras inversiones nuevas",176487.83,176487.83,169688.46,105688.46,105688.46,105688.46
70000,340,62600,"Equipos para proceso de información",52012.04,52012.04,5012.04,5012.04,0.00,0.00
70000,340,62500,"Mobiliario",55000.00,55000.00,44985.86,44985.86,19985.86,19985.86
