"Clasificación_Económica","Descripción_Clasificación_Económica","Previsiones_Iniciales","Derechos_Reconocidos_Totales","Derechos_Reconocidos_Netos","Recaudación_Líquida"
33000,"TASA DE ESTACIONAMIENTO DE VEHICULOS",5000.00,0.00,0.00,0.00
39900,"Otros ingresos diversos.",0.00,1396.72,1396.72,1396.72
46100,"DE DIPUTACIÓN PROVINCIAL DE SEVILLA",22598.00,22598.00,22598.00,22598.00
46200,"DEL AYUNTAMIENTO DE SEVILLA",171748.00,0.00,0.00,0.00
46201,"DEL AYUNTAMIENTO DE DOS HERMANAS",22598.00,22598.00,22598.00,22598.00
46202,"DEL AYUNTAMIENTO DE LOS PALACIOS Y VILLAFRANCA",9039.00,0.00,0.00,0.00
52000,"INTERESES EN CUENTAS BANCARIAS",2.00,0.00,0.00,0.00
76100,"DIPUTACION PROVINCIAL DE SEVILLA",2000.00,2000.00,2000.00,2000.00
76200,"DEL AYUNTAMIENTO DE SEVILLA",15200.00,0.00,0.00,0.00
76201,"DEL AYUNTAMIENTO DE DOS HERMANAS",2000.00,2000.00,2000.00,2000.00
76202,"DEL AYUNTAMIENTO DE LOS PALACIOS Y VILLAFRANCA",800.00,0.00,0.00,0.00
