"Programa","Económica","Descripción","Créditos Iniciales"
932,10100,"RETRIBUCIONES BÁSICAS",60430.00
932,10101,"OTRAS REMUNERACIONES PERSONAL DIRECTIVO",6528.48
932,12000,"SUELDO GRUPO A1",451421.00
932,12001,"SUELDO GRUPO A2",23246.00
932,12003,"SUELDO GRUPO C1",305437.00
932,12004,"SUELDO GRUPO C2",588304.00
932,12006,"TRIENIOS",301683.00
932,12009,"OTRAS RET. BÁSICAS",890718.80
932,12100,"COMPLEMENTO DE DESTINO",816127.00
932,12101,"COMPLEMENTO ESPECIFICO",2252655.00
932,12103,"OTROS COMPLEMENTOS",1443.00
932,13000,"RETRIBUCIONES BASICAS LABORALES",1342598.46
932,13002,"OTRAS REMUNERACIONES",1694996.00
932,15000,"PRODUCTIVIDAD",2292728.00
932,16000,"SEGURIDAD SOCIAL",2701122.00
932,16008,"ASISTENCIA MÉDICO FARMACÉUTICA",105000.00
932,16105,"PENSIONES A CARGO DE LA ENTIDAD LOCAL",3000.00
932,16200,"FORMACION Y PERFECCIONAMIENTO PERSONAL",15000.00
932,16204,"ACCION SOCIAL",123461.30
932,20200,"ARRENDAMIENTOS EDIFICIOS Y OTRAS CONSTRUCCIONES",110000.00
932,20600,"ARRENDAMIENTOS EQUIPOS PROCESO DE INFORMACIÓN",142961.50
932,21200,"EDIFICIOS Y OTRAS CONSTRUCCIONES",70000.00
932,22000,"MATERIAL DE OFICINA",35000.00
932,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBL.",2500.00
932,22002,"MATERIAL INFORMATICO NO INVENTARIABLE",3000.00
932,22100,"ENERGÍA ELÉCTRICA",30000.00
932,22101,"AGUA",3000.00
932,22200,"SERVICIOS DE TELECOMUNICACIONES",53542.89
932,22201,"POSTALES",162838.75
932,22299,"OTROS GASTOS EN COMUNICACIONES",11000.00
932,22400,"PRIMAS DE SEGUROS",300.00
932,22502,"TRIBUTOS DE LAS ENTIDADES LOCALES",600.00
932,22601,"ATENCIONES PROTOCOLARIAS Y REPRESENTACIONES",1500.00
932,22602,"PUBLICIDAD Y PROPAGANDA",2500.00
932,22603,"PUBLICACIÓN EN DIARIOS OFICIALES",2500.00
932,22604,"JURÍDICOS, CONTENCIOSOS",25000.00
932,22606,"REUNIONES, CONFERENCIAS Y CURSOS",1500.00
932,22699,"OTROS GASTOS DIVERSOS",12700.00
932,22700,"LIMPIEZA Y ASEO",105000.00
932,22701,"SEGURIDAD",147000.00
932,22706,"ESTUDIOS Y TRABAJOS TÉCNICOS",345378.25
932,22708,"SERVICIO RECAUDACIÓN A FAVOR DE LA ENTIDAD",2750000.00
932,22799,"OTROS TRABAJOS REALIZADOS POR EMPRESAS Y PROFESIONALES",1435808.16
932,23010,"DEL PERSONAL DIRECTIVO",1275.00
932,23020,"DEL PERSONAL NO DIRECTIVO",5000.00
932,23110,"GASTOS DE LOCOMOCION PERSONAL DIRECTIVO",1000.00
932,23120,"GASTOS DE LOCOMOCION PERSONAL NO DIRECTIVO",1500.00
932,46100,"A DIPUTACIONES, CONSEJOS O CABILDOS INSULARES",105696.41
932,62300,"MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",0.00
932,62500,"MOBILIARIO",10000.00
932,62600,"EQUIPOS PARA PROCESOS DE INFORMACIÓN",3000.00
932,63200,"EDIFICIOS Y OTRAS CONSTRUCCIONES",0.00
932,64100,"GASTOS EN APLICACIONES INFORMÁTICAS",5000.00
932,83000,"REINTEGROS DE ANTICIPOS DE PERSONAL",70000.00
