"Clasificación_Económica","Descripción_Clasificación_Económica","Previsiones_Iniciales","Derechos_Reconocidos_Totales","Derechos_Reconocidos_Netos","Recaudación_Líquida"
32900,"FOTOCOPIAS Y REPRODUCCIONES FOTOGRÁFICAS",15000.00,15000.00,0.00,0.00
32901,"TASAS ESPACIOS MUSEÍSTICOS, VISITAS EXP. Y ESP. CULTURALES",125000.00,125000.00,12900.00,12900.00
34400,"BIENAL, LOPE DE VEGA, ALAMEDA Y OTRAS ACTIV. CULTURALES",850000.00,850000.00,8582.40,0.00
36000,"REVISTAS Y PUBLICACIONES",35000.00,35000.00,0.00,0.00
39903,"CONVENIOS DE PATROCINIO",230000.00,230000.00,47550.00,27550.00
40000,"AYUNTAMIENTO PARA ATENCIONES CORRIENTES",7965750.00,7965750.00,3478946.36,3478946.36
41000,"TRANSFERENCIAS ENTRE ORGANISMOS AUTÓNOMOS",1000000.00,1000000.00,452890.50,452890.50
42190,"INAEM",90000.00,90000.00,0.00,0.00
49700,"UNIÓN EUROPEA",86000.00,86000.00,0.00,0.00
52000,"INTERESES DE DEPOSITOS",5000.00,5000.00,0.00,0.00
70000,"TRANSFERENCIAS DE CAPITAL DEL AYUNTAMIENTO",304250.00,304250.00,0.00,0.00
,"",,,,
