"Código_del_Área","Denominación_del_Área","Código_de_la_Dirección_General","Denominación_de_la_Dirección_General","Clasificación_Orgánica","Denominación_de_la_Clasificación_Orgnánica","Programa_de_Gasto","Denominación_del_Programa_de_Gasto","Clasificación_Económica","Descripción_de_la_Claasificación_Económica","Créditos_Iniciales","Créditos_Totales_Consignados","Gastos_Autorizados","Disposiciones_ó_Compromisos","Obligaciones_Reconocidas","Pagos_Realizados"
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31000,"INTERESES OPERACIONES DE TESORERÍA",126229.17,126229.17,0.00,0.00,0.00,0.00
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31002,"INTERESES PRÉSTAMO DEXIA SABADELL (INV. 2009)",34759.33,34759.33,11534.56,11534.56,11534.56,11534.56
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31003,"INTERESES PRÉSTAMO BBVA (INV. 2009)",34759.33,34759.33,11656.20,11656.20,11656.20,11656.20
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31004,"INTERESES  PRÉSTAMO BANESTO (INV. 2009)",64987.50,64987.50,21259.69,21259.69,21259.69,21259.69
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31006,"INTERESES BBVA-DEXIA SABADEL Y BCL (REFINANCIACIÓN 2008)",11279858.44,11279858.44,5745348.46,5745348.46,5745348.46,5745348.46
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31007,"INTERESES PRÉSTAMO BBVA (INV. 2010)",98483.96,98483.96,37866.80,37866.80,37866.80,37866.80
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31009,"INTERÉSES PRÉSTAMO B. SANTANDER (INV. 2010)",171958.17,171958.17,64366.50,64366.50,64366.50,64366.50
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31030,"INTERESES PRÉSTAMO SANTANDER (PLAN PAGO PROVEEDORES)",114592.60,114592.60,31839.15,31839.15,31839.15,31839.15
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31031,"INTERESES PRÉSTAMO BBVA (PLAN PAGO PROVEEDORES)",291376.30,291376.30,85809.77,85809.77,85809.77,85809.77
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31032,"INTERESES PRÉSTAMO CAJA RURAL (PLAN PAGO PROVEEDORES)",235239.58,235239.58,68860.94,68860.94,68860.94,68860.94
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31033,"INTERESES PRÉSTAMO CAIXABANK (PLAN PAGO PROVEEDORES)",15611.34,15611.34,4624.72,4624.72,4624.72,4624.72
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31079,"INTERESES B.S.C.H. (INV. 2002)",743.74,743.74,0.00,0.00,0.00,0.00
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31084,"INTERESES PRÉSTAMO UNICAJA (INV. 2003)",203421.09,203421.09,109537.86,109537.86,109537.86,109537.86
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31085,"INTERESES PRÉSTAMO CAJA MADRID (INV. 2003)",17806.34,17806.34,0.00,0.00,0.00,0.00
