"Programa_de_Gasto","Denominación_del_Programa_de_Gasto","Clasificación_Económica","Descripción_de_la_Claasificación_Económica","Créditos_Iniciales","Créditos_Totales_Consignados","Gastos_Autorizados","Disposiciones_ó_Compromisos","Obligaciones_Reconocidas","Pagos_Realizados"
932,"Gestión del Sistema Tributario",10100,"RETRIBUCIONES BÁSICAS",60749.00,60749.00,30374.20,30374.20,30374.20,30374.20
933,"Gestión del Sistema Tributario",10101,"OTRAS REMUNERACIONES PERSONAL DIRECTIVO",3102.00,3102.00,1550.88,1550.88,1550.88,1550.88
934,"Gestión del Sistema Tributario",12000,"SUELDO GRUPO A1",451421.00,451421.00,203161.96,203161.96,203161.96,203161.96
935,"Gestión del Sistema Tributario",12001,"SUELDO GRUPO A2",23246.00,23246.00,5811.42,5811.42,5811.42,5811.42
936,"Gestión del Sistema Tributario",12003,"SUELDO GRUPO C1",305437.00,305437.00,124392.32,124392.32,124392.32,124392.32
937,"Gestión del Sistema Tributario",12004,"SUELDO GRUPO C2",588304.00,588304.00,283546.66,283546.66,283546.66,283546.66
938,"Gestión del Sistema Tributario",12006,"TRIENIOS",312638.00,312638.00,151881.70,151881.70,151881.70,151881.70
939,"Gestión del Sistema Tributario",12009,"OTRAS RET. BÁSICAS",744329.00,744329.00,345005.30,345005.30,345005.30,345005.30
940,"Gestión del Sistema Tributario",12100,"COMPLEMENTO DE DESTINO",816127.00,816127.00,370646.50,370646.50,370646.50,370646.50
941,"Gestión del Sistema Tributario",12101,"COMPLEMENTO ESPECIFICO",2252655.00,2252655.00,1026929.95,1026929.95,1026929.95,1026929.95
942,"Gestión del Sistema Tributario",12103,"OTROS COMPLEMENTOS",1443.00,1443.00,754.02,754.02,754.02,754.02
943,"Gestión del Sistema Tributario",13000,"RETRIBUCIONES BASICAS LABORALES",1266595.00,1266595.00,539403.75,539403.75,539403.75,539403.75
944,"Gestión del Sistema Tributario",13002,"OTRAS REMUNERACIONES",1694996.00,1694996.00,698728.21,698728.21,698728.21,698728.21
945,"Gestión del Sistema Tributario",15000,"PRODUCTIVIDAD",2134082.00,2134082.00,2026798.06,2026798.06,1169458.07,1169458.07
946,"Gestión del Sistema Tributario",16000,"SEGURIDAD SOCIAL",2701123.00,2701123.00,1179534.73,1179534.73,1179534.73,1179534.73
947,"Gestión del Sistema Tributario",16008,"ASISTENCIA MÉDICO FARMACÉUTICA",89092.00,89092.00,89091.78,89091.78,27407.42,27407.42
948,"Gestión del Sistema Tributario",16105,"PENSIONES A CARGO DE LA ENTIDAD LOCAL",3000.00,3000.00,1398.04,1398.04,1398.04,1398.04
949,"Gestión del Sistema Tributario",16200,"FORMACION Y PERFECCIONAMIENTO PERSONAL",15000.00,15000.00,0.00,0.00,0.00,0.00
950,"Gestión del Sistema Tributario",16204,"ACCION SOCIAL",100000.00,100000.00,50240.21,50240.21,48167.07,48167.07
951,"Gestión del Sistema Tributario",20200,"ARRENDAMIENTOS EDIFICIOS Y OTRAS CONSTRUCCIONES",110000.00,110000.00,90598.76,88843.12,45911.90,42826.40
952,"Gestión del Sistema Tributario",20600,"ARRENDAMIENTOS EQUIPOS PROCESO DE INFORMACIÓN",123000.00,123000.00,122813.16,122813.16,45131.16,45131.16
953,"Gestión del Sistema Tributario",21200,"EDIFICIOS Y OTRAS CONSTRUCCIONES",70000.00,70000.00,64260.05,64260.05,22303.78,22303.78
954,"Gestión del Sistema Tributario",22000,"MATERIAL DE OFICINA",35000.00,35000.00,33879.97,33879.97,5878.53,5878.53
955,"Gestión del Sistema Tributario",22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBL.",2500.00,2500.00,380.00,380.00,380.00,380.00
956,"Gestión del Sistema Tributario",22002,"MATERIAL INFORMATICO NO INVENTARIABLE",3000.00,3000.00,0.00,0.00,0.00,0.00
957,"Gestión del Sistema Tributario",22100,"ENERGÍA ELÉCTRICA",33000.00,33000.00,26620.00,26620.00,4642.28,4642.28
958,"Gestión del Sistema Tributario",22101,"AGUA",3000.00,3000.00,1953.16,1953.16,760.26,629.58
959,"Gestión del Sistema Tributario",22200,"SERVICIOS DE TELECOMUNICACIONES",55000.00,55000.00,47899.06,47899.06,17276.34,17276.34
960,"Gestión del Sistema Tributario",22201,"POSTALES",110000.00,110000.00,68877.59,68877.59,50576.98,49672.04
961,"Gestión del Sistema Tributario",22299,"OTROS GASTOS EN COMUNICACIONES",23500.00,23500.00,21234.70,21234.70,3496.82,2764.18
