"PROGRAMA","ECONÓMICA","DESCRIPCIÓN","2016"
221,83000,"Anticipos reintegrables",60000.00
330,10100,"Retribuciones altos cargos",60429.60
330,11000,"Retribuciones P. Eventual",0.00
330,13000,"Retribuciones básicas personal laboral",710000.00
330,13001,"Horas extras",50000.00
330,13002,"Otras retribuciones complementarias",662000.00
330,13100,"Retribuciones personal laboral temporal",84433.81
330,15000,"Productividad",131000.00
330,16000,"Seguridad social",543794.93
330,16103,"Prestaciones sociales",5000.00
330,16200,"Formación y perfeccionamiento del personal",8000.00
330,16204,"Acción social",35484.37
330,21600,"Equipamiento procesos informáticos",8000.00
330,22000,"Material oficina",6000.00
330,22001,"Material oficina anuncios boletín",2000.00
330,22104,"Vestuario",14000.00
330,22200,"Servicios de comunicaciones",20000.00
330,22400,"Primas de Seguros",9000.00
334,13002,"Otras retribuciones complementarias (RPT)",100000.00
334,22601,"Atenciones protocolarias",11500.00
334,22602,"Publicidad y propaganda",28000.00
334,22606,"Reuniones y conferencias",3000.00
334,22609,"Actividades culturales",440000.00
334,22699,"Gastos diversos",45000.00
334,22706,"Estudios y trabajos técnicos",300000.00
334,41000,"Convenio de colaboración con ICAS",1000000.00
334,42000,"A la Administración del Estado. Convenio con Patrimonio",52000.00
334,46200,"Aportación al Ayuntamiento. Funcionarios",330000.00
334,48100,"Premios, Becas, Est. E Investg.",10000.00
334,64000,"Inversiones inmateriales",1000.00
336,21000,"Infraestructura y bienes naturales",200000.00
336,21200,"Edif. Y otras construcciones",178000.00
336,21300,"Maquinaria, instalaciones",150000.00
336,22100,"Energía eléctrica",110000.00
336,22103,"Combustibles y carburantes",3000.00
336,22700,"Limpieza y aseo",260150.00
336,22701,"Seguridad",945000.00
336,22799,"Otros trabajos realizados por empresas",7000.00
336,62200,"Edificios y otras construcciones",685000.00
336,62300,"Maquinaria, instalaciones y utillajes",60000.00
336,62500,"Mobiliario y enseres",50000.00
336,62600,"Equipos informáticos",15000.00
336,62700,"Proyectos complejos",800000.00
336,62900,"Otras inversiones nuevas asociadas al funcionamiento operativo",88000.00
934,35900,"Otros gastos financieros",0.00
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
,,"",
