"Fun.","Eco.","Descripción","Créditos Iniciales","Créditos Totales consignados","Gastos Autorizados","Disposiciones ó Compromisos","Obligaciones Reconocidas","Pagos Realizados"
932,16204,"ACCION SOCIAL",123461.30,123461.30,73142.30,57705.62,56275.81,38536.08
932,16200,"FORMACION Y PERFECCIONAMIENTO PERSONAL",15000.00,15000.00,6442.50,6442.50,6442.50,6442.50
932,13002,"OTRAS REMUNERACIONES",1694996.00,1712276.68,843995.67,843995.67,843995.67,726403.25
932,13000,"RETRIBUCIONES BASICAS LABORALES",1342598.46,1355433.16,691595.19,691595.19,691595.19,629061.06
932,12103,"OTROS COMPLEMENTOS",1443.00,1457.79,843.26,843.26,843.26,721.86
932,12101,"COMPLEMENTO ESPECIFICO",2252655.00,2275010.92,1191489.11,1191489.11,1191489.11,1019195.65
932,12100,"COMPLEMENTO DE DESTINO",816127.00,824236.17,430834.27,430834.27,430834.27,368697.37
932,12009,"OTRAS RET. BÁSICAS",890718.80,898237.33,491498.21,491498.21,491498.21,490851.44
932,12006,"TRIENIOS",301683.00,304656.72,173193.51,173193.51,173193.51,148315.84
932,12004,"SUELDO GRUPO C2",588304.00,594128.71,335118.35,335118.35,335118.35,287073.72
932,12003,"SUELDO GRUPO C1",305437.00,308633.89,144511.84,144511.84,144511.84,124803.55
932,12001,"SUELDO GRUPO A2",23246.00,23476.16,6779.99,6779.99,6779.99,5811.42
932,12000,"SUELDO GRUPO A1",451421.00,455812.84,233844.16,233844.16,233844.16,199363.93
932,10101,"OTRAS REMUNERACIONES PERSONAL DIRECTIVO",6528.48,7067.20,3056.88,3056.88,3056.88,1550.88
932,10100,"RETRIBUCIONES BÁSICAS",60430.00,60959.60,37798.08,37798.08,37798.08,33481.68
932,15000,"PRODUCTIVIDAD",2292728.00,2313609.26,2138551.53,2138551.53,1436728.74,1232333.74
932,16000,"SEGURIDAD SOCIAL",2701122.00,2716602.00,1393417.36,1393417.36,1393417.36,1375664.41
932,16008,"ASISTENCIA MÉDICO FARMACÉUTICA",105000.00,105000.00,89091.78,89091.78,47888.91,41014.62
932,16105,"PENSIONES A CARGO DE LA ENTIDAD LOCAL",3000.00,3000.00,1597.76,1597.76,1597.76,1398.04
932,23120,"GASTOS DE LOCOMOCION PERSONAL NO DIRECTIVO",1500.00,1500.00,0,0,0,0
932,23110,"GASTOS DE LOCOMOCION PERSONAL DIRECTIVO",1000.00,1000.00,0,0,0,0
932,23020,"DEL PERSONAL NO DIRECTIVO",5000.00,5000.00,0,0,0,0
932,23010,"DEL PERSONAL DIRECTIVO",1275.00,1275.00,0,0,0,0
932,22799,"OTROS TRABAJOS REALIZADOS POR EMPRESAS Y PROFESIONALES",1435808.16,1435808.16,966305.88,966305.88,454972.31,348291.89
932,22708,"SERVICIO RECAUDACIÓN A FAVOR DE LA ENTIDAD",2750000.00,2627839.31,2759056.02,2759056.02,335783.94,335783.94
932,22706,"ESTUDIOS Y TRABAJOS TÉCNICOS",345378.25,345378.25,391228.32,365585.92,118667.14,79308.48
932,22701,"SEGURIDAD",147000.00,147000.00,118945.58,118945.58,80348.73,44956.83
932,22700,"LIMPIEZA Y ASEO",105000.00,105000.00,102245.00,102245.00,47190.00,39325.00
932,22699,"OTROS GASTOS DIVERSOS",12700.00,12700.00,7001.65,7001.65,2106.65,1875.65
932,22606,"REUNIONES, CONFERENCIAS Y CURSOS",1500.00,1500.00,0,0,0,0
932,22604,"JURÍDICOS, CONTENCIOSOS",25000.00,25000.00,35490.34,35490.34,35490.34,33158.12
932,22603,"PUBLICACIÓN EN DIARIOS OFICIALES",2500.00,2500.00,0,0,0,0
932,22602,"PUBLICIDAD Y PROPAGANDA",2500.00,2500.00,273.46,273.46,273.46,273.46
932,22601,"ATENCIONES PROTOCOLARIAS Y REPRESENTACIONES",1500.00,1500.00,0,0,0,0
932,22502,"TRIBUTOS DE LAS ENTIDADES LOCALES",600,600,0,0,0,0
932,22400,"PRIMAS DE SEGUROS",300,300,0,0,0,0
932,22299,"OTROS GASTOS EN COMUNICACIONES",11000.00,11000.00,14417.87,14417.87,734.45,0
932,22201,"POSTALES",162838.75,162838.75,102402.90,102402.90,24384.78,24384.78
932,22200,"SERVICIOS DE TELECOMUNICACIONES",53542.89,53542.89,53542.89,53542.89,26808.42,18995.00
932,22101,"AGUA",3000.00,3000.00,4402.28,1855.96,449.92,449.92
932,22100,"ENERGÍA ELÉCTRICA",30000.00,30000.00,27991.46,27991.46,5123.71,4274.26
932,22002,"MATERIAL INFORMATICO NO INVENTARIABLE",3000.00,3000.00,0,0,0,0
932,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBL.",2500.00,2500.00,1197.89,1197.89,1197.89,817.89
932,22000,"MATERIAL DE OFICINA",35000.00,35000.00,28996.70,28996.70,8599.49,4769.17
932,21200,"EDIFICIOS Y OTRAS CONSTRUCCIONES",70000.00,70000.00,69187.40,69187.40,17448.46,16762.82
932,20600,"ARRENDAMIENTOS EQUIPOS PROCESO DE INFORMACIÓN",142961.50,142961.50,122813.15,122813.15,65389.12,45131.16
932,20200,"ARRENDAMIENTOS EDIFICIOS Y OTRAS CONSTRUCCIONES",110000.00,110000.00,92814.65,92106.43,53562.85,42835.07
932,46100,"A DIPUTACIONES, CONSEJOS O CABILDOS INSULARES",105696.41,105696.41,39852.72,39852.72,39852.72,39852.72
932,64100,"GASTOS EN APLICACIONES INFORMÁTICAS",5000.00,5000.00,0,0,0,0
932,63200,"EDIFICIOS Y OTRAS CONSTRUCCIONES",0,0,0,0,0,0
932,62600,"EQUIPOS PARA PROCESOS DE INFORMACIÓN",3000.00,3000.00,3318.45,3318.45,464.88,0
932,62500,"MOBILIARIO",10000.00,10000.00,0,0,0,0
932,62300,"MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",0,0,0,0,0,0
932,83000,"REINTEGROS DE ANTICIPOS DE PERSONAL",70000.00,70000.00,45000.00,45000.00,45000.00,23000.00
