"Código_del_Área","Denominación_del_Área","Código_de_la_Dirección_General","Denominación_de_la_Dirección_General","Clasificación_Orgánica","Denominación_de_la_Clasificación_Orgnánica","Programa_de_Gasto","Denominación_del_Programa_de_Gasto","Clasificación_Económica","Descripción_de_la_Claasificación_Económica","Créditos_Iniciales","Créditos_Totales_Consignados","Gastos_Autorizados","Disposiciones_ó_Compromisos","Obligaciones_Reconocidas","Pagos_Realizados"
2,"Organismos Públicos",1,"Gerencia de Urbanismo",10200,"Gerencia de Urbanismo",1500,"Administración General de Vivienda y Urbanismo",10100,"RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO",51796.80,51796.80,25898.40,25898.40,25898.40,25898.40
2,"Organismos Públicos",2,"Gerencia de Urbanismo",10201,"Gerencia de Urbanismo",1500,"Administración General de Vivienda y Urbanismo",10101,"OTRAS RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO",8632.80,8632.80,4316.40,4316.40,4316.40,4316.40
2,"Organismos Públicos",3,"Gerencia de Urbanismo",10202,"Gerencia de Urbanismo",1500,"Administración General de Vivienda y Urbanismo",12000,"SUELDOS DEL GRUPO A1",40325.40,40325.40,20162.70,20162.70,20162.70,20162.70
2,"Organismos Públicos",4,"Gerencia de Urbanismo",10203,"Gerencia de Urbanismo",1510,"Urbanismo",12000,"SUELDOS DEL GRUPO A1",53767.20,53767.20,26883.60,26883.60,26883.60,26883.60
2,"Organismos Públicos",5,"Gerencia de Urbanismo",10204,"Gerencia de Urbanismo",1522,"Conservación y Rehabilitación de la Edificación",12000,"SUELDOS DEL GRUPO A1",40325.40,40325.40,13441.80,13441.80,13441.80,13441.80
2,"Organismos Públicos",6,"Gerencia de Urbanismo",10205,"Gerencia de Urbanismo",1532,"Pavimentación de la Vía Pública",12000,"SUELDOS DEL GRUPO A1",26883.60,26883.60,13441.80,13441.80,13441.80,13441.80
2,"Organismos Públicos",7,"Gerencia de Urbanismo",10206,"Gerencia de Urbanismo",1510,"Urbanismo",12001,"SUELDOS DEL GRUPO A2",23245.68,23245.68,3325.42,3325.42,3325.42,3325.42
2,"Organismos Públicos",8,"Gerencia de Urbanismo",10207,"Gerencia de Urbanismo",1532,"Pavimentación de la Vía Pública",12001,"SUELDOS DEL GRUPO A2",23245.68,23245.68,10912.55,10912.55,10912.55,10912.55
2,"Organismos Públicos",9,"Gerencia de Urbanismo",10208,"Gerencia de Urbanismo",1650,"Alumbrado Público",12001,"SUELDOS DEL GRUPO A2",11622.84,11622.84,5811.42,5811.42,5811.42,5811.42
2,"Organismos Públicos",10,"Gerencia de Urbanismo",10209,"Gerencia de Urbanismo",1500,"Administración General de Vivienda y Urbanismo",12003,"SUELDOS DEL GRUPO C1",34907.04,34907.04,16362.12,16362.12,16362.12,16362.12
2,"Organismos Públicos",11,"Gerencia de Urbanismo",10210,"Gerencia de Urbanismo",1510,"Urbanismo",12003,"SUELDOS DEL GRUPO C1",17453.52,17453.52,15297.30,15297.30,15297.30,15297.30
2,"Organismos Públicos",12,"Gerencia de Urbanismo",10211,"Gerencia de Urbanismo",1510,"Urbanismo",12004,"SUELDOS DEL GRUPO C2",29052.00,29052.00,16664.55,16664.55,16664.55,16664.55
2,"Organismos Públicos",13,"Gerencia de Urbanismo",10212,"Gerencia de Urbanismo",1522,"Conservación y Rehabilitación de la Edificación",12004,"SUELDOS DEL GRUPO C2",29052.00,29052.00,10894.50,10894.50,10894.50,10894.50
2,"Organismos Públicos",14,"Gerencia de Urbanismo",10213,"Gerencia de Urbanismo",1500,"Administración General de Vivienda y Urbanismo",12006,"TRIENIOS",75837.24,75837.24,30514.33,30514.33,30514.33,30514.33
2,"Organismos Públicos",15,"Gerencia de Urbanismo",10214,"Gerencia de Urbanismo",1510,"Urbanismo",12006,"TRIENIOS",112246.91,112246.91,50919.20,50919.20,50919.20,50919.20
2,"Organismos Públicos",16,"Gerencia de Urbanismo",10215,"Gerencia de Urbanismo",1522,"Conservación y Rehabilitación de la Edificación",12006,"TRIENIOS",63630.40,63630.40,22435.86,22435.86,22435.86,22435.86
2,"Organismos Públicos",17,"Gerencia de Urbanismo",10216,"Gerencia de Urbanismo",1532,"Pavimentación de la Vía Pública",12006,"TRIENIOS",46955.04,46955.04,22816.10,22816.10,22816.10,22816.10
2,"Organismos Públicos",18,"Gerencia de Urbanismo",10217,"Gerencia de Urbanismo",1650,"Alumbrado Público",12006,"TRIENIOS",10101.72,10101.72,5050.86,5050.86,5050.86,5050.86
2,"Organismos Públicos",19,"Gerencia de Urbanismo",10218,"Gerencia de Urbanismo",1500,"Administración General de Vivienda y Urbanismo",12101,"COMPLEMENTO ESPECIFICO",384361.46,384361.46,176301.23,176301.23,176301.23,176301.23
2,"Organismos Públicos",20,"Gerencia de Urbanismo",10219,"Gerencia de Urbanismo",1510,"Urbanismo",12101,"COMPLEMENTO ESPECIFICO",557882.72,557882.72,311522.53,311522.53,311522.53,311522.53
2,"Organismos Públicos",21,"Gerencia de Urbanismo",10220,"Gerencia de Urbanismo",1522,"Conservación y Rehabilitación de la Edificación",12101,"COMPLEMENTO ESPECIFICO",308449.94,308449.94,159996.94,159996.94,159996.94,159996.94
2,"Organismos Públicos",22,"Gerencia de Urbanismo",10221,"Gerencia de Urbanismo",1532,"Pavimentación de la Vía Pública",12101,"COMPLEMENTO ESPECIFICO",215933.86,215933.86,112394.13,112394.13,112394.13,112394.13
2,"Organismos Públicos",23,"Gerencia de Urbanismo",10222,"Gerencia de Urbanismo",1650,"Alumbrado Público",12101,"COMPLEMENTO ESPECIFICO",65915.91,65915.91,33564.20,33564.20,33564.20,33564.20
2,"Organismos Públicos",24,"Gerencia de Urbanismo",10223,"Gerencia de Urbanismo",1500,"Administración General de Vivienda y Urbanismo",12700,"CONTRIBUCIONES A PLANES Y FONDOS PENSIONES",292.95,292.95,0.00,0.00,0.00,0.00
2,"Organismos Públicos",25,"Gerencia de Urbanismo",10224,"Gerencia de Urbanismo",1510,"Urbanismo",12700,"CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES.",502.20,502.20,0.00,0.00,0.00,0.00
2,"Organismos Públicos",26,"Gerencia de Urbanismo",10225,"Gerencia de Urbanismo",1522,"Conservación y Rehabilitación de la Edificación",12700,"CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES.",292.95,292.95,0.00,0.00,0.00,0.00
2,"Organismos Públicos",27,"Gerencia de Urbanismo",10226,"Gerencia de Urbanismo",1532,"Pavimentación de la Vía Pública",12700,"CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES.",167.40,167.40,0.00,0.00,0.00,0.00
2,"Organismos Públicos",28,"Gerencia de Urbanismo",10227,"Gerencia de Urbanismo",1650,"Alumbrado Público",12700,"CONTRIBUCIONES A PLANES Y FONDOS DE PENSIONES.",41.85,41.85,0.00,0.00,0.00,0.00
2,"Organismos Públicos",29,"Gerencia de Urbanismo",10228,"Gerencia de Urbanismo",1500,"Administración General de Vivienda y Urbanismo",13000,"RETRIBUCIONES BASICAS",2747823.73,2747823.73,1128146.08,1128146.08,1128146.08,1128146.08
2,"Organismos Públicos",30,"Gerencia de Urbanismo",10229,"Gerencia de Urbanismo",1510,"Urbanismo",13000,"RETRIBUCIONES BASICAS",4037798.34,4037798.34,1846710.70,1846710.70,1846710.70,1846710.70
2,"Organismos Públicos",31,"Gerencia de Urbanismo",10230,"Gerencia de Urbanismo",1522,"Conservación y Rehabilitación de la Edificación",13000,"RETRIBUCIONES BASICAS",1002751.25,1002751.25,446984.16,446984.16,446984.16,446984.16
2,"Organismos Públicos",32,"Gerencia de Urbanismo",10231,"Gerencia de Urbanismo",1532,"Pavimentación de la Vía Pública",13000,"RETRIBUCIONES BASICAS",528110.92,528110.92,261548.70,261548.70,261548.70,261548.70
2,"Organismos Públicos",33,"Gerencia de Urbanismo",10232,"Gerencia de Urbanismo",1650,"Alumbrado Público",13000,"RETRIBUCIONES BASICAS",420186.24,420186.24,143706.35,143706.35,143706.35,143706.35
2,"Organismos Públicos",34,"Gerencia de Urbanismo",10233,"Gerencia de Urbanismo",1500,"Administración General de Vivienda y Urbanismo",13001,"HORAS EXTRAORDINARIAS",2422.56,2422.56,3570.09,3570.09,3570.09,3570.09
2,"Organismos Públicos",35,"Gerencia de Urbanismo",10234,"Gerencia de Urbanismo",1510,"Urbanismo",13001,"HORAS EXTRAORDINARIAS",3151.68,3151.68,1516.89,1516.89,1516.89,1516.89
2,"Organismos Públicos",36,"Gerencia de Urbanismo",10235,"Gerencia de Urbanismo",1522,"Conservación y Rehabilitación de la Edificación",13001,"HORAS EXTRAORDINARIAS",752.64,752.64,0.00,0.00,0.00,0.00
2,"Organismos Públicos",37,"Gerencia de Urbanismo",10236,"Gerencia de Urbanismo",1532,"Pavimentación de la Vía Pública",13001,"HORAS EXTRAORDINARIAS",399.84,399.84,0.00,0.00,0.00,0.00
2,"Organismos Públicos",38,"Gerencia de Urbanismo",10237,"Gerencia de Urbanismo",1650,"Alumbrado Público",13001,"HORAS EXTRAORDINARIAS",423.36,423.36,3220.00,3220.00,3220.00,3220.00
2,"Organismos Públicos",39,"Gerencia de Urbanismo",10238,"Gerencia de Urbanismo",1500,"Administración General de Vivienda y Urbanismo",13002,"OTRAS REMUNERACIONES",2787882.00,2787882.00,1153746.30,1153746.30,1153746.30,1153746.30
2,"Organismos Públicos",40,"Gerencia de Urbanismo",10239,"Gerencia de Urbanismo",1510,"Urbanismo",13002,"OTRAS REMUNERACIONES",4017319.59,4017319.59,1989378.35,1989378.35,1989378.35,1989378.35
2,"Organismos Públicos",41,"Gerencia de Urbanismo",10240,"Gerencia de Urbanismo",1522,"Conservación y Rehabilitación de la Edificación",13002,"OTRAS REMUNERACIONES",949272.31,949272.31,455128.37,455128.37,455128.37,455128.37
2,"Organismos Públicos",42,"Gerencia de Urbanismo",10241,"Gerencia de Urbanismo",1532,"Pavimentación de la Vía Pública",13002,"OTRAS REMUNERACIONES",550702.41,550702.41,283823.31,283823.31,283823.31,283823.31
2,"Organismos Públicos",43,"Gerencia de Urbanismo",10242,"Gerencia de Urbanismo",1650,"Alumbrado Público",13002,"OTRAS REMUNERACIONES",390446.38,390446.38,147279.42,147279.42,147279.42,147279.42
2,"Organismos Públicos",44,"Gerencia de Urbanismo",10243,"Gerencia de Urbanismo",1500,"Administración General de Vivienda y Urbanismo",13100,"RETRIBUCIONES BASICAS",629053.56,629053.56,306417.78,306417.78,306417.78,306417.78
2,"Organismos Públicos",45,"Gerencia de Urbanismo",10244,"Gerencia de Urbanismo",1510,"Urbanismo",13100,"RETRIBUCIONES BASICAS",1032376.64,1032376.64,555599.06,555599.06,555599.06,555599.06
2,"Organismos Públicos",46,"Gerencia de Urbanismo",10245,"Gerencia de Urbanismo",1522,"Conservación y Rehabilitación de la Edificación",13100,"RETRIBUCIONES BASICAS",396885.54,396885.54,194469.80,194469.80,194469.80,194469.80
2,"Organismos Públicos",47,"Gerencia de Urbanismo",10246,"Gerencia de Urbanismo",1532,"Pavimentación de la Vía Pública",13100,"RETRIBUCIONES BASICAS",274417.88,274417.88,134861.30,134861.30,134861.30,134861.30
2,"Organismos Públicos",48,"Gerencia de Urbanismo",10247,"Gerencia de Urbanismo",1650,"Alumbrado Público",13100,"RETRIBUCIONES BASICAS",72332.10,72332.10,61471.29,61471.29,61471.29,61471.29
2,"Organismos Públicos",49,"Gerencia de Urbanismo",10248,"Gerencia de Urbanismo",1500,"Administración General de Vivienda y Urbanismo",13101,"HORAS EXTRAORDINARIAS",611.52,611.52,3622.00,3622.00,3622.00,3622.00
2,"Organismos Públicos",50,"Gerencia de Urbanismo",10249,"Gerencia de Urbanismo",1510,"Urbanismo",13101,"HORAS EXTRAORDINARIAS",893.76,893.76,0.00,0.00,0.00,0.00
2,"Organismos Públicos",51,"Gerencia de Urbanismo",10250,"Gerencia de Urbanismo",1522,"Conservación y Rehabilitación de la Edificación",13101,"HORAS EXTRAORDINARIAS",305.76,305.76,928.54,928.54,928.54,928.54
2,"Organismos Públicos",52,"Gerencia de Urbanismo",10251,"Gerencia de Urbanismo",1532,"Pavimentación de la Vía Pública",13101,"HORAS EXTRAORDINARIAS",235.20,235.20,0.00,0.00,0.00,0.00
2,"Organismos Públicos",53,"Gerencia de Urbanismo",10252,"Gerencia de Urbanismo",1650,"Alumbrado Público",13101,"HORAS EXTRAORDINARIAS",70.56,70.56,0.00,0.00,0.00,0.00
