"Área","Desc. Área","DG","Desc. DG","Org.","Desc. Org.","Programa","Des. Prog.","Eco.","Desc. Eco.","Créditos Iniciales","Créditos Totales consignados","Gastos Autorizados","Disposiciones ó Compromisos","Obligaciones Reconocidas","Pagos Realizados"
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",35900,"OTROS GASTOS FINANCIEROS",88456.42,88456.42,20581.38,20581.38,20581.38,20581.38
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",91396,"AMORTIZACIÓN PTMO. DEXIA SABADELL (INV. 2009)",780609.04,780609.04,390304.52,390304.52,390304.52,390304.52
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31097,"INTERESES PRÉSTAMO BBVA (AMPLIACIÓN PALACIO EXPOSICIONES)",1922249.28,1922249.28,978550.66,978550.66,978550.66,978550.66
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31004,"INTERESES  PRÉSTAMO BANESTO (INV. 2009)",92625.00,92625.00,35006.69,35006.69,35006.69,35006.69
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31009,"INTERÉSES PRÉSTAMO B. SANTANDER (INV. 2010)",204548.25,204548.25,81663.19,81663.19,81663.19,81663.19
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31079,"INTERESES B.S.C.H. (INV. 2002)",2737.03,2737.03,198.98,198.98,198.98,198.98
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31085,"INTERESES PRÉSTAMO CAJA MADRID (INV. 2003)",23556.17,23556.17,170.27,170.27,170.27,170.27
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31099,"INTERESES PRÉSTAMO I.C.O.  ''''PLAN BARRIOS''''",33590.15,33590.15,174.91,174.91,174.91,174.91
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",91333,"AMORTIZACIÓN PRÉSTAMO CAIXABANK (PLAN PAGO PROVEEDORES)",162946.28,162946.28,122209.68,122209.68,122209.68,122209.68
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",91103,"DEUDA PIE 2009",3534959.16,3534959.16,0,0,0,0
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",91305,"AMORTIZACIÓN PRÉSTAMO BBVA (INV. 2010)",659673.64,659673.64,329836.83,329836.83,329836.83,329836.83
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31084,"INTERESES PRÉSTAMO UNICAJA (INV. 2003)",269340.04,269340.04,142095.94,142095.94,142095.94,142095.94
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",91303,"AMORTIZACIÓN PRÉSTAMO EUROHYPO (INV 07)",1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",91351,"AMORTIZACION PRÉSTAMO BSCH (INV 2002)",416582.32,416582.32,312436.74,312436.74,312436.74,312436.74
0,"CORPORACIÓN MUNICIPAL",1,"DEUDA PÚBLICA",100,"Deuda Pública",1101,"DEUDA PÚBLICA",31030,"INTERESES PRÉSTAMO SANTANDER (PLAN PAGO PROVEEDORES)",135342.62,135342.62,66352.37,66352.37,66352.37,66352.37
