"Org.","Eco.","Descripción","Previsiones Iniciales","Drchos Reconocidos Totales","Derechos Reconocidos Netos","Derechos Recaudados","Recaudación Líquida"
0,10000,"IMPUESTO SOBRE LA RENTA PERSONAS FISICAS",13435506.05,13435506.05,13369406.09,6717753.00,6651653.04
0,11300,"IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA URBANA",196653542.81,175732975.86,175713021.26,1847846.19,1847846.19
0,11500,"IMP. S/VEHICULOS DE TRACCION MECANICA",35010938.92,31992162.38,31966207.06,4116908.46,4116876.45
0,11600,"IMPTO.S/INCREMENTO VALOR TERRENOS",23575304.42,17253473.47,17245283.24,10426532.78,10426532.78
0,13000,"IMPUESTO SOBRE ACTIVIDADES ECONOMICAS",43808849.55,19709468.44,19656326.15,10994779.92,10994779.92
0,21000,"IMPUESTO SOBRE EL VALOR AÑADIDO  (I.V.A.)",9647139.09,9647139.09,9505062.09,4823569.56,4681492.56
0,22000,"IMPUESTO SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS",140971.58,140971.58,140219.48,70485.78,69733.68
0,22001,"IMPUESTO SOBRE LA CERVEZA",53436.15,53436.15,53367.03,26718.06,26648.94
0,22003,"IMPUESTO SOBRE LAS LABORES DEL TABACO",1158800.08,1158800.08,1158290.08,579400.02,578890.02
0,22004,"IMPUESTO SOBRE HIDROCARBUROS",1692510.51,1692510.51,1689902.31,846255.24,843647.04
0,22006,"IMPUESTO SOBRE PRODUCTOS INTERMEDIOS",2807.07,2807.07,2795.91,1403.52,1392.36
0,29000,"IMPTO.S/CONSTRUC.,INSTALAC. Y OBRAS",6784893.06,2906962.64,2906962.64,2511395.57,2511395.57
0,30201,"RECOGIDA DE BASURA Y RESI.SÓLIDOS VIVIENDAS",18152308.80,7529633.91,7526559.89,3861633.36,3861633.36
0,30202,"RECOGIDA DE BASURA Y RESI.SÓLIDOS LOCALES COMERCIALES",21500000.38,9038706.18,9038527.54,2826557.14,2826557.14
0,30901,"SERVICIOS FUNERARIOS ( CEMENTERIO)",2037556.00,1034633.91,1034633.91,1034633.91,1034633.91
0,30902,"TASA POR AUTORIZACIONES Y SERVICIOS EN MERCADOS",887485.04,559745.31,559739.71,159858.58,159858.58
0,31901,"CONTROL ESTABLECIMIENTOS CARNÍCOS Y OTROS SERV.LABORATORIO",79497.00,70726.74,70726.74,11664.07,11664.07
0,32500,"TASA POR EXPEDICIÓN DE DOCUMENTOS",43868.00,19917.50,19917.50,19917.50,19917.50
0,32601,"TASA POR RETIRADA DE VEHICULOS",2033216.00,1066911.87,1066538.27,1066911.87,1066538.27
0,32902,"RETIRADA MERCANCÍA VÍA PÚBLICA Y VENTA AMBULANTE",1000.00,0.00,0.00,0.00,0.00
0,32903,"DERECHOS DE EXAMEN",1500.00,6244.14,6244.14,6244.14,6244.14
