"Ejercicio","TipoVehículo","MarcaModelo","NumBastidor","POTENCIA_FISCAL","FECHA_MATRICULACION","tipoBeneficio","desc_tipo_beneficio","porcentajeBeneficio"
2016,"VEHIC. VIVIENDA","RIMOR MB313/ARM33M3 1.6C/N","WDB9036131R439480","13.9","27/02/2003",,"",
2016,,"CITROEN C3 1.4","VF7FC8HXB26615941","11.45","28/02/2003","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,"TURISMO","FORD FOCUS","WF0AXXWPDAXU00475","12.36",,,"",
2016,"TURISMO","B.M.W. Z3","WBACJ31060LD40228","19.14",,,"",
2016,"TURISMO","FIAT STILO","ZFA19200000233863","12.95",,,"",
2016,"CICL. 2 RUEDAS","PIAGGIO NRG H20 MC3","ZAPC3200000021496","0","03/03/2003",,"",
2016,,"PIAGGIO NRG-H20 MC3","ZAPC3200000004231",,"05/03/2003",,"",
2016,,"VOLKSWAGEN POLO 1.2","WVWZZZ9NZ3Y066594","8.72","03/03/2003",,"",
2016,"REMOLQUE","TRUNQUE RPL 2134","VWHRPL21031000033","0","04/03/2003",,"",
2016,"TURISMO","RENAULT MEGANE","VF1LA1U0527928084","12.78","04/03/2003",,"",
2016,"TURISMO","SEAT 133","DB144453","7.9",,"VH","VEHICULO HISTORICO","100"
2016,"TURISMO","VOLKSWAGEN POLO 1.4 5V","WVWZZZ6NZWY133957","10.7",,,"",
2016,"TURISMO","NISSAN ALMERA 1.5","SJNEAAN16U0363582","11.19","05/03/2003",,"",
2016,"TURISMO","RENAULT MEGANE SCENIC","VF1JA1U0528214467","12.78","05/03/2003",,"",
2016,"TURISMO","NISSAN PRIMERA 1.6","SJNFAAP12U0100185","11.63","05/03/2003",,"",
2016,"TURISMO","PEUGEOT 206 1.4","VF32AKFWF43011292","10.57","05/03/2003",,"",
2016,"TURISMO","SKODA FABIA 1.9","TMBPS26Y133735865","12.89","05/03/2003",,"",
2016,"TURISMO","VOLKSWAGEN GOLF 1.9","WVWZZZ1JZ2W601109","12.89","05/03/2003",,"",
2016,"TURISMO","HYUNDAI MATRIX","KMHPN81VP3U088407","9","06/03/2003",,"",
2016,"TURISMO","OPEL VECTRA","W0L0ZCF6931055075","12.47","06/03/2003",,"",
2016,"TURISMO","SEAT CORDOBA 1.6","VSSZZZ6KZXR464232","11.62",,,"",
2016,,"VESPINO ELESTART","107C0024561",,"07/03/2003",,"",
2016,"TURISMO","NISSAN PRIMERA","SJNBDAP11U0075544","13.21",,"VM","VEHÍCULOS DISCAPACITADOS","100"
2016,"TURISMO","MERCEDES A 170","WDB1681091J894889","12.03",,,"",
2016,"VEHIC. MIXTO","PEUGEOT PARTNER","VF35FWJYF60482440","12.78",,,"",
2016,"TURISMO","OPEL ASTRA","W0L000058S5134932","11.69",,,"",
2016,"TURISMO","HONDA CIVIC 5P. 1.6I ES","SHHEU87703U202557","11",,,"",
2016,"TURISMO","OPEL ASTRA","W0L0TGF4825216978","13.29",,,"",
2016,"TURISMO","MAZDA MAZDA PREMACY","JMZCP19R231329270","13.3",,"VM","VEHÍCULOS DISCAPACITADOS","100"
2016,"TURISMO","CITROEN XSARA PICASSO","VF7CHRHYB39496976","13.3","07/03/2003",,"",
2016,,"VOLKSWAGEN POLO 1.9 TDI","WVWZZZ9NZ3Y149665","12.89","11/03/2003",,"",
2016,"CAMION","MITSUBISHI L200 PICK UP 2.5 TD","MMBJNK34GPG002628","15.14","12/03/2003",,"",
2016,"TURISMO","ALFA ROMEO ALFA 147","ZAR93700003153746","12.95","12/03/2003",,"",
2016,"TURISMO","RENAULT CLIO","VF1BB05CF28192913","9.54","12/03/2003",,"",
2016,"TURISMO","SEAT IBIZA II 1.4","VSSZZZ6LZ3R195155","10.7","12/03/2003",,"",
2016,"TURISMO","CITROEN C5 2.0","VF7DCRHZB76385409","13.3","12/03/2003",,"",
