"NUMERO","OBJETO","MODIFICACION","IMPORTE ADJUD","MODIFICACION IMPORTE","CONTRATISTA","AÑO"
"36-2005","SUMINISTRO EN REGIMEN DE ARRENDAMIENTO RENTING DE SISTEMAS PARA EL TRATAMIENTO DE LA INFOMACION","7"," 988.120,80 € ","-2.598,40 € ","BULL ESPAÑA, SA","2010"
"17-2008","SUMINISTRO VESTUARIO POLICIA LOCAL","1_CUALITATIVA"," 125.000,00 € "," -   € ","EL CORTE INGLES, SA","2010"
"62-2010","CONTRATO PROYECTO URBANIZACION ZONA 1BB FEDER","1"," 581.468,00 € "," 4.418,00 € ","UTE BM3 OBRAS Y SERVICIOS SA, REVA CONSTRUCCIONES 1928 S,K Y MONTAJES ESBER SL","2011"
"205-2010","SUMINISTRO MOBILIARIO PARA CREACION ESPACIO LA JUVENTUD","1"," 80.252,53 € "," 12.603,20 € ","OFICINES, MOBILIARI I MANPARES, SL","2011"
"103-2008","SERVICIO PROGRAMA ASESORAMIENTO LEGAL EN BARRIO XENILLET","1"," 4.310,35 € ","-862,00 € ","LA LIGA ESPAÑOLA DE LA EDUCACION Y DE LA CULTURA","2011"
"153-2009","SERVICIOS PROGRAMA PREVENCION DE ABSENTISMO ESCOLAR.","1"," 43.372,00 € ","-8.674,00 € ","LA LIGA ESPAÑOLA DE LA EDUCACION Y DE LA CULTURA","2011"
"152-2009","PROGRAMA INTERVENCION Y ANIMACION COMUNITARIA EN BARRIO XENILLET.","1"," 83.616,00 € ","-16.723,00 € ","LIGA ESPAÑOLA DE LA EDUC Y CULTURA POPULAR (LEECP)","2011"
"59-2009","GESTION SERVICIO INTEGRAL DE PRESTAMO DE BICICLETAS URBANAS","1","163.696,51 €","-83.470,00 €","MOVILIDAD URBANA SOSTENIBLE, SL","2012"
"37-2006","GESTION SERVICIO  PUBLICO INTEGRAL DE LIMPIEZA URBANA","1","5.564.434,29 €","-986.396,00 €","FOMENTO CONSTRUCCIONES Y CONTRATAS, SA","2012"
"29-2008","SERVICIO PUBLICO DE TRANSPORTE COLECTIVO URBANO DE VIAJEROS","1","1.862.000,07 €","-709.721,00 €","URBANOS DE TORRENT 2001, SL","2012"
"154-2009","","1","74.250,11 €","-10.949,00 €","LA LIGA ESPAÑOLA DE LA EDUCACIÓN Y LA CULTURA POPULAR","2013"
"37-2006","","2"," 5.200.405,88 € ","-32.641,37 € ","FOMENTO CONSTRUCCIONES Y CONTRATAS, SA","2014"
"154-2009","","2"," 74.250,11 € "," 10.949,09 € ","LA LIGA ESPAÑOLA DE LA EDUCACIÓN Y ","2014"
"86-2011","","1","475000","456000","OLYMPIA METROPOLITANA, SA","2016"
