"Descripción Punto de Suministro","CUPS","Tarifa Acceso","Mes","ene.","feb.","mar.","abr.","may.","jun.","jul.","ago.","sep.","oct.","nov.","dic.","total"
"ALUMBRADO PUBLICO","ES0021000015866583ZF","2.0DHA",,3.019,2.602,2.354,2.380,1.673,1.654,1.475,1.789,1.720,1.877,2.359,2.668,25.570
"ALUMBRADO PUBLICO","ES0021000015887457RC","2.1DHA",,0,0,0,12.569,0,3.425,0,0,6.994,0,0,0,22.988
"ALUMBRADO PUBLICO","ES0021000015968132JB","2.0A",,1.631,699,1.034,996,874,659,752,708,847,828,1.034,1.135,11.197
"ALUMBRADO PUBLICO","ES0021000016219253YH","3.0A",,14.264,11.642,10.821,11.726,0,0,25.066,7.869,9.020,9.747,12.814,12.924,125.893
"ALUMBRADO PUBLICO","ES0021000016219259FR","3.0A",,8.245,6.417,6.333,6.893,0,0,15.158,4.787,5.485,5.958,7.838,7.827,74.941
"ALUMBRADO PUBLICO","ES0021000016219260FW","3.0A",,18.771,15.479,14.135,14.902,11.425,10.345,10.285,11.405,11.998,11.529,16.976,17.342,164.592
"ALUMBRADO PUBLICO","ES0021000016297940TE","3.0A",,2.191,1.759,1.650,1.829,1.387,1.353,1.297,1.391,1.788,1.915,2.427,2.621,21.608
"ALUMBRADO PUBLICO","ES0021000016326108YS","3.0A",,12.444,10.825,10.894,11.393,9.089,7.083,7.246,7.274,9.255,9.587,11.930,11.516,118.536
"ALUMBRADO PUBLICO","ES0021000016438047CJ","3.0A",,3.799,3.225,3.214,3.300,2.399,2.296,2.233,2.306,2.470,3.077,3.293,3.869,35.481
"ALUMBRADO PUBLICO","ES0021000016445130YN","3.0A",,5.619,4.441,4.394,4.524,3.340,3.266,3.030,2.954,3.615,4.438,4.656,5.495,49.772
"ALUMBRADO PUBLICO","ES0021000016461647BS","3.0A",,8.571,6.520,6.695,6.234,5.381,4.596,4.425,4.886,5.145,5.589,7.092,7.820,72.954
"ALUMBRADO PUBLICO","ES0021000016473698YZ","3.0A",,5.830,4.808,5.172,5.493,3.953,3.816,3.356,3.249,4.138,4.967,4.422,5.256,54.460
"ALUMBRADO PUBLICO","ES0021000016504483BW","3.0A",,2.553,2.292,2.301,2.418,1.739,1.695,1.624,1.745,1.937,2.254,2.313,2.668,25.539
"ALUMBRADO PUBLICO","ES0021000016698434WV","3.0A",,7.290,6.382,6.339,6.635,4.796,4.676,4.922,4.415,5.418,6.288,6.600,7.916,71.677
"ALUMBRADO PUBLICO","ES0021000018436130EV","2.0A",,1.180,0,12.947,2.076,1.419,1.818,1.545,1.568,1.611,0,0,6.727,30.891
"ALUMBRADO PUBLICO","ES0021000019427797JQ","3.0A",,9.827,11.430,13.978,10.533,11.555,12.815,9.316,5.003,6.369,12.145,14.997,17.166,135.134
"ALUMBRADO PUBLICO","ES0021000020031301XT","2.1A",,1.276,1.436,999,1.639,1.713,2.214,2.876,3.190,3.317,2.775,2.247,939,24.621
"ALUMBRADO PUBLICO","ES0021000020077957ZN","2.0A",,16,15,12,16,12,8,15,16,11,15,17,13,166
"ALUMBRADO PUBLICO","ES0021000020238527AL","2.0DHA",,2.148,1.419,1.531,1.471,0,1.060,1.212,1.481,1.559,1.358,1.600,1.788,16.627
"ALUMBRADO PUBLICO","ES0021000020238535GG","2.0A",,19,17,16,18,18,13,17,21,16,16,17,21,209
"ALUMBRADO PUBLICO","ES0026000010224223VA","2.1A",,11.439,11.120,9.752,9.437,8.159,7.704,7.859,6.982,8.571,9.228,10.677,11.086,112.014
"ALUMBRADO PUBLICO","ES0026000010224224VG","2.1A",,3.741,3.517,3.028,2.908,2.505,2.363,2.203,2.379,2.686,2.915,3.381,5.027,36.653
"ALUMBRADO PUBLICO","ES0026000010224227VF","2.0A",,4.190,2.452,3.358,1.547,2.233,2.065,1.891,2.013,2.245,2.432,2.829,0,27.255
"ALUMBRADO PUBLICO","ES0026000010251307KQ","2.1A",,5.487,5.269,4.550,4.343,3.702,3.439,3.216,3.493,3.918,4.271,3.387,3.495,48.570
"ALUMBRADO PUBLICO","ES0026000010496631SE","3.0A",,0,2.608,11.151,3.662,2.195,1.758,2.511,1.400,1.616,1.959,2.419,4.932,36.211
"alumbrado publico","ES0021000008534859TQ","2.1DHA",,12.293,9.404,10.338,10.551,8.203,8.079,6.931,7.426,9.488,9.133,10.225,10.609,112.680
"ALUMBRADO PUBLICO CALICANTO","ES0021000008530355BC","3.0A",,6.101,4.877,4.771,4.959,3.789,3.506,3.569,3.295,4.055,4.445,4.569,5.544,53.480
"ALUMBRADO PUBLICO CALICANTO","ES0021000008530371NJ","3.0A",,5.072,3.962,3.768,3.834,3.206,2.961,3.086,2.969,3.669,4.042,4.259,5.163,45.991
"ALUMBRADO PUBLICO CALICANTO","ES0021000008530391JX","3.0A",,4.331,3.492,3.243,3.327,2.953,2.658,2.729,2.608,3.205,3.486,3.601,4.253,39.886
"ALUMBRADO PUBLICO CALICANTO","ES0021000008530591EA","3.0A",,3.172,2.529,2.522,2.656,2.051,1.877,1.955,1.870,2.270,1.571,2.628,2.913,28.014
"ALUMBRADO PUBLICO, MIGUEL SERVET","ES0021000012652540KF","2.0A",,941,603,648,616,550,421,470,406,500,959,611,483,7.208
"ALZIRA (MARXADELLA)","ES0021000017555513FR","2.0A",,10,8,10,12,10,8,9,9,10,9,11,9,115
"ASOCIAC, DE VECINOS CASTILLA LA MANCHA","ES0021000008537755BZ","2.0A",,1.393,1.234,1.395,1.261,1.182,1.196,1.166,1.113,496,1.279,1.121,1.283,14.119
"ASOCIAC, DE VECINOS NICOLAS ANDREU","ES0021000008525851TR","2.0A",,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASOCIAC, VECINOS CAMI LA NORIA","ES0021000008558651TA","2.0A",,235,245,251,367,151,183,203,242,82,157,206,219,2.541
"ASOCIACION DE DISCAPACITADOS","ES0021000008543671SL","2.0A",,0,0,1,1,8,0,0,0,0,0,0,0,10
"ASOCIACIÓN VECINOS 25 DE ABRIL","ES0021000008545740JH","2.1A",,1.339,1.297,1.600,786,429,163,455,729,498,445,416,245,8.402
"ASOCIACION VECINOS PINTOR BENEDITO","ES0021000008528949LV","2.0A",,0,0,0,5.826,0,1.746,0,2.643,0,1.418,0,0,11.633
"Avda OLIMPICA, 9-6 esc. 6,","ES0021000020464396AM","2.1A",,80,63,73,329,180,123,356,180,98,220,159,191,2.052
"AYNTO.TORRENT (ALDO.PBCO.)","ES0021000008541776WX","3.0A",,14.714,13.212,13.304,13.802,10.268,10.309,9.261,9.406,11.911,12.339,15.161,15.383,149.070
"AYTO TORRENT-SEMAFOROS","ES0021000008540167RB","2.0DHA",,435,345,255,367,390,288,294,316,349,292,322,300,3.953
"AYTO, TORRENT-A,P,","ES0021000008536138XF","2.0DHA",,200,175,171,192,170,187,170,175,194,163,180,161,2.138
"AYTO,TORRENT- ASOC,MUJERES","ES0021000008528605GH","2.1A",,1,0,0,0,0,34,4,0,281,139,0,0,459
"AYTO,TORRENT- CENTRO DE ADULTOS","ES0021000008528634YR","2.0A",,0,0,0,0,0,0,0,0,0,0,0,0,0
"AYTO,TORRENT- CENTRO SALUD","ES0021000008551746KK","2.1A",,559,906,876,671,547,479,495,610,281,501,604,763,7.292
"AYTO,TORRENT-AS,ALCOHOL,REH","ES0021000008552004XA","3.0A",,913,871,1.163,829,462,639,789,1.128,638,730,641,1.028,9.831
"AYTO,TORRENT-ASOC,ANDALUZA","ES0021000008528530RN","2.1A",,1.116,970,762,745,734,981,1.522,708,1.581,1.258,1.447,1.001,12.825
"AYTO,TORRENT-C,SOCIAL-CULTU","ES0021000008543518DG","2.0A",,118,149,106,127,181,147,137,169,140,118,168,168,1.728
"AYTO,TORRENT-CENTRO SOCIAL","ES0021000008531111KV","3.0A",,3.262,2.645,2.695,2.621,1.779,2.048,2.599,2.530,1.768,2.277,1.861,2.492,28.577
"AYTO,TORRENT-COLEG,PUBLICO","ES0021000008527235ZM","3.0A",,3.107,4.042,4.148,2.907,3.074,3.378,3.175,1.016,833,8.830,3.681,10.553,48.744
"AYTO,TORRENT-COLEG,PUBLICO","ES0021000008541363FB","3.0A",,5.349,5.464,6.348,4.490,4.699,5.590,5.873,4.744,5.101,5.696,5.674,6.186,65.214
"AYTO,TORRENT-CORREOS","ES0021000008554942EC","3.0A",,2.070,1.091,1.253,858,528,550,1.086,968,1.134,706,630,0,10.874
"AYTO,TORRENT-ESCUELAS","ES0021000008524832RV","3.0A",,6.237,8.959,8.393,4.576,3.392,2.341,692,416,338,791,971,3.788,40.894
"AYTO,TORRENT-ESCUELAS NACI","ES0021000008551000NB","3.0A",,3.186,3.505,3.366,3.150,2.678,3.343,3.850,4.523,3.489,3.559,3.312,3.345,41.306
"AYTO,TORRENT-FEDERACI,APAS","ES0021000008528750BW","2.1A",,1.005,942,913,1.028,1.172,1.357,1.495,1.591,1.713,1.357,1.425,1.180,15.178
"AYTO,TORRENT-HOGAR JUBILADO","ES0021000008536027MB","2.0A",,510,303,407,396,249,578,415,241,190,410,327,493,4.519
"AYTO,TORRENT-POLICIA","ES0021000008556036RX","3.0A",,13.872,14.112,15.580,15.709,12.011,13.373,14.727,15.522,14.670,13.923,12.904,13.411,169.814
"AYTO,TORRENT-SANIDAD BS","ES0021000008543155QD","3.0A",,1.930,2.031,1.891,1.751,1.140,1.277,1.969,2.104,2.056,1.886,1.332,1.930,21.297
"AYTO,TORRENT-SEMAFOROS","ES0021000008531410BV","2.0DHA",,221,161,241,220,153,214,226,193,200,193,192,166,2.380
"AYTO,TORRENT-SEMAFOROS","ES0021000008533915MS","2.0DHA",,416,265,297,399,230,338,300,368,325,290,334,300,3.862
"AYTO,TORRENT-SEMAFOROS","ES0021000008534337RT","2.0DHA",,82,72,70,79,69,77,71,71,76,67,75,67,876
"AYTO,TORRENT-SEMAFOROS","ES0021000008535732SS","2.0DHA",,327,203,233,275,299,217,249,264,281,252,267,239,3.106
"AYTO,TORRENT-SEMAFOROS","ES0021000008542545NC","2.0DHA",,14,15,16,20,14,16,16,13,18,15,16,14,187
"AYTO,TORRENT-SEMAFOROS","ES0021000008546409LC","2.0DHA",,60,50,21,0,2,55,45,56,48,48,52,43,480
"AYTO,TORRENT-SEMAFOROS","ES0021000008551135HP","2.0DHA",,83,94,87,106,88,97,93,87,84,96,95,113,1.123
"AYTO,TORRENT-SEMAFOROS","ES0021000008553161ZX","2.0DHA",,585,229,267,362,215,298,272,332,270,292,306,216,3.644
"AYTO,TORRENT (CENTRO SALUD)","ES0021000008526871KD","2.0A",,0,0,0,0,0,0,0,0,0,0,0,0,0
"AYTO,TORRENT (ESC,CICLISMO)","ES0021000008542672HD","2.0A",,161,152,111,141,121,148,161,317,289,190,274,128,2.193
"AYTO.TORRENT-","ES0021000008524654VT","2.0DHA",,0,12.750,5.637,5.225,2.856,3.154,3.233,3.251,3.740,4.397,4.609,5.206,54.058
"AYTO.TORRENT-","ES0021000020263808ET","3.0A",,852,779,435,360,0,355,316,306,324,311,325,328,4.691
"AYTO.TORRENT-","ES0021000020263812EG","3.0A",,2.337,1.981,2.088,2.281,0,2.291,3.714,6.546,8.017,6.431,2.830,2.197,40.713
"AYTO.TORRENT-","ES0021000020263813EM","3.0A",,481,353,331,419,0,287,255,238,268,299,340,647,3.918
"AYTO.TORRENT-","ES0021000020263828EC","3.0A",,628,301,308,396,0,491,2.531,764,255,733,249,467,7.123
"AYTO.TORRENT-","ES0021000020263946MT","3.0A",,3.478,2.892,3.216,3.203,0,2.300,10.701,13.573,11.158,10.565,3.726,3.965,68.777
"AYTO.TORRENT-","ES0021000020666034FW","2.0A",,7,7,7,9,2,6,0,5,0,5,8,8,64
"AYTO.TORRENT-","ES0021000020666042FX","2.0A",,7,8,8,10,2,7,0,7,0,8,8,10,75
"AYTO.TORRENT- ALDO. POL.1","ES0021000008539476VX","3.0A",,4.978,3.723,3.713,3.859,2.925,2.918,2.552,2.800,3.434,3.476,4.145,4.069,42.592
"AYTO.TORRENT-A.P.","ES0021000008525230LR","2.1DHA",,0,2.366,0,1.799,0,1.184,0,0,2.454,0,0,0,7.803
"AYTO.TORRENT-A.P.","ES0021000008525735HT","2.0DHA",,2.074,1.771,1.598,1.619,1.269,1.305,1.038,1.138,1.449,1.289,1.610,1.639,17.799
"AYTO.TORRENT-A.P.","ES0021000008527918CK","2.1DHA",,0,3.645,0,3.096,0,1.922,0,1.955,1.991,0,0,0,12.609
"AYTO.TORRENT-A.P.","ES0021000008538191FJ","2.0DHA",,0,0,0,17.633,0,0,0,11.896,0,4.852,0,6.947,41.328
"AYTO.TORRENT-A.P.","ES0021000008538215PZ","2.0DHA",,0,6.893,2.889,3.457,1.761,2.381,1.717,0,3.756,1.838,2.538,2.350,29.580
"AYTO.TORRENT-A.P.","ES0021000008538249XW","2.0DHA",,0,10.882,0,9.921,0,6.620,0,6.247,0,5.447,0,0,39.117
"AYTO.TORRENT-A.P.","ES0021000008538280BX","2.0DHA",,2.384,2.276,2.194,2.395,1.757,1.794,1.428,1.464,1.673,1.601,2.037,1.932,22.935
"AYTO.TORRENT-A.P.","ES0021000008538366SG","2.1DHA",,5.095,3.717,3.369,3.476,2.730,2.349,2.381,2.436,2.811,3.101,3.362,3.872,38.699
"AYTO.TORRENT-A.P.","ES0021000008540639ET","2.1DHA",,515,486,426,435,343,586,86,349,388,423,469,517,5.023
"AYTO.TORRENT-A.P.","ES0021000008544201SC","2.0DHA",,2.282,1.950,1.691,1.835,1.769,1.424,1.152,1.406,1.329,1.427,1.739,1.698,19.702
"AYTO.TORRENT-A.P.","ES0021000008551511BQ","3.0A",,12.498,10.233,9.562,10.305,7.960,7.139,7.101,7.645,8.574,8.982,11.325,12.626,113.950
"AYTO.TORRENT-A.P.","ES0021000008553012FE","2.0DHA",,543,400,430,446,339,347,273,348,329,354,440,432,4.681
"AYTO.TORRENT-A.P.","ES0021000008554144BG","2.1DHA",,10.603,7.812,7.226,7.347,5.967,5.261,5.410,6.243,5.527,6.994,7.757,8.702,84.849
"AYTO.TORRENT-A.P.","ES0021000008554642DL","2.0DHA",,0,20.004,0,15.486,0,10.775,0,0,21.239,0,0,0,67.504
"AYTO.TORRENT-A.P.","ES0021000008557538CV","2.1DHA",,6.445,5.082,5.383,5.589,4.278,4.484,3.405,3.659,5.171,5.229,5.543,5.685,59.953
"AYTO.TORRENT-A.P.","ES0021000008559384DT","2.1DHA",,5.265,3.855,3.591,3.714,2.935,2.558,2.692,2.684,2.894,3.425,4.345,4.512,42.470
"AYTO.TORRENT-A.P.","ES0021000008561243CL","2.1DHA",,3.960,4.263,3.974,3.997,3.141,3.083,2.632,3.167,3.014,3.264,3.552,3.404,41.451
"AYTO.TORRENT-A.P.","ES0021000008561487PX","2.0DHA",,3.281,2.409,2.222,2.211,1.721,1.490,1.469,1.763,1.751,1.621,2.280,2.344,24.562
"AYTO.TORRENT-A.P.-M.CHAPI","ES0021000008555148PL","2.0DHA",,3.675,2.650,2.527,2.539,1.983,1.604,1.962,1.943,2.257,2.558,2.853,3.106,29.657
"AYUNTAMIENTO DE TORRENT","ES0021000008540684TE","3.1A",,7.893,5.988,5.801,5.577,5.062,4.417,4.204,4.687,4.824,5.228,6.701,7.217,67.599
"AYUNTAMIENTO DE TORRENT","ES0021000008540869DT","3.1A",,5.104,3.907,3.908,3.581,3.326,1.559,2.331,3.001,3.144,0,7.513,4.145,41.519
"AYUNTAMIENTO DE TORRENT","ES0021000008540870DR","3.1A",,7.339,4.616,5.272,5.658,3.942,4.071,3.611,3.640,4.569,0,10.147,5.656,58.521
"AYUNTAMIENTO DE TORRENT-A.P","ES0021000008554806QE","2.1DHA",,6.699,5.390,5.857,5.593,5.072,4.052,4.444,4.955,4.925,5.661,8.655,7.049,68.352
"AYUNTAMIENTO TORRENTE-A.P.","ES0021000008555080MC","2.0DHA",,0,5.394,0,4.342,0,2.738,0,2.921,0,2.520,0,3.971,21.886
"BAR","ES0021000008550639LH","2.0A",,143,210,245,220,124,159,157,185,135,210,195,231,2.214
"BIBLIOTECA EL VEDAT","ES0021000008535179ZZ","2.1A",,973,822,765,664,506,656,1.322,1.310,1.241,843,646,570,10.318
"C.P ANTONIO MACHADO","ES0021000008536629PS","3.0A",,4.119,4.670,5.670,4.127,4.765,5.011,4.696,3.136,3.094,5.215,5.373,6.270,56.146
"C.P EL MOLÍ","ES0021000008538906SS","3.0A",,3.837,4.323,4.742,3.481,4.292,4.158,2.987,1.539,1.481,3.752,4.425,5.116,44.133
"C.P FEDERICO MAICAS","ES0021000008543802KN","3.0A",,5.307,6.747,7.896,5.873,6.044,6.605,5.511,2.858,2.824,6.303,6.406,7.338,69.712
"C.P MIGUEL HERNÁNDEZ","ES0021000008542883GJ","3.0A",,3.788,4.832,5.590,3.927,4.929,5.465,4.821,1.865,2.253,5.418,5.037,0,47.925
"C.P SAN JUAN BAUTISTA","ES0021000008548377JX","3.0A",,4.857,6.354,6.615,4.449,3.896,3.699,2.970,0,5.339,5.278,5.773,7.652,56.882
"C.P SAN PASCUAL","ES0021000008527232ZW","3.0A",,9.776,9.969,8.801,9.244,6.517,5.806,4.656,2.483,1.703,5.075,5.919,10.749,80.698
"C.P VIRGEN DEL ROSARIO","ES0021000008525258CY","3.0A",,3.500,3.780,4.252,3.020,3.578,3.578,2.746,0,3.024,3.440,4.098,4.522,39.538
"C.P. JUAN XXIII ALTER","ES0021000008529830NR","3.0A",,5.247,5.489,5.803,4.595,0,0,12.862,1.448,1.587,4.371,4.137,5.675,51.214
"C/ A SECTOR 2, S/N MASIA DEL JUEZ","ES0026000010224226VY","2.1A",,4.834,4.622,579,3.820,3.296,3.142,3.232,2.907,3.589,3.834,4.519,4.038,42.412
"C/ BURGOS (PANTANO), 1, Bajo","ES0021000020252581QC","2.1A",,279,231,186,197,136,45,38,79,179,151,204,41,1.766
"C/ GASPAR NAVARRO PILES, 5-BIS","ES0021000016759786WM","2.0A",,11,10,11,12,10,12,10,9,11,9,11,10,126
"C/ MALVARROSA, 38-BIS","ES0021000020666022YJ","2.0A",,5,5,7,6,1,5,7,4,7,1,5,5,58
"C/ SAN CAYETANO, 39 46900","ES0021000015907659YM","3.0A",,0,0,0,0,0,0,0,0,0,0,399,414,813
"CAMPO TIRO CALICANTO","ES0021000011282414CZ","2.1A",,1.789,1.106,1.202,1.150,978,886,1.124,1.177,1.115,817,956,1.434,13.734
"CASA CONSISTORIAL","ES0021000008527788SY","3.1A",,52.880,63.939,62.214,61.676,53.705,54.603,59.816,65.349,62.003,60.112,48.979,50.033,695.309
"CASA CULTURA","ES0021000008552180VH","3.0A",,6.083,7.008,6.533,5.058,3.001,5.423,7.099,5.604,5.775,4.318,3.027,5.866,64.795
"CASA DE LA DONA","ES0021000015907729DY","3.1A",,6.953,6.957,7.957,6.417,5.173,5.510,6.613,6.069,5.395,5.401,5.457,7.488,75.390
"CENTRO JUVENIL ""LA TORTUGA""","ES0021000008542139HM","2.0A",,88,115,139,89,61,78,79,78,17,37,61,72,914
"CENTRO MAYORES VG. EL OLIVAR","ES0021000008546571AK","3.0A",,5.676,4.753,5.010,4.886,3.812,4.190,4.826,4.629,3.909,4.550,3.950,4.632,54.823
"CENTRO PERMANENTE DE ADULTOS","ES0021000008556894SV","3.0A",,1.781,3.012,3.476,2.456,2.078,2.323,1.759,614,704,2.703,2.521,3.056,26.483
"CENTRO SOCIAL XENILLET","ES0021000017801567XR","3.0A",,5.097,4.062,4.431,4.797,3.558,3.635,4.469,4.168,3.785,4.143,4.406,2.720,49.271
"CLUB","ES0021000008550644CT","2.1A",,1.513,2.185,2.008,2.642,1.951,2.633,2.419,3.328,1.707,3.225,2.340,2.369,28.320
"COLON","ES0021000016045498LM","3.0A",,134,79,126,240,260,318,318,178,208,357,295,310,2.823
"CONSULT, MEDICO AUXILIAR, MUNICIPAL","ES0021000008554938EQ","3.0A",,1.213,1.533,1.610,1.374,1.038,1.411,2.401,2.179,2.061,1.961,1.190,1.623,19.594
"CONTENEDORES DE BASURA","ES0021000013665463QX","2.0A",,0,4,12,10,10,12,10,11,12,10,11,13,115
"DE L'ERA","ES0021000016190307JY","2.1A",,9,8,0,25,8,10,11,10,11,9,11,0,112
"DEPEND,  MUNICIPALES -PROTECCION CIVIL","ES0021000008554451RN","2.0A",,606,500,693,1.000,382,524,455,666,678,479,501,1.159,7.643
"DEPENDENCIA MUNICIPAL","ES0021000008541045QS","2.0A",,13,16,26,30,53,60,95,62,61,35,39,24,514
"DEPENDENCIA MUNICIPAL","ES0021000010374280GN","2.0A",,372,6,116,288,126,371,55,87,110,31,76,241,1.879
"DEPENDENCIAS MUNICIPALES","ES0021000008536973TZ","3.0A",,2.171,1.900,2.154,1.988,2.109,2.774,3.726,4.030,3.157,3.403,2.648,2.333,32.393
"DEPENDENCIAS MUNICIPALES METRO","ES0021000011802355VV","3.1A",,24.162,31.933,26.998,23.070,26.657,43.020,39.240,30.611,28.400,28.692,26.742,24.127,353.652
"ELEVACION CONTENEDORES RESIDUOS ORGAN,","ES0021000008548155AH","2.0A",,70,52,62,69,60,66,61,63,70,59,75,53,760
"ESCUELA M, PETRA","ES0021000008554903KG","2.0A",,666,882,855,579,728,556,325,255,0,0,0,0,4.846
"FELIPE II (UR CUMBRES CALICANTO)","ES0021000015983219WX","2.0A",,348,235,230,246,188,217,136,124,99,55,58,116,2.052
"FUENTE ILUMINADA","ES0021000011681345TX","3.0A",,1.159,863,761,1.022,809,942,876,881,1.019,885,1.082,930,11.229
"FUENTE MUNICIPAL","ES0021000013493195RN","3.0A",,58,48,51,58,50,51,51,59,57,55,53,60,651
"GARAJE","ES0021000016907972MW","3.0A",,459,5,11,5,9,11,7,562,764,665,754,702,3.954
"GOMEZ FERRER","ES0021000017353336WV","2.0A",,2,1,1,1,1,1,1,1,1,2,1,1,14
"GRUPO BOMBEO","ES0021000013506191ZJ","3.0A",,267,195,220,254,258,260,273,321,259,235,13,83,2.638
"JESUS","ES0021000018275640JK","2.0A",,0,9,2,3,2,2,2,2,3,1,3,3,32
"JUZGADO NUMERO 7","ES0021000008561094ZP","3.0A",,2.713,2.840,2.894,2.737,1.593,1.777,3.081,3.456,2.829,2.858,1.651,2.546,30.975
"LOCAL SOCIAL","ES0021000008544498MH","2.0A",,46,7,25,22,0,45,20,11,9,13,17,18,233
