Descripción Punto de Suministro,CUPS,"Tarifa de acceso",Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,TOTAL
SERVICIOS GENERALES,ES0021000008524067ZB,2.0A, ,1.070, , ,176,1.297, ,719, ,839, ,854,4.955
SERVICIOS GENERALES,ES0021000008524078ZE,2.0A, ,989, , ,737,526, ,622, ,727, ,806,4.407
ALUMBRADO PUBLICO,ES0021000008524145VC,2.0A, ,953, , ,701,443, ,478, ,707, ,831,4.113
ASOCIAC. DE VECINOS NICOLAS ANDREU,ES0021000008525851TR,2.0A, ,476, ,210, ,249, ,446, ,383, ,241,2.005
AYTO.TORRENT (CENTRO SALUD),ES0021000008526871KD,2.0A, ,62, ,21, ,20, ,23, ,21,11,11,169
AYTO.TORRENT CE.EDUCA.PERMA,ES0021000008528615MM,2.0A, ,60, ,63, ,65, ,25, ,26, , ,237
AYTO.TORRENT  CENTRO DE ADULTOS,ES0021000008528634YR,2.0A, ,60, ,63, ,65, ,21, ,22,21, ,251
ASOCIACION VECINOS PINTOR BENEDITO,ES0021000008528949LV,2.0A, ,275, ,442, ,384, ,401, ,347, ,309,2.157
AA.VV. DE LA MARXADELLA,ES0021000008531398BM,2.0A, ,561, ,413, ,364, ,501, ,460, ,396,2.695
AYTO.TORRENT HOGAR JUBILADO,ES0021000008536027MB,2.0A,390, , ,351, ,254,266, ,231, ,125, ,1.619
ALUMBRADO PUBLICO,ES0021000008536393KD,2.0A, ,558, ,388, ,345, ,341, ,418, ,434,2.484
ALUMBRADO PUBLICO,ES0021000008536467RZ,2.0A,1.094, ,799, ,512, ,507, ,555, , ,997,4.463
ASOCIAC. DE VECINOS CASTILLA LA MANCHA,ES0021000008537755BZ,2.0A, ,653, ,529, ,465, ,313, ,398, ,369,2.726
ALUMBRADO PUBLICO,ES0021000008538869ZR,2.0A, ,2.129, ,1.366, ,995, ,824, ,1.135, ,1.457,7.906
ALUMBRADO PUBLICO,ES0021000008539444QR,2.0A, ,682, , ,514,340, ,377, ,482, ,559,2.954
DEPENDENCIA MUNICIPAL,ES0021000008541045QS,2.0A,8, ,8, ,8, ,8, ,8, , ,11,52
"CENTRO JUVENIL 'LA TORTUGA'",ES0021000008542139HM,2.0A, ,80, ,46, ,36,20, ,46, ,42, ,271
AYTO.TORRENT (ESC.CICLISMO),ES0021000008542672HD,2.0A,141, , ,151, ,132,150, ,167, ,139, ,881
AYTO.TORRENT C.SOCIAL CULTU,ES0021000008543518DG,2.0A, ,157, ,165, ,159, ,72, ,70,75, ,699
ASOCIACION DE DISCAPACITADOS,ES0021000008543671SL,2.0A, ,34, ,36, ,35, ,34, , ,37, ,176
LOCAL SOCIAL,ES0021000008544498MH,2.0A, ,39, ,27, ,26, ,26, ,27, ,30,176
ELEVACION CONTENEDORES RESIDUOS ORGAN.,ES0021000008548155AH,2.0A, ,50, ,49, ,44, ,45, ,42, ,45,274
BAR,ES0021000008550639LH,2.0A, ,178, , , ,120, ,87, ,80, ,72,537
