"Expediente","Departamento","Trámite","Fecha Inicio","N. Registro","Año"
"1/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",04/01/16,"-","2016"
"1/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",07/01/16,"-","2016"
"2/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",04/01/16,"-","2016"
"2/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",12/01/16,"-","2016"
"3/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",04/01/16,"-","2016"
"3/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",14/01/16,"-","2016"
"4/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",04/01/16,"-","2016"
"4/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",22/01/16,"-","2016"
"5/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",04/01/16,"-","2016"
"5/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",28/01/16,"-","2016"
"6/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",04/01/16,"-","2016"
"6/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",04/02/16,"-","2016"
"7/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",04/01/16,"-","2016"
"7/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",11/02/16,"-","2016"
"8/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",04/01/16,"-","2016"
"8/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",18/02/16,"-","2016"
"9/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",04/01/16,"-","2016"
"9/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",25/02/16,"-","2016"
"10/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",04/01/16,"-","2016"
"10/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",03/03/16,"-","2016"
"11/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",04/01/16,"-","2016"
"11/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",10/03/16,"-","2016"
"12/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",04/01/16,"-","2016"
"12/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",15/03/16,"-","2016"
"13/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",04/01/16,"-","2016"
"13/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",16/03/16,"-","2016"
"14/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",04/01/16,"-","2016"
"14/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",22/03/16,"-","2016"
"15/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",04/01/16,"-","2016"
"15/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",31/03/16,"-","2016"
"16/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",04/01/16,"-","2016"
"16/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",07/04/16,"-","2016"
"17/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",04/01/16,"-","2016"
"17/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",14/04/16,"-","2016"
"18/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",04/01/16,"-","2016"
"18/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",21/04/16,"-","2016"
"19/2016/GEN","Secció Medi Ambient","MEDI-011 CONTROL PARÁMETROS AMBIENTALES",04/01/16,"-","2016"
"19/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",28/04/16,"-","2016"
"20/2016/GEN","Secció Medi Ambient","MEDI-011 CONTROL PARÁMETROS AMBIENTALES",04/01/16,"-","2016"
"20/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",05/05/16,"-","2016"
"21/2016/GEN","Secció Medi Ambient","MEDI-011 CONTROL PARÁMETROS AMBIENTALES",04/01/16,"-","2016"
"21/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",12/05/16,"-","2016"
"22/2016/GEN","Secció Medi Ambient","MEDI-011 CONTROL PARÁMETROS AMBIENTALES",04/01/16,"-","2016"
"22/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",19/05/16,"-","2016"
"23/2016/GEN","Secció Medi Ambient","MEDI-011 CONTROL PARÁMETROS AMBIENTALES",04/01/16,"-","2016"
"23/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",26/05/16,"-","2016"
"1/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",07/01/16,"-","2016"
"24/2016/GEN","Secció Medi Ambient","MEDI-011 CONTROL PARÁMETROS AMBIENTALES",04/01/16,"-","2016"
"24/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",02/06/16,"-","2016"
"25/2016/GEN","Secció Medi Ambient","MEDI-011 CONTROL PARÁMETROS AMBIENTALES",04/01/16,"-","2016"
"25/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",09/06/16,"-","2016"
"26/2016/GEN","Secció Medi Ambient","MEDI-011 CONTROL PARÁMETROS AMBIENTALES",04/01/16,"-","2016"
"26/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",09/06/16,"-","2016"
"27/2016/GEN","Secció Medi Ambient","MEDI-011 CONTROL PARÁMETROS AMBIENTALES",04/01/16,"-","2016"
"27/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",16/06/16,"-","2016"
"28/2016/GEN","Secció Medi Ambient","MEDI-011 CONTROL PARÁMETROS AMBIENTALES",04/01/16,"-","2016"
"28/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",23/06/16,"-","2016"
"29/2016/GEN","Secció Medi Ambient","MEDI-011 CONTROL PARÁMETROS AMBIENTALES",04/01/16,"-","2016"
"29/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",30/06/16,"-","2016"
"30/2016/GEN","Secció d'Obres i Edificis Públics","URBA-072 Proyectos de obras públicas",04/01/16,"-","2016"
"30/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",07/07/16,"-","2016"
"31/2016/GEN","Secció Medi Ambient","MEDI-007 CERTIFICACIONES SERVICIOS URBANOS",04/01/16,"2016000003","2016"
"31/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",14/07/16,"-","2016"
"32/2016/GEN","Secció Medi Ambient","MEDI-007 CERTIFICACIONES SERVICIOS URBANOS",04/01/16,"2015042034","2016"
"32/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",21/07/16,"-","2016"
"33/2016/GEN","Secció Medi Ambient","MEDI-007 CERTIFICACIONES SERVICIOS URBANOS",04/01/16,"2015042031","2016"
"33/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",28/07/16,"-","2016"
"34/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",04/01/16,"2015041778","2016"
"34/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",31/08/16,"-","2016"
"35/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",04/01/16,"-","2016"
"35/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",08/09/16,"-","2016"
"36/2016/GEN","Unitat Administrativa de Llicencies","URBA-135 Informe urbanístico municipal de Actividad",04/01/16,"2015041786","2016"
"36/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",15/09/16,"-","2016"
"37/2016/GEN","Sección Secretaria General del Pleno","Procés General Alcaldía - Secretaria General del Pleno",04/01/16,"-","2016"
"37/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",22/09/16,"-","2016"
"38/2016/GEN","Unitat Gestió de Personal","RRHHI-017 Retribuciones",04/01/16,"-","2016"
"38/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",29/09/16,"-","2016"
"39/2016/GEN","Departament de la Dona","EDUC-008 Concesión subvención y justificación de la `Ajuda bebé`",04/01/16,"-","2016"
"39/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",06/10/16,"-","2016"
"40/2016/GEN","Divisió Tecnicoadministrativa i Documental de la Policia","POLCI-014 Horas extraordinarias",04/01/16,"-","2016"
"40/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",13/10/16,"-","2016"
"41/2016/GEN","Secció Medi Ambient","MEDI-007 CERTIFICACIONES SERVICIOS URBANOS",04/01/16,"2016000099","2016"
"41/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",20/10/16,"-","2016"
"42/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",04/01/16,"2015041811","2016"
"42/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",20/10/16,"-","2016"
"43/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",04/01/16,"2015041821","2016"
