Descripción Punto de Suministro,CUPS,"Tarifa de acceso",Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,TOTAL
SERVICIOS GENERALES,ES0021000008524067ZB,2.0A, , ,1.508,370,373,320,317,324,338,422, ,548,4.521
SERVICIOS GENERALES,ES0021000008524078ZE,2.0A, , ,973, ,731, ,779, ,508, ,708, ,3.699
ALUMBRADO PUBLICO,ES0021000008524145VC,2.0A,478, ,737,290,259,241,349,444,417,531, ,769,4.513
ASOCIAC. DE VECINOS NICOLAS ANDREU,ES0021000008525851TR,2.0A,187,183,117,137,156,162,168,14,17,20,53, ,1.214
AYTO.TORRENT (CENTRO SALUD),ES0021000008526871KD,2.0A,13,11,11,11,11,10,10,10,11,12,18, ,128
AYTO.TORRENT  CENTRO DE ADULTOS,ES0021000008528634YR,2.0A,14,11,11,13,12,13,10,15,12,13, ,20,144
ASOCIACION VECINOS PINTOR BENEDITO,ES0021000008528949LV,2.0A, ,380, ,366, ,329,44,294, , ,434, ,1.847
AA.VV. DE LA MARXADELLA,ES0021000008531398BM,2.0A,337,287,207,218,206,165,227,338,169,208,251, ,2.611
AYTO.TORRENT HOGAR JUBILADO,ES0021000008536027MB,2.0A,169,72,93,96,84,68,80,88,57,62, ,126,995
ALUMBRADO PUBLICO,ES0021000008536393KD,2.0A, ,532, ,397, ,339,83,273,244,283, ,434,2.584
ALUMBRADO PUBLICO,ES0021000008536467RZ,2.0A,529,388,337,325,315,244,286,471,412,459, ,859,4.627
ASOCIAC. DE VECINOS CASTILLA LA MANCHA,ES0021000008537755BZ,2.0A, ,473,189,186,183,169,191,148,149,177,309, ,2.174
ALUMBRADO PUBLICO,ES0021000008538869ZR,2.0A,1.050,924,653,562,535,459,499,840,923,1.145,1.601, ,9.191
ALUMBRADO PUBLICO,ES0021000008539444QR,2.0A, ,654, ,493,188,198,268,306,309,417, ,473,3.306
DEPENDENCIA MUNICIPAL,ES0021000008541045QS,2.0A,5,5,4,4,5,4,4,6,4,6, ,12,58
"CENTRO JUVENIL 'LA TORTUGA'",ES0021000008542139HM,2.0A, ,62,27,23,20,21,18,19,15,17, ,39,260
AYTO.TORRENT (ESC.CICLISMO),ES0021000008542672HD,2.0A, ,151,75,83,55,45,53,101,73,68,83, ,786
AYTO.TORRENT C.SOCIAL CULTU,ES0021000008543518DG,2.0A, ,98, ,78,35,40,38,41,38,34, ,68,470
ASOCIACION DE DISCAPACITADOS,ES0021000008543671SL,2.0A,22,18,19,22,19,20,18,22,19,18, ,36,233
LOCAL SOCIAL,ES0021000008544498MH,2.0A,14,15,15,15,16,15,14,15,16,15,25, ,174
ELEVACION CONTENEDORES RESIDUOS ORGAN.,ES0021000008548155AH,2.0A,25, ,37,17,23,23,24, ,44, , ,46,238
BAR,ES0021000008550639LH,2.0A,49,48,40,44,38,38,36,52,44,45, ,84,520
ALUMBRADO PUBLICO,ES0021000008553770VK,2.0A,970, ,1.400, ,993, ,513,649,513,502,983, ,6.523
DEPEND.  MUNICIPALES  PROTECCION CIVIL,ES0021000008554451RN,2.0A, , ,577,89,95, ,145,236,102,86, ,95,1.425
ESCUELA M. PETRA,ES0021000008554903KG,2.0A, ,246, ,185,79,55,51,58,49,80, ,182,985
ALUMBRADO PUBLICO,ES0021000008554994WA,2.0A, ,406, ,221, ,289,37,238,147, ,348, ,1.686
ASOCIAC. VECINOS CAMI LA NORIA,ES0021000008558651TA,2.0A,60,52,52,62,48,45,48,54,35,37,70, ,564
ALUMBRADO PUBLICO,ES0021000008559868FR,2.0A, ,1.250,463,453,379,312,358,651,646,608,1.212, ,6.332
ALUMBRADO PUBLICO,ES0021000008562421AR,2.0A, ,162,21,23,22,18, 0.65,27,25,23, ,43,364
DEPENDENCIA MUNICIPAL,ES0021000010374280GN,2.0A, ,157,57,61,40,22,32,41,28,26,89, ,553
ALUMBRADO PUBLICO,ES0021000010608259BN,2.0A,537, ,792,323,301,281,278,295,285,408, ,545,4.047
ALUMBRADO PUBLICO,ES0021000010608274NG,2.0A,649, ,1.009,398,371,341,343,366,346,475, ,626,4.924
ALUMBRADO PUBLICO,ES0021000010611048VH,2.0A, ,1.323,481,431,401,266,379,734,638,751, ,1.354,6.759
ALMACEN DEPENDENCIA MUNICIPAL,ES0021000010783064KV,2.0A, , ,71,21,22,22,26,24,21,32, ,26,266
ALUMBRADO PUBLICO,ES0021000011021210WK,2.0A, ,1.763,632,580,535,351,505,1.016,877,1.028, ,1.818,9.104
ALUMBRADO PUBLICO,ES0021000011191359VQ,2.0A, ,2.864,558,517,505,376,510,808,819,772,1.579, ,9.308
ALUMBRADO PUBLICO,ES0021000011421516LN,2.0A, ,80,29,6,27,30,37,34,74,55, ,78,450
ALUMBRADO PUBLICO,ES0021000011489126SW,2.0A,408, ,544, ,441, ,135, ,495, ,608, ,2.631
ALUMBRADO PUBLICO,ES0021000011846025FX,2.0A,156, ,249,103,97,92,91,110,99,98, ,169,1.265
ALMACEN RIEGO. PARC CENTRAL. PASO INF.,ES0021000012001412RD,2.0A, ,80, ,73, ,65,48, ,66, ,85, ,417
ALUMBRADO PUBLICO,ES0021000012498171WZ,2.0A,35, ,44, ,46, ,40, ,43, ,45, ,253
ALUMBRADO PUBLICO. MIGUEL SERVET,ES0021000012652540KF,2.0A,104,89,72,66,62,52,56,83,85,59,166, ,894
ALUMBRADO PUBLICO,ES0021000012956700CS,2.0A, ,36, ,32,16,13,15,23,17,19, ,27,198
ALUMBRADO,ES0021000013374733AT,2.0A, ,347, ,155,67,52,59,114,92,108, ,154,1.148
CONTENEDORES DE BASURA,ES0021000013665463QX,2.0A, ,58, ,53,32, ,51, ,49, ,55, ,296
ALUMBRADO PUBLICO,ES0021000013884966SR,2.0A, ,765, ,484,227,184,233,331,323,291,638, ,3.477
ALUMBRADO PUBLICO,ES0021000015338194VC,2.0A, ,50, ,37, ,33,27, ,33, ,36, ,216
ALUMBRADO PUBLICO,ES0021000015968132JB,2.0A, ,529, ,149,83,62,74,145,116,138, ,222,1.517
FELIPE II (UR CUMBRES CALICANTO),ES0021000015983219WX,2.0A,62, ,46, ,66, ,75, ,63, ,51, ,363
MASIA DEL JUEZ,ES0021000016373121AQ,2.0A,154,143,19,19,20,29,24,21,199,55,193, ,875
ALUMBRADO,ES0021000016576368PN,2.0A, ,1.007, ,798, ,611,300,408,332,387, ,617,4.460
ALUMBRADO,ES0021000016713525ZC,2.0A, ,46,20,21,20,18,18,21,21,20,33, ,239
C/ GASPAR NAVARRO PILES. 5 BIS,ES0021000016759786WM,2.0A, , , ,25,12,12,11,16,13,12, ,22,121
SAN FERMIN,ES0021000016759796WS,2.0A, ,27,12,12,12,13,11,14,12,11, ,23,147
SAN VALERIANO,ES0021000017122256YH,2.0A, ,48, ,45,22,18,20,30,23,21,36, ,264
GOMEZ FERRER,ES0021000017353336WV,2.0A,25,19,18,22,20,17,19,23,18,24,29, ,234
MUSICO JOSE ORTI SORIANO,ES0021000017353370GM,2.0A,30,31,23,24,26,21,22,28,26,24,41, ,296
VIRGEN DE LA PAZ,ES0021000017374817QQ,2.0A, ,58,25,29,24,27,22,27,26,24,41, ,304
SAN JUSTO,ES0021000017396257MC,2.0A, ,45,19,23,19,18,19,30,22,20,34, ,248
ALZIRA (MARXADELLA),ES0021000017555513FR,2.0A,25,20,19,21,20,16,19,26,21,19, ,39,245
JESUS,ES0021000018275640JK,2.0A,23,20,18,19,20,17,17,22,21,20, ,33,230
ALUMBRADO PUBLICO,ES0021000018436130EV,2.0A, ,548, ,424,213, ,215,318,84,16, ,26,1.843
ALUMBRADO PUBLICO,ES0021000020077957ZN,2.0A,30,27,24,26,28,24,24,32,24,24,42, ,306
ALUMBRADO PUBLICO,ES0021000020238535GG,2.0A, ,53,25,25,28,25,24,28,27,25,43, ,303
C/ MALVARROSA. 38 BIS,ES0021000020666022YJ,2.0A, , , , , ,23,22,29,24,27, ,41,167
AYTO.TORRENT ,ES0021000020666034FW,2.0A, , , , , ,46,23,29,24,27, ,41,190
AYTO.TORRENT ,ES0021000020666042FX,2.0A, , , , , ,46,22,29,24,28, ,41,190
ALUMBRADO PUBLICO,ES0026000010224227VF,2.0A, , , ,369,315,340,330,449, ,459,430,448,3.142
AYTO.TORRENT ,ES0021000008524654VT,2.0DHA, ,1.179,510, ,757, ,678, ,634, ,895, ,4.654
Ptda MASIA DEL JUEZ. 8 1 46080,ES0021000008525242LJ,2.0DHA, ,399, ,293, ,240,9,223, ,301, , ,1.466
ALUMBRADO PUBLICO,ES0021000008525243LZ,2.0DHA, ,815, ,570, ,497,20,364, ,501,202, ,2.968
AYTO.TORRENT A.P.,ES0021000008525735HT,2.0DHA, , ,931,151,147, ,267, , ,351,317, ,2.164
AYTO.TORRENT SEMAFOROS,ES0021000008531410BV,2.0DHA,37,40,30,29,33,29,29,38,29,26, ,54,375
AYTO.TORRENT SEMAFOROS,ES0021000008533915MS,2.0DHA, ,107,48,50,50,44,44,49,44,46,72, ,554
AYTO.TORRENT SEMAFOROS,ES0021000008534337RT,2.0DHA, ,34, ,31,16,11,14,17,14,15,23, ,173
