"Ejercicio","TipoVehículo","MarcaModelo","NumBastidor","Tipo_dato","Cantidad_dato","tipoBeneficio","desc_tipo_beneficio","porcentajeBeneficio"
2017,"TURISMO","RENAULT-6 TL-",,"C.F.V.","8.9","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","DERBI-SCOOT-",,"C.C","74",,,
2017,"MOTOCICLETA","VESPA 75-",,"C.C","75",,,
2017,"MOTOCICLETA","VESPA 75-",,"C.C","75",,,
2017,"MOTOCICLETA","DERBI-74-",,"C.C","74",,,
2017,"TURISMO","SEAT 1430-",,"C.F.V.","10.9","VH","VEHICULO HISTORICO",100
2017,"TURISMO","SEAT 600-",,"C.F.V.","7.4","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","BULTACO-",,"C.C","74",,,
2017,"MOTOCICLETA","KAWASAKI-",,"C.C","500",,,
2017,"MOTOCICLETA","VESPA-200-",,"C.C","200","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","VESPA 125-",,"C.C","125",,,
2017,"MOTOCICLETA","VESPA 75-",,"C.C","75",,,
2017,"TURISMO","RENAULT-18 GTD-",,"C.F.V.","13.5","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","VESPA-",,"C.C","75",,,
2017,"MOTOCICLETA","VESPA 200-",,"C.C","200",,,
2017,"MOTOCICLETA","VESPA-75 CC-",,"C.C","75",,,
2017,"MOTOCICLETA","MONTESA ENDURO-",,"C.C","125",,,
2017,"MOTOCICLETA","VESPA 75 C.-",,"C.C","75",,,
2017,"TURISMO","CITROEN-DYANE 6-",,"C.F.V.","4.9","VH","VEHICULO HISTORICO",100
2017,"TURISMO","SEAT 124-",,"C.F.V.","12",,,
2017,"MOTOCICLETA","VESPA 200 CC-",,"C.C","200",,,
2017,"TURISMO","SEAT 850-",,"C.F.V.","7.9",,,
2017,"MOTOCICLETA","VESPA 125-",,"C.C","125","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","VESPA-",,"C.C","200","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","MONTESA-",,"C.C","75",,,
2017,"TURISMO","RENAULT 5 GTL-",,"C.F.V.","8.9","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","VESPA 75-",,"C.C","75",,,
2017,"MOTOCICLETA","YAMAHA 250-",,"C.C","239",,,
2017,"MOTOCICLETA","MONTESA COTA-74-",,"C.C","75",,,
2017,"MOTOCICLETA","MONTESA-",,"C.C","75",,,
2017,"MOTOCICLETA","VESPA P-125 X-",,"C.C","125",,,
2017,"MOTOCICLETA","MONTESA-",,"C.C","74",,,
2017,"TURISMO","FORD-FIESTA 957-",,"C.F.V.","8.5","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","VESPA 125-",,"C.C","125",,,
2017,"MOTOCICLETA","VESPA 75-S-",,"C.C","75",,,
2017,"TURISMO","CITROEN DYANE 6-",,"C.F.V.","4.9","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","BULTACO-",,"C.C","175",,,
2017,"MOTOCICLETA","VESPA-",,"C.C","150",,,
2017,"TURISMO","SEAT 131-D-2500-",,"C.F.V.","15","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","VESPA-",,"C.C","125",,,
2017,"TURISMO","SEAT 124-",,"C.F.V.","10","VH","VEHICULO HISTORICO",100
2017,"TURISMO","RENAULT-",,"C.F.V.",".7","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","DUCATI-",,"C.C","200","VH","VEHICULO HISTORICO",100
2017,"TURISMO","RENAULT R 6-",,"C.F.V.","8.5","VH","VEHICULO HISTORICO",100
2017,"TURISMO","SEAT 600 E-",,"C.F.V.","7","VM","VEHÍCULOS DISCAPACITADOS",100
2017,"MOTOCICLETA","LAMBRETA-",,"C.C","125",,,
2017,"MOTOCICLETA","MONTESA-",,"C.C","174","VH","VEHICULO HISTORICO",100
2017,"TURISMO","SEAT-600 E-",,"C.F.V.","7.4","VH","VEHICULO HISTORICO",100
2017,"TURISMO","RENAULT-4-",,"C.F.V.","9.3",,,
2017,"TURISMO","RENAULT-",,"C.F.V.","8","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","VESPA 75-",,"C.C","75",,,
2017,"MOTOCICLETA","VESPA-",,"C.C","75",,,
2017,"TURISMO","SEAT 850-",,"C.F.V.","7.9",,,
2017,"MOTOCICLETA","OSSA-",,"C.C","246",,,
2017,"TURISMO","RENAULT 5-",,"C.F.V.","8.5",,,
2017,"CAMION","LAND ROVER 88 D-",,"CARGA","760",,,
2017,"CAMION","LAND ROVER-",,"CARGA","1000","VH","VEHICULO HISTORICO",100
2017,"TURISMO","RENAULT M6-TL-",,"C.F.V.","8.9","VH","VEHICULO HISTORICO",100
2017,"TURISMO","MERCEDES-",,"C.F.V.","13","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","PUCH COBRA-",,"C.C","75",,,
2017,"MOTOCICLETA","BULTACO,175--",,"C.C","176",,,
2017,"TURISMO","CHRYSLER-180-",,"C.F.V.","12.5","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","PUCH-COBRA-",,"C.C","74",,,
2017,"MOTOCICLETA","VESPA-",,"C.C","75",,,
2017,"TURISMO","CITROEN 2CV-",,"C.F.V.","4.9",,,
2017,"TURISMO","RENAULT R-5-",,"C.F.V.","8.5","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","VESPA 75-",,"C.C","74",,,
2017,"MOTOCICLETA","LAVERDA-500-",,"C.C","438","VH","VEHICULO HISTORICO",100
2017,"TURISMO","SEAT RONDA 100-",,"C.F.V.","11.6","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","VESPA-",,"C.C","200","VH","VEHICULO HISTORICO",100
2017,"TURISMO","FORD-FIESTA-957-",,"C.F.V.","8.2","EX","EXENCIÓN",100
2017,"MOTOCICLETA","VESPA 75-",,"C.C","75",,,
2017,"TURISMO","RENAULT 18 GTS-",,"C.F.V.","11.8","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","VESPA-",,"C.C","75",,,
2017,"MOTOCICLETA","VESPA-75-",,"C.C","75",,,
2017,"MOTOCICLETA","VESPA 75-",,"C.C","75",,,
2017,"MOTOCICLETA","BENELLI-250-",,"C.C","250","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","VESPA-75-",,"C.C","75",,,
2017,"TURISMO","FORD ESCORT 1.3-",,"C.F.V.","10.2","VH","VEHICULO HISTORICO",100
2017,"TURISMO","SEAT-131-",,"C.F.V.","10.9",,,
2017,"MOTOCICLETA","VESPA P 125 X-",,"C.C","125",,,
2017,"MOTOCICLETA","SANGLAS 400-Y-",,"C.C","400","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","VESPA-",,"C.C","150",,,
2017,"MOTOCICLETA","PUCH COBRA-",,"C.C","75",,,
2017,"MOTOCICLETA","VESPA 200 DNN-",,"C.C","200","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","VESPA 200-",,"C.C","200",,,
2017,"MOTOCICLETA","VESPA 75-",,"C.C","75",,,
2017,"TURISMO","RENAULT 9 TSE-",,"C.F.V.","10.7",,,
2017,"TURISMO","SEAT FURA 127-",,"C.F.V.","8.2",,,
2017,"TURISMO","RENAULT 4 TL-",,"C.F.V.","9.3","EX","EXENCIÓN",100
2017,"CAMION","CITROEN C 15 D-",,"CARGA","580","EX","EXENCIÓN",100
2017,"TURISMO","RENAULT 11 GTL-",,"C.F.V.","10.7",,,
2017,"MOTOCICLETA","VESPA 200 DINN-",,"C.C","200",,,
2017,"TURISMO","SEAT RONDA-",,"C.F.V.","12.1","EX","EXENCIÓN",100
2017,"MOTOCICLETA","VESPA 75 JUNIOR-",,"C.C","75",,,
2017,"MOTOCICLETA","VESPA 200-",,"C.C","200",,,
2017,"MOTOCICLETA","VESPA 75-",,"C.C","75",,,
2017,"MOTOCICLETA","VESPA 200-",,"C.C","200",,,
2017,"MOTOCICLETA","VESPA 200-",,"C.C","200","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","PUCH-COBRA-",,"C.C","72",,,
2017,"TURISMO","FORD TAUNUS 2.0-",,"C.F.V.","13.2","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","KAWASAKI-KZ-900-",,"C.C","826",,,
2017,"TURISMO","OPEL REKORD-",,"C.F.V.","14.4",,,
2017,"MOTOCICLETA","GILERA RZA-",,"C.C","250","EX","EXENCIÓN",100
2017,"MOTOCICLETA","VESPA PK 75-",,"C.C","75",,,
2017,"MOTOCICLETA","BULTACO-",,"C.C","220","VH","VEHICULO HISTORICO",100
2017,"CAMION","LAND ROVER-",,"CARGA","1000","VH","VEHICULO HISTORICO",100
2017,"TURISMO","SEAT 127-",,"C.F.V.","8.2","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","VESPA-",,"C.C","121",,,
2017,"MOTOCICLETA","VESPA-",,"C.C","200","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","VESPA-200",,"C.C","200","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","BULTACO-",,"C.C","74",,,
2017,"MOTOCICLETA","VESPA-",,"C.C","200",,,
2017,"MOTOCICLETA","PUCH COBRA-",,"C.C","72",,,
2017,"TURISMO","MORRIS-",,"C.F.V.","8.34","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","BULTACO-",,"C.C","124","VH","VEHICULO HISTORICO",100
2017,"TURISMO","MERCEDES 240D-",,"C.F.V.","14","VH","VEHICULO HISTORICO",100
2017,"TURISMO","CITROEN DYANE 6-",,"C.F.V.","4.9",,,
2017,"MOTOCICLETA","VESPA PK 125-",,"C.C","125",,,
2017,"TURISMO","FORD FIESTA-",,"C.F.V.","8.5","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","HONDA CB 125-",,"C.C","200",,,
2017,"MOTOCICLETA","VESPA 125-",,"C.C","125","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","YAMAHA SR 250-",,"C.C","239",,,
2017,"MOTOCICLETA","VESPA 200 CC-",,"C.C","200",,,
2017,"MOTOCICLETA","PUCH COBRA M.82-",,"C.C","71",,,
2017,"TURISMO","VOLKSWAGEN PASS-",,"C.F.V.","11.5",,,
2017,"MOTOCICLETA","VESPA PK 75 S-",,"C.C","75",,,
2017,"TURISMO","RENAULT 6-",,"C.F.V.","8.5","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","VESPA PK 75-",,"C.C","75",,,
2017,"TURISMO","SEAT MALAGA-",,"C.F.V.","11.3","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","VESPA IRIS 200-",,"C.C","200",,,
2017,"MOTOCICLETA","PUCH COBRA-",,"C.C","75",,,
2017,"MOTOCICLETA","B.M.W.-",,"C.C","987","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","YAMAHA RD 350-",,"C.C","347",,,
2017,"TURISMO","PEUGEOT 205-",,"C.F.V.","10","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","VESPA 125-",,"C.C","125","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","HONDA SCOOPY-",,"C.C","152",,,
2017,"MOTOCICLETA","VESPA PK-",,"C.C","75",,,
2017,"MOTOCICLETA","VESPA 50-",,"C.C","75","VH","VEHICULO HISTORICO",100
2017,"TURISMO","SIMCA 1200-",,"C.F.V.","10",,,
2017,"MOTOCICLETA","VESPA IRIS 200-",,"C.C","200",,,
2017,"TURISMO","VOLKSWAGEN POLO-",,"C.F.V.","10","EX","EXENCIÓN",100
2017,"MOTOCICLETA","HONDA SC00PY-",,"C.C","152",,,
2017,"MOTOCICLETA","VESPA-",,"C.C","200","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","VESPA-",,"C.C","75",,,
2017,"TURISMO","RENAULT 18-",,"C.F.V.","13.5",,,
2017,"TURISMO","RENAULT 11 GTL-",,"C.F.V.","10.7","VM","VEHÍCULOS DISCAPACITADOS",100
2017,"MOTOCICLETA","VESPA 75-",,"C.C","75",,,
2017,"TURISMO","TOYOTA-",,"C.F.V.","15",,,
2017,"MOTOCICLETA","PUCH COBRA-",,"C.C","120",,,
2017,"MOTOCICLETA","YAMAHA RD 80-",,"C.C","72",,,
2017,"TURISMO","SEAT IBIZA-",,"C.F.V.","9.4",,,
2017,"TURISMO","OPEL KADETT-",,"C.F.V.","9","VH","VEHICULO HISTORICO",100
2017,"TURISMO","ALFA ROMEO-",,"C.F.V.","11.1",,,
2017,"TURISMO","OPEL CORSA-",,"C.F.V.","10.2",,,
2017,"MOTOCICLETA","VESPA PK-",,"C.C","125",,,
2017,"MOTOCICLETA","VESPA IRIS-",,"C.C","200",,,
2017,"MOTOCICLETA","VESPA 125-",,"C.C","125",,,
2017,"MOTOCICLETA","GUZZI-",,"C.C","200",,,
2017,"CAMION","JEEP VIASA-",,"CARGA","980","VH","VEHICULO HISTORICO",100
2017,"CAMION","EBRO F 275-",,"CARGA","1140",,,
2017,"MOTOCICLETA","VESPA 75-",,"C.C","75",,,
2017,"CAMION","NISSAN PATROL-",,"CARGA","525",,,
2017,"CAMION","MERCEDES 307-",,"CARGA","1780",,,
2017,"MOTOCICLETA","YAHAMA-",,"C.C","75",,,
2017,"TURISMO","RENAULT 21-",,"C.F.V.","13.2",,,
2017,"MOTOCICLETA","VESPA 75-",,"C.C","74",,,
2017,"TURISMO","SEAT IBIZA-",,"C.F.V.","8.2",,,
2017,"MOTOCICLETA","VESPA IRIS-",,"C.C","200",,,
2017,"MOTOCICLETA","VESPA 125-",,"C.C","125",,,
2017,"MOTOCICLETA","PUCH COBRA-",,"C.C","120",,,
2017,"CAMION","RENAULT EXPRES-",,"CARGA","575",,,
2017,"MOTOCICLETA","HONDA CB 125-",,"C.C","125",,,
2017,"TURISMO","ALFA ROMEO-",,"C.F.V.","13.2",,,
2017,"MOTOCICLETA","GILERA-",,"C.C","125",,,
2017,"MOTOCICLETA","HONDA CB 125-",,"C.C","125",,,
2017,"TURISMO","MERCEDES 140 E-",,"C.F.V.","14",,,
2017,"TURISMO","VOLKSWAGEN POLO-",,"C.F.V.","10",,,
2017,"TURISMO","RENAULT 5 GTL-",,"C.F.V.","8.9",,,
2017,"MOTOCICLETA","VESPA PK 75 ELE-",,"C.C","75",,,
2017,"TURISMO","FORD ESCORT-",,"C.F.V.","11.6",,,
2017,"TURISMO","RENAULT 21 TXE-",,"C.F.V.","13.2",,,
2017,"TURISMO","PEUGEOT 205-",,"C.F.V.","10",,,
2017,"MOTOCICLETA","VESPA PX 75-",,"C.C","75",,,
2017,"MOTOCICLETA","BULTACO-",,"C.C","75",,,
2017,"MOTOCICLETA","YAMAHA TZR-80-",,"C.C","72",,,
2017,"TURISMO","FORD FIESTA-",,"C.F.V.","8.5",,,
2017,"MOTOCICLETA","VESPA 200-",,"C.C","197",,,
2017,"MOTOCICLETA","HONDA 125-",,"C.C","125",,,
2017,"MOTOCICLETA","VESPA-150 CL-",,"C.C","150","VH","VEHICULO HISTORICO",100
2017,"CAMION","NISSAN TRADE-",,"CARGA","1150",,,
2017,"MOTOCICLETA","YAMAHA 350 LC-",,"C.C","347",,,
2017,"TURISMO","VOLKSWAGEN POLO-",,"C.F.V.","10",,,
2017,"MOTOCICLETA","VESPA 125-",,"C.C","125",,,
2017,"MOTOCICLETA","GILERA RV-125-",,"C.C","125",,,
2017,"MOTOCICLETA","VESPA PX 125-XL-",,"C.C","125",,,
2017,"MOTOCICLETA","GILERA KK 125-",,"C.C","124",,,
2017,"MOTOCICLETA","HONDA NSR 75/F-",,"C.C","146",,,
2017,"CAMION","MERCEDES BENZ-",,"CARGA","1190","VM","VEHÍCULOS DISCAPACITADOS",100
2017,"TURISMO","SEAT TERRA ACRI-",,"C.F.V.","8","VM","VEHÍCULOS DISCAPACITADOS",100
2017,"MOTOCICLETA","VESPA 75-",,"C.C","74",,,
2017,"MOTOCICLETA","VESPA PK 75 XL-",,"C.C","74",,,
2017,"MOTOCICLETA","YAMAHA SRE 250-",,"C.C","239",,,
2017,"TURISMO","CITROEN BX TRD-",,"C.F.V.","12.3",,,
2017,"TURISMO","OPEL KADETT-",,"C.F.V.","11",,,
2017,"TURISMO","RENAULT R 5-",,"C.F.V.","10.7",,,
2017,"CAMION","FIAT CAMION-",,"CARGA","3100",,,
2017,"TURISMO","OPEL OMEGA 2.OS-",,"C.F.V.","13.1",,,
2017,"TURISMO","FORD ESCORT 1.6-",,"C.F.V.","11.6",,,
2017,"TURISMO","PEUGEOT 309-",,"C.F.V.","10","VM","VEHÍCULOS DISCAPACITADOS",100
2017,"MOTOCICLETA","YAMAHA SR 250-E-",,"C.C","239",,,
2017,"TURISMO","RENAULT 5 GTL-",,"C.F.V.","10.7","VM","VEHÍCULOS DISCAPACITADOS",100
2017,"TURISMO","VOLKSWAGEN GOLF-",,"C.F.V.","11",,,
2017,"CAMION","FORD TRANSIT C-",,"CARGA","978",,,
2017,"CAMION","FIAT DUCATO MAXI","ZFA28000000580639","CARGA","285",,,
2017,"MOTOCICLETA","VESPA PK 75 XL-",,"C.C","75",,,
2017,"TURISMO","PEUGEOT 405 GR-",,"C.F.V.","12.9",,,
2017,"TURISMO","PEUGEOT 405 GR-",,"C.F.V.","12.9",,,
2017,"TURISMO","MERCEDES BENZ 1-",,"C.F.V.","13",,,
2017,"MOTOCICLETA","HARLEY DAVIDSON-",,"C.C","1319",,,
2017,"TURISMO","NISSAN PATROL-",,"C.F.V.","21",,,
2017,"TURISMO","PEUGEOT 205 GL-",,"C.F.V.","9",,,
2017,"MOTOCICLETA","MONTESA ENDURO-",,"C.C","75",,,
2017,"TURISMO","FORD ORION 1.6-",,"C.F.V.","11.6",,,
2017,"TURISMO","RENAULT R-19 TS-",,"C.F.V.","10.7",,,
2017,"TURISMO","FORD FIESTA GUI-",,"C.F.V.","10.8",,,
2017,"TURISMO","FORD FIESTA 1.1-",,"C.F.V.","9.3",,,
2017,"TURISMO","SEAT MALAGA 1.5-",,"C.F.V.","11",,,
2017,"MOTOCICLETA","APRILIA AF-1-",,"C.C","123",,,
2017,"TURISMO","PEUGEOT 205 GR-",,"C.F.V.","9.8",,,
2017,"TURISMO","RENAULT R-5 GTS-",,"C.F.V.","10.7",,,
2017,"TURISMO","VOLKSWAGEN GOLF-",,"C.F.V.","11","VM","VEHÍCULOS DISCAPACITADOS",100
2017,"MOTOCICLETA","VESPA PK 75 XL-",,"C.C","75",,,
2017,"TURISMO","PEUGEOT 205 1.1-",,"C.F.V.","9",,,
2017,"MOTOCICLETA","YAMAHA TZR-80-",,"C.C","72",,,
2017,"TURISMO","RENAULT R-19 TS-",,"C.F.V.","10.7",,,
2017,"TURISMO","SEAT 600-",,"C.F.V.","7.5","VH","VEHICULO HISTORICO",100
2017,"MOTOCICLETA","DERBI 74 TT-",,"C.C","74",,,
2017,"MOTOCICLETA","VESPA PK-75 XL-",,"C.C","74",,,
2017,"MOTOCICLETA","SUZUKI R 1.100-",,"C.C","996",,,
2017,"MOTOCICLETA","CAGIVA 125 FREC-",,"C.C","125",,,
2017,"CAMION","OPEL T-VAN 1.6-",,"CARGA","535","EX","EXENCIÓN",100
2017,"MOTOCICLETA","VESPA PX 125 T-",,"C.C","125",,,
2017,"MOTOCICLETA","VESPA PK 125 XL-",,"C.C","121",,,
2017,"TURISMO","CITROEN BX 19 T-",,"C.F.V.","12.9","VM","VEHÍCULOS DISCAPACITADOS",100
2017,"TURISMO","FIAT UNO-",,"C.F.V.","10.2",,,
2017,"MOTOCICLETA","KAWASAKI-",,"C.C","400",,,
2017,"CAMION","NISSAN L-35.08-",,"CARGA","999","EX","EXENCIÓN",100
2017,"MOTOCICLETA","VESPA PK 75 XL-",,"C.C","75",,,
2017,"MOTOCICLETA","VESPA PK 75 XL-",,"C.C","75",,,
2017,"MOTOCICLETA","VESPA PK 75 XL-",,"C.C","75",,,
2017,"MOTOCICLETA","YAMAHA SR 250-",,"C.C","239",,,
2017,"TURISMO","RENAULT R 19 CH-",,"C.F.V.","10.7",,,
2017,"TURISMO","RENAULT 19 TR-",,"C.F.V.","10.7",,,
2017,"TURISMO","NISSAN PATROL-",,"C.F.V.","19",,,
2017,"TURISMO","FORD ORION 1.4-",,"C.F.V.","10.7",,,
2017,"MOTOCICLETA","VESPA PK 75-",,"C.C","75",,,
2017,"TURISMO","SUZUKI SANTANA-",,"C.F.V.","10",,,
2017,"MOTOCICLETA","VESPA TX 200-",,"C.C","200",,,
2017,"CAMION","CITROEN C-15 RE-",,"CARGA","570",,,
2017,"MOTOCICLETA","APRILIA 125-",,"C.C","124",,,
2017,"TURISMO","B. M. W.  318-",,"C.F.V.","12.4",,,
2017,"MOTOCICLETA","VESPA-",,"C.C","125",,,
2017,"MOTOCICLETA","VESPA PK 75-",,"C.C","74",,,
2017,"MOTOCICLETA","RIEJU 80-",,"C.C","74",,,
2017,"MOTOCICLETA","M.V. AGUSTA-",,"C.C","150","EX","EXENCIÓN",100
2017,"TURISMO","RENAULT 19-",,"C.F.V.","12.7",,,
2017,"CAMION","MERCEDES BENZ-",,"CARGA","1800",,,
2017,"CAMION","CHEVROLET CG-",,"CARGA","575",,,
2017,"MOTOCICLETA","VESPA TX 200-",,"C.C","200",,,
2017,"MOTOCICLETA","VESPA PK 75 XL-",,"C.C","125",,,
2017,"TURISMO","NISSAN PATROL-",,"C.F.V.","15.9",,,
2017,"MOTOCICLETA","VESPA PK ELESTA-",,"C.C","75",,,
2017,"MOTOCICLETA","YAMAHA SR 250-",,"C.C","250",,,
2017,"CAMION","NISSAN L 35-",,"CARGA","650",,,
2017,"TURISMO","SEAT IBIZA 1.2-",,"C.F.V.","9",,,
2017,"MOTOCICLETA","YAMAHA SR-250-",,"C.C","239",,,
2017,"MOTOCICLETA","HONDA NSR 125-F-",,"C.C","124",,,
2017,"MOTOCICLETA","HONDA GBR 600-",,"C.C","598",,,
2017,"TRACTOR","KUBOTA M7030F-",,"C.F.V.","71","EX","EXENCIÓN",100
2017,"MOTOCICLETA","HONDA SCOOPY-","X","C.C","80",,,
2017,"TURISMO","SEAT IBIZA 1.2-",,"C.F.V.","9",,,
2017,"TRACTOR","KUBOTA M5030V-",,"C.F.V.","53","EX","EXENCIÓN",100
2017,"TURISMO","NISSAN PATROL-",,"C.F.V.","19","EX","EXENCIÓN",100
2017,"MOTOCICLETA","SUZUKI RV 90-",,"C.C","88",,,
2017,"CAMION","VOLVO FL-7 CH-",,"CARGA","9900",,,
2017,"CAMION","NISSAN M 125-",,"CARGA","5400","EX","EXENCIÓN",100
2017,"TURISMO","VOLKSWAGEN GOLF-",,"C.F.V.","11",,,
2017,"TURISMO","B.M.W. 525i-",,"C.F.V.","17",,,
2017,"TURISMO","PEUGEOT 205 SRD-",,"C.F.V.","12.3",,,
2017,"MOTOCICLETA","YAMAHA TZR 80-",,"C.C","72",,,
2017,"TURISMO","FORD SIERRA 1.8-",,"C.F.V.","12.3",,,
2017,"TURISMO","FORD ORION 1.6-",,"C.F.V.","11.6",,,
2017,"MOTOCICLETA","VESPA 160-",,"C.C","160",,,
2017,"TURISMO","RENAULT 5-",,"C.F.V.","9.3",,,
2017,"TURISMO","FORD SIERRA 2.0-",,"C.F.V.","13.3","VM","VEHÍCULOS DISCAPACITADOS",100
2017,"TRACTOR","SILVESTRE S 200-",,"C.F.V.","20","EX","EXENCIÓN",100
2017,"MOTOCICLETA","SUZUKI LIDO-",,"C.C","73",,,
2017,"TURISMO","FORD ESCORT-",,"C.F.V.","11.6",,,
2017,"TURISMO","NISSAN PATROL-",,"C.F.V.","19",,,
2017,"TURISMO","SEAT MALAGA 1.2-",,"C.F.V.","9",,,
2017,"MOTOCICLETA","DERBI GPR 75 H-",,"C.C","74",,,
2017,"TURISMO","B.M.W. M 635CSI-",,"C.F.V.","21.7",,,
2017,"MOTOCICLETA","KAWASAKI R 600-",,"C.C","599",,,
2017,"CAMION","MERCEDES MB-120-",,"CARGA","1220","VM","VEHÍCULOS DISCAPACITADOS",100
2017,"TURISMO","RENAULT 21 TXE-",,"C.F.V.","13.2","VM","VEHÍCULOS DISCAPACITADOS",100
2017,"TURISMO","RENAULT R 19-",,"C.F.V.","12.7",,,
2017,"MOTOCICLETA","HONDA CBR1000F-",,"C.C","998",,,
2017,"CAMION","NISSAN TRADE-",,"CARGA","960",,,
2017,"MOTOCICLETA","GILERA XR1 125-",,"C.C","125",,,
2017,"TURISMO","AUDI COUPE-",,"C.F.V.","15",,,
2017,"MOTOCICLETA","SUZUKI GSX 600-",,"C.C","599",,,
2017,"TURISMO","LAND ROVER TODO-",,"C.F.V.","15","VM","VEHÍCULOS DISCAPACITADOS",100
