"Descripción Punto de Suministro","CUPS","Tarifa Acceso","ene.","feb.","mar.","abr.","may.","jun.","jul.","ago.","sep.","oct.","nov.","dic.","total"
"AA,VV, DE LA MARXADELLA","ES0021000008531398BM","2.0A","246,11","142,51","139,48","161,03","131,79","162,53","161,83","194,37","208,76","176,69","180,94","167,01","2.073,05"
"ALMACEN- RECOGIDA RESIDUOS SOLIDOS","ES0021000011568539VL","3.1A","4.706,98","3.489,73","3.112,50","3.526,99","2.829,65","3.455,16","3.269,96","5.929,52","3.790,75","3.479,47","7.805,73","4.367,75","49.764,19"
"ALMACEN-RIEGO, PARC CENTRAL, PASO INF.","ES0021000012001412RD","2.0A","0,00","83,40","0,00","81,41","0,00","68,10","0,00","48,70","0,00","115,79","0,00","61,29","458,69"
"ALMACEN DEPENDENCIA MUNICIPAL","ES0021000010783064KV","2.0A","29,70","24,89","20,06","26,49","21,67","24,89","24,89","23,27","27,30","20,06","26,49","26,49","296,20"
"ALUMB. PUBLICO, PARC CENTRAL FASE B","ES0021000011981274EL","3.0A","2.643,73","2.035,25","2.172,87","2.301,41","1.502,94","1.614,90","1.495,60","1.423,29","1.698,15","1.722,71","2.464,44","2.690,95","23.766,24"
"ALUMB. PUBLICO, PARC CENTRAL, FASE B","ES0021000011981310RD","3.0A","1.444,64","1.309,85","1.226,72","1.352,04","916,52","896,72","931,96","858,60","964,03","959,28","1.272,46","1.263,84","13.396,66"
"ALUMB. PUBLICO, PARQUE CENTRAL, FASE B","ES0021000012268255BY","2.0DHA","0,00","48,82","0,00","1.020,23","143,87","133,06","129,30","92,87","210,28","189,65","237,15","275,42","2.480,65"
"ALUMB. PUBLICO, URB. MASIA PAVIA","ES0021000012712829CJ","2.0DHA","34,95","103,34","0,00","80,75","0,00","64,46","0,00","31,65","0,00","151,69","0,00","0,00","466,84"
"ALUMB.PUBLICO","ES0021000008539311XY","3.0A","1.066,56","824,44","817,04","827,89","608,00","617,31","591,41","564,01","600,10","670,65","758,46","896,22","8.842,09"
"ALUMB.PUBLICO","ES0021000008539370NL","2.1DHA","579,34","503,47","433,20","446,75","347,30","347,35","296,54","354,25","340,21","372,03","469,33","453,23","4.943,00"
"ALUMBRADO","ES0021000008530746MC","3.0A","304,70","231,77","245,92","251,78","225,01","222,14","233,64","220,42","250,91","242,50","262,61","312,36","3.003,76"
"ALUMBRADO","ES0021000013374733AT","2.0A","126,64","82,97","79,75","80,35","70,66","59,33","80,81","65,58","66,31","82,41","109,50","117,47","1.021,78"
"ALUMBRADO","ES0021000016297908EJ","2.0DHA","207,10","152,44","111,19","120,89","100,21","85,92","109,86","120,53","108,93","119,83","238,59","182,77","1.658,26"
"ALUMBRADO","ES0021000016576368PN","2.0A","508,49","350,93","280,30","300,56","242,08","217,51","251,72","288,61","288,43","296,93","391,63","445,88","3.863,07"
"ALUMBRADO","ES0021000016713525ZC","2.0A","26,24","16,65","18,77","26,78","15,30","22,08","18,77","22,70","19,37","19,99","19,37","21,48","247,50"
"ALUMBRADO PUBLICO","ES0021000008524145VC","2.0A","739,26","456,73","441,56","438,72","353,23","286,36","351,15","377,86","435,10","466,48","554,13","542,29","5.442,87"
"ALUMBRADO PUBLICO","ES0021000008524994PH","3.0A","1.520,51","1.130,93","1.126,78","1.189,57","874,93","903,82","806,94","798,29","918,67","940,44","1.164,65","1.054,06","12.429,59"
"ALUMBRADO PUBLICO","ES0021000008525073NM","2.1A","5.344,35","0,00","0,00","2.652,90","0,00","1.650,04","0,00","1.696,86","1.685,18","0,00","0,00","2.732,51","15.761,84"
"ALUMBRADO PUBLICO","ES0021000008525243LZ","2.0DHA","0,00","658,09","0,00","388,96","0,00","227,49","0,00","311,90","329,05","0,00","0,00","64,56","1.980,05"
"ALUMBRADO PUBLICO","ES0021000008525574BT","3.0A","880,80","652,39","655,62","684,49","507,72","515,00","483,28","473,46","553,79","573,39","710,09","746,44","7.436,47"
"ALUMBRADO PUBLICO","ES0021000008527192NP","3.0A","1.030,49","791,21","808,99","717,98","555,55","604,51","548,19","526,25","629,79","622,89","807,56","767,98","8.411,39"
"ALUMBRADO PUBLICO","ES0021000008530632TK","3.0A","987,73","777,93","754,62","779,84","586,16","532,15","545,30","504,41","620,95","690,62","735,26","933,06","8.448,03"
