"Mes","Código de Entidad","Entidad","Ratio de Operaciones Pagadas ","Ratio de Operaciones Pendientes de Pago ","Periodo Medio de Pago Mensual "
septiembre-17,"12-28-006-AA-000","Alcobendas","32.67","16.09","26.79"
septiembre-17,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","-25.25","0","-25.25"
septiembre-17,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-17.98","-4.36","-15.13"
septiembre-17,"12-00-038-HH-000","F. Ciudad de Alcobendas","-25.43","-28","-27.43"
septiembre-17,"12-28-006-AO-001","P. Bienestar Social","23.43","1.03","13.04"
septiembre-17,"12-28-006-AO-002","P. M. Deportes","20.63","-2.01","9.18"
septiembre-17,"12-28-006-AO-003","P. M. Sociocultural","29.65","17.31","22.12"
septiembre-17,"12-28-006-AP-001","Seromal, S.A.","29.31","-2.51","13.42"
agosto-17,"12-28-006-AA-000","Alcobendas","22.62","30.56","27.74"
agosto-17,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","0","0","0"
agosto-17,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-17.44","-22","-17.55"
agosto-17,"12-00-038-HH-000","F. Ciudad de Alcobendas","-26.63","-24","-26.16"
agosto-17,"12-28-006-AO-001","P. Bienestar Social","1.81","13.75","12.76"
agosto-17,"12-28-006-AO-002","P. M. Deportes","-0.22","0.25","0.08"
agosto-17,"12-28-006-AO-003","P. M. Sociocultural","4.23","18.58","11.43"
agosto-17,"12-28-006-AP-001","Seromal, S.A.","43.38","8.01","21.62"
julio-17,"12-28-006-AA-000","Alcobendas","53.43","8.28","20.25"
julio-17,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","0","0","0"
julio-17,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-16.38","-5","-16.33"
julio-17,"12-00-038-HH-000","F. Ciudad de Alcobendas","4.78","-25.46","-20.34"
julio-17,"12-28-006-AO-001","P. Bienestar Social","4.74","-13.52","-4.54"
julio-17,"12-28-006-AO-002","P. M. Deportes","5.92","-2.48","2.78"
julio-17,"12-28-006-AO-003","P. M. Sociocultural","14.78","-2.06","7.04"
julio-17,"12-28-006-AP-001","Seromal, S.A.","30.74","19.9","23.58"
junio-17,"12-28-006-AA-000","Alcobendas","28.13","21.35","24.19"
junio-17,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","-20.72","0","-20.72"
junio-17,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-15.6","-10.33","-13.99"
junio-17,"12-00-038-HH-000","F. Ciudad de Alcobendas","-24.26","-29","-24.27"
junio-17,"12-28-006-AO-001","P. Bienestar Social","12.04","-4.01","1.99"
junio-17,"12-28-006-AO-002","P. M. Deportes","8.33","4.85","7.33"
junio-17,"12-28-006-AO-003","P. M. Sociocultural","17.05","6.28","9.72"
junio-17,"12-28-006-AP-001","Seromal, S.A.","28.7","11.85","19.26"
mayo-17,"12-28-006-AA-000","Alcobendas","4.46","20.59","14.35"
mayo-17,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","0","0","0"
mayo-17,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-10.91","-8.97","-10.75"
mayo-17,"12-00-038-HH-000","F. Ciudad de Alcobendas","-19.68","-26.05","-21.89"
mayo-17,"12-28-006-AO-001","P. Bienestar Social","11.77","-1.2","7.8"
