Nombre,Fecha de inicio,Fecha de fin,Hora de inicio,Hora de fin,Barrio,Más información,Descripción,Tipo de evento,Tipo de público,Lugar,Lat,Lon
"Exposición: Hacer amar plantar árboles. Colección Valzuela","14/09/2017","18/11/2017","","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2515","Datos de interés Descripción Inauguración el 21 de septiembre a las 20 h. Iniciada hace más de cuatro décadas, la colección, reunida por María Pilar Cerezuela y Enrique Vallés, bajo el nombre de Colección Valzuela, se caracteriza por lo insólito de su amplitud histórica y disciplinaria. La imponente selección de obras, pertenecientes al arte contemporáneo nacional e internacional, ha aprendido a convivir con un conjunto de piezas de diferente naturaleza y época. Lo que originalmente nació sin un objetivo concreto, únicamente movido por el gusto por adquirir objetos, muebles, dibujos o pinturas, desembocó paulatinamente en la consciencia de que lo configurado con tanta dedicación era ni más ni menos que una colección de arte con mayúsculas. Más información. Puede visitarse de lunes a sábado, de 11 a 20 h. ","Pintura, Escultura y Fotografía,Exposiciones","Público general","Centro de Arte Alcobendas",40.54090867,-3.63070666
"¿Bailamos?","20/01/2018","20/01/2018","19:30","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2499","Datos de interés Descripción Este programa constituye un ecléctico e incesante baile que se desarrolla mediante un viaje metafórico, visitando países como España, Lituania, Rusia, Argentina y EE.UU.  Intérprete: Trio Rodín Violín: Carles Puig Cello: Esther García (Becada Fundación Ciudad de Alcobendas) Piano: Jorge Mengotti Programa: J. TURINA (1882-1949) Trio con piano nº2 en si menor A.SENDEROVAS (1945- ) Song and dance D. SHOSTAKOVICH (1906-1975) 5 piezas para 2 violines y piano (arr. Atovmyan-Trio Rodin) I. Prelude II. Gavotte III. Elegy IV. Waltz V. Polka L. GIANNEO (1897-1968) 2 Danzas argentinas Güeya Bailecito PIAZZOLLA (1921-1992) Oblivion La muerte del ángel P. SCHOENFIELD (1947- ) Café Music Edad recomendada: a partir de 10 años. Horario  Duración: 90 minutos. Precio Concierto: 10 € .  Venta de entradas a partir del 22 de septiembre. Abono Alcobendas Clásica por 49 €. Venta de Abonos a partir del 12 de septiembre.   Descuentos Menores de 30 años: 25% de descuento. Mayores de 65 años y/o pensionistas: 25 % de descuento. Familias numerosas: 25 % de descuento. Grupos (a partir de 10 entradas): 25 % de descuento (sólo en taquilla). Menores de 2 años: 50 % de descuento en los conciertos del Ciclo Música en Familia. Los descuentos solo son aplicables a las localidades con importe superior a 6 euros, excepto en los conciertos del Ciclo Música en Familia, que se aplicarán a familias numerosas y grupos. Los descuentos no son acumulables ni se aplican al importe de los abonos ni de los ensayos didácticos. Para la aplicación del descuento deberá presentar la acreditación que le da derecho al mismo tanto en el momento de adquirir su localidad como en el momento de acceder a la sala.   Taquilla Venta de entradas en todas las taquillas municipales, en  https://www.ticketea.com/ y en el Tlf.  902 044 226.  Ver programa Alcobendas Clásica Octubre 2017/Enero 2018 Otros datos Público infantil: La edad mínima para acceder a la sala es de 5 años, salvo espectáculos del ciclo Música en Familia y Ensayos Didácticos. En todos los casos, los menores deben estar acompañados por un adulto, que será el responsable. Todas las personas deberán adquirir su localidad independientemente de la edad. Consultar descuentos especiales para menores de 2 años. Con objeto de cumplir la normativa de evacuación, no se permitirá el acceso a las salas con cochecitos de bebés, dejando éstos en los lugares especialmente habilitados. La dirección se reserva el derecho a solicitar la salida de la sala si se considera que el niño causa alguna molestia al resto del público.  Otras informaciones: La duración de los espectáculos es aproximada. El intermedio, en caso de existir, durará 15 minutos. No se admite consumir alimentos o bebidas en la sala. La organización se reserva el derecho de variar la programación cuando causas de fuerza mayor lo exijan. Estas variaciones se harán públicas en los medios de comunicación municipales. La suspensión o cambio de un espectáculo sólo lleva consigo la devolución del importe o bien el cambio de localidad. No está permitido la realización de fotografías/vídeos/dispositivos móviles durante el evento. Las grabaciones se realizarán en el espacio habilitado para ello, exclusivamente, previa autorización.","Teatro, Música y Danza,Música,Conciertos Alcobendas Clásica","Público general","Centro de Arte Alcobendas",40.54090867,-3.63070666
"¿Naturaleza o arte? Objetos que cuentan historias.","04/11/2017","04/11/2017","","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2506","Datos de interés Descripción Visita guiada a la exposición Orden natural de Javier Arce, en la que el artista nos muestra objetos cotidianos, dibujos, fotografías y grabados que hablan de una historia personal que se hace pública al exponerse. Después de la visita, basándonos en lo que hemos visto en la exposición realizaremos un taller de Land Art en el que los participantes podrán crear sus propias obras de arte con materiales de la naturaleza.     Requisitos Solo se pueden apuntar familias con niños entre 3 y 12 años. No se inscriben niños ni adultos solos, no se pueden inscribir niños fuera de esta franja de edad. No se exige filiación. Cada persona puede inscribir a un máximo de 2 unidades familiares. Un adulto por niño.   Horario Habrá dos pases de 13 niños: Niños de 3 a 6 años, de 11 a 12 h.  Niños de 7 a 12 años, de 12:30 a 13:45 h. Inscripción  A partir del 30 de octubre para empadronados A partir del 31 de octubre para no empadronados. Las inscripciones pueden hacerse presencial o telefónicamente en el Servicio de Atención Ciudadana.","Otros Cultura y Ocio,Infancia,Talleres,Otros,Cultura en Familia","Infancia y Adolescencia","Centro de Arte Alcobendas",40.54090867,-3.63070666
"5 años al futuro de la educación en 5 horas","15/11/2017","15/11/2017","08:30","14:00","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2555","Datos de interés Descripción Nace en Alcobendas el evento 5 años al futuro de la educación en 5 horas, durante cinco horas, los asistentes viajarán cinco años al futuro de la educación, conocerán las últimas tendencias y la visión del sistema educativo finlandés. Organizado por el Ayuntamiento de Alcobendas y Made in Möbile, el acto reunirá a centros educativos, docentes, asociaciones y medios especializados con el objetivo de impulsar la transformación digital en los colegios e instituciones españolas. El acto contará con los siguientes ponentes: Desde Finlandia y con los testimonios de la embajadora en España, Tiina Jortikka- Laitinen; de Walid O. El Cheikh, de Aalto University Executive Education, y de Joni AlWindi, de EdVisto, compartirán las claves del éxito de su sistema educativo líder en el mundo. David Calle, finalista del Global Teacher Prize 2017, considerado el Nobel de la educación e incluido por la revista Forbes entre las cien personas más creativas del mundo, contará qué le llevo a construir Unicoos, el canal educativo más importante del mundo de habla hispana. Otros ponentes destacados, como Javier Sirvent o Sixto Arias, nos desvelarán los empleos del futuro. Fecha y lugar de celebración 15 de noviembre de 8:30 a 14 horas en el Centro de Arte Alcobendas. Inscripciones La entrada al acto es gratuita y tiene aforo limitado. Más información en www.futurodelaeducacion.com. Inscripciones.","Otros Educación,Educación","Adultos,Público general","Centro de Arte Alcobendas",40.54090867,-3.63070666
"Alcobendas en pañales: Cucú-Tras","15/12/2017","16/12/2017","","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2514","Datos de interés Descripción Cuenta cuentos para pequeños. Los peques están en el regazo de 1 adulto. Si vinieran 2 adultos por niño (padre + madre) el segundo adulto queda fuera del círculo de los cuentos. Es decir, que no podrá estar con el bebé por cuestión de espacio. A veces quieren venir con los abuelos, tíos, etc. En ese caso los adultos sólo podrán pasar si queda espacio libre. Duración: 30 minutos aproximadamente. Horario Viernes 24 de noviembre Bebés de 10 a 24 meses, a las 11:30 h.  Bebés de 18 a 36 meses, a las 17:00 y a las 18:10 h. Sábado 25 de noviembre  Bebés de 18 a 36 meses, a las 17:00 h. Bebés de 10 a 18 meses, a las 18:10 h. Cada pase cuenta con 20 plazas infantiles, que se cubrirán por orden de inscripción.  Precio Gratuito Requisitos Cada niño debe apuntarse con un adulto. No se inscriben niños ni adultos solos.  No se exige filiación. Cada niño se puede apuntar solo a una sesión. Solo los niños ocupan plaza. Cada persona puede inscribir a un máximo de dos niños. No se pueden inscribir niños fuera de la franja de edad estipulada.    Inscripciones A partir del 12 de diciembre tanto para empadronados como para no empadronados. Las inscripciones pueden realizarse presencial o telefónicamente en el Servicio de Atención Ciudadana.","Infancia,Espectáculos,Cultura en Familia,Actividades en las mediatecas","Infancia y Adolescencia","Centro Cultural Pablo Iglesias",40.54295948,-3.64362527
"Alcobendas en pañales: Cuentacuentos","24/11/2017","25/11/2017","","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2513","Datos de interés Descripción Cuenta cuentos para pequeños. Los peques están en el regazo de 1 adulto. Si vinieran 2 adultos por niño (padre + madre) el segundo adulto queda fuera del círculo de los cuentos. Es decir, que no podrá estar con el bebé por cuestión de espacio. A veces quieren venir con los abuelos, tíos, etc. En ese caso los adultos sólo podrán pasar si queda espacio libre. Duración: 30 minutos aproximadamente. Horario Viernes 24 de noviembre Bebés de 10 a 24 meses, a las 11:30 h.  Bebés de 18 a 36 meses, a las 17:00 y a las 18:10 h. Sábado 25 de noviembre  Bebés de 18 a 36 meses, a las 17:00 h. Bebés de 10 a 18 meses, a las 18:10 h. Cada pase cuenta con 20 plazas infantiles, que se cubrirán por orden de inscripción.  Precio Gratuito Requisitos Cada niño debe apuntarse con un adulto. No se inscriben niños ni adultos solos.  No se exige filiación. Cada niño se puede apuntar solo a una sesión. Solo los niños ocupan plaza. Cada persona puede inscribir a un máximo de dos niños. No se pueden inscribir niños fuera de la franja de edad estipulada.    Inscripciones A partir del 21 de noviembre tanto para empadronados como para no empadronados. Las inscripciones pueden realizarse presencial o telefónicamente  en el Servicio de Atención Ciudadana.","Infancia,Espectáculos,Cultura en Familia,Actividades en las mediatecas","Infancia y Adolescencia","Centro Cultural Pablo Iglesias",40.54295948,-3.64362527
"Antonio Orozco. Gira Destino","09/11/2017","09/11/2017","20:00","","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2479","Datos de interés Descripción  Antonio Orozco llega a Alcobendas en uno de los momentos más dulces de su trayectoria para presentar su último trabajo, Destino. El disco es una metáfora del viaje en el que el destino da sentido al camino al ofrecernos una meta, un lugar al que llegar. Sus canciones son el bagaje, las experiencias y los momentos que se han ido acumulando en el recorrido de su autor a lo largo de sus 15 años de carrera. Durante su concierto podremos disfrutar de la urgencia eufórica de Hoy Será, de la reivindicación rockera de Mírate o de la mordiente desnudez de Mi Héroe. Pero también habrá espacio para sus grandes clásicos y así formar un mapa sonoro lleno de emociones y momentos estelares que ya forman parte de la memoria de todos nosotros. Para mayores de 14 años.   Ficha artística: Voz: Antonio Orozco Guitarra y Dirección musical: John Caballés Bajo: Jordi Franco Batería: Toni Mateos Horario Duración: 120 minutos  Precio 22/29 € Otros datos Información sobre fechas y puntos de venta. Descuentos de localidades y abonos. Programación completa","Teatro, Música y Danza,Teatro y Danza,El Público,Abono Alternativo","Infancia y Adolescencia,Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"Arterótico","09/10/2017","30/11/2017","","","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2542","Datos de interés Descripción ¿Quieres participar en una exposición sobre la sexualidad y el erotismo? ASSEX, Asociación de salud y sexualidad, perteneciente al Consejo de la Juventud de Alcobendas, invita a los jóvenes de Alcobendas a presentar fotos, pinturas, relatos, poemas, canciones…y cualquier otro formato artístico, en torno a estos dos temas. Plazo Las obras se presentarán hasta el 31 de octubre. El proyecto se expondrá en El Cubo, espacio expositivo de Imagina, del 6 al 30 de noviembre. La inauguración será el lunes 6 de noviembre, coincidiendo con la Semana de la Juventud, y se mantendrá durante todo el mes. Más información Para ampliar información puedes contactar con hola@assexsaludysexualidad.org  o enviar un WhatsApp al 644619546.","Literatura e Historia,Pintura, Escultura y Fotografía,Exposiciones,Otros,Imagina - Juventud","Jóvenes","Imagina - Casa de la Juventud",40.54806866,-3.64420053
"Aventurarte","16/09/2017","30/06/2018","18:00","20:00","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2327","Datos de interés Descripción  Aventurarte es un proyecto municipal de participación a través del ocio y el tiempo libre, esto quiere decir que los niños asistentes aprenden jugando y divirtiéndose con multitud de herramientas que ayudan al desarrollo personal y social. Está dirigido a niños y niñas entre 10 y 14 años. Con Aventurarte el objetivo es crear un espacio de ocio educativo que nace de las propias propuestas de los más jóvenes, y de las necesidades que detectan los propios dinamizadores del proyecto intentando llevar a cabo las propuestas. Desde Aventurarte se ofrece espacios y tiempo para el desarrollo personal, el ocio y tiempo libre, la participación, los juegos y la diversión. La reunión del grupo se desarrolla en una sala que dispone de multitud de materiales, juegos de mesa, material para dibujar, ping-pong, videojuegos, etc. Una vez reunidos los participantes de cada sábado pasan a realizar cada fin de semana una actividad diferente como puede ser: creación de fotografía, video, exposiciones, teatro, deporte, danza, manualidades, fiestas y muchas más cosas. Para completar la formación del grupo, una vez al trimestre se realiza una salida, que puede ser: al aire libre, campo, patinar sobre hielo, visitas guiadas por Madrid, etc. La programación de octubre es la siguiente: Sábado 7 de octubre. Potencia tu creatividad. Este sábado pondremos a prueba nuestra creatividad y talento artístico a través de las diferentes disciplinas artísticas: pintura, escritura, escultura... ¡Ven y descubre tu talento creativo! Sábado 14 de octubre. Acroyoga y acrosport. ¿Conoces el nuevo deporte de moda? El acroyoga y acrosport combina los beneficios del deporte con el equilibrio, la agilidad y la belleza de las acrobacias. Este sábado ofreceremos un taller de iniciación para que conozcas de cerca este novedoso deporte. ¡Anímate a probarlo! Realizaremos el taller en el pabellón del CEIP Castilla por lo que nos encontraremos allí a las 18 h. Sábado 21 de octubre. Teatro de improvisación. Este sábado, además de nuestros divertidos juegos, vamos a desarrollar nuestra creatividad e imaginación con este divertido taller de teatro de improvisación. Juegos y técnicas teatrales con las que pasaremos un buen rato, dejando la vergüenza atrás.  Sábado 28 de octubre. Horror make up. Llega Halloween y, este año vamos a caracterizarnos como nuestros personajes de terror favoritos con un taller de maquillaje terrorífico. Heridas, muertos vivientes, y las mejores caracterizaciones para que pasemos un Halloween de MIEDO! Podéis traer vuestros propios disfraces e ideas y… ¡aquí los encargamos del resto!  Más información Para poder participar en el programa “Aventurarte” todos los niños y niñas tendrán que traer una autorización rellena y firmada por los tutores legales del niño o niña, la autorización se puede recoger en el horario de la actividad, lo sábados de 18 a 20 h en la 3º planta del Centro de Arte de Alcobendas. Puedes consultar toda la información a través de la página web de Imagina http://www.imaginalcobendas.org/, o ampliar la información en el teléfono 91 6590957.","Otros Cultura y Ocio,Infancia,Talleres,Aventurarte y el Juguetón","Infancia y Adolescencia","Centro de Arte Alcobendas",40.54090867,-3.63070666
"Bella Durmiente","02/12/2017","02/12/2017","20:00","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2489","Datos de interés Descripción   El Ballet de Moscú  regresa a nuestro escenario para interpretar una de las grandes obras compuestas para la danza por el genial Chaikovski. La coreografía conmueve al público por su sensibilidad al dar forma a la historia de amor imposible de Siegfried y Odette. La pieza, llena de magia y romanticismo, fue estrenada a finales del siglo XIX y desde entonces ha sido una de las más coreografiadas y versionadas de todos los tiempos. Ahora llega a Alcobendas en este bello montaje producido por una compañía que siempre nos deja muy buen sabor de boca. Para mayores de 8 años.   Ficha artística: Coreografía: Marius Petipa Música: Chaikovsky Libreto: A. Vsevolojsky Director: Timur Fayziev Solistas: Cristian Terentiev y Anatolie Ustimov Cuerpo de Baile: Ballet de Moscú     Horario Duración: 120 minutos  Precio 15/20 € Otros datos Información sobre fechas y puntos de venta. Descuentos de localidades y abonos. Programación completa","Teatro, Música y Danza,Teatro y Danza,El Público,Abono General","Infancia y Adolescencia,Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
