"Año","Trimestre","AYUNTAMIENTO","PBS","PMD","PSC"
2017,"trimestre 2",49,42,43,54
2017,"trimestre 1",68,43,43,46
"2016","trimestre 4",53,44,45,66
"2016","trimestre 3",68,53,45,50
"2016","trimestre 2",60,36,40,49
"2016","trimestre 1",84,58,53,66
"2015","trimestre 4",82,50,42,42
"2015","trimestre 3",58,54,59,125
"2015","trimestre 2",51,41,45,57
"2015","trimestre 1",18,26,30,61
"2014","trimestre 4",22,13,15,9
"2014","trimestre 3",21,15,15,11
"2014","trimestre 2",44,11,12,9
"2014","trimestre 1",57,19,20,15
"2013","trimestre 4",24,13,15,12
"2013","trimestre 3",29,18,19,14
"2013","trimestre 2",36,23,17,13
"2013","trimestre 1",70,51,38,48
"2012","trimestre 4",52,33,38,27
"2012","trimestre 3",47,37,45,34
"2012","trimestre 2",53,31,36,26
"2012","trimestre 1",48,39,63,40
"2011","trimestre 4",49,52,42,37
"2011","trimestre 3",55,40,47,46
"2011","trimestre 2",39,44,41,28
"2011","trimestre 1",38,102,56,78
"2010","trimestre 4",55,51,57,28
"2010","trimestre 3",48,54,53,27
