Nombre,Subnombre,Temas,Subtemas,Tipos,Subtipos,Subsubtipos,Perfiles,Fecha de inicio,Fecha de fin,Hora de inicio,Hora de fin,Distrito,Url de ficha,Equipamiento,Localizacion,Coordenada X (UTM),Coordenada Y (UTM),Coordenada X,Coordenada Y,Texto,Fecha de inscripción empadronados,Fecha de inscripción empleados,Fecha de inscripción general,Temática
"¿Te atreves a escribir?: Talleres de escritura creativa","Cursos y Talleres Casa de la Mujer 2017/2018","Cultura y Ocio|Mujer","Otros Cultura y Ocio|Mujer","Mujer","Desarrollo personal","","Adultos|Mujeres", 06/10/2017, 08/06/2018,,,"Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=845","Casa de la Mujer "Clara Campoamor"","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D33%5D&amp;zoom=18","445622.9440000791","4489044.617","40.550376041309306","-3.6422179517738207","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_1278405251058"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>El lenguaje literario surge del centro mismo de la imaginaci&oacute;n. Nos lleva al encuentro con las emociones, as&iacute; como pone en funcionamiento&nbsp;la reflexi&oacute;n y la capacidad cr&iacute;tica. Para ello, en el taller se llevar&aacute; a cabo la escritura de cuentos, relatos y poemas, la lectura de textos escritos por el alumnado, as&iacute; como textos de autoras y autores consagrados. Asimismo, se establecer&aacute;n debates en torno a cuestiones planteadas en el aula.&nbsp; </p><p>Dirigido a mujeres y hombres.&nbsp; </p><h5>Horario</h5><ul class=""tipo1"">	<li><strong>Inicial:</strong>&nbsp; viernes de 10:00 a 12:00 h.</li>	<li><strong>Avanzado:</strong>&nbsp;viernes de&nbsp;12:00 a 14:00 h. </li></ul><h5>Precio</h5><p>31,38 &euro;/trimestre.&nbsp; </p><p>Consulte la informaci&oacute;n sobre <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=544"" id=""FichaTramite_544"">Formas de pago, bajas y devoluciones</a>. </p><h5>Informaci&oacute;n e Inscripci&oacute;n&nbsp;</h5><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a>&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=3017"" id=""Documento_3017_2308239282162"">&nbsp;</a> </p><h5 class=""tipo1"">Informaci&oacute;n de inter&eacute;s</h5><p>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas. </p><p>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_4039444001698"">Cursos y talleres de la Casa de la Mujer.</a> </p></div></div><!--fin fichaterritoriales--></div>",22/06/2017,,13/09/2017,"Disciplinas artísticas"
"Administración Pública Electrónica - nivel medio","Cursos y Talleres Casa de la Mujer 2017/2018","Mujer","Mujer","Cultura y Formación|Mujer","Tecnología|Actualización profesional","Ofimática","Adultos", 08/01/2018, 05/03/2018, 19:00, 20:00,"Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1966","Casa de la Mujer "Clara Campoamor"","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D33%5D&amp;zoom=18","445622.9440000791","4489044.617","40.550376041309306","-3.6422179517738207","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_4056350022510"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>Aprender a resolver la problem&aacute;tica de las usuarios con las administraciones p&uacute;blicas y la tecnolog&iacute;a. Conocer los medios de acceso al usuario, certificados, pin... Aprender a solicitar citas, certificados, etc., en Administraciones (Seguridad Social, Hacienda, m&eacute;dico de cabecera, etc.). </p><p>Requisitos: el alumnado debe estar familiarizado en el manejo del ordenador y de Internet.&nbsp; </p><p>Dirigido a mujeres. </p><h5>Horario&nbsp;</h5><p>Lunes y mi&eacute;rcoles de 19:00 a 20:00 horas. </p><h6 class=""tipo2""></h6><h6 class=""tipo2""></h6><h5>Precio</h5><p><strong>20,92&nbsp;&euro;/</strong>curso completo.&nbsp; </p><p>Consulte la informaci&oacute;n sobre <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=544"" id=""FichaTramite_544"">Formas de pago, bajas y devoluciones</a>. </p><h5>Informaci&oacute;n e Inscripci&oacute;n&nbsp;&nbsp;&nbsp;</h5><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a> </p><h5>Informaci&oacute;n de inter&eacute;s</h5><ul class=""tipo1"">	<li>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas.</li>	<li>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_8599605235887"">Cursos y talleres de la Casa de la Mujer</a></li></ul></div></div></div>",05/12/2017,,07/12/2017,"Formación académica y profesional|Nuevas Tecnologías"
"Almacenamiento en la Nube","Cursos y Talleres Casa de la Mujer 2017/2018","Mujer","Mujer","Cultura y Formación|Mujer","Tecnología|Actualización profesional","Ofimática","Adultos", 02/04/2018, 28/05/2018, 19:00, 20:00,"Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2156","Casa de la Mujer "Clara Campoamor"","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D33%5D&amp;zoom=18","445622.9440000791","4489044.617","40.550376041309306","-3.6422179517738207","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_2414159327"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>Conocer herramientas web de almacenamiento en la nube como Google Drive, OneDrive. As&iacute; como los entornos de utilizaci&oacute;n y escenarios posibles. </p><p>Requisitos: el alumnado debe de estar familiarizado en el manejo del ordenador y de Internet y disponer de cuenta de correo electr&oacute;nico&nbsp; en Gmail. </p><p>Dirigido a mujeres y hombres. </p><h5>Horario&nbsp;</h5><p>Lunes y mi&eacute;rcoles de&nbsp; 19 a 20 h . </p><h6 class=""tipo2""></h6><h6 class=""tipo2""></h6><h5>Precio</h5><p><strong>20,92&nbsp;&euro;/</strong>curso completo.&nbsp; </p><p>Consulte la informaci&oacute;n sobre <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=544"" id=""FichaTramite_544"">Formas de pago, bajas y devoluciones</a>. </p><h5>Informaci&oacute;n e Inscripci&oacute;n&nbsp;</h5><p><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1470"">En&nbsp;el Servicio de Atenci&oacute;n Ciudadana (SAC)</a>&nbsp; y en Casa de la Mujer C. M&aacute;laga, 50. Tel.: 916543787 </p><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a> </p><h5>Informaci&oacute;n de inter&eacute;s</h5><ul class=""tipo1"">	<li>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas.</li>	<li>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_8873079716500"">Cursos y talleres de la Casa de la Mujer</a></li></ul></div></div></div>",27/02/2018,,01/03/2018,"Formación académica y profesional|Nuevas Tecnologías"
"Artesanía diversa","Cursos y Talleres Casa de la Mujer 2017/2018","Mujer","Mujer","Cultura y Formación|Mujer","Expresión Artística|Artesanía","Artesanía","Adultos", 20/10/2017, 25/05/2018, 10:00, 13:00,"Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1645","Centro Cívico C/ Málaga","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D37%5D&amp;zoom=18","445622.94500007905","4489044.617000001","40.55037604137495","-3.6422179399640684","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_3000463108974"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>Pintura sobre madera, cristal,metal, tela, paraguas y abanicos pintados a mano alzada. Pastas modelables, tejas, de apa&ntilde;e, trabajos con servilletas, cuadros, velas decoradas, esta&ntilde;o.&nbsp; </p><p>Dirigido&nbsp;a mujeres y a hombres. &nbsp; </p><h5>Horario</h5><ul class=""tipo1"">	<li>Viernes&nbsp;de 10:00 a 13:00 h</li></ul><h5>Precio</h5><p>94,04 &euro;, dividido en tres pagos de 31,35 &euro;. </p><p>El coste del material corre a cargo del alumnado.&nbsp; </p><h5>Informaci&oacute;n e Inscripci&oacute;n&nbsp;</h5><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a> </p><h5>Pago, bajas y devoluciones&nbsp;</h5><p>Consulte la informaci&oacute;n sobre <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=544"" id=""FichaTramite_544"">Formas de Pago, Bajas y Devoluciones </a></p><h5 class=""tipo1"">Informaci&oacute;n de inter&eacute;s</h5><ul class=""tipo1"">	<li>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas.</li>	<li>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_7503535304322"">Cursos y talleres de la Casa de la Mujer.</a></li></ul></div></div></div>",22/06/2017,,13/09/2017,"Disciplinas artísticas"
"Atrévete con la casa. Bricolaje","Cursos y Talleres Casa de la Mujer 2017/2018","Cultura y Ocio|Mujer","Otros Cultura y Ocio|Mujer","Mujer","Desarrollo personal","","Adultos|Mujeres", 09/01/2018, 20/03/2018, 19:00, 21:00,"Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1955","Casa de la Mujer "Clara Campoamor"","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D33%5D&amp;zoom=18","445622.9440000791","4489044.617","40.550376041309306","-3.6422179517738207","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_8263948358035"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>Ven al taller de Atr&eacute;vete con la casa y aprende peque&ntilde;as reparaciones dom&eacute;sticas, desde cambiar un enchufe a arreglar ese grifo que gotea todo el tiempo o&hellip; Colgar los cuadros que tienes en el trastero desde la &uacute;ltima mudanza‼ &iexcl;Independ&iacute;zate! De tu pareja, de tus padres... y aprende a hacerlo t&uacute;. Ser manitas no es tan dif&iacute;cil&hellip; Adem&aacute;s repasamos todas las tareas de casa y te damos trucos e ideas para facilitar tu autonom&iacute;a en el hogar. Desde coser un bajo, cocina r&aacute;pida, sana a low cost, todo aquello que siempre quisiste preguntar y nunca te atreviste sobre lavar y planchar la ropa&hellip; </p><p>&iquest;Tienes dificultades para organizarte? Ven con tu pareja y os ayudamos a organizar el tiempo. </p><p>Dirigido a mujeres y hombres. </p><h5 class=""tipo1"">Horario</h5><ul class=""tipo1"">	<li>Martes&nbsp;de 19 a 21 h.&nbsp;&nbsp;</li></ul><h5>Precio</h5><p>Gratuito. </p><h5>Inscripci&oacute;n&nbsp;</h5><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a> </p><h5>Informaci&oacute;n de inter&eacute;s</h5><p>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas </p><p>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_3815269417992"">Cursos y talleres de la Casa de la Mujer.</a> </p></div></div><!--fin fichaterritoriales--></div>",05/12/2017,,07/12/2017,"Crecimiento personal"
"Atrévete con la casa. Plancha y costura","Cursos y Talleres Casa de la Mujer 2017/2018","Cultura y Ocio|Mujer","Otros Cultura y Ocio|Mujer","Mujer","Desarrollo personal","","Adultos|Mujeres", 05/04/2018, 17/05/2018, 19:00, 21:00,"Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2142","Casa de la Mujer "Clara Campoamor"","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D33%5D&amp;zoom=18","445622.9440000791","4489044.617","40.550376041309306","-3.6422179517738207","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_3736695815811"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>&iquest;Cansado/a de pedir favores a tus amigas/os o familia para que cosan un bajo?, cocina r&aacute;pida,&nbsp; sana a low cost, todo aquello que siempre quisiste preguntar y nunca te atreviste sobre lavar y planchar la ropa&hellip;&nbsp; &iquest;Tienes dificultades para organizarte? Ven con tu pareja y os ayudamos a organizar el tiempo. </p><p>Dirigido a mujeres y hombres. </p><h5 class=""tipo1"">Horario</h5><ul class=""tipo1"">	<li>Jueves&nbsp;de 19 a 21 h.&nbsp;&nbsp;</li></ul><h5>Precio</h5><p>Gratuito. </p><h5>Inscripci&oacute;n&nbsp;</h5><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a> </p><h5>Informaci&oacute;n de inter&eacute;s</h5><p>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas </p><p>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_6701636421972"">Cursos y talleres de la Casa de la Mujer.</a> </p></div></div><!--fin fichaterritoriales--></div>",27/02/2018,,01/03/2018,"Crecimiento personal"
"Baila Sevillanas, una terapia física y mental ","Cursos y Talleres Casa de la Mujer 2017/2018","Cultura y Ocio|Mujer","Otros Cultura y Ocio|Mujer","Mujer","Desarrollo personal","","Mujeres", 02/10/2017, 06/06/2018,,,"Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2153","Casa de la Mujer "Clara Campoamor"","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D33%5D&amp;zoom=18","445622.9440000791","4489044.617","40.550376041309306","-3.6422179517738207","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_8702080046154"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>El baile es una de las mejores opciones para mantenerse en forma, facilitar el movimiento muscular sin darse cuenta y disfrutar de una buena terapia tanto para el cuerpo como para el alma. Ac&eacute;rcate al flamenco con las clases de sevillanas para mantenerte feliz y en forma.&nbsp; </p><p>Dirigido a mujeres. </p><h5 class=""tipo1"">Fechas y horario</h5><ul class=""tipo1"">	<li>Grupo 1: del 2/10/2017 al 4/6/2018. Lunes de 18:30 a 20:30 h.&nbsp;&nbsp;</li>	<li>Grupo 2: del 4/10/2017 al 6/6/2018. Mi&eacute;rcoles de 10 a 12&nbsp;h.</li></ul><h5 class=""tipo1"">Precio</h5><p>31,38 &euro; trimestre. </p><p>Consulte la informaci&oacute;n sobre <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=544"" id=""FichaTramite_544"">Formas de Pago, Bajas y Devoluciones </a></p><h5 class=""tipo1"">Inscripci&oacute;n&nbsp;</h5><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a> </p><h5>Informaci&oacute;n de inter&eacute;s</h5><p>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas </p><p>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_1720560998772"">Cursos y talleres de la Casa de la Mujer.</a> </p></div></div><!--fin fichaterritoriales--></div>",22/06/2017,,13/09/2017,"Crecimiento personal"
"Bolillos","Cursos y Talleres Casa de la Mujer 2017/2018","Mujer","Mujer","Cultura y Formación|Mujer","Expresión Artística|Artesanía","Artesanía","Adultos", 19/10/2017, 17/05/2018, 10:00, 13:00,"Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=558","Casa de las Asociaciones","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D34%5D&amp;zoom=18","446474.65700007085","4487732.884000002","40.53861489651502","-3.632048327873206","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_569303728232"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n. </h5><p>Aprenderemos a realizar todo tipo de encajes como hac&iacute;an nuestras abuelas, pero tambi&eacute;n nos ense&ntilde;ar&aacute;n nuevas t&eacute;cnicas con todo tipo de objetos actuales.&nbsp; </p><p>Dirigido&nbsp;a mujeres y a hombres. &nbsp; </p><h5>Horario</h5><ul class=""tipo1"">	<li>Jueves&nbsp;de 10:00 a 13:00 h.</li></ul><h5>Precio</h5><p>94,04 &euro;, dividido en tres pagos de 31,35 &euro;. </p><p>El coste del material corre a cargo del alumnado.&nbsp; </p><h5>Informaci&oacute;n e Inscripci&oacute;n&nbsp;</h5><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a> </p><h5>Pago, bajas y devoluciones&nbsp;</h5><p>Consulte la informaci&oacute;n sobre <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=544"" id=""FichaTramite_544"">Formas de Pago, Bajas y Devoluciones </a></p><h5 class=""tipo1"">Informaci&oacute;n de inter&eacute;s</h5><ul class=""tipo1"">	<li>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas.</li>	<li>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_7313978843015"">Cursos y talleres de la Casa de la Mujer.</a></li></ul></div></div></div>",22/06/2017,,13/09/2017,"Disciplinas artísticas"
"Coaching para mujeres: Mujer, líder de tu vida","Cursos y Talleres Casa de la Mujer 2017/2018","Mujer","Mujer","Mujer","Desarrollo personal","","Mujeres", 16/10/2017, 15/01/2018, 19:00, 21:00,"Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1359","Casa de la Mujer "Clara Campoamor"","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D33%5D&amp;zoom=18","445622.9440000791","4489044.617","40.550376041309306","-3.6422179517738207","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_8533925971352"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>Desarrollar y potenciar la capacidad de liderazgo y autonom&iacute;a de la mujer en su vida personal y profesional, as&iacute; como favorecer la autoestima, la inteligencia emocional,&nbsp;la independencia y la capacidad de elecci&oacute;n de las mujeres utilizando como herramienta el coaching social y a trav&eacute;s de la construcci&oacute;n de un proyecto de vida personal.&nbsp; </p><p>Dirigido a mujeres. </p><h5>Horario</h5><ul class=""tipo1"">	<li>	<h6 class=""tipo2"">Lunes de 19:00 a 21:00 h.&nbsp;&nbsp;&nbsp; CURSO ANULADO</h6></li></ul><h5>Precio</h5><p>31,38 &euro;&nbsp; curso completo </p><p>Consulte la informaci&oacute;n sobre <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=544"" id=""FichaTramite_544"">Formas de Pago, Bajas y Devoluciones </a></p><h5>Inscripci&oacute;n&nbsp;</h5><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a> </p><h5 class=""tipo1"">Informaci&oacute;n de inter&eacute;s</h5><p>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas. </p><p>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_7443776169676"">Cursos y talleres de la Casa de la Mujer </a></p></div></div></div>",22/06/2017,,13/09/2017,"Crecimiento personal|Salud"
"Con las manos en la masa","Cursos y Talleres Casa de la Mujer 2017/2018","Cultura y Ocio|Mujer","Otros Cultura y Ocio|Mujer","Mujer","Desarrollo personal","","Adultos|Mujeres", 10/10/2017, 31/10/2017, 19:00, 21:00,"Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2149","Casa de la Mujer "Clara Campoamor"","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D33%5D&amp;zoom=18","445622.9440000791","4489044.617","40.550376041309306","-3.6422179517738207","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_3880380585124"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>Taller de cocina, si te apetece variar de la pasta y la comida r&aacute;pida...&iexcl;este es tu curso! Descubrir&aacute;s trucos para ahorrar dinero en la compra y enriquecer tus platos y tu autonom&iacute;a personal. </p><p>Dirigido a mujeres y hombres. </p><h5 class=""tipo1"">Horario</h5><ul class=""tipo1"">	<li>Martes&nbsp;de 19 a 21 h.&nbsp;&nbsp;</li></ul><h5>Precio</h5><p>Gratuito.&nbsp; </p><h5>Inscripci&oacute;n&nbsp;</h5><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a> </p><h5>Informaci&oacute;n de inter&eacute;s</h5><p>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas. </p><p>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_4551763085957"">Cursos y talleres de la Casa de la Mujer.</a> </p></div></div><!--fin fichaterritoriales--></div>",22/06/2017,,13/09/2017,"Crecimiento personal"
