trip_id, arrival_time, departure_time, stop_id, stop_sequence
4_I14-101_2016I14_2_1_4__10_A__,00:28:29,00:28:29,par_4_195,11
4_I12-102_2016I12_2_1_4__10_B__,00:18:47,00:18:47,par_4_281,7
4_I12-101_2016I12_2_1_4__10_A__,00:26:04,00:26:04,par_4_197,9
4_I14-102_2016I14_2_1_4__10_B__,00:24:37,00:24:37,par_4_284,10
4_I13-102_2016I13_1_1_4__10_B__,00:23:34,00:23:34,par_4_275,9
4_I15-102_2016I15_2_1_4__10_B__,00:06:25,00:06:25,par_4_276,2
4_I13-102_2016I13_2_1_4__10_B__,00:16:02,00:16:02,par_4_280,6
4_I15-101_2016I15_2_1_4__10_A__,00:40:48,00:40:48,par_4_188,18
4_I14-102_2016I14_2_1_4__10_B__,00:22:14,00:22:14,par_4_283,9
4_I15-101_2016I15_1_1_4__10_A__,00:12:31,00:12:31,par_4_193,7
4_I14-102_2016I14_2_1_4__10_B__,00:01:03,00:01:03,par_4_275,1
4_I12-101_2016I12_2_1_4__10_A__,00:07:47,00:07:47,par_4_203,2
4_I15-101_2016I15_1_1_4__10_A__,00:10:59,00:10:59,par_4_192,6
4_I14-101_2016I14_1_1_4__10_A__,00:29:26,00:29:26,par_4_201,15
4_I12-102_2016I12_1_1_4__10_B__,00:24:37,00:24:37,par_4_274,10
4_I14-101_2016I14_2_1_4__10_A__,00:01:23,00:01:23,par_4_204,1
4_I12-102_2016I12_1_1_4__10_B__,00:00:00,00:00:00,par_4_284,0
4_I12-101_2016I12_1_1_4__10_A__,00:37:30,00:37:30,par_4_203,18
4_I13-101_2016I13_2_1_4__10_A__,00:44:54,00:44:54,par_4_274,20
4_I15-102_2016I15_1_1_4__10_B__,00:16:33,00:16:33,par_4_277,7
4_I15-101_2016I15_1_1_4__10_A__,00:17:31,00:17:31,par_4_196,10
4_I12-101_2016I12_1_1_4__10_A__,00:01:20,00:01:20,par_4_187,1
4_I14-102_2016I14_2_1_4__10_B__,00:06:25,00:06:25,par_4_276,2
4_I14-101_2016I14_1_1_4__10_A__,00:12:31,00:12:31,par_4_193,7
4_I13-101_2016I13_2_1_4__10_A__,00:26:04,00:26:04,par_4_197,9
4_I14-101_2016I14_2_1_4__10_A__,00:44:54,00:44:54,par_4_274,20
4_I13-102_2016I13_1_1_4__10_B__,00:00:00,00:00:00,par_4_284,0
4_I13-101_2016I13_2_1_4__10_A__,00:28:29,00:28:29,par_4_195,11
4_I14-101_2016I14_1_1_4__10_A__,00:17:31,00:17:31,par_4_196,10
4_I12-101_2016I12_2_1_4__10_A__,00:00:00,00:00:00,par_4_205,0
4_I12-101_2016I12_2_1_4__10_A__,00:27:23,00:27:23,par_4_196,10
4_I15-101_2016I15_2_1_4__10_A__,00:01:23,00:01:23,par_4_204,1
4_I14-101_2016I14_1_1_4__10_A__,00:14:11,00:14:11,par_4_194,8
4_I13-101_2016I13_1_1_4__10_A__,00:31:56,00:31:56,par_4_202,16
4_I14-101_2016I14_1_1_4__10_A__,00:06:06,00:06:06,par_4_189,3
