Denominación,Temas,Subtemas,Tipos,Subtipos,Subsubtipos,Perfiles,Estructura orgánica,Tramitación presencial,Tramitación telemática + url,Tramitación telefónica,Texto
"Ayudas adaptación domiciliaria para personas mayores o pensionistas","Mayores|Servicios Sociales","Mayores|Otros Servicios Sociales","Servicios Sociales|Mayores|Otros trámites","Ayudas|Ayudas|Ayudas y Subvenciones","",""," Mayores","Sí","No","No","<div class=""fichatramites""><div class=""cajatramitacion""><ul>	<li><img alt=""Tr&aacute;mite presencial"" class=""img_Sin"" id=""Imagen_19_3389541079852"" src=""http://www.alcobendas.org/recursos/img/Comunes/725057619_216201012211.gif"" /><a href=""#presencial"">Presencial</a></li></ul><p>Estas ayudas para realizar adaptaciones domiciliarias que faciliten la movilidad, comunicaci&oacute;n y autonom&iacute;a personal est&aacute;n destinadas a personas mayores o pensionistas. Son ayudas individuales a favor de personas f&iacute;sicas residentes en Alcobendas, que debido a su edad o limitaciones, tengan dificultad para desenvolverse en su medio habitual, mediante la financiaci&oacute;n de los gastos dirigidos al acondicionamiento y adaptaci&oacute;n funcional del hogar familiar, movilidad, comunicaci&oacute;n y participaci&oacute;n en la vida de su entorno. </p></div><div class=""modulo100""><div class=""datosinteres""><div class=""separador""><h5>Documentaci&oacute;n a aportar:</h5><p>Consulte la documentaci&oacute;n a aportar, requisitos y tipos en ayudas en <a href=""/es/portal.do?TR=A&amp;IDR=1&amp;identificador=8954"" id=""Documento_8954_79996461293"">las bases de convocatoria. </a></p><p><a href=""/es/portal.do?TR=A&amp;IDR=1&amp;identificador=8955"" id=""Documento_8955_3006413990068"">Solicitud de ayudas </a></p><p><a href=""/es/portal.do?TR=A&amp;IDR=1&amp;identificador=8956"" id=""Documento_8956_1187886476592"">Declaraci&oacute;n Responsable</a> <br /></p><br /><h5 class=""tipo1"">Plazo de presentaci&oacute;n</h5><p>Del 3 al 24 de octubre de 2017<br /></p><h5>Forma de tramitaci&oacute;n</h5><ul class=""tipo2"">	<li><img alt=""tr&aacute;mite presencial"" class=""img_Sin"" id=""Imagen_23_8289599553652"" src=""http://www.alcobendas.org/recursos/img/Comunes/396946502_2162010123128.gif"" /><a title=""presencial"" name=""presencial""></a><strong>Presencial:&nbsp;</strong> En el<a href=""/es/cargarFichaTerritorial.do?identificador=759"" id=""FichaTerritorial_759""> Servicio de Mayores</a></li>	<li><strong>En horario de 9:30 a 13:30 horas. </strong><br />	</li></ul></div></div><!--fin fichaterritoriales--></div><div class=""infotramite""></div></div>"
"Carné para los Centros de Mayores de Alcobendas ","Mayores|Servicios Sociales","Mayores|Programas Servicios Sociales","Servicios Sociales|Mayores","Otros|Carnés","","Mayores"," Mayores","Sí","No","No","Este carn&eacute; permite participar en las actividades de los Centros de Mayores <div class=""fichatramites""><div class=""cajatramitacion""><ul>	<li><img alt=""Tr&aacute;mite presencial"" class=""img_Sin"" id=""Imagen_19_3287605833159"" src=""http://www.alcobendas.org/recursos/img/Comunes/725057619_216201012211.gif"" /><a href=""#presencial"">Presencial</a></li></ul><p>Este carn&eacute; permite participar en las actividades de los Centros de Mayores </p></div><div class=""modulo100""><div class=""datosinteres""><div class=""separador""><h5>Requisitos:</h5><p>-Deben estar empadronados/as en Alcobendas, o bien pasar largas temporadas en el municipio. <br />-Mayores de 65 a&ntilde;os, o jubiladas/os por otras causas </p><h5>Documentaci&oacute;n a aportar:</h5><p>-Dos fotograf&iacute;as. <br />-Carn&eacute; de Identidad. <br />-Si no est&aacute; empadronado en Alcobendas, ser&aacute; necesario que <a href=""/es/cargarFichaTramite.do?identificador=75"" id=""FichaTramite_75"">justifique su residencia temporal </a>en el municipio. <br />-Si la persona que lo solicita declara ser parado de 55 a&ntilde;os, se requiere el Justificante del Servicio Regional de Empleo. <br />-Si el solicitante es menor de 60 a&ntilde;os, se necesita copia del justificante de esa situaci&oacute;n.&nbsp;&nbsp; </p><h5>Otros datos de inter&eacute;s</h5><p>A los socios nuevos se les emite un justificante mientras se tramita el carn&eacute; para que puedan disfrutar de los servicios de los Centros de Mayores.<br /><br />Los carn&eacute;s se tramitar&aacute;n en el <a href=""/es/cargarFichaTerritorial.do?identificador=759"" id=""FichaTerritorial_759"">Servicio de Mayores</a> </p><h5>Forma de tramitaci&oacute;n</h5><ul class=""tipo2"">	<li><img alt=""tr&aacute;mite presencial"" class=""img_Sin"" id=""Imagen_23_9734445783393"" src=""http://www.alcobendas.org/recursos/img/Comunes/396946502_2162010123128.gif"" /><a title=""presencial"" name=""presencial""></a><strong>Presencial:&nbsp; En el Servicio de Mayores</strong></li></ul></div></div><!--fin fichaterritoriales--></div><div class=""infotramite""><div class=""teinteresa recursos""><h3></h3></div></div></div>"
"Fé de vida para pensiones del extranjero","Ayuntamiento de Alcobendas|Mayores","Áreas y Departamentos Municipales|Mayores","Mayores|Otros trámites","Otros|Gestiones Personales","Padrón de Habitantes","Mayores"," Padrón y Servicios Generales","Sí","No","No","<div class=""fichatramites""><div class=""cajatramitacion""><p>Los&nbsp;beneficiarios de pensiones en el extranjero deben justificar peri&oacute;dicamente que contin&uacute;an vivos, y/o que residen en el Municipio y/o que viven en compa&ntilde;&iacute;a de otros miembros de su familia, mediante su personaci&oacute;n en el Ayuntamiento con el documento que les remite el organismo pagador de la pensi&oacute;n.<br /><strong>Para comprobar la veracidad de los datos&nbsp;deben de estar empadronados en el Municipio y personarse el propio interesado.</strong></p><ul>	<li><img alt=""Tr&aacute;mite presencial"" class=""img_Sin"" height=""16"" id=""Imagen_19_4034677824539"" src=""http://www.alcobendas.org/recursos/img/Comunes/725057619_216201012211.gif"" width=""18"" /><a href=""#presencial"">Presencial</a></li></ul></div><div class=""infotramite""><p><em><strong>Documentaci&oacute;n a aportar:&nbsp; <br /></strong>&bull;</em> Documento de pensi&oacute;n <br />&bull; Original del Documento Nacional de Identidad, Pasaporte o Tarjeta de Residencia.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </p><p><strong>Importe&nbsp;del pago<em>:</em></strong> Gratuito </p><p><strong>Forma de iniciaci&oacute;n:</strong> A petici&oacute;n del interesado </p><p><strong>Forma de Tramitaci&oacute;n:</strong> <br />&nbsp;&nbsp;&nbsp; Presencial<strong>:&nbsp; </strong><a href=""/es/cargarFichaTerritorial.do?identificador=531"" id=""FichaTerritorial_531""><strong>Servicio de Atenci&oacute;n Ciudadana</strong></a> </p><ul class=""tipo1"">	<li><strong>Plazo Tramitaci&oacute;n:</strong>&nbsp;10 d&iacute;as h&aacute;biles</li></ul></div></div>"
"Inscripciones a los talleres de mayores (Curso 2017-2018)","Mayores","Mayores","Mayores","Otros","","Mayores"," Mayores","Sí","No","No","<div class=""fichatramites""><div class=""cajatramitacion""><ul>	<li><img alt=""Tr&aacute;mite presencial"" class=""img_Sin"" id=""Imagen_19_9145554613206"" src=""http://www.alcobendas.org/recursos/img/Comunes/725057619_216201012211.gif"" /><a href=""#presencial"">Presencial</a></li></ul></div><div class=""modulo100""><div class=""datosinteres""><div class=""separador""><h5>Requisito para inscribirse</h5><p>Tener carn&eacute; de socio de los centros de mayores de Alcobendas</p><h5>Normas generales a tener en cuenta:</h5><ul class=""tipo1"">	<li>Solo se puede entregar una hoja de inscripci&oacute;n por persona en cada periodo de inscripci&oacute;n (junio/septiembre).</li>	<li>Tendr&aacute;n prioridad de acceso a la actividad aquellas personas que solo soliciten un taller.</li>	<li>Hay un cupo de reserva del 20 % de las plazas para personas&nbsp;que no participaron anteriormente en talleres.</li>	<li>Siempre que la demanda exceda la oferta de plazas se realizar&aacute; sorteo.</li>	<li>Puede solicitarse un m&aacute;ximo de tres talleres reglados y dos talleres aut&oacute;nomos (Espacios para compartir)</li>	<li>En los talleres que requieran entrevista, la no presentaci&oacute;n a la misma ser&aacute; motivo de&nbsp; baja en los listados.</li>	<li>M&aacute;s de tres ausencias seguidas en la asistencia a los talleres ser&aacute; motivo de baja en ellos.</li></ul><h5>D&oacute;nde y cu&aacute;ndo inscribirse</h5><ul class=""tipo2"">	<li><img alt=""tr&aacute;mite presencial"" class=""img_Sin"" id=""Imagen_23_4500794180258"" src=""http://www.alcobendas.org/recursos/img/Comunes/396946502_2162010123128.gif"" /><a title=""presencial"" name=""presencial""></a><strong>Presencial:&nbsp;</strong>En todos los <a href=""/es/portal.do?TR=C&amp;IDR=1263"" title=""Centros municipales de mayores"">centros de mayores</a>&nbsp;en horario de 10.00 a 14.00 h.</li>	<li>&nbsp;Del&nbsp;<strong>12 al 16 de junio: </strong>Talleres Reglados.</li>	<li>Del<strong> 4 al 8 de septiembre: </strong>Talleres dinamizados por voluntarios;&nbsp; Talleres en colaboraci&oacute;n con otras entidades; Talleres de baile de sal&oacute;n.</li></ul><h5 class=""tipo1"">Exposici&oacute;n de listados </h5><ul class=""tipo1"">	<li>Listados provisionales: del 11 al 17 de&nbsp;septiembre. </li>	<li>Plazo de reclamaciones: del 18 al 21 de septiembre.</li>	<li>Sorteos para adjudicaci&oacute;n de plaza: d&iacute;as 22 y 25 de septiembre.</li>	<li>Exposici&oacute;n definitiva:&nbsp;&nbsp;27 de septiembre&nbsp;</li></ul><h5 class=""tipo1"">Otra informaci&oacute;n</h5><p>A partir del mes de octubre,<strong> la &uacute;ltima semana de cada mes</strong>, se publicar&aacute;n las plazas que pudiesen quedar <strong>vacantes</strong> en los paneles informativos de los centros municipales de mayores. </p><p>Para cualquier otra informaci&oacute;n llamar a los <a href=""/es/portal.do?TR=C&amp;IDR=1263"">Centros municipales de mayores</a>,&nbsp;o a la <a href=""/es/cargarFichaTerritorial.do?identificador=529"" id=""FichaTerritorial_529"">Atenci&oacute;n Telef&oacute;nica del Servicio de Atenci&oacute;n Ciudadana (SAC)</a> </p><p>Consulte el <a href=""/es/portal.do?TR=A&amp;IDR=1&amp;identificador=7330"" id=""Documento_7330_5845434713279"">Programa de actividades para los mayores de Alcobendas </a></p></div></div></div></div>"
"Justificante de residencia temporal para Centro de Mayores","Ayuntamiento de Alcobendas|Mayores","Áreas y Departamentos Municipales|Mayores","Otros trámites","Gestiones Personales","Padrón de Habitantes","Mayores"," Padrón y Servicios Generales","Sí","No","No","<div class=""fichatramites""><div class=""cajatramitacion""><p>Este documento justifica la residencia temporal en Alcobendas de aquella personas jubiladas que quieran acceder a los servicios de los Centros de Mayores. &nbsp;</p><ul>	<li><img alt=""Tr&aacute;mite presencial"" class=""img_Sin"" height=""16"" id=""Imagen_19_2467243015498"" src=""http://www.alcobendas.org/recursos/img/Comunes/725057619_216201012211.gif"" width=""18"" /><a href=""#presencial"">Presencial</a></li></ul></div><div class=""infotramite""><p><strong>Documentaci&oacute;n a aportar:</strong>&nbsp;&nbsp;<br />&bull; Original de documento de Identidad de cualquiera de los empadronados mayores de edad de la vivienda&nbsp; </p><ul class=""tipo1"">	<li><strong>Importe&nbsp;del pago:</strong> Gratuito</li>	<li><strong>Forma de iniciaci&oacute;n:</strong> A petici&oacute;n del interesado</li>	<li><strong>Forma de Tramitaci&oacute;n:</strong> <br />	Presencial:<strong>&nbsp; </strong><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1730""><strong>Servicio de Atenci&oacute;n Ciudadana</strong></a><br />	</li>	<li><strong>Plazo Tramitaci&oacute;n:</strong> Inmediata</li></ul></div></div>"
"Servicio de ayuda a domicilio","Mayores|Servicios Sociales","Mayores|Programas Servicios Sociales","Servicios Sociales|Mayores","Ayudas|Ayudas","","Discapacitados|Mayores"," Servicios Sociales","Sí","No","No","<div class=""fichatramites""><div class=""cajatramitacion""><ul>	<li><img alt=""Tr&aacute;mite presencial"" class=""img_Sin"" id=""Imagen_19_6591309637623"" src=""http://www.alcobendas.org/recursos/img/Comunes/725057619_216201012211.gif"" /><a href=""#presencial"">Presencial</a></li></ul><p>La Ayuda a Domicilio es una prestaci&oacute;n social b&aacute;sica del sistema p&uacute;blico de Servicios Sociales. El objetivo de esta prestaci&oacute;n es prevenir situaciones de crisis personal y familiar, incluyendo una serie de atenciones de car&aacute;cter dom&eacute;stico, social, de apoyo psicol&oacute;gico y rehabilitador, a los individuos o familias que se hallen en situaciones de especial necesidad, para facilitar la autonom&iacute;a personal en el medio habitual. </p><p>El Servicio incluye la atenci&oacute;n personal en la realizaci&oacute;n de las actividades de la vida diaria y la cobertura de las necesidades dom&eacute;sticas. </p><p>Podr&aacute;n ser usuarios de la prestaci&oacute;n aquellas personas, familias o n&uacute;cleos convivenciales que residan en el municipio de Alcobendas y requieran de un apoyo especial por razones de edad, discapacidad, situaci&oacute;n de dependencia, salud o situaci&oacute;n familiar. </p></div><div class=""modulo100""><div class=""datosinteres""><div class=""separador""><h5>Requisitos:</h5><p>&bull; Tramitar la Solicitud de valoraci&oacute;n de la situaci&oacute;n de dependencia. </p><p>&bull; Estar empadronado en Alcobendas. </p><p>&bull; Podr&aacute;n ser usuarios del servicio aquellos individuos, familias u otras unidades de convivencia que carezcan de autonom&iacute;a personal de tipo parcial o total, temporal o definitiva, para permanecer en su medio habitual de vida. </p><p>&bull; Cuando se trate de personas mayores que residan temporadas con los hijos que no excedan de seis meses al a&ntilde;o, o menores en r&eacute;gimen de acogimiento, ser&aacute; suficiente que los hijos o la familia acogedora est&eacute;n empadronados. </p><h5>Documentaci&oacute;n a aportar:</h5><p>&bull; <a href=""https://gestionesytramites.madrid.org/cs/Satellite?c=CM_ConvocaPrestac_FA&amp;cid=1142592407051&amp;noMostrarML=true&amp;pageid=1255430110037&amp;pagename=ServiciosAE%2FCM_ConvocaPrestac_FA%2FPSAE_fichaConvocaPrestac&amp;vest=1255430062097"">Solicitud de valoraci&oacute;n de la situaci&oacute;n de dependencia</a>. </p><h5>Observaciones:</h5><p>La intensidad de la ayuda estar&aacute; en funci&oacute;n del Programa Individual de Atenci&oacute;n y se determinar&aacute; en n&uacute;mero de horas mensuales de servicios asistenciales y/o personales seg&uacute;n grado y niveles de dependencia. </p><p>Esta&nbsp;solicitud se realizar&aacute; a trav&eacute;s de las Trabajadoras Sociales. </p><h5>Importe del Servicio</h5><p>El usuario colaborar&aacute; en la financiaci&oacute;n del servicio en funci&oacute;n de sus posibilidades econ&oacute;micas. Para establecer esta financiaci&oacute;n se aplicar&aacute; el correspondiente baremo econ&oacute;mico en vigor. </p><h5>Forma de tramitaci&oacute;n</h5><ul class=""tipo2"">	<li><img alt=""tr&aacute;mite presencial"" class=""img_Sin"" id=""Imagen_23_7585450949239"" src=""http://www.alcobendas.org/recursos/img/Comunes/396946502_2162010123128.gif"" /><a title=""presencial"" name=""presencial""></a><strong>Presencial:&nbsp; </strong>En los <a href=""/es/cargarFichaTerritorial.do?identificador=697"" id=""FichaTerritorial_697"">Servicios Sociales Municipales del P.B.S.</a></li></ul></div></div><!--fin fichaterritoriales--></div><div class=""infotramite""></div></div>"
"Solicitud de subvención para carga de Tarjeta de Transporte Público para tercera edad","Mayores|Transporte y Tráfico","Mayores|Otros Transporte y Tráfico","Mayores","Carnés","","Mayores"," Mayores","Sí","No","No","<div class=""fichatramites""><div class=""cajatramitacion""><ul>	<li><img alt=""Tr&aacute;mite presencial"" class=""img_Sin"" height=""16"" id=""Imagen_19_6257882918015"" src=""/recursos/img/Comunes/725057619_216201012211.gif"" width=""18"" /><a href=""#presencial"">Presencial</a></li></ul><p>El Ayuntamiento de Alcobendas subvenciona hasta un 50% el&nbsp;la carga de la tarjeta de&nbsp;Transporte de Tercera Edad. </p><p>Todas aquellas personas interesadas pueden informarse en el Departamento de Mayores del Ayuntamiento de Alcobendas. </p></div><div class=""modulo100""><div class=""datosinteres""><div class=""separador""><h5>Requisitos:</h5><p>&bull; Estar empadronado en el municipio de Alcobendas. </p><p>&bull; Tener 65 a&ntilde;os cumplidos. </p><p>&bull; Acreditar no percibir un cuant&iacute;a superior a 600 euros en la pensi&oacute;n que les corresponda, en su caso. </p><h5 class=""tipo1"">Otros datos</h5><p>Es imprescindible presentar la Tarjeta de Transporte P&uacute;blico de la Tercera Edad que se solicita en cualquier <a href=""http://www.ctm-madrid.es/billetes-y-tarifas/tarjeta-transporte-publico.aspx"" rel=""external"">oficina del Consorcio de Transporte&nbsp;.</a> </p><h5>Forma de tramitaci&oacute;n</h5><ul class=""tipo2"">	<li><a title=""telematica"" name=""telematica""></a><img alt=""tr&aacute;mite presencial"" class=""img_Sin"" height=""23"" id=""Imagen_23_9221937902771"" src=""/recursos/img/Comunes/396946502_2162010123128.gif"" width=""26"" /><a title=""presencial"" name=""presencial""></a><strong>Presencial:&nbsp; </strong>En las <a href=""/es/cargarFichaTerritorial.do?identificador=759"" id=""FichaTerritorial_759"">Oficinas&nbsp; del Servicio de Mayores del Patronato de Bienestar Social</a>.</li></ul></div></div><!--fin fichaterritoriales--></div></div>"
"Solicitud plaza en Centro de Día municipal ","Mayores|Servicios Sociales","Mayores|Otros Servicios Sociales","Servicios Sociales|Mayores","Ayudas|Ayudas","","Mayores"," Servicios Sociales","Sí","No","No","<div class=""fichatramites""><div class=""cajatramitacion""><ul>	<li><img alt=""Tr&aacute;mite presencial"" class=""img_Sin"" id=""Imagen_19_7741011017925"" src=""http://www.alcobendas.org/recursos/img/Comunes/725057619_216201012211.gif"" /><a href=""#presencial"">Presencial</a></li></ul><p>Todas aquellas personas interesadas pueden informarse en el <a href=""/es/cargarFichaTerritorial.do?identificador=759"" id=""FichaTerritorial_759"">Departamento de Mayores</a>, o en de Servicios Sociales del Ayuntamiento de Alcobendas. </p></div><div class=""modulo100""><div class=""datosinteres""><div class=""separador""><h5>Requisitos:</h5><p>&bull;&nbsp;Tener 60 a&ntilde;os cumplidos o padecer alzheimer, o senilidad prematura, que provoquen una gran dependencia. </p><p>&bull; Necesidad de atenci&oacute;n para las actividades de la vida diaria, por su dependencia de otras personas para valerse por s&iacute; mismo. </p><p>&bull; No padecer enfermedad infecto-contagiosa, ni cualquier otra que requiera atenci&oacute;n permanente y continuada en Centros Hospitalarios. As&iacute; como alteraci&oacute;n de conducta&nbsp;grave que haga imposible su atenci&oacute;n en el centro. &nbsp; </p><p>&bull; Acreditar haber solicitado valoraci&oacute;n del Grado de Dependencia y atenci&oacute;n residencial. </p><h5>Documentaci&oacute;n a aportar:</h5><p>&ndash; Solicitud rellena y firmada por el interesado. </p><p>&ndash; Fotocopia del DNI del interesado. </p><p>&ndash; Certificado de pensi&oacute;n/es </p><p>&ndash; Certificado de rendimientos bancarios. </p><p>&ndash; Fotocopia del DNI de la/s persona/s que se comprometen a abonar el importe de la aportaci&oacute;n que se fije. </p><p>&ndash; Informe m&eacute;dico seg&uacute;n modelo. </p><p>&ndash; Documentar que se ha solicitado valoraci&oacute;n del grado de dependencia. </p><p>&ndash; Declaraci&oacute;n de traslado del residente en el momento de adjudicaci&oacute;n de plaza por otra administraci&oacute;n. </p><h5>Importe a pagar por la plaza:</h5><p>El usuario colaborar&aacute; en la financiaci&oacute;n del servicio en funci&oacute;n de sus posibilidades econ&oacute;micas. Para establecer esta financiaci&oacute;n se aplicar&aacute; el baremo econ&oacute;mico en vigor. </p><h5>Otros datos de inter&eacute;s</h5><p>Estudiada la documentaci&oacute;n aportada se aplicar&aacute; baremo y pasar&aacute; a una lista de espera hasta que se le pueda adjudicar la plaza.&nbsp; </p><h5>Forma de tramitaci&oacute;n</h5><ul class=""tipo2"">	<li><img alt=""tr&aacute;mite presencial"" class=""img_Sin"" id=""Imagen_23_45934313378"" src=""http://www.alcobendas.org/recursos/img/Comunes/396946502_2162010123128.gif"" /><a title=""presencial"" name=""presencial""></a><strong>Presencial:&nbsp; </strong>En los <a href=""http://www.alcobendas.org/es/cargarFichaTerritorial.do?identificador=697"" id=""FichaTerritorial_697"">Servicios Sociales del Patronato de Bienestar Social</a></li></ul></div></div><!--fin fichaterritoriales--></div><div class=""infotramite""></div></div>"
"Solicitud plaza en Centro de Día Privado conveniada con el Ayuntamiento ","Mayores|Servicios Sociales","Mayores|Otros Servicios Sociales","Servicios Sociales|Mayores","Ayudas|Ayudas","","Mayores"," Servicios Sociales","Sí","No","No","<div class=""fichatramites""><div class=""cajatramitacion""><ul>	<li><img alt=""Tr&aacute;mite presencial"" class=""img_Sin"" id=""Imagen_19_3968957563026"" src=""http://www.alcobendas.org/recursos/img/Comunes/725057619_216201012211.gif"" /><a href=""#presencial"">Presencial</a></li></ul><p>Con el objeto de mejorar la atenci&oacute;n a las personas mayores, el Ayuntamiento de Alcobendas ha suscrito un convenio con los centros residenciales de Sanitas, Vitalia, Vida y Salud y Orpea Alcobendas poniendo a disposici&oacute;n de los interesados un total de 25 plazas. </p><p>Todas aquellas personas interesadas pueden informarse en el <a href=""/es/cargarFichaTerritorial.do?identificador=759"" id=""FichaTerritorial_759"">Departamento de Mayores</a>, o en de Servicios Sociales del Ayuntamiento de Alcobendas. </p></div><div class=""modulo100""><div class=""datosinteres""><div class=""separador""><h5>Requisitos:</h5><p>&bull; Tener 60 a&ntilde;os cumplidos o padecer alzheimer, o senilidad prematura, que provoquen una gran dependencia. </p><p>&bull; Necesidad de atenci&oacute;n para las actividades de la vida diaria, por su dependencia de otras personas para valerse por s&iacute; mismo. </p><p>&bull; No padecer enfermedad infecto-contagiosa, ni cualquier otra que requiera atenci&oacute;n permanente y continuada en Centros Hospitalarios. As&iacute; como alteraci&oacute;n de conducta&nbsp;grave que haga imposible su atenci&oacute;n en el centro. &nbsp; </p><p>&bull; Acreditar haber solicitado valoraci&oacute;n del Grado de Dependencia y atenci&oacute;n residencial. </p><h5>Documentaci&oacute;n a aportar:</h5><p>&ndash; Solicitud rellena y firmada por el interesado. </p><p>&ndash; Fotocopia del DNI del interesado. </p><p>&ndash; Certificado de pensi&oacute;n/es </p><p>&ndash; Certificado de rendimientos bancarios. </p><p>&ndash; Fotocopia del DNI de la/s persona/s que se comprometen a abonar el importe de la aportaci&oacute;n que se fije. </p><p>&ndash; Informe m&eacute;dico seg&uacute;n modelo. </p><p>&ndash; Documentar que se ha solicitado valoraci&oacute;n del grado de dependencia. </p><p>&ndash; Declaraci&oacute;n de traslado del residente en el momento de adjudicaci&oacute;n de plaza por otra administraci&oacute;n. </p><h5>Otros datos de inter&eacute;s</h5><p>Estudiada la documentaci&oacute;n aportada se aplicar&aacute; baremo y pasar&aacute; a una lista de espera hasta que se le pueda adjudicar la plaza. </p><h5>Forma de tramitaci&oacute;n</h5><ul class=""tipo2"">	<li><img alt=""tr&aacute;mite presencial"" class=""img_Sin"" id=""Imagen_23_5033095758361"" src=""http://www.alcobendas.org/recursos/img/Comunes/396946502_2162010123128.gif"" /><a title=""presencial"" name=""presencial""></a><strong>Presencial:&nbsp; </strong>En los <a href=""/es/cargarFichaTerritorial.do?identificador=697"" id=""FichaTerritorial_697"">Servicios Sociales del Patronato de Bienestar Social</a></li></ul></div></div><!--fin fichaterritoriales--></div><div class=""infotramite""></div></div>"
"Solicitud plaza en Residencia Privada conveniada con el Ayuntamiento","Mayores|Servicios Sociales","Mayores|Otros Servicios Sociales","Servicios Sociales|Mayores","Ayudas|Ayudas","","Mayores"," Servicios Sociales","Sí","No","No","<div class=""fichatramites""><div class=""cajatramitacion""><ul>	<li><img alt=""Tr&aacute;mite presencial"" class=""img_Sin"" id=""Imagen_19_3249337240474"" src=""http://www.alcobendas.org/recursos/img/Comunes/725057619_216201012211.gif"" /><a href=""#presencial"">Presencial</a></li></ul><p>Con el objeto de mejorar la atenci&oacute;n a personas mayores, el Ayuntamiento de Alcobendas ha suscrito un convenio con&nbsp;las&nbsp;residencias privadas de Sanitas, Ballesol, Orpea Alcobendas, Orpea Moraleja y Caser poniendo a disposici&oacute;n de los interesados un total de 30 plazas. </p><p>Todas aquellas personas interesadas pueden informarse en el <a href=""http://www.alcobendas.org/es/cargarFichaTerritorial.do?identificador=759"" id=""FichaTerritorial_759"">Departamento de Mayores</a>, o en de Servicios Sociales del Ayuntamiento de Alcobendas. </p></div><div class=""modulo100""><div class=""datosinteres""><div class=""separador""><h5>Requisitos:</h5><p>&bull; Tener 60 a&ntilde;os cumplidos o padecer alzheimer, o senilidad prematura, que provoquen una gran dependencia. </p><p>&bull; Necesidad de atenci&oacute;n para las actividades de la vida diaria, por su dependencia de otras personas para valerse por s&iacute; mismo. </p><p>&bull; No padecer enfermedad infecto-contagiosa, ni cualquier otra que requiera atenci&oacute;n permanente y continuada en Centros Hospitalarios. As&iacute; como alteraci&oacute;n de conducta&nbsp;grave que haga imposible su atenci&oacute;n en el centro. &nbsp; </p><p>&bull; Acreditar haber solicitado valoraci&oacute;n del Grado de Dependencia y atenci&oacute;n residencial. </p><h5>Documentaci&oacute;n a aportar:</h5><p>&ndash; Solicitud rellena y firmada por el interesado. </p><p>&ndash; Fotocopia del DNI del interesado. </p><p>&ndash; Certificado de pensi&oacute;n/es </p><p>&ndash; Certificado de rendimientos bancarios. </p><p>&ndash; Fotocopia del DNI de la/s persona/s que se comprometen a abonar el importe de la aportaci&oacute;n que se fije. </p><p>&ndash; Informe m&eacute;dico seg&uacute;n modelo. </p><p>&ndash; Documentar que se ha solicitado valoraci&oacute;n del grado de dependencia. </p><p>&ndash; Declaraci&oacute;n de traslado del residente en el momento de adjudicaci&oacute;n de plaza por otra administraci&oacute;n. </p><h5>Otros datos de inter&eacute;s</h5><p>Estudiada la documentaci&oacute;n aportada se aplicar&aacute; baremo y pasar&aacute; a una lista de espera hasta que se le pueda adjudicar la plaza. </p><p>M&aacute;s informaci&oacute;n en <a href=""https://www.artevida.es/"">Artevida</a>. </p><h5>Forma de tramitaci&oacute;n</h5><ul class=""tipo2"">	<li><img alt=""tr&aacute;mite presencial"" class=""img_Sin"" id=""Imagen_23_9055714053554"" src=""http://www.alcobendas.org/recursos/img/Comunes/396946502_2162010123128.gif"" /><a title=""presencial"" name=""presencial""></a><strong>Presencial:&nbsp; </strong>En los <a href=""http://www.alcobendas.org/es/cargarFichaTerritorial.do?identificador=697"" id=""FichaTerritorial_697"">Servicios Sociales del Patronato de Bienestar Social</a></li></ul></div></div><!--fin fichaterritoriales--></div><div class=""infotramite""></div></div>"
