VOTACIO,ELECCIO,ANY_VOTACIO,DISTRICTE,SECCIO,PARTIT,NOM_PARTIT,VOTS
M,Eleccions Municipals                    ,2007,2,4,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,6
M,Eleccions Municipals                    ,2007,2,4,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,39
M,Eleccions Municipals                    ,2007,2,4,PFIV           ,FAMÍLIA I VIDA                                    ,1
M,Eleccions Municipals                    ,2007,2,4,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,42
M,Eleccions Municipals                    ,2007,2,4,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,218
M,Eleccions Municipals                    ,2007,2,4,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,2
M,Eleccions Municipals                    ,2007,2,5,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,9
M,Eleccions Municipals                    ,2007,2,5,CIU            ,CONVERGÈNCIA I UNIÓ                               ,64
M,Eleccions Municipals                    ,2007,2,5,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,2
M,Eleccions Municipals                    ,2007,2,5,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,13
M,Eleccions Municipals                    ,2007,2,5,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,45
M,Eleccions Municipals                    ,2007,2,5,PFIV           ,FAMÍLIA I VIDA                                    ,1
M,Eleccions Municipals                    ,2007,2,5,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,54
M,Eleccions Municipals                    ,2007,2,5,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,192
M,Eleccions Municipals                    ,2007,2,5,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,0
M,Eleccions Municipals                    ,2007,2,6,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,8
M,Eleccions Municipals                    ,2007,2,6,CIU            ,CONVERGÈNCIA I UNIÓ                               ,39
M,Eleccions Municipals                    ,2007,2,6,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,5
M,Eleccions Municipals                    ,2007,2,6,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,18
M,Eleccions Municipals                    ,2007,2,6,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,41
M,Eleccions Municipals                    ,2007,2,6,PFIV           ,FAMÍLIA I VIDA                                    ,0
M,Eleccions Municipals                    ,2007,2,6,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,47
M,Eleccions Municipals                    ,2007,2,6,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,163
M,Eleccions Municipals                    ,2007,2,6,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,0
M,Eleccions Municipals                    ,2007,2,7,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,7
M,Eleccions Municipals                    ,2007,2,7,CIU            ,CONVERGÈNCIA I UNIÓ                               ,29
M,Eleccions Municipals                    ,2007,2,7,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,2
M,Eleccions Municipals                    ,2007,2,7,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,5
M,Eleccions Municipals                    ,2007,2,7,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,13
M,Eleccions Municipals                    ,2007,2,7,PFIV           ,FAMÍLIA I VIDA                                    ,2
M,Eleccions Municipals                    ,2007,2,7,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,23
M,Eleccions Municipals                    ,2007,2,7,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,56
M,Eleccions Municipals                    ,2007,2,7,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,0
M,Eleccions Municipals                    ,2007,2,8,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,6
M,Eleccions Municipals                    ,2007,2,8,CIU            ,CONVERGÈNCIA I UNIÓ                               ,36
M,Eleccions Municipals                    ,2007,2,8,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,3
M,Eleccions Municipals                    ,2007,2,8,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,14
M,Eleccions Municipals                    ,2007,2,8,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,31
M,Eleccions Municipals                    ,2007,2,8,PFIV           ,FAMÍLIA I VIDA                                    ,0
M,Eleccions Municipals                    ,2007,2,8,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,40
M,Eleccions Municipals                    ,2007,2,8,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,158
M,Eleccions Municipals                    ,2007,2,8,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,1
M,Eleccions Municipals                    ,2007,2,9,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,9
M,Eleccions Municipals                    ,2007,2,9,CIU            ,CONVERGÈNCIA I UNIÓ                               ,24
M,Eleccions Municipals                    ,2007,2,9,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,0
M,Eleccions Municipals                    ,2007,2,9,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,11
M,Eleccions Municipals                    ,2007,2,9,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,31
M,Eleccions Municipals                    ,2007,2,9,PFIV           ,FAMÍLIA I VIDA                                    ,0
M,Eleccions Municipals                    ,2007,2,9,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,33
M,Eleccions Municipals                    ,2007,2,9,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,167
M,Eleccions Municipals                    ,2007,2,9,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,0
M,Eleccions Municipals                    ,2007,2,10,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,8
M,Eleccions Municipals                    ,2007,2,10,CIU            ,CONVERGÈNCIA I UNIÓ                               ,17
M,Eleccions Municipals                    ,2007,2,10,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,0
M,Eleccions Municipals                    ,2007,2,10,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,6
M,Eleccions Municipals                    ,2007,2,10,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,17
M,Eleccions Municipals                    ,2007,2,10,PFIV           ,FAMÍLIA I VIDA                                    ,2
M,Eleccions Municipals                    ,2007,2,10,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,23
M,Eleccions Municipals                    ,2007,2,10,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,132
M,Eleccions Municipals                    ,2007,2,10,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,0
M,Eleccions Municipals                    ,2007,2,11,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,23
M,Eleccions Municipals                    ,2007,2,11,CIU            ,CONVERGÈNCIA I UNIÓ                               ,36
M,Eleccions Municipals                    ,2007,2,11,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,0
M,Eleccions Municipals                    ,2007,2,11,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,13
M,Eleccions Municipals                    ,2007,2,11,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,47
M,Eleccions Municipals                    ,2007,2,11,PFIV           ,FAMÍLIA I VIDA                                    ,1
M,Eleccions Municipals                    ,2007,2,11,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,40
M,Eleccions Municipals                    ,2007,2,11,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,150
M,Eleccions Municipals                    ,2007,2,11,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,0
M,Eleccions Municipals                    ,2007,2,12,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,13
M,Eleccions Municipals                    ,2007,2,12,CIU            ,CONVERGÈNCIA I UNIÓ                               ,38
M,Eleccions Municipals                    ,2007,2,12,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,4
M,Eleccions Municipals                    ,2007,2,12,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,11
M,Eleccions Municipals                    ,2007,2,12,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,20
M,Eleccions Municipals                    ,2007,2,12,PFIV           ,FAMÍLIA I VIDA                                    ,0
M,Eleccions Municipals                    ,2007,2,12,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,29
M,Eleccions Municipals                    ,2007,2,12,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,194
M,Eleccions Municipals                    ,2007,2,12,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,1
M,Eleccions Municipals                    ,2007,2,14,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,38
M,Eleccions Municipals                    ,2007,2,14,CIU            ,CONVERGÈNCIA I UNIÓ                               ,62
M,Eleccions Municipals                    ,2007,2,14,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,4
M,Eleccions Municipals                    ,2007,2,14,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,19
M,Eleccions Municipals                    ,2007,2,14,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,63
