NOM_FARMACIA,TELEFON,EMAIL,HORARI,ADRECA,X,Y,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,LOCALITZACIO
Farmàcia V. Reynoso,937 851 262,,De dilluns a divendres de 9.00 a 13.30 h. i de 17.00 a 20.00 h. i dissabte de 9.00 a 13.30 h.,"CA D IGUALADA, 3-F",418119.7273,4600460.7935,418025.7328,4600256.5683,2.0170873,41.5497745,"(41.549774540194754, 2.017087251062947)"
Farmàcia Segle XX,937 838 340,farmaciacomas@farmaciacomas.e.telefonica.net,"De dilluns a diumenge de 8.30 a 22.00 h. (horari continu), tots els dies de l any.","CR DE MONTCADA, 146",417731.2598,4601273.0646,417637.2709,4601068.8436,2.0123187,41.5570500,"(41.55705000970029, 2.01231869867649)"
Farmàcia Espí,937 359 545     ,cespi001@cofb.net,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"PS DEL VINT-I-DOS DE JULIOL, 333",417648.9671,4602769.3073,417554.9894,4602565.0892,2.0111267,41.5705167,"(41.57051673393761, 2.0111266866259494)"
Farmàcia Figueras,937 880 464     ,farmaciaxfigueras@cofb.net,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"CA DE PI I MARGALL, 20",416999.3153,4601607.4356,416905.3278,4601403.2206,2.0034964,41.5599857,"(41.55998568611378, 2.003496357940703)"
Farmàcia Balcells,937 362 229,,De dilluns a divendres 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte 9.00 a 13.30 h.,"CA DE PRAT DE LA RIBA, 225",418569.7119,4602824.8424,418475.7361,4602620.6174,2.0221613,41.5711113,"(41.571111265641605, 2.0221613348071)"
Farmàcia Lluch,937 356 072     ,,De dilluns a dissabte de 8.30 a 21.30 h.,"AV DE JAUME I, 354",418216.8750,4603308.3750,418122.9023,4603104.1534,2.0178639,41.5754299,"(41.575429931131396, 2.01786391714718)"
Farmàcia Torres Isern,937 859 144,jtorres003@cofb.net,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"CA DE JACINT ELIAS, 78",419208.3425,4602360.9546,419114.3641,4602156.7240,2.0298828,41.5669983,"(41.56699830197977, 2.0298827745309693)"
Farmàcia Maturana Medina,937 883 564     ,,De dilluns a divendres de 9.00 a 13.30 h. i de 17.00 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"CR DE MARTORELL, 102",416972.8650,4601166.8516,416878.8741,4600962.6362,2.0032401,41.5560150,"(41.55601503394225, 2.003240135243845)"
Farmàcia Núria Pau,937 859 948,farmacianuriapau@gmail.com,De dilluns a diumenge de 9.00 a 22.00 h. (horari continu),"CR DE CASTELLAR, 110",418755.0625,4602320.9375,418661.0831,4602116.7103,2.0244524,41.5665919,"(41.56659194308396, 2.0244524401449375)"
Farmàcia Bastida-Vilaró,937 856 945,,De dilluns a divendres 9.00 a 13.30 h. i de 16.30 a 20.00 h. i dissabte de 9.00 a 13.00 h.,"RM DE FRANCESC MACIÀ, 38",418500.7188,4603419.3125,418406.7474,4603215.0890,2.0212531,41.5764580,"(41.57645804943042, 2.0212531461874153)"
