DATA_REFERENCIA,PAIS_NAIXEMENT,SEXE,BARRI,POBLACIO
2012,ALEMANYA                      ,DISTRICTE 6,SANT LLORENÇ                  ,1
2012,ALEMANYA                      ,DISTRICTE 6,SANT PERE NORD                ,16
2012,ALGÈRIA                       ,DISTRICTE 1,CENTRE                        ,6
2012,ALGÈRIA                       ,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,4
2012,ALGÈRIA                       ,DISTRICTE 1,VALLPARADÍS                   ,1
2012,ALGÈRIA                       ,DISTRICTE 2,CA N ANGLADA                  ,4
2012,ALGÈRIA                       ,DISTRICTE 2,TORRE-SANA                    ,1
2012,ALGÈRIA                       ,DISTRICTE 3,CAN JOFRESA                   ,6
2012,ALGÈRIA                       ,DISTRICTE 3,CAN PALET                     ,5
2012,ALGÈRIA                       ,DISTRICTE 3,CAN PALET II                  ,1
2012,ALGÈRIA                       ,DISTRICTE 3,GUADALHORCE                   ,1
2012,ALGÈRIA                       ,DISTRICTE 3,SEGLE XX                      ,12
2012,ALGÈRIA                       ,DISTRICTE 4,CA N AURELL                   ,5
2012,ALGÈRIA                       ,DISTRICTE 4,LA COGULLADA                  ,4
2012,ALGÈRIA                       ,DISTRICTE 5,CAN BOADA DEL PI              ,1
2012,ALGÈRIA                       ,DISTRICTE 5,CAN ROCA                      ,1
2012,ALGÈRIA                       ,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,3
2012,ALGÈRIA                       ,DISTRICTE 5,SANT PERE                     ,2
2012,ALGÈRIA                       ,DISTRICTE 6,CAN TUSELL                    ,6
2012,ALGÈRIA                       ,DISTRICTE 6,ÈGARA                         ,1
2012,ALGÈRIA                       ,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,5
2012,ALGÈRIA                       ,DISTRICTE 6,SANT LLORENÇ                  ,1
2012,ALTRES PAÏSOS D ÀFRICA        ,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,1
2012,ALTRES PAÏSOS D ÀSIA          ,DISTRICTE 1,CEMENTIRI VELL                ,2
2012,ALTRES PAÏSOS D ÀSIA          ,DISTRICTE 2,CA N ANGLADA                  ,1
2012,ALTRES PAÏSOS D ÀSIA          ,DISTRICTE 4,CA N AURELL                   ,3
2012,ALTRES PAÏSOS D EUROPA        ,DISTRICTE 5,SANT PERE                     ,1
2012,ANDORRA                       ,DISTRICTE 1,CEMENTIRI VELL                ,1
2012,ANDORRA                       ,DISTRICTE 1,CENTRE                        ,4
2012,ANDORRA                       ,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,1
2012,ANDORRA                       ,DISTRICTE 1,VALLPARADÍS                   ,1
2012,ANDORRA                       ,DISTRICTE 2,CA N ANGLADA                  ,3
2012,ANDORRA                       ,DISTRICTE 2,VILARDELL                     ,1
2012,ANDORRA                       ,DISTRICTE 3,CAN PALET                     ,2
2012,ANDORRA                       ,DISTRICTE 3,SEGLE XX                      ,1
2012,ANDORRA                       ,DISTRICTE 4,CA N AURELL                   ,6
2012,ANDORRA                       ,DISTRICTE 4,LA COGULLADA                  ,1
2012,ANDORRA                       ,DISTRICTE 4,LA MAURINA                    ,2
2012,ANDORRA                       ,DISTRICTE 4,ROC BLANC                     ,1
2012,ANDORRA                       ,DISTRICTE 5,CAN BOADA DEL PI              ,2
2012,ANDORRA                       ,DISTRICTE 5,CAN ROCA                      ,1
2012,ANDORRA                       ,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,4
2012,ANDORRA                       ,DISTRICTE 5,SANT PERE                     ,5
2012,ANDORRA                       ,DISTRICTE 5,TORRENT D EN PERE PARRES      ,2
2012,ANDORRA                       ,DISTRICTE 6,CAN TUSELL                    ,2
2012,ANDORRA                       ,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,3
2012,ANDORRA                       ,DISTRICTE 6,SANT PERE NORD                ,3
2012,ANGOLA                        ,DISTRICTE 1,CENTRE                        ,2
2012,ANGOLA                        ,DISTRICTE 3,CAN PALET                     ,1
2012,ANGOLA                        ,DISTRICTE 4,CA N AURELL                   ,1
2012,ANGOLA                        ,DISTRICTE 4,ROC BLANC                     ,1
2012,ANGOLA                        ,DISTRICTE 5,CAN ROCA                      ,2
2012,ANGOLA                        ,DISTRICTE 5,SANT PERE                     ,1
2012,APÀTRIDES                     ,DISTRICTE 1,CENTRE                        ,1
2012,"ARÀBIA SAUDITA, L             ",DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,1
2012,"ARÀBIA SAUDITA, L             ",DISTRICTE 2,CA N ANGLADA                  ,1
2012,"ARÀBIA SAUDITA, L             ",DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,1
2012,"ARGENTINA, L                  ",DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,6
2012,"ARGENTINA, L                  ",DISTRICTE 1,CEMENTIRI VELL                ,51
2012,"ARGENTINA, L                  ",DISTRICTE 1,CENTRE                        ,138
2012,"ARGENTINA, L                  ",DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,66
2012,"ARGENTINA, L                  ",DISTRICTE 1,VALLPARADÍS                   ,33
2012,"ARGENTINA, L                  ",DISTRICTE 2,CA N ANGLADA                  ,91
2012,"ARGENTINA, L                  ",DISTRICTE 2,MONTSERRAT                    ,9
2012,"ARGENTINA, L                  ",DISTRICTE 2,TORRE-SANA                    ,37
2012,"ARGENTINA, L                  ",DISTRICTE 3,CAN JOFRESA                   ,7
2012,"ARGENTINA, L                  ",DISTRICTE 3,CAN PALET                     ,87
2012,"ARGENTINA, L                  ",DISTRICTE 3,CAN PALET II                  ,2
2012,"ARGENTINA, L                  ",DISTRICTE 3,CAN PARELLADA                 ,20
2012,"ARGENTINA, L                  ",DISTRICTE 3,GUADALHORCE                   ,6
2012,"ARGENTINA, L                  ",DISTRICTE 3,LES FONTS                     ,16
2012,"ARGENTINA, L                  ",DISTRICTE 3,P.I. SANTA EULÀLIA            ,1
2012,"ARGENTINA, L                  ",DISTRICTE 3,SEGLE XX                      ,63
2012,"ARGENTINA, L                  ",DISTRICTE 3,XÚQUER                        ,1
2012,"ARGENTINA, L                  ",DISTRICTE 4,CA N AURELL                   ,140
2012,"ARGENTINA, L                  ",DISTRICTE 4,CAN PALET DE VISTA ALEGRE     ,6
2012,"ARGENTINA, L                  ",DISTRICTE 4,LA COGULLADA                  ,39
2012,"ARGENTINA, L                  ",DISTRICTE 4,LA MAURINA                    ,25
2012,"ARGENTINA, L                  ",DISTRICTE 4,ROC BLANC                     ,36
2012,"ARGENTINA, L                  ",DISTRICTE 5,CAN BOADA CASC ANTIC          ,59
2012,"ARGENTINA, L                  ",DISTRICTE 5,CAN BOADA DEL PI              ,9
2012,"ARGENTINA, L                  ",DISTRICTE 5,CAN GONTERES                  ,2
2012,"ARGENTINA, L                  ",DISTRICTE 5,CAN ROCA                      ,18
2012,"ARGENTINA, L                  ",DISTRICTE 5,DISSEMINATS                   ,1
2012,"ARGENTINA, L                  ",DISTRICTE 5,PLA DEL BON AIRE              ,6
2012,"ARGENTINA, L                  ",DISTRICTE 5,PLA DEL BON AIRE - EL GARROT  ,1
2012,"ARGENTINA, L                  ",DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,90
2012,"ARGENTINA, L                  ",DISTRICTE 5,SANT PERE                     ,113
2012,"ARGENTINA, L                  ",DISTRICTE 5,TORRENT D EN PERE PARRES      ,49
2012,"ARGENTINA, L                  ",DISTRICTE 6,CAN TUSELL                    ,7
2012,"ARGENTINA, L                  ",DISTRICTE 6,ÈGARA                         ,30
2012,"ARGENTINA, L                  ",DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,53
2012,"ARGENTINA, L                  ",DISTRICTE 6,SANT LLORENÇ                  ,29
2012,"ARGENTINA, L                  ",DISTRICTE 6,SANT PERE NORD                ,121
2012,ARMÈNIA                       ,DISTRICTE 1,CEMENTIRI VELL                ,7
2012,ARMÈNIA                       ,DISTRICTE 1,CENTRE                        ,2
2012,ARMÈNIA                       ,DISTRICTE 2,CA N ANGLADA                  ,5
2012,ARMÈNIA                       ,DISTRICTE 3,CAN PALET                     ,1
2012,ARMÈNIA                       ,DISTRICTE 4,CA N AURELL                   ,8
2012,ARMÈNIA                       ,DISTRICTE 4,LA COGULLADA                  ,6
2012,ARMÈNIA                       ,DISTRICTE 5,CAN ROCA                      ,3
2012,ARMÈNIA                       ,DISTRICTE 5,SANT PERE                     ,6
2012,ARMÈNIA                       ,DISTRICTE 6,SANT LLORENÇ                  ,7
2012,AUSTRÀLIA                     ,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,1
2012,AUSTRÀLIA                     ,DISTRICTE 1,CEMENTIRI VELL                ,3
2012,AUSTRÀLIA                     ,DISTRICTE 1,CENTRE                        ,1
2012,AUSTRÀLIA                     ,DISTRICTE 2,CA N ANGLADA                  ,2
2012,AUSTRÀLIA                     ,DISTRICTE 3,SEGLE XX                      ,1
2012,AUSTRÀLIA                     ,DISTRICTE 4,LA MAURINA                    ,2
2012,AUSTRÀLIA                     ,DISTRICTE 4,LES MARTINES                  ,1
2012,AUSTRÀLIA                     ,DISTRICTE 4,ROC BLANC                     ,1
2012,AUSTRÀLIA                     ,DISTRICTE 5,CAN ROCA                      ,2
2012,AUSTRÀLIA                     ,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,1
2012,AUSTRÀLIA                     ,DISTRICTE 5,SANT PERE                     ,1
2012,AUSTRÀLIA                     ,DISTRICTE 5,TORRENT D EN PERE PARRES      ,1
2012,AUSTRÀLIA                     ,DISTRICTE 6,CAN TUSELL                    ,1
2012,AUSTRÀLIA                     ,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,2
2012,ÀUSTRIA                       ,DISTRICTE 1,CENTRE                        ,5
2012,ÀUSTRIA                       ,DISTRICTE 2,CA N ANGLADA                  ,1
2012,ÀUSTRIA                       ,DISTRICTE 2,TORRE-SANA                    ,1
2012,ÀUSTRIA                       ,DISTRICTE 3,CAN PARELLADA                 ,1
2012,ÀUSTRIA                       ,DISTRICTE 3,LES FONTS                     ,1
2012,ÀUSTRIA                       ,DISTRICTE 3,SEGLE XX                      ,1
2012,ÀUSTRIA                       ,DISTRICTE 4,LA MAURINA                    ,2
2012,ÀUSTRIA                       ,DISTRICTE 5,CAN BOADA CASC ANTIC          ,1
2012,ÀUSTRIA                       ,DISTRICTE 5,CAN ROCA                      ,2
2012,ÀUSTRIA                       ,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,1
2012,ÀUSTRIA                       ,DISTRICTE 5,SANT PERE                     ,2
2012,ÀUSTRIA                       ,DISTRICTE 5,TORRENT D EN PERE PARRES      ,2
2012,"AZERBAIDJAN, L                ",DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,2
2012,BANGLA DESH                   ,DISTRICTE 1,CEMENTIRI VELL                ,1
2012,BANGLA DESH                   ,DISTRICTE 3,CAN PARELLADA                 ,4
2012,BANGLA DESH                   ,DISTRICTE 3,SEGLE XX                      ,2
2012,BANGLA DESH                   ,DISTRICTE 5,SANT PERE                     ,3
2012,BÈLGICA                       ,DISTRICTE 1,CEMENTIRI VELL                ,2
2012,BÈLGICA                       ,DISTRICTE 1,CENTRE                        ,3
2012,BÈLGICA                       ,DISTRICTE 1,VALLPARADÍS                   ,3
2012,BÈLGICA                       ,DISTRICTE 2,CA N ANGLADA                  ,2
2012,BÈLGICA                       ,DISTRICTE 2,TORRE-SANA                    ,2
2012,BÈLGICA                       ,DISTRICTE 3,CAN PALET                     ,2
2012,BÈLGICA                       ,DISTRICTE 3,CAN PALET II                  ,1
2012,BÈLGICA                       ,DISTRICTE 3,CAN PARELLADA                 ,4
2012,BÈLGICA                       ,DISTRICTE 3,LES FONTS                     ,5
2012,BÈLGICA                       ,DISTRICTE 3,SEGLE XX                      ,2
2012,BÈLGICA                       ,DISTRICTE 4,CA N AURELL                   ,9
2012,BÈLGICA                       ,DISTRICTE 4,LA COGULLADA                  ,3
2012,BÈLGICA                       ,DISTRICTE 4,LA MAURINA                    ,2
2012,BÈLGICA                       ,DISTRICTE 4,ROC BLANC                     ,3
2012,BÈLGICA                       ,DISTRICTE 5,CAN BOADA CASC ANTIC          ,2
2012,BÈLGICA                       ,DISTRICTE 5,CAN ROCA                      ,5
2012,BÈLGICA                       ,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,1
2012,BÈLGICA                       ,DISTRICTE 6,ÈGARA                         ,3
2012,BÈLGICA                       ,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,5
2012,BÈLGICA                       ,DISTRICTE 6,SANT LLORENÇ                  ,3
2012,BÈLGICA                       ,DISTRICTE 6,SANT PERE NORD                ,3
2012,BELIZE                        ,DISTRICTE 1,CEMENTIRI VELL                ,1
2012,BIELORÚSSIA                   ,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,1
2012,BIELORÚSSIA                   ,DISTRICTE 1,VALLPARADÍS                   ,1
2012,BIELORÚSSIA                   ,DISTRICTE 2,TORRE-SANA                    ,2
2012,BIELORÚSSIA                   ,DISTRICTE 3,CAN PALET                     ,1
2012,BIELORÚSSIA                   ,DISTRICTE 3,CAN PALET II                  ,1
2012,BIELORÚSSIA                   ,DISTRICTE 3,GUADALHORCE                   ,1
2012,BIELORÚSSIA                   ,DISTRICTE 3,SEGLE XX                      ,1
2012,BIELORÚSSIA                   ,DISTRICTE 4,CA N AURELL                   ,1
2012,BIELORÚSSIA                   ,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,1
2012,BIELORÚSSIA                   ,DISTRICTE 6,CAN TUSELL                    ,3
2012,BIELORÚSSIA                   ,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,1
2012,BIELORÚSSIA                   ,DISTRICTE 6,SANT PERE NORD                ,2
2012,BOLÍVIA                       ,DISTRICTE 1,CEMENTIRI VELL                ,13
2012,BOLÍVIA                       ,DISTRICTE 1,CENTRE                        ,37
2012,BOLÍVIA                       ,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,16
2012,BOLÍVIA                       ,DISTRICTE 1,VALLPARADÍS                   ,12
2012,BOLÍVIA                       ,DISTRICTE 2,CA N ANGLADA                  ,66
2012,BOLÍVIA                       ,DISTRICTE 2,MONTSERRAT                    ,7
2012,BOLÍVIA                       ,DISTRICTE 2,TORRE-SANA                    ,6
2012,BOLÍVIA                       ,DISTRICTE 2,VILARDELL                     ,1
2012,BOLÍVIA                       ,DISTRICTE 3,CAN JOFRESA                   ,5
2012,BOLÍVIA                       ,DISTRICTE 3,CAN PALET                     ,63
2012,BOLÍVIA                       ,DISTRICTE 3,CAN PARELLADA                 ,9
2012,BOLÍVIA                       ,DISTRICTE 3,GUADALHORCE                   ,8
2012,BOLÍVIA                       ,DISTRICTE 3,LES FONTS                     ,3
2012,BOLÍVIA                       ,DISTRICTE 3,SEGLE XX                      ,24
2012,BOLÍVIA                       ,DISTRICTE 3,XÚQUER                        ,2
2012,BOLÍVIA                       ,DISTRICTE 4,CA N AURELL                   ,95
2012,BOLÍVIA                       ,DISTRICTE 4,LA COGULLADA                  ,29
2012,BOLÍVIA                       ,DISTRICTE 4,LA MAURINA                    ,36
2012,BOLÍVIA                       ,DISTRICTE 4,ROC BLANC                     ,2
2012,BOLÍVIA                       ,DISTRICTE 5,CAN BOADA CASC ANTIC          ,41
2012,BOLÍVIA                       ,DISTRICTE 5,CAN BOADA DEL PI              ,9
2012,BOLÍVIA                       ,DISTRICTE 5,CAN ROCA                      ,4
2012,BOLÍVIA                       ,DISTRICTE 5,PLA DEL BON AIRE              ,4
2012,BOLÍVIA                       ,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,38
2012,BOLÍVIA                       ,DISTRICTE 5,SANT PERE                     ,61
2012,BOLÍVIA                       ,DISTRICTE 5,TORRENT D EN PERE PARRES      ,5
2012,BOLÍVIA                       ,DISTRICTE 6,CAN TUSELL                    ,1
2012,BOLÍVIA                       ,DISTRICTE 6,ÈGARA                         ,27
2012,BOLÍVIA                       ,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,10
2012,BOLÍVIA                       ,DISTRICTE 6,SANT LLORENÇ                  ,14
2012,BOLÍVIA                       ,DISTRICTE 6,SANT PERE NORD                ,101
2012,BÒSNIA I HERCEGOVINA          ,DISTRICTE 1,CENTRE                        ,1
2012,BÒSNIA I HERCEGOVINA          ,DISTRICTE 3,CAN PALET                     ,2
2012,BÒSNIA I HERCEGOVINA          ,DISTRICTE 4,ROC BLANC                     ,2
2012,"BRASIL, EL                    ",DISTRICTE 1,CEMENTIRI VELL                ,17
2012,"BRASIL, EL                    ",DISTRICTE 1,CENTRE                        ,60
2012,"BRASIL, EL                    ",DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,19
2012,"BRASIL, EL                    ",DISTRICTE 1,VALLPARADÍS                   ,16
2012,"BRASIL, EL                    ",DISTRICTE 2,CA N ANGLADA                  ,30
2012,"BRASIL, EL                    ",DISTRICTE 2,MONTSERRAT                    ,1
2012,"BRASIL, EL                    ",DISTRICTE 2,TORRE-SANA                    ,23
2012,"BRASIL, EL                    ",DISTRICTE 3,CAN JOFRESA                   ,1
2012,"BRASIL, EL                    ",DISTRICTE 3,CAN PALET                     ,29
2012,"BRASIL, EL                    ",DISTRICTE 3,CAN PALET II                  ,4
2012,"BRASIL, EL                    ",DISTRICTE 3,CAN PARELLADA                 ,12
2012,"BRASIL, EL                    ",DISTRICTE 3,GUADALHORCE                   ,1
2012,"BRASIL, EL                    ",DISTRICTE 3,LES FONTS                     ,4
2012,"BRASIL, EL                    ",DISTRICTE 3,SEGLE XX                      ,37
2012,"BRASIL, EL                    ",DISTRICTE 3,XÚQUER                        ,4
2012,"BRASIL, EL                    ",DISTRICTE 4,CA N AURELL                   ,57
2012,"BRASIL, EL                    ",DISTRICTE 4,LA COGULLADA                  ,21
2012,"BRASIL, EL                    ",DISTRICTE 4,LA MAURINA                    ,19
2012,"BRASIL, EL                    ",DISTRICTE 4,LES MARTINES                  ,2
2012,"BRASIL, EL                    ",DISTRICTE 4,ROC BLANC                     ,18
2012,"BRASIL, EL                    ",DISTRICTE 5,CAN BOADA CASC ANTIC          ,14
2012,"BRASIL, EL                    ",DISTRICTE 5,CAN BOADA DEL PI              ,1
2012,"BRASIL, EL                    ",DISTRICTE 5,CAN ROCA                      ,8
2012,"BRASIL, EL                    ",DISTRICTE 5,DISSEMINATS                   ,1
2012,"BRASIL, EL                    ",DISTRICTE 5,PLA DEL BON AIRE              ,3
2012,"BRASIL, EL                    ",DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,36
2012,"BRASIL, EL                    ",DISTRICTE 5,SANT PERE                     ,40
2012,"BRASIL, EL                    ",DISTRICTE 5,TORRENT D EN PERE PARRES      ,16
2012,"BRASIL, EL                    ",DISTRICTE 6,CAN TUSELL                    ,4
2012,"BRASIL, EL                    ",DISTRICTE 6,ÈGARA                         ,6
2012,"BRASIL, EL                    ",DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,26
2012,"BRASIL, EL                    ",DISTRICTE 6,SANT LLORENÇ                  ,4
2012,"BRASIL, EL                    ",DISTRICTE 6,SANT PERE NORD                ,37
2012,BULGÀRIA                      ,DISTRICTE 1,CEMENTIRI VELL                ,6
2012,BULGÀRIA                      ,DISTRICTE 1,CENTRE                        ,8
2012,BULGÀRIA                      ,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,3
2012,BULGÀRIA                      ,DISTRICTE 2,CA N ANGLADA                  ,11
2012,BULGÀRIA                      ,DISTRICTE 2,TORRE-SANA                    ,4
2012,BULGÀRIA                      ,DISTRICTE 3,CAN PALET                     ,19
2012,BULGÀRIA                      ,DISTRICTE 3,CAN PARELLADA                 ,8
2012,BULGÀRIA                      ,DISTRICTE 3,SEGLE XX                      ,5
2012,BULGÀRIA                      ,DISTRICTE 3,XÚQUER                        ,1
2012,BULGÀRIA                      ,DISTRICTE 4,CA N AURELL                   ,18
2012,BULGÀRIA                      ,DISTRICTE 4,LA COGULLADA                  ,13
2012,BULGÀRIA                      ,DISTRICTE 4,LA MAURINA                    ,2
2012,BULGÀRIA                      ,DISTRICTE 4,ROC BLANC                     ,1
2012,BULGÀRIA                      ,DISTRICTE 5,CAN BOADA CASC ANTIC          ,3
2012,BULGÀRIA                      ,DISTRICTE 5,CAN ROCA                      ,1
2012,BULGÀRIA                      ,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,3
2012,BULGÀRIA                      ,DISTRICTE 5,SANT PERE                     ,2
2012,BULGÀRIA                      ,DISTRICTE 5,TORRENT D EN PERE PARRES      ,1
2012,BULGÀRIA                      ,DISTRICTE 6,ÈGARA                         ,4
2012,BULGÀRIA                      ,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,5
2012,BULGÀRIA                      ,DISTRICTE 6,SANT PERE NORD                ,13
2012,BURKINA FASO                  ,DISTRICTE 4,ROC BLANC                     ,2
2012,"CAMERUN, EL                   ",DISTRICTE 1,CEMENTIRI VELL                ,1
2012,"CAMERUN, EL                   ",DISTRICTE 2,CA N ANGLADA                  ,4
2012,"CAMERUN, EL                   ",DISTRICTE 4,CA N AURELL                   ,4
2012,"CAMERUN, EL                   ",DISTRICTE 4,LA MAURINA                    ,1
2012,"CAMERUN, EL                   ",DISTRICTE 5,CAN BOADA DEL PI              ,1
2012,"CAMERUN, EL                   ",DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,1
2012,"CAMERUN, EL                   ",DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,1
2012,"CANADÀ, EL                    ",DISTRICTE 1,CEMENTIRI VELL                ,2
2012,"CANADÀ, EL                    ",DISTRICTE 1,CENTRE                        ,2
2012,"CANADÀ, EL                    ",DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,1
2012,"CANADÀ, EL                    ",DISTRICTE 1,VALLPARADÍS                   ,2
2012,"CANADÀ, EL                    ",DISTRICTE 2,CA N ANGLADA                  ,1
2012,"CANADÀ, EL                    ",DISTRICTE 2,MONTSERRAT                    ,1
2012,"CANADÀ, EL                    ",DISTRICTE 2,TORRE-SANA                    ,1
2012,"CANADÀ, EL                    ",DISTRICTE 3,CAN PARELLADA                 ,2
2012,"CANADÀ, EL                    ",DISTRICTE 3,LES FONTS                     ,1
2012,"CANADÀ, EL                    ",DISTRICTE 4,LA COGULLADA                  ,1
2012,"CANADÀ, EL                    ",DISTRICTE 5,CAN BOADA CASC ANTIC          ,1
2012,"CANADÀ, EL                    ",DISTRICTE 5,CAN GONTERES                  ,1
2012,"CANADÀ, EL                    ",DISTRICTE 5,PLA DEL BON AIRE              ,3
2012,"CANADÀ, EL                    ",DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,2
2012,"CANADÀ, EL                    ",DISTRICTE 5,SANT PERE                     ,2
2012,"CANADÀ, EL                    ",DISTRICTE 6,ÈGARA                         ,1
2012,"CANADÀ, EL                    ",DISTRICTE 6,SANT PERE NORD                ,1
2012,CAP VERD                      ,DISTRICTE 4,CA N AURELL                   ,1
2012,COLÒMBIA                      ,DISTRICTE 1,CEMENTIRI VELL                ,60
2012,COLÒMBIA                      ,DISTRICTE 1,CENTRE                        ,104
2012,COLÒMBIA                      ,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,48
2012,COLÒMBIA                      ,DISTRICTE 1,VALLPARADÍS                   ,35
2012,COLÒMBIA                      ,DISTRICTE 2,CA N ANGLADA                  ,157
2012,COLÒMBIA                      ,DISTRICTE 2,MONTSERRAT                    ,10
2012,COLÒMBIA                      ,DISTRICTE 2,TORRE-SANA                    ,56
2012,COLÒMBIA                      ,DISTRICTE 3,CAN JOFRESA                   ,14
2012,COLÒMBIA                      ,DISTRICTE 3,CAN PALET                     ,128
2012,COLÒMBIA                      ,DISTRICTE 3,CAN PALET II                  ,12
2012,COLÒMBIA                      ,DISTRICTE 3,CAN PARELLADA                 ,45
2012,COLÒMBIA                      ,DISTRICTE 3,GUADALHORCE                   ,18
2012,COLÒMBIA                      ,DISTRICTE 3,LES FONTS                     ,16
2012,COLÒMBIA                      ,DISTRICTE 3,SEGLE XX                      ,42
2012,COLÒMBIA                      ,DISTRICTE 3,XÚQUER                        ,17
2012,COLÒMBIA                      ,DISTRICTE 4,CA N AURELL                   ,143
2012,COLÒMBIA                      ,DISTRICTE 4,CAN PALET DE VISTA ALEGRE     ,3
2012,COLÒMBIA                      ,DISTRICTE 4,LA COGULLADA                  ,35
2012,COLÒMBIA                      ,DISTRICTE 4,LA MAURINA                    ,38
2012,COLÒMBIA                      ,DISTRICTE 4,ROC BLANC                     ,27
2012,COLÒMBIA                      ,DISTRICTE 4,VISTA ALEGRE                  ,1
2012,COLÒMBIA                      ,DISTRICTE 5,CAN BOADA CASC ANTIC          ,49
2012,COLÒMBIA                      ,DISTRICTE 5,CAN BOADA DEL PI              ,25
2012,COLÒMBIA                      ,DISTRICTE 5,CAN GONTERES                  ,2
2012,COLÒMBIA                      ,DISTRICTE 5,CAN ROCA                      ,22
2012,COLÒMBIA                      ,DISTRICTE 5,DISSEMINATS                   ,1
2012,COLÒMBIA                      ,DISTRICTE 5,PLA DEL BON AIRE              ,7
2012,COLÒMBIA                      ,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,66
2012,COLÒMBIA                      ,DISTRICTE 5,SANT PERE                     ,87
2012,COLÒMBIA                      ,DISTRICTE 5,TORRENT D EN PERE PARRES      ,39
2012,COLÒMBIA                      ,DISTRICTE 6,CAN TUSELL                    ,7
2012,COLÒMBIA                      ,DISTRICTE 6,DISSEMINATS                   ,1
2012,COLÒMBIA                      ,DISTRICTE 6,ÈGARA                         ,70
2012,COLÒMBIA                      ,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,63
2012,COLÒMBIA                      ,DISTRICTE 6,SANT LLORENÇ                  ,40
2012,COLÒMBIA                      ,DISTRICTE 6,SANT PERE NORD                ,202
2012,"CONGO, EL                     ",DISTRICTE 1,CEMENTIRI VELL                ,1
2012,"CONGO, EL                     ",DISTRICTE 4,CA N AURELL                   ,1
2012,"CONGO, EL                     ",DISTRICTE 4,LA MAURINA                    ,1
2012,COREA DEL SUD                 ,DISTRICTE 1,CENTRE                        ,1
2012,COREA DEL SUD                 ,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,4
2012,COREA DEL SUD                 ,DISTRICTE 3,CAN PARELLADA                 ,1
2012,COREA DEL SUD                 ,DISTRICTE 4,CA N AURELL                   ,8
2012,COREA DEL SUD                 ,DISTRICTE 5,CAN ROCA                      ,1
2012,COREA DEL SUD                 ,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,1
2012,COREA DEL SUD                 ,DISTRICTE 5,SANT PERE                     ,1
2012,COREA DEL SUD                 ,DISTRICTE 5,TORRENT D EN PERE PARRES      ,1
2012,"COSTA D IVORI, LA             ",DISTRICTE 1,CEMENTIRI VELL                ,1
2012,"COSTA D IVORI, LA             ",DISTRICTE 3,CAN PALET                     ,2
2012,"COSTA D IVORI, LA             ",DISTRICTE 3,SEGLE XX                      ,1
2012,"COSTA D IVORI, LA             ",DISTRICTE 4,CAN PALET DE VISTA ALEGRE     ,1
2012,"COSTA D IVORI, LA             ",DISTRICTE 5,CAN ROCA                      ,1
2012,"COSTA D IVORI, LA             ",DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,1
2012,"COSTA D IVORI, LA             ",DISTRICTE 5,SANT PERE                     ,1
2012,"COSTA D IVORI, LA             ",DISTRICTE 5,TORRENT D EN PERE PARRES      ,1
