DATA_REFERENCIA,DISTRICTE,BARRI,NACIONALITAT,POBLACIO
2014,DISTRICTE 3,SEGLE XX                      ,BOLÍVIA                       ,7
2013,DISTRICTE 2,TORRE-SANA                    ,POLÒNIA                       ,20
2012,DISTRICTE 1,CENTRE                        ,"URUGUAI, L                    ",16
2017,DISTRICTE 1,VALLPARADÍS                   ,POLÒNIA                       ,7
2013,DISTRICTE 5,CAN ROCA                      ,ESLOVÀQUIA                    ,1
2011,DISTRICTE 1,VALLPARADÍS                   ,VENEÇUELA                     ,6
2015,DISTRICTE 2,MONTSERRAT                    ,RÚSSIA                        ,3
2016,DISTRICTE 3,CAN PALET                     ,"REPÚBLICA DOMINICANA, LA      ",41
2014,DISTRICTE 4,CA N AURELL                   ,"PAKISTAN, EL                  ",9
2013,DISTRICTE 5,PLA DEL BON AIRE              ,CUBA                          ,1
2015,DISTRICTE 5,TORRENT D EN PERE PARRES      ,"EQUADOR, L                    ",26
2015,DISTRICTE 3,CAN PALET                     ,MÈXIC                         ,11
2014,DISTRICTE 3,CAN JOFRESA                   ,RÚSSIA                        ,4
2015,DISTRICTE 3,SEGLE XX                      ,CUBA                          ,11
2014,DISTRICTE 4,CA N AURELL                   ,XILE                          ,32
2015,DISTRICTE 1,CENTRE                        ,VENEÇUELA                     ,30
2014,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,"MARROC, EL                    ",336
2016,DISTRICTE 3,CAN PARELLADA                 ,"URUGUAI, L                    ",4
2017,DISTRICTE 6,SANT PERE NORD                ,MOLDÀVIA                      ,7
2013,DISTRICTE 5,PLA DEL BON AIRE              ,ROMANIA                       ,1
2013,DISTRICTE 6,SANT PERE NORD                ,SUÏSSA                        ,2
2012,DISTRICTE 2,TORRE-SANA                    ,ROMANIA                       ,40
2016,DISTRICTE 2,CA N ANGLADA                  ,GEÒRGIA                       ,3
2015,DISTRICTE 1,CENTRE                        ,IRLANDA                       ,6
2017,DISTRICTE 1,VALLPARADÍS                   ,"REPÚBLICA DOMINICANA, LA      ",5
2014,DISTRICTE 5,SANT PERE                     ,"URUGUAI, L                    ",11
2011,DISTRICTE 3,SEGLE XX                      ,BIELORÚSSIA                   ,1
2012,DISTRICTE 5,SANT PERE                     ,"REPÚBLICA TXECA, LA           ",1
2017,DISTRICTE 5,PLA DEL BON AIRE              ,ESPANYA                       ,2460
2013,DISTRICTE 4,LES MARTINES                  ,"URUGUAI, L                    ",2
2012,DISTRICTE 1,VALLPARADÍS                   ,XILE                          ,3
2013,DISTRICTE 6,SANT PERE NORD                ,LITUÀNIA                      ,1
2013,DISTRICTE 5,PLA DEL BON AIRE - EL GARROT  ,POLÒNIA                       ,1
2014,DISTRICTE 6,SANT LLORENÇ                  ,"PAKISTAN, EL                  ",8
2012,DISTRICTE 6,SANT LLORENÇ                  ,"REGNE UNIT, EL                ",1
2016,DISTRICTE 4,LA COGULLADA                  ,BIELORÚSSIA                   ,1
2015,DISTRICTE 2,MONTSERRAT                    ,ROMANIA                       ,5
2013,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,GUATEMALA                     ,4
2014,DISTRICTE 4,CA N AURELL                   ,"XINA, LA                      ",112
2017,DISTRICTE 1,CENTRE                        ,NOVA ZELANDA                  ,2
2017,DISTRICTE 4,LA COGULLADA                  ,EGIPTE                        ,1
2016,DISTRICTE 6,ÈGARA                         ,PORTUGAL                      ,1
2017,DISTRICTE 2,TORRE-SANA                    ,"REGNE UNIT, EL                ",1
2015,DISTRICTE 5,CAN BOADA CASC ANTIC          ,XILE                          ,5
2011,DISTRICTE 3,SEGLE XX                      ,CUBA                          ,14
2011,DISTRICTE 5,CAN ROCA                      ,ESLOVÀQUIA                    ,1
2015,DISTRICTE 1,CEMENTIRI VELL                ,"COSTA D IVORI, LA             ",2
2014,DISTRICTE 2,TORRE-SANA                    ,ROMANIA                       ,42
2013,DISTRICTE 5,CAN ROCA                      ,"URUGUAI, L                    ",10
2015,DISTRICTE 5,CAN BOADA CASC ANTIC          ,"PAKISTAN, EL                  ",30
2017,DISTRICTE 3,LES FONTS                     ,TURQUIA                       ,1
