Nom Foto,Nombre Foto,Name Photo,Descripció,Descripción,Description,FOTO/PHOTO
Fotografia de l’Església de Sant Miquel,Fotografía de la Iglesia de Sant Miguel,Photograph of Sant Miquel Church,"Fotografia de l’Església de Sant Miquel. Conjunt d'Esglésies de Sant Pere de Terrassa. Interior de la nau amb els detalls de les vuit columnes que sostenen la cúpula i, a sota, la piscina baptismal, ara desapareguda","Fotografía de la Iglesia de San Miguel. Conjunto de Iglesias de San Pedro de Terrassa. Interior de la nave con los detalles de las ocho columnas que sostienen la cúpula y, debajo, la piscina bautismal, ahora desaparecida","Photograph of Sant Miquel Church. Churches Assembly of St. Peter of Terrassa. Interior of the nave with the details of the eight columns supporting the dome and, below, the baptismal pool, now missing",https://opendata.terrassa.cat/views/3bcr-vaa9/files/79519fbd-dcab-4348-803f-f7585962b266
Fotografia de la façana de l'Ajuntament de Terrassa del Raval de Montserrat,Fotografía de la fachada del Ayuntamiento de Terrassa del Raval de Monserrat,Photograph of the facade of Terrassa City Council in Raval de Montserrat,"Fotografia de l'antiga façana de l'Ajuntament de Terrassa. L'edifici va ser construït l'any 1903. La façana va ser reformada i acabada segons els dibuixos originals l'any 1999. Fins aquell moment, la façana estava inacabada i les agulles de la part superior frontal no existien",,,https://opendata.terrassa.cat/views/3bcr-vaa9/files/eb6a2581-550f-4f5f-b0aa-527ff541e51e
Fotografia de la Masia Freixa,Fotografía de la Masia Freixa,Photograph of Masia Freixa Country House,"Fotografia de la Masia Freixa, edifici modernista de la ciutat de Terrassa situat al parc de Sant Jordi, antics jardins i terreny adjacent a la masia, dins el barri de Ca n'Aurell","Fotografía de la Masia Freixa, edificio modernista de la ciudad de Terrassa situado en el parque de Sant Jordi y adyacente a la masía, en el barrio de Ca n'Aurell","Photograph of Maisa Freixa, Terrassa’s modernist building located in the Sant Jordi Park, the gardens and land adjacent to the house, in Ca n'Aurell neighborhood",https://opendata.terrassa.cat/views/3bcr-vaa9/files/9822299b-5a27-44ef-bad1-c664079d21d3
Fotografia de l'estació dels Ferrocarrils de Catalunya,Fotografía de la estación de los Ferrocarriles de Cataluña,Photograph of de Catalonia Railways station,"Fotografia de l'estació dels Ferrocarrils de Catalunya l'any 1918, avui desapareguda. L'estació estava situada a la cruïlla de la Rambla i la Plaça d'Anselm Clavé","Fotografía de la estación de los Ferrocarriles de Cataluña en el año 1918, hoy desaparecida. La estación estaba situada en el cruce de la Rambla y la Plaza de Anselm Clavé","Photograph of Catalonia Railway station in 1918, now missing. The station was located at the junction of the Rambla and Anselm Clave Square",https://opendata.terrassa.cat/views/3bcr-vaa9/files/1a18c129-b656-422f-9ae2-a885579c8eb6
Fotografia de la Plaça Doctor Robert. Convent de Sant Francesc,Fotografía de la Plaza Doctor Robert. Convento de San Francisco,Photograph of Doctor Robert Square. Convent of Sant Francesc,"Fotografia de la Plaça Doctor Robert. En primer terme l'antic Convent i Església de Sant Francesc, d'estil barroc iniciat a principis del segle XVII (1609-1612) però finalitzat amb elements gòtics i renaixentistes. Amb la posterior remodelació d'una part, feta cap el 1907 per Lluís Muncunill, l'edifici l'ocuparà l'antiga Clínica del Remei fins als anys 80 que s'ampliarà. Actualment continua essent un edifici d'ús sanitari","Fotografía de la Plaza Doctor Robert. En primer término el antiguo Convento e Iglesia de San Francisco, de estilo barroco iniciado a principios del siglo XVII (1609-1612) pero finalizado con elementos góticos y renacentistas. Con la posterior remodelación de una parte, hecha hacia el 1907 por Lluís Muncunill, el edificio lo ocupará la antigua Clínica del Remedio hasta los años 80 que se ampliará. Actualmente sigue siendo un edificio de uso sanitario","Photograph of Doctor Robert Square. Firstly the old Convent and Church of San Francisco, baroque, began in early seventeenth century (1609-1612) but finished with gothic and renaissance elements. With the subsequent remodeling of part, done in the 1907 by Lluís Muncunill, the building will occupy the former Remedy Clinic to the 80 that will be expanded. Currently it remains as a sanitary building",https://opendata.terrassa.cat/views/3bcr-vaa9/files/ae820aac-f4d6-410a-aa48-784a364c4db7
Fotografia de la Plaça de la Creu Gran,Fotografía de la Plaza de la Creu Gran,Photograph of Creu Gran’s Square,"Plaça de la Creu Gran, any 1910. Antiga Creu convertida en font ornamental l'any 1844. La Creu original es troba al Museu de Terrassa","Plaza de la Creu Gran, año 1910. Antigua Cruz convertida en fuente ornamental el año 1844. La Cruz original se encuentra en el Museo de Terrassa","Creu Gran’s Square, 1910. Old Cross turned into ornamental fountain in 1844. The original Cross is in the Museum of Terrassa",https://opendata.terrassa.cat/views/3bcr-vaa9/files/cf19ccc2-e7ac-47a3-888e-48b0dff457a2
Fotografia de l’Església de Sant Pere,Fotografía de la Iglesia de San Pedro,Photograph of St. Peter's Church,Fotografia de l’Església de Sant Pere. Vista interior de la nau principal de l'església parroquial de Sant Pere. Al fons de la imatge s'observa el retaule petri de l'absis i als laterals les pintures murals medievals,Photograph of St. Peter's Church. View of the main nave of the St. Peter's Church parochial Church. At the bottom of the image is the altarpiece of stony apse and to the sides are the medieval wall paintings,Fotografía de la Iglesia de San Pedro. Vista interior de la nave principal de la iglesia parroquial de San Pedro. Al fondo de la imagen se observa el retablo pétreo del ábside y a los laterales las pinturas murales medievales,https://opendata.terrassa.cat/views/3bcr-vaa9/files/e99a1113-827a-4cf0-9bd5-5f74017aaff8
Fotografia de l’Agrupació Regionalista a la Plaça Mossèn Jacint Verdaguer,Fotografía de la Agrupación Regionalista en la Plaza Mossèn Jacint Verdaguer,Photography of Regionalist Group in Mossèn Jacint Verdaguer Square,Fotografia de l'edifici modernista que Lluís Muncunill va dissenyar el 1905 per l’Agrupació Regionalista. Situat a la Plaça Mossèn Jacint Verdaguer es va enderrocar i actualment hi trobem l'edifici de Correus,,,https://opendata.terrassa.cat/views/3bcr-vaa9/files/65389141-6b31-4b9c-9c9d-b103006ce606
Fotografia de la carretera de Montcada,Fotografía de la carretera de Montcada,Photograph of Montcada road,"Fotografia de la carretera de Montcada, l'any 1947. S'hi poden veure les cases del Gall, prop del pont que travessa el Parc de Vallparadís","Fotografía de la carretera de Moncada, en el año 1947. Se pueden ver las casas del Gallo, cerca del puente que atraviesa el Parque de Vallparadís","Photograph of Montcada road, in 1947. You can see the houses of Gall, near the bridge that crosses Vallparadís Park",https://opendata.terrassa.cat/views/3bcr-vaa9/files/18269943-aa26-4959-84e9-7ff90beed91e
Fotografia de la Plaça del Rector Homs. Conjunt Esglésies de Sant Pere,Fotografía de la Plaza del Rector Homs. Conjunto Iglesias de San Pedro,Photograph of Rector Homs Square. Saint Peter Churches Assembly,"Fotografia de la Plaça del Rector Homs a principis del segle XIX. S'observa l'antic mur de tancament fet de pedra amb la porta d’accés al Conjunt Monumental de les Esglésies de Sant Pere. A la part esquerra visualitzem el mur dels peus de l'església i el campanar d'espadanya, d'origen romànic","Fotografía de la Plaza del Rector Homs a principios del siglo XIX. Se observa el antiguo muro de cerramiento de piedra con la puerta de acceso al Conjunto Monumental de las Iglesias de San Pedro. En la parte izquierda visualizamos el muro de los pies de la iglesia y el campanario de espadaña, de origen románico","Photograph of Rector Homs Square early nineteenth century. It notes the old stone wall enclosure with access door to Saint Peter Monumental Churches. On the left wall visualize the foot of the church and the bulrush belfry, romanesque",https://opendata.terrassa.cat/views/3bcr-vaa9/files/9763b5c8-e20a-44c3-9a92-6e752ac8840f
Fotografia de la Torre del Palau,Fotografía de la Torre del Palau,Photography of Palau Tower,"Fotografia de la Torre del Palau. Antiga torre de defensa, que formava part  del Castell-Palau de Terrassa (s. XII), situada al centre de la ciutat","Fotografía de la Torre del Palau. Antigua torre de defensa, que formaba parte del Castillo-Palacio de Terrassa (s. XII), situada en el centro de la ciudad","Photograph of Palau Tower. Old defense tower, part of the Castle-Palace (XII century), located in downtown",https://opendata.terrassa.cat/views/3bcr-vaa9/files/47e63057-b89e-4cff-89f3-96687905405a
Fotografia del Barri de Sant Llorenç,Fotografía del Barrio de San Lorenzo,Photograph of Sant Llorenç Neighborhood,"Fotografia del Barri de Sant Llorenç. Situat a la part nord-oriental del districte VI, al marge esquerre de la riera de les Arenes. El barri va néixer arran de l'edificació del polígon d'habitatges de l'Obra Sindical del Hogar el 1955","Fotografía del Barrio de San Lorenzo. Situado en la parte nororiental del distrito VI, en el margen izquierdo de la riera de las Arenas. El barrio nació a raíz de la edificación del polígono de viviendas de la Obra Sindical del Hogar en 1955","Photograph of Sant Llorenç Neighborhood. Located in the northeastern part of district VI, on the left of Arenas river. The neighborhood was created on account of the construction of the dwelling area of the Obra Sindical del Hogar in 1955",https://opendata.terrassa.cat/views/3bcr-vaa9/files/8a30261f-5c3f-4f51-9e73-408dabb8c8de
Fotografia del carrer Ample i Mercat del Triomf,Fotografía de la calle Ample y Mercado del Triunfo,Photograph of Ample street and Triomph Market,"Fotografia del carrer Ample i Mercat del Triomf, al barri de Sant Pere, l'any 1930. El carrer Ample encara no estava urbanitzat","Fotografía de la calle Ample y Mercado del Triunfo, en el barrio de San Pedro, en el año 1930. La calle Ample aún no estaba urbanizada","Photograph of Ample street and Triomph Market, in San Pedro neighborhood, in 1930. Ample street was not yet urbanized",https://opendata.terrassa.cat/views/3bcr-vaa9/files/6c463ce8-5db8-4bb0-bda6-e72124f61b38
Fotografia del carrer Colom,Fotografía de la calle Colón,Photograph of Columbus street,"Fotografia del carrer Colom, al barri de Can Palet l'any 1947. El carrer encara no estava urbanitzat i hi podien pasturar ramats de cabres","Fotografía de la calle Colón, en el barrio de Can Palet en 1947. La calle aún no estaba urbanizada y podían pastar rebaños de cabras","Photograph of Columbus street, in Can Palet neighborhood in 1947. The street was not yet urbanized and goats could graze herds",https://opendata.terrassa.cat/views/3bcr-vaa9/files/c06708d5-3351-45ba-a618-b78fc5de5638
Fotografia del Mercat de la Independència a la Rambla d'Ègara,Fotografía del Mercado de la Independencia en la Rambla de Egara,Photograph of Independence Market in Rambla Egara,"Fotografia de la Rambla d'Ègara amb el Mercat de la Independència a primer terme, l'any 1925. Al fons s'observa la xemeneia de la fàbrica Aymerich, Amat i Jover","Fotografía de la Rambla de Egara con el Mercado de la Independencia en primer término, en 1925. Al fondo se observa la chimenea de la fábrica Aymerich, Amat y Jover","Photograph of Rambla Egara with Independence Market firstly, in 1925. In the background the factory chimney Aymerich, Amat and Jover",https://opendata.terrassa.cat/views/3bcr-vaa9/files/950de7ce-7815-4176-8450-c0b4cabc891c
