EXERCICI_COMPTAB,PARTIDA,DESCRIPCIO_PARTIDA,PRESSUPOST_DEFINITIU,LIQUIDACIO
2011,11 13001   32500,TAXES DOCUMENTS - SERV. ADM. P,,78232.13
2011,11 13001   33900,ACTIVITATS A LA VIA PÚBLICA - ,60000,70444.8
2011,11 13001   33901,AUTORITZACIONS OCUPACIÓ VIA PÚ,200000,160118.06
2011,11 13001   39190,MULTES INFRACCIÓ ORDENANCES ,,46752.06
2011,11 13002   34900,PREUS PÚBLICS-CURSOS MOBILITAT,,152.52
2011,11 13201   30900,ALTRES SERVEIS ESPECIALS POLIC,2500,3921.85
2011,11 13302   45100,TRANSF. ORG. AUTON. I AGEN. C.,,1733.16
2011,11 13302   48000,TRANS. INST S/FINALITAT LUCRE-,2000,2000
2011,11 15101   75060,TRANSF. CAPITAL GENERALITAT- U,511348.49,511348.49
2011,11 15102   38000,REINTEGRAMENT D AVALS - DIRECC,3880,3880
2011,11 15105   32100,LLICÈNCIES URBANÍSTIQUES - GES,3600,
2011,11 15106   55200,DRET SUPERFÍCIE AMB CONTRAPRES,18440.94,18440.94
2011,11 15107   38900,REINTEGRES D OPERACIONS CORREN,5,264.61
2011,11 15107   39900,ALTRES INGRESSOS DIVERSOS - SE,5,266.67
2011,11 15108   32500,TAXA DOCUMENTS - PROTECCIÓ DE ,1900,3449.55
2011,11 15108   33900,ACTIVITATS VIA PÚBLICA - PROTE,60100,20779.17
2011,11 15108   39903,EXECUCIONS SUBSIDIÀRIES - PROT,120200,150894.68
2011,11 15109   32100,LLICÈNCIES URBANÍSTIQUES,271400,196695.36
2011,11 15109   32200,LLICÈNCIES PRIMERA OCUPACIÓ ,30600,52811.9
2011,11 15109   32300,TAXES ALTRES SERVEIS URBANÍSTI,71300,40784.04
2011,11 15109   32500,TAXES DOCUMENTS - LLICÈNCIES,1900,5387.15
2011,11 15109   33900,ACTIVITATS A LA VIA PÚBLICA - ,158900,81831.47
2011,11 15111   32100,LLICÈNCIES URBANÍSTIQUES - PL.,5100,
2011,11 15112   32500,TAXA DOCUMENTS - INFORMACIÓ UR,8900,4817.52
2011,11 15112   33900,ACTIVITATS VIA PÚBLICA - INFOR,20400,
2011,11 15199   39900,ALTRES INGRESSOS DIVERSOS - UR,130280,69679.88
2011,11 15199   45080,SUBV. GENERALITAT - URBANISME ,10,
2011,11 15199   46100,SUBVENCIONS DIPUTACIÓ - URBANI,5,
2011,11 15199   47000,TRANSF. EMPRESES PRIVADES - UR,5,
2011,11 15600   45060,SUBVENCIÓ GENERALITAT - PLA BA,645418.46,451296.52
2011,11 15600   75060,ALTRES TRANSF. CAPITAL GENERAL,2265658.82,2256607.92
2011,11 15700   45060,SUBV. GENERALITAT - CONTRACTE ,,351563.23
2011,11 15700   75060,TRANSF. CAPITAL GENERALITAT CO,555500,552387.32
2011,11 15701   45060,SUBV. GENERALITAT - DIRECCIÓ I,15000,
2011,11 15702   45060,SUBV. GENERALITAT - ESPAIS DE ,25000,
2011,11 15703   45060,SUBV. GENERALITAT - DINAMITZAC,30000,
2011,11 15704   45060,SUBV. GENERALITAT - PUNT XARXA,19015.11,
2011,11 15705   45060,SUBV. GENERALITAT - COMUNICACI,7500,
2011,11 15706   45060,SUBV. GENERALITAT - DINAMITZAC,10000,
2011,11 15707   45060,SUBV. GENERALITAT - XARXA PER ,49000,
2011,11 15708   45060,SUBV. GENERALITAT - CONTRACTE ,52500,
2011,11 15709   45060,SUBV. GENERALITAT - DIFUSIÓ CU,20000,
2011,11 15710   45060,SUBV. GENERALITAT - FOMENT LEC,21125,
2011,11 15711   45060,SUBV. GENERALITAT-CONTRACTE PR,1200,
2011,11 15713   45060,SUBV. GENERALITAT-CONTRACTE PR,125534.51,32250
2011,11 15714   45060,SUBV. GENERALITAT-CONTRACTE PR,31500,
2011,11 16102   36001,MANT. COL·LECTORS I INSPECCIÓ-,345000,292895.02
2011,11 16102   45100,TRANSF. ORG. AUTON. I AGEN. C.,1900,1900
2011,11 16202   31904,TAXA CENT. ATENCIÓ ANIMALS DOM,71326.57,71326.57
2011,11 16202   31905,SERVEI MUNICIPAL DEIXALLERIA-T,8251.38,8251.38
2011,11 16900   47000,TRANSF. EMPRESES PRIV.- MILLOR,,0
2011,11 17002   32500,TAXA DOCUMENTS - SERVEIS GENER,,109.9
2011,11 17002   34900,PREUS PÚBLICS-PRECTEC BICICLET,20000,42.38
2011,11 17002   46100,SUBVENCIÓ DIPUTACIÓ-SERVEIS GE,,420
2011,11 17003   32908,AUTORIT. AMBIENTALS- LLICENCIE,510000,473000.93
2011,11 17003   39190,MULTES MEDI AMBIENT,,181052.65
2011,11 17004   36002,VENDES ENERGIA FOTOVOLTAICA-PL,22247.68,24314.07
2011,11 17004   45100,TRANSF. ORG. AUTON. I AGEN. C.,,2154.15
2011,11 17103   32901,TAXA VALLPARADÍS,2041.05,4573.65
2011,11 17103   55010,CONCESSIONS ADMINISTRATIV.-GES,25000,35140.03
2011,11 17201   32909,EXPLOTACIÓ HORTS MUNICIPALS-ME,17990,18941.05
2011,11 17201   46100,SUBVENCIÓ DIPUTACIÓ-MEDI NATUR,26650,39487.75
2011,11 17203   45060,SUBV. GENERALITAT-INFORMACIO I,,430
2011,11 17203   46100,SUBV. DIPUTACIÓ-INFORMACIÓ I E,29547.75,11028.72
2011,11 17203   47000,TRANSF. EMPRESES PRIVADES-INF ,43000,
2011,11 17203   48000,TRANS. INST S/FINALITAT LUCRE ,5762.15,5762.15
2011,11 23101   45002,SUBV. GENERALITAT-EAIA,271440,268865.15
2011,11 23103   42091,FONS ESTATAL INVERSIÓ LOCAL - ,,7
2011,11 23103   45002,SUBV. GENERALITAT-SERVEI BASIC,1646570,1536058.52
2011,11 23103   46100,SUBV. DIPUTACIÓ-SERVEI BASIC A,179300,179602.96
2011,11 23104   45002,SUBV. GENERALITAT-PROJ. SUPORT,474200,292474.32
2011,11 23104   46100,SUBV. DIPUTACIÓ-PROJECTES SUPO,250410,27000
2011,11 23105   46100,SUBV. DIPUTACIÓ-SUBVENCIONS,126965.27,126965.27
2011,11 23106   42090,ALTRES APORTACIONS ESTAT-CIUTA,130000,110400
2011,11 23106   45002,SUBV. GENERALITAT-CIUTADANIA I,351285,346311.68
2011,11 23106   46100,SUBV. DIPUTACIÓ-CIUTADANIA I D,97295,97295.26
2011,11 23107   45002,SUBV. GENERALITAT-PLA PILOT MI,439503.01,439503.01
2011,11 23301   31101,SERVEI PLANIFICACIÓ FAMILIAR,5,
2011,11 23301   31102,AJUT A LA LLAR,241865,178320.29
2011,11 23301   31103,TELEASSISTÈNCIA,32800,96753.35
2011,11 23301   31104,MENJAR A DOMICILI,86000,113347.95
2011,11 23301   45002,SUBV. GENERALITAT-AJUT A DOMIC,2808245,3156134.04
2011,11 23301   46100,SUBV. DIPUTACIÓ-AJUT A DOMICIL,207780,377925.28
2011,11 23402   32500,TAXA DOCUMENTS - CARNETS JOVES,1994,2097
2011,11 23402   32903,"UTILITZACIÓ EQUIPS JUVENILS, B",,5704.6
2011,11 23402   45002,SUBV. GENERALITAT-BAUMANN SERV,,30052.5
2011,11 23403   45002,SUBV. GENERALITAT-OFICINA EMAN,26000,16953.5
