ï»¿DATA_REFERENCIA,EDAT,SEXE,NIVELL_ESTUDI,POBLACIO
2015,55,Home,Ensenyament primari incomplert,11
2011,41,Home,Sense estudis                 ,5
2015,60,Dona,Ensenyament primari incomplert,8
2016,63,Dona,"Batxiller Elemental, Graduat E",3
2011,28,Dona,Titulats d estudis superiors n,3
2014,44,Dona,Altres titulacions mitjanes (A,1
2011,48,Home,Batxiller superior. BUP. Batxi,7
2017,38,Dona,Formació professional Primer G,2
2012,9,Home,Ensenyament primari incomplert,19
2017,45,Home,"Batxiller Elemental, Graduat E",7
2013,44,Dona,Batxiller superior. BUP. Batxi,8
2015,50,Dona,Formació professional de Segon,2
2014,80,Home,"Batxiller Elemental, Graduat E",2
2012,14,Dona,Ensenyament primari incomplert,16
2013,39,Home,Batxiller superior. BUP. Batxi,15
2015,48,Dona,Formació professional Primer G,2
2014,52,Home,Diplomat en Escoles Università,1
2016,30,Dona,Arquitecte o Enginyer Tècnic  ,1
2014,57,Dona,Diplomat en Escoles Università,1
2013,32,Dona,Batxiller superior. BUP. Batxi,14
2014,6,Home,Sense estudis                 ,1
2011,32,Home,Desconegut                    ,7
2016,49,Dona,Desconegut                    ,2
2012,2,Dona,Ensenyament primari incomplert,5
2017,50,Dona,Ensenyament primari incomplert,2
2015,25,Home,Altres titulacions mitjanes (A,1
2014,94,Dona,Sense estudis                 ,2
2016,19,Home,Formació professional de Segon,3
2014,9,Home,"Batxiller Elemental, Graduat E",4
2016,52,Home,"Llicenciat Universitari, Arqui",5
2011,27,Dona,"Batxiller Elemental, Graduat E",42
2016,57,Dona,"Llicenciat Universitari, Arqui",3
2015,8,Home,No aplicable per ser més petit,21
2015,67,Home,Ensenyament primari incomplert,3
2017,2,Dona,No aplicable per ser més petit,32
2015,21,Home,Arquitecte o Enginyer Tècnic  ,1
2017,33,Home,"Batxiller Elemental, Graduat E",12
2014,77,Home,Sense estudis                 ,1
2013,28,Dona,"Batxiller Elemental, Graduat E",41
2017,50,Dona,Formació professional Primer G,1
2011,13,Dona,Desconegut                    ,2
2014,82,Dona,Sense estudis                 ,1
2011,34,Dona,Sense estudis                 ,3
2017,30,Home,Desconegut                    ,1
2014,59,Dona,Desconegut                    ,3
2014,40,Dona,Arquitecte o Enginyer Tècnic  ,2
2016,60,Dona,Diplomat en Escoles Università,1
2011,46,Home,"Batxiller Elemental, Graduat E",14
2014,64,Home,Diplomat en Escoles Università,2
2011,41,Dona,Batxiller superior. BUP. Batxi,5
2015,62,Dona,Formació professional de Segon,2
2014,73,Dona,"Batxiller Elemental, Graduat E",3
2011,36,Home,Batxiller superior. BUP. Batxi,21
2015,57,Home,Formació professional de Segon,2
2016,55,Home,Diplomat en Escoles Università,1
2012,24,Dona,Formació professional Primer G,3
2015,40,Home,Desconegut                    ,3
2013,59,Dona,Ensenyament primari incomplert,6
2016,43,Home,Diplomat en Escoles Università,4
2016,48,Dona,Diplomat en Escoles Università,2
2016,34,Dona,Altres titulacions mitjanes (A,2
2017,57,Home,Ensenyament primari incomplert,2
2016,40,Home,"Llicenciat Universitari, Arqui",10
2013,54,Home,Ensenyament primari incomplert,3
