DATA_REFERENCIA,PAIS_PROCE_DESTI,COMARCA_PROCE_DESTI,PROVINCIA_PROCE_DESTI,TIPUS_MOVIMENT,POBLACIO
2011,ESPANYA                       ,,A CORUÑA                      ,ALTA PER IMMIGRACIÓ           ,5
2011,ESPANYA                       ,,MURCIA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ALMERÍA                       ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Baix Llobregat,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,7
2011,ESPANYA                       ,,ALMERÍA                       ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,CÓRDOBA                       ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,SANTA CRUZ DE TENERIFE        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ALMERÍA                       ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,LAS PALMAS                    ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ALACANT/ALICANTE              ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,SEVILLA                       ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,,TERUEL                        ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,,CÓRDOBA                       ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,MURCIA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Vallès Oriental,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,4
2011,ESPANYA                       ,Segrià,LLEIDA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,MADRID                        ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,VALENCIA/VALÈNCIA             ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,,ZARAGOZA                      ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ALBACETE                      ,ALTA PER IMMIGRACIÓ           ,6
2011,ALBÀNIA                       ,ALBÀNIA                       ,ALBÀNIA                       ,ALTA PER IMMIGRACIÓ           ,3
