NOM,TELEFON,EMAIL,HORARI,ADRECA,X,Y,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,LOCALITZACIO
Galp II,937 332 582,,Servei les 24 hores.,"CR D OLESA, 240",416010.3695,4601181.5685,415916.3772,4600977.3604,1.9916979,41.5560470,"(41.55604701774748, 1.9916978531215614)"
Galp I,937 333 806,,De 6.00 a les 22.00 h.,"RB DEL PARE ALEGRE, 35",417341.2128,4601151.7289,417247.2224,4600947.5106,2.0076587,41.5559170,"(41.555917015116634, 2.0076586854831504)"
Estacio de Servei Cal Tura SL,937 314 696     ,, de dilluns a diumenge de 6 a 22 h,"CA DE COLOM, 351",418933.6741,4600667.3751,418839.6825,4600463.1440,2.0268177,41.5517180,"(41.55171797992821, 2.026817651888761)"
Petro Valles III,691 313 131,petrovalles4@petrovalles.com,Obert 24 hores.,"CR DE CASTELLAR, 200",418981.8534,4602632.0374,418887.8767,4602427.8090,2.0271301,41.5694168,"(41.5694167562139, 2.027130102605638)"
E.S. Estesa - Petrocat,937 886 097      934 00 5070 (Petrocat - central),,Servei les 24 hores,"RB DEL PARE ALEGRE, 74",417339.7188,4600867.9375,417245.7262,4600663.7188,2.0076798,41.5533610,"(41.55336102693627, 2.007679841681308)"
Estación de Servicio Egarense SL,937 850 489,, de dilluns a divendres de 6 a 22 h,"CR DE RUBÍ, 226",418015.1563,4600435.0625,417921.1615,4600230.8380,2.0158371,41.5495321,"(41.54953208862298, 2.0158370804091414)"
E.S. Els Bellots - Petrocat,937 311 470      934 00 5070 (Petrocat - central),,"De dilluns a divendres de 5.00 a 22.00 h., dissabte de 6.00 a 22.00 h. i diumenges i festius tancat.","AV DEL VALLÈS, 298",420072.9666,4600260.1335,419978.9736,4600055.8931,2.0405311,41.5481650,"(41.54816503143097, 2.0405311189119058)"
Estacion de Servicio E.S.B.I. Space Colom II,937 315 940,,De dilluns a diumenge de 6.00 a 22.00 h.,"CA DE COLOM, 135",418699.2500,4601476.0000,418605.2641,4601271.7719,2.0238976,41.5589767,"(41.558976707885435, 2.0238975952806975)"
Benzinera Caprabo,937 854 650,,,"AV DEL TÈXTIL, 55",418977.6427,4599978.8706,418883.6459,4599774.6381,2.0274377,41.5455217,"(41.545521702468356, 2.027437681246821)"
Carburantes del Vallés SA - CAVASA,937 358 041,,Servei les 24 hores,"CA DE PARDO BAZÁN, 2",417315.9990,4603302.9290,417222.0248,4603098.7143,2.0070600,41.5752881,"(41.57528813885872, 2.0070599722102225)"
