NOM,ADRECA,CODI_POSTAL,DISTRICTE,TELEFON,ADR_WEB,EMAIL,DESCRIPCIO_AMBIT,X,Y,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,TERRITORI,LOCALITZACIO
ASOC DEPORTIVA ALQUIMIA INTERNA         ,"CA AMPLE, 14 , 2-2          ",08225,5,661290940,www.alquimiainterna.com                                                         ,alq.interna@gmail.com                                                           ,ESPORTIVES                              ,417881.5341,4602983.7187,417787.5584,4602779.4992,2.0138864,41.5724717,LOCAL                                   ,"(41.57247166642687, 2.0138864309692086)"
ASSOC. PER LA DEFENSA DE GENT GRAN ADEGG,"CA DE BALDRICH, 1 ",08221,1,,,,GENT GRAN                               ,417937.6250,4601685.1875,417843.6395,4601480.9655,2.0147367,41.5607828,LOCAL                                   ,"(41.560782820072426, 2.014736711958669)"
CLUB D ESGRIMA CIUTAT DE TERRASSA       ,"CA AMPLE, 186 ",08226,6,695944301,www.esgrimaterrassa.cat                                                         ,info@esgrimaterrassa.cat                                                        ,ESPORTIVES                              ,418462.2074,4603070.1732,418368.2333,4602865.9494,2.0208387,41.5733098,LOCAL                                   ,"(41.57330975884447, 2.0208387108970034)"
U.S.O. (Unió Sindical Obrera)           ,"CA DEL COL.LEGI, 5 ",08221,1,937332141,,,POLÍTIQUES I SINDICALS                  ,417600.8753,4601640.2889,417506.8890,4601436.0694,2.0107050,41.5603438,LOCAL                                   ,"(41.56034381234856, 2.0107049631520075)"
CAN PINGAS EPS                          ,"CA DEL COL.LEGI, 87 , BA           ",08221,1,686663242,,comunicacio.can.pingas@mail.cataloniamail.com                                   ,CULTURALS                               ,417708.2500,4601312.9375,417614.2614,4601108.7167,2.0120373,41.5574067,LOCAL                                   ,"(41.55740673782537, 2.0120373421652644)"
COOR. ASSOCIATS PER LA LLENGUA CATALANA ,"CA DEL COL.LEGI, 87 ",08221,1,654799640,,terrassa@cal-llengua.org                                                        ,CULTURALS                               ,417708.2500,4601312.9375,417614.2614,4601108.7167,2.0120373,41.5574067,LOCAL                                   ,"(41.55740673782537, 2.0120373421652644)"
CENTRE ESPLAI TUM TUM DE TERRASSA       ,"CA DE COLOM, 1 ",08222,1,635388059,,cepituesplai@gmail.com                                                          ,JUVENILS                                ,418575.0313,4602047.3125,418481.0496,4601843.0863,2.0223306,41.5641093,DISTRICTE 1                             ,"(41.56410933579898, 2.022330641052221)"
A.ANTICS ALUM. I AMICS ESCOLA INDUSTRIAL,"CA DE COLOM, 1 ",08222,1,937398079,,anticsalumnes@eet.upc.edu                                                       ,EDUCATIVES I FORMATIVES                 ,418575.0313,4602047.3125,418481.0496,4601843.0863,2.0223306,41.5641093,LOCAL                                   ,"(41.56410933579898, 2.022330641052221)"
GRUP DE COOPERACIO CAMPUS DE TERRASSA   ,"CA DE COLOM, 1 ",08222,1,937398605,,gcct@dist.ct.upc.es                                                             ,"SOLIDARITAT, PAU I DRETS HUMANS         ",418575.0313,4602047.3125,418481.0496,4601843.0863,2.0223306,41.5641093,LOCAL                                   ,"(41.56410933579898, 2.022330641052221)"
ASSOCIACIO TRIPLE STEP                  ,"CA DE COLOM, 78 , 1-ESQ        ",08222,1,685824727,www.triplestep.cat                                                              ,info@triplestep.cat                                                             ,CULTURALS                               ,418618.6875,4601753.4375,418524.7036,4601549.2105,2.0228940,41.5614671,LOCAL                                   ,"(41.56146712789862, 2.0228939923194598)"
COMPANYIA DE TEATRE PARALLAMPS TEATRE   ,"CA DE COLOM, 78 , 1-2          ",08222,1,,,parallamps@hotmail.es                                                           ,CULTURALS                               ,418618.6875,4601753.4375,418524.7036,4601549.2105,2.0228940,41.5614671,LOCAL                                   ,"(41.56146712789862, 2.0228939923194598)"
UNOMASUNOMAS                            ,"CA DE COLOM, 78 , 1-ESQ        ",08222,1,685824727,www.unomas-ong.org                                                              ,gerardnevot@unomas-ong.org                                                      ,"SOLIDARITAT, PAU I DRETS HUMANS         ",418618.6875,4601753.4375,418524.7036,4601549.2105,2.0228940,41.5614671,LOCAL                                   ,"(41.56146712789862, 2.0228939923194598)"
ASSOC. PROMOCIO DEL TALLER DEL LLIBRE   ,"CA DE COLOM, 88 ",08222,1,937312456,,,SALUT I SÒCIO-ASSISTENCIALS             ,418632.0000,4601697.3125,418538.0157,4601493.0853,2.0230612,41.5609630,LOCAL                                   ,"(41.56096301830461, 2.023061231065634)"
FUNDACIO PRIVADA TERRASSENCA S GALDERIC ,"CA DE COLOM, 97 ",08222,1,937319431,www.fundaciosantgalderic.cat                                                    ,mpla@fundaciosantgalderic.cat                                                   ,MEDI AMBIENT                            ,418663.5909,4601627.9921,418569.6061,4601423.7645,2.0234494,41.5603419,LOCAL                                   ,"(41.560341930282426, 2.0234494282378983)"
SOCIETAT OCELLAIRE LA LLIBERTAT         ,"CA DE LES BALEARS, 8 , 1            ",08226,6,937835136,,,ESPORTIVES                              ,418838.6250,4603405.4375,418744.6540,4603201.2114,2.0253078,41.5763675,LOCAL                                   ,"(41.5763674976309, 2.0253077979679985)"
CLUB VOLEIBOL TERRASSA 2013             ,"CA DE BLASCO DE GARAY, 146 , 4            ",08224,4,633443407,,voleibolterrassa@gmail.com                                                      ,ESPORTIVES                              ,416852.5313,4601552.3125,416758.5431,4601348.0986,2.0017440,41.5594740,LOCAL                                   ,"(41.55947398955582, 2.0017439564080157)"
CENTRE D ESPLAI INFANTIL CAN PALET      ,"CA DE COLOM, 129 ",08222,1,937000319,www.canpalet.org                                                                ,centre.diari@canpalet.org                                                       ,JUVENILS                                ,418691.4375,4601508.7500,418597.4519,4601304.5220,2.0237995,41.5592709,DISTRICTE 3                             ,"(41.55927086178151, 2.0237994831385517)"
ASSOC. CENTRE DIARI CAN PALET           ,"CA DE COLOM, 129 ",08222,1,606891351,www.canpalet.org                                                                ,centre.diari@canpalet.org                                                       ,JUVENILS                                ,418691.4375,4601508.7500,418597.4519,4601304.5220,2.0237995,41.5592709,DISTRICTE 3                             ,"(41.55927086178151, 2.0237994831385517)"
JOC/JOC-JOBAC                           ,"CA DE COLOM, 129 ",08222,1,937880467,,,JUVENILS                                ,418691.4375,4601508.7500,418597.4519,4601304.5220,2.0237995,41.5592709,LOCAL                                   ,"(41.55927086178151, 2.0237994831385517)"
"A.MARIA ROVIRA, FE, CULTURA, SOLIDARITAT","CA DE COLOM, 231 ",08223,3,937860841,,,"RELIGIOSES I IDEOLÒGIQUES, EN GENERAL   ",418734.7188,4601325.5000,418640.7318,4601121.2714,2.0243433,41.5576249,LOCAL                                   ,"(41.55762490182437, 2.0243432592036164)"
COORDINADORA D ENTITATS BARRI C.ANGLADA ,"AV DE BARCELONA, 180 ",08222,2,,,,VARIS                                   ,418993.4901,4602089.4776,418899.5093,4601885.2483,2.0273429,41.5645316,DISTRICTE 2                             ,"(41.56453160843294, 2.0273429012024735)"
"CLUB GENT GRAN DE CA N ANGLADA, MONTSERR","AV DE BARCELONA, 180 ",08222,2,,,,GENT GRAN                               ,418993.4901,4602089.4776,418899.5093,4601885.2483,2.0273429,41.5645316,DISTRICTE 2                             ,"(41.56453160843294, 2.0273429012024735)"
COL.LECTIU DONES DE CA N ANGLADA        ,"AV DE BARCELONA, 180 ",08222,2,660457535,,donesdecananglada@gmail.com                                                     ,PROMOCIÓ DE LA DONA                     ,418993.4901,4602089.4776,418899.5093,4601885.2483,2.0273429,41.5645316,DISTRICTE 2                             ,"(41.56453160843294, 2.0273429012024735)"
CASA DE NICARAGUA (DELEGACIO DE TERRASSA,"AV DE BARCELONA, 180 ",08222,2,,,,"SOLIDARITAT, PAU I DRETS HUMANS         ",418993.4901,4602089.4776,418899.5093,4601885.2483,2.0273429,41.5645316,LOCAL                                   ,"(41.56453160843294, 2.0273429012024735)"
ASSOC.CATALANA DE RESIDENTS SENEGALESOS ,"AV DE BARCELONA, 180 ",08222,2,663479435,,acrs.valles@gmail.com                                                           ,CULTURALS                               ,418993.4901,4602089.4776,418899.5093,4601885.2483,2.0273429,41.5645316,LOCAL                                   ,"(41.56453160843294, 2.0273429012024735)"
ASSOCIACIO MUJAZZT                      ,"CA DE BARTOMEU AMAT, 16  Esc.B, 2-3    ",08225,5,626218984,,mujazzt@gmail.com                                                               ,CULTURALS                               ,417756.6490,4602808.3758,417662.6718,4602604.1570,2.0124127,41.5708797,LOCAL                                   ,"(41.57087967810759, 2.012412721369198)"
CENTRE DE LLEURE TU TRIES               ,"CA DE BARTOMEU AMAT, 44 , BA-1         ",08225,5,635333250,,cll.tutries@hotmail.com                                                         ,JUVENILS                                ,417756.2188,4603107.7500,417662.2439,4602903.5316,2.0123665,41.5735758,LOCAL                                   ,"(41.57357580223114, 2.0123665187773736)"
ASS EDUCAT DEVELOPMENT FOUND NEPAL-EDFON,"CA DE LES BORGES BLANQUES, 120 , 3-1          ",08227,6,605390867,http://edfonbarcelona.wixsite.com/nepal                                         ,edfon.barcelona@hotmail.com                                                     ,"SOLIDARITAT, PAU I DRETS HUMANS         ",419912.8366,4603285.3254,419818.8663,4603081.0909,2.0382077,41.5753942,LOCAL                                   ,"(41.57539419026893, 2.038207720780624)"
ASSOCIACIÓ CULTURAL DE LABE             ,"CA DE COLOM, 348 , BA-2         ",08223,3,632568116,,micorkad@gmail.com                                                              ,"SOLIDARITAT, PAU I DRETS HUMANS         ",418847.9688,4600780.4375,418753.9779,4600576.2072,2.0257748,41.5527275,LOCAL                                   ,"(41.552727533554524, 2.025774832993733)"
MARES DOULES                            ,"CA DE BARTOMEU AMAT, 131 , 2-1          ",08225,5,678912556,www.maresdoules.cat                                                             ,clara@maresdoules.cat                                                           ,SALUT I SÒCIO-ASSISTENCIALS             ,417740.7560,4603200.0967,417646.7817,4602995.8786,2.0121684,41.5744059,LOCAL                                   ,"(41.57440588549968, 2.0121684062239598)"
COMPARSA  LA FEM GROSSA                 ,"CA DE BARTRINA, 102 , 5            ",08226,5,937351091,,manolitalita@hotmail.com                                                        ,CULTURALS                               ,418401.1563,4602976.3125,418307.1814,4602772.0890,2.0201193,41.5724582,LOCAL                                   ,"(41.572458212174766, 2.0201192811529998)"
NOVA ASSOC. VEINS DE CAN PARELLADA      ,"CA DE BULGÀRIA, 18 , 3-3          ",08228,3,600569073,,quercus_53@hotmail.com                                                          ,VEÏNALS                                 ,420130.9688,4599151.5625,420036.9675,4598947.3200,2.0413739,41.5381869,DISTRICTE 3                             ,"(41.538186884842304, 2.0413738644031634)"
CENTRO ESTUDIOS EXTREMEÑOS DE TERRASSA  ,"CA DE BULGÀRIA, 18 , 3-3          ",08228,3,600569073,,quercus_53@hotmail.com                                                          ,CULTURALS                               ,420130.9688,4599151.5625,420036.9675,4598947.3200,2.0413739,41.5381869,LOCAL                                   ,"(41.538186884842304, 2.0413738644031634)"
ALIANZA SOLIDARIDAD EXTREMEÑA - DEL. CAT,"CA DE BULGÀRIA, 18 , 3-3          ",08228,3,600569073,,quercus_53@hotmail.com                                                          ,"SOLIDARITAT, PAU I DRETS HUMANS         ",420130.9688,4599151.5625,420036.9675,4598947.3200,2.0413739,41.5381869,LOCAL                                   ,"(41.538186884842304, 2.0413738644031634)"
ADENEX                                  ,"CA DE BULGÀRIA, 18 , 3-3          ",08228,3,937839668,,,MEDI AMBIENT                            ,420130.9688,4599151.5625,420036.9675,4598947.3200,2.0413739,41.5381869,LOCAL                                   ,"(41.538186884842304, 2.0413738644031634)"
APROVITA                                ,"CA DEL CONCILI EGARENC, 8 , LO-6         ",08224,4,679527800,www.aprovita.weebly.com                                                         ,infoaprovita@gmail.com                                                          ,SALUT I SÒCIO-ASSISTENCIALS             ,417213.8430,4601155.8692,417119.8524,4600951.6519,2.0061310,41.5559411,LOCAL                                   ,"(41.555941121028546, 2.006130960503311)"
ASSOCIACIO CULTURAL INOPIA PRODUCCIONS  ,"CA DE LA CREU GRAN, 14 , 1-2          ",08221,1,687549814,www.inopia.cat                                                                  ,inopia@inopia.cat                                                               ,CULTURALS                               ,417958.2438,4602243.1058,417864.2626,4602038.8845,2.0149077,41.5658096,LOCAL                                   ,"(41.56580956907229, 2.014907682185764)"
ASOCIACION NACIONAL MAMAS Y FITNESS     ,"CA DE LA CREU GRAN, 21 , BA           ",08221,1,655286740,www.sweetfitt.es                                                                ,info@sweetfit.es                                                                ,ESPORTIVES                              ,417947.2188,4602279.0625,417853.2379,4602074.8414,2.0147706,41.5661323,LOCAL                                   ,"(41.566132264142546, 2.014770556232289)"
CLUB TRIATLO I RUN WITH LEIVA           ,"AV DE BÉJAR, 188 , LO-13        ",08225,5,935375374,,tri@jaumeleiva.com                                                              ,ESPORTIVES                              ,417940.8185,4603805.4507,417846.8491,4603601.2320,2.0144850,41.5798783,LOCAL                                   ,"(41.579878288504084, 2.014485002711461)"
CLUB CICLISTA EL DIARI                  ,"CA DE CALDERÓN DE LA BARCA, 157 ",08224,4,937800735,,cceldiari86@gmail.com                                                           ,ESPORTIVES                              ,416490.1731,4601605.0103,416396.1848,4601400.7992,1.9973918,41.5599108,LOCAL                                   ,"(41.55991080518009, 1.9973917505995176)"
ASSOCIACIO AGORA  CULTURAL TERRASSENCA  ,"CA D ÈGARA, 85 , 1            ",08225,5,937852043,www.agoraculturalterrassenca.com                                                ,agoraculturalt@hotmail.com                                                      ,CULTURALS                               ,418132.5313,4602907.4375,418038.5554,4602703.2160,2.0169071,41.5718104,LOCAL                                   ,"(41.57181043800194, 2.0169070549858317)"
