URTEA;UDAL KODEA;UDALAREN IZENA;KALE KODEA;KALEAREN IZENA;BARRUTIA;SEKZIOA;ALDAKUNTZA MOTA;ALDAKUNTZAREN IZENA;EMAKUME KOPURUA;GIZON KOPURUA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;DE;BAJA HABITANTE POR DEFUNCION;4;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;EM;BAJA HABITANTE POR EMIGRACION;6;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;ER;MODIFICACION DATOS DE HABITANT;4;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;II;BAJA HABITANTE POR INCLUSION I;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;IN;ALTA HABITANTE POR INMIGRACION;5;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;NA;ALTA HABITANTE POR NACIMIENTO;3;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;1102;EGO-GAIN KALEA;001;001;OC;CAMBIO DE DOMICILIO DE HABITAN;9;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;030;EIBAR;1103;ISASI KALEA;001;001;DE;BAJA HABITANTE POR DEFUNCION;3;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;1103;ISASI KALEA;001;001;EM;BAJA HABITANTE POR EMIGRACION;3;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;030;EIBAR;1103;ISASI KALEA;001;001;ER;MODIFICACION DATOS DE HABITANT;6;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;030;EIBAR;1103;ISASI KALEA;001;001;IN;ALTA HABITANTE POR INMIGRACION;4;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;030;EIBAR;1103;ISASI KALEA;001;001;OA;ALTA DE HABITANTE POR OTRAS CA;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;030;EIBAR;1103;ISASI KALEA;001;001;OC;CAMBIO DE DOMICILIO DE HABITAN;6;8;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;030;EIBAR;1103;ISASI KALEA;001;001;RN;MODIFICACION POR RENOVACION;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;1103;ISASI KALEA;001;002;CO;CONFIRMACION;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;1103;ISASI KALEA;001;002;DE;BAJA HABITANTE POR DEFUNCION;3;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
