Mun;N.Fijo ;D;Mod;Sección;Epígrafe;Amb;Fec.Alta;Inicio Prof.;Uso;Super1 ;Super2 ;Super3 ;Super4 ;Super5 ;Super6 ;Super7 ;Super8 ;Super9 ;Super10;PotInd ;PotBan ;Obrer;Afecto Sim.;Máq.Apuestas;Toneladas;Nro.Viaj.;Ho;Plz;Máq.A;Máq.B;Descr.Elem1         ;Tipo Elem1;Valor Elem1  ;Descr.Elem2         ;Tipo Elem2;Valor Elem2  ;Descr.Elem3         ;Tipo Elem3;Valor Elem3  ;Descr.Elem4         ;Tipo Elem4;Valor Elem4  ;Título Epígrafe Euskera                                     ;Título Epígrafe castellano
030;0430455;N;840;      1;  9721  ;  M;20140718;        0000;   ;0000015;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    0;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;EMAKUME ETA GIZONEZKO ILEAPAINDEGIAK                        ;SERVICIOS DE PELUQUERIA DE SEÑORAS  Y CABALLEROS
030;0430517;K;840;      1;  9669  ;  M;20140702;        0000;   ;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    0;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;B.I.S.G.KO BESTE KULTUR ZERBITZU BATZUK                     ;OTROS SERVICIOS CULTURALES N.C.O.P.
030;0430625;D;840;      1;  6199  ;  M;20140701;        0000;   ;0000008;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    0;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;B.I.S.G.KO BESTE EKOIZKIN BA TZUEN HANDIZKAKO SALMENTA      ;VENTA MAYOR  OTROS   PRODUCTOS N.C.O.P.
030;0430664;W;840;      2;  832   ;  M;20140804;        0000;   ;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    0;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;MEDIKU ESPEZIALISTAK (ESTOMATOLOG. ETA ODONTOLOGOAK EZIK)   ;MEDICOS ESPECIALISTAS (EXCLUIDOS ESTOMATOLOGOS Y ODONTOLOG)
030;0430807;K;840;      1;  8499  ;  M;20140730;        0000;   ;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    0;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;B.I.S.G.KO BESTE ZERBITZU INDEPENDIENTE BATZUK              ;OTROS SERVICIOS INDEPENDIENTES N.C.O.P.
030;0430843;F;840;      1;  8612  ;  E;20140701;        0000;   ;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    0;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;INDUST. LOKALEN ALOKAIRUAK ETA B.I.S.G.KO BES. ZENB. ALOKAIR;ALQUILER DE LOCALES INDUSTRIALES Y OTROS ALQUILERES N.C.O.P
030;0430845;V;840;      1;  8612  ;  E;20140701;        0000;   ;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    0;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;INDUST. LOKALEN ALOKAIRUAK ETA B.I.S.G.KO BES. ZENB. ALOKAIR;ALQUILER DE LOCALES INDUSTRIALES Y OTROS ALQUILERES N.C.O.P
030;0430856;H;840;      1;  5056  ;  P;20140801;        0000;   ;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    0;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;PINTAKETA, ESTALDURAK, ETA LOKALEN AKABERA ETA APAINKETA    ;PINTURA, REVESTIMENTOS Y TERMINACION Y DECORACION LOCALES
030;0431041;S;840;      1;  6121  ;  M;20140707;        0000;   ;0000010;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    0;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;EDOZ. MOTATAKO ELIKAGAI,EDARI ETA TABAK. HANDIZKAKO SALMENTA;VENTA MAYOR TODA CLASE PRODUCTOS ALIMENTICIOS BEBIDAS TABAC
030;0431117;C;840;      1;  9221  ;  M;20140801;        0000;   ;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    0;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;BARNEKOAK GARBITZEKO ZERBITZUAK                             ;SERVICIOS LIMPIEZA DE INTERIORES
