NOM_EQUIPAMENT,DIRECCIO,DESCRIPCIO,TELEFON,FAX,EMAIL,WEB,LATITUD,LONGITUD,CATEGORIA,LOCALITZACIO
,,,,,,,,,,
Llar d'infants Patufet,"Carrer de Salvador Lluch,27-29",,,,,,0,0,Llars d'infants privades,
Casal Municipal de la Gent Gran de Can Tintorer,"Carrer de Can Tries,s/n",,93 263 96 44,93 263 96 44,,,41.3107795715332,1.993800044059753,Cívics,"(41.31078, 1.9938)"
Casal Municipal de la Gent Gran el Centre,"Carrer de Sant Isidre,22",,93 662 53 62,,,,41.30569076538086,2.00383996963501,Gent gran,"(41.30569, 2.00384)"
Centre de Suport a l'Empresa (CSE),"Carrer del Progrés,27",,93 633 34 50,93 263 96 87,cse@gava.cat,http://www.portaleconomic.gavaciutat.cat/,41.30073165893555,2.013339996337891,Promoció Econòmica,"(41.30073, 2.01334)"
Casal Cívic i Esportiu de Ca n'Espinós,"Carrer Principal,28-30",,93 662 52 45,,,,41.30564880371094,1.978610038757324,Cívics,"(41.30565, 1.97861)"
Centre de Serveis Municipals de Gavà Mar,"Carrer dels Tellinaires,55",,93 263 96 70,93 263 91 08,,,41.267250061035156,2.01648998260498,Cívics,"(41.26725, 2.01649)"
Centre d'Història de la Ciutat de Gavà,"Carrer de Salvador Lluch,22",,93 263 96 30,93 263 96 31,chc@gava.cat,http://www.patrimonigava.cat,41.30595016479492,2.004800081253052,Culturals,"(41.30595, 2.0048)"
Punt Municipal i Cívic de la Sentiu,"Carretera de la Sentiu,null",,,,,,41.298133850097656,1.974177002906799,Cívics,"(41.298133, 1.974177)"
Zona Esportiva Diagonal,"Carrer de Sant Pere,118",,93 633 35 40,936333542,,,41.30289840698242,1.996600031852722,Esportius,"(41.3029, 1.9966)"
Biblioteca Josep Soler Vidal,"Plaça de Jaume Balmes,s/n",,93 263 92 30,93 263 92 31,b.gava.jsv@diba.cat,,41.3035888671875,1.998630046844482,Culturals,"(41.30359, 1.99863)"
Zona Esportiva de Can Torelló,"Avinguda de Bertran i Güell,null",,93 638 14 68,93 638 90 44,pmesports@gava.cat,,41.29029846191406,2.015000104904175,Esportius,"(41.2903, 2.015)"
Pavelló Jacme March,"Carrer de Sant Pere,114",,93 633 35 40,93 638 03 56,pmesports@gava.cat,,41.30332946777344,1.997560024261475,Esportius,"(41.30333, 1.99756)"
Camp de Futbol Can Tintorer,"Carrer de Francesc Viñas,2",,93 638 02 49,93 638 09 63,pmesports@gava.cat,,41.31079864501953,2.001270055770874,Esportius,"(41.3108, 2.00127)"
Zona Esportiva de Can Sellarès,"avinguda de Gavà, 90  08840 Viladecans ",,93 662 04 44,93 638 14 88,cansellares@inicia.es,,41.30672073364258,2.008529901504517,Esportius,"(41.30672, 2.00853)"
Escola l'Eramprunyà,"Avinguda d' Eramprunyà,1",,93 662 45 53,,,,0,0,Ed. Primària pública,
Llar d'infants Rosaura Terrades,"Carrer de la Riera de Sant Llorenç,s/n",,93 662 79 02,,,,0,0,Llars d´infants públiques,
Pavelló Poliesportiu de Can Tintorer,"Rambla de Pompeu Fabra,144-152",,93 638 02 49,,,,41.310089111328125,2.002540111541748,Esportius,"(41.31009, 2.00254)"
Casal Municipal de Can Tries,"Carrer del Riu Besòs,7",,93 638 37 51,,,,41.3132209777832,1.987980008125305,Cívics,"(41.31322, 1.98798)"
Nova Piscina Municipal,"Carrer de Sant Pere,118",,93 633 35 40,93 638 03 56,pmesports@gava.cat,,41.30289840698242,1.996600031852722,Esportius,"(41.3029, 1.9966)"
Arxiu Municipal,"Plaça de Dolors Clua,13-14",,93 638 25 70,93 638 35 96,informacio.museu@gava.cat,http://www.patrimonigava.cat,41.306480407714844,2.004329919815064,Culturals,"(41.30648, 2.00433)"
Pistes Poliesportives Ernest Barrufet,"Avinguda de Joan XXIII,8",,93 638 02 49,93 638 09 63,pmesports@gava.cat,,41.309879302978516,2.002870082855225,Esportius,"(41.30988, 2.00287)"
Piscina Municipal,"Rambla de Pompeu Fabra,144-152",,93 638 02 49,93 638 09 63,pmesports@gava.cat,,41.310089111328125,2.002540111541748,Esportius,"(41.31009, 2.00254)"
Estadi Municipal La Bòbila,"Passatge d' Elisenda de Montcada,4",,93 633 35 40 ,93 638 03 56 ,pmesports@gava.cat,,41.304298400878906,1.996500015258789,Esportius,"(41.3043, 1.9965)"
Museu de Gavà,"Plaça de Dolors Clua,13-14",,93 263 96 10,93 263 96 11,museu@gava.cat,http://www.patrimonigava.cat,41.306480407714844,2.004329919815064,Culturals,"(41.30648, 2.00433)"
Zona Esportiva de Can Tintorer ,"Rambla de Pompeu Fabra,144",,93 638 02 49,936380963,,,41.310089111328125,2.002540111541748,Esportius,"(41.31009, 2.00254)"
Servei d'Informació i Atenció a les Dones (SIAD) ,"Carrer de la Generalitat de Catalunya,7",,93 263 92 22,,,,41.30339050292969,2.004549980163574,Cívics,"(41.30339, 2.00455)"
Centre de Medicina de l'Esport,"Carrer del General J. Moragues,s/n",,93 638 22 67,93 638 09 63,centremedicina@gava.cat,,41.31079864501953,2.001270055770874,Esport,"(41.3108, 2.00127)"
Espai Maragall. Centre cívic per a les arts escèniques,"Passeig de Joan Maragall,11",,93 263 91 36 / 93 263 96 90, 93 236 91 37,emaragall@gava.cat,http://www.espaimaragall.gavaciutat.cat,41.30270004272461,2.001889944076538,Culturals,"(41.3027, 2.00189)"
Pista Poliesportiva exterior de Can Tintorer,"Rambla de Pompeu Fabra,144-152",,93 638 02 49,93 638 09 63,pmesports@gava.cat,,41.310089111328125,2.002540111541748,Esportius,"(41.31009, 2.00254)"
Col·legi Sagrat Cor,"Carrer de Santa Teresa,5",,93 662 01 30,,,,0,0,Ed. Primària concertada,
Casal de Cultura Popular Maria Aurèlia Capmany,"Avinguda d' Eramprunyà,46",,93 662 66 95,,,,41.309749603271484,1.993489980697632,Culturals,"(41.30975, 1.99349)"
Centre Obert Municipal,"Carrer de Manuel de Falla,11",,93668099,,,,41.30746078491211,1.994660019874573,,"(41.30746, 1.99466)"
Servei d'Infromació i Orientació Jurídica,"Plaça de Jaume Balmes,s/n",,93 263 91 36,,,,0,0,Serveis,
Escola Municipal d'Educació Especial Maria Felip,"Avinguda d' Eramprunyà,46",,93 662 06 04,,a8033781@xtec.cat,,0,0,Ed. Especial,
Centre de recursos a les famílies ( La casa de les famílies),"Carrer de Sarrià,5",,93 263 91 11,,,,41.30514907836914,2.009239912033081,,"(41.30515, 2.00924)"
Llar d'infants Josep Pallach,"Carrer de Sant Martí,33",,93 662 77 52,,,,0,0,Llars d´infants públiques,
Casal Municipal d'Entitats Sant Jordi,"Rambla de Joaquim Vayreda,31",,93 633 36 00,93 633 36 23,,,41.30448913574219,2.008670091629028,Cívics,"(41.30449, 2.00867)"
Escola Marcel·lí Moragues,"Carrer de Pep Ventura,13",,93 662 82 51,,,,0,0,Ed. Primària pública,
Llar d'infants Il·lusions,"Avinguda del  Mas Sellarès,5",,93 662 50 51,,,,0,0,Llars d'infants privades,
Institut Bruguers,"Carrer de Jaume I,4-6",,93 662 16 39,,,,0,0,Ed. Secundària pública,
Llar d'infants Els menuts de la Pineda,"Carrer de Josep Lluís Sert,1",,93 633 04 14,,,,0,0,Llars d'infants privades,
Col·legi Sagrada Família,"Rambla de Pompeu Fabra,126",,93 638 18 33,,,,0,0,Ed. Secundària concertada,
Col·legi Santo Ángel,"Avinguda de les Bòbiles,1",,93 638 04 81,,,,0,0,Ed. Primària concertada,
Escola de FP Acadèmia Núria,"Carrer d' Apel·les Mestres,52-58",,93 662 21 13,,,,0,0,Altres serveis,
Llar d'infants El Món Petit de San Pedro,"Carrer de Montflorit,148",,936 626 353,,,,0,0,Llars d'infants privades,
Escola Joan Salamero,"Rambla de Pompeu Fabra,s/n",,93 662 34 50,,,,0,0,Ed. Primària pública,
Equip d'Assessorament Psicopedagògic,"Rambla de Pompeu Fabra,s/n",,93 638 18 02,,,,0,0,Altres serveis,
Llar d'infants Santo Ángel,"Avinguda de les Bòbiles,1",,93 638 04 81,,,,0,0,Llars d'infants privades,
Institut El Calamot,"Avinguda de Joan Carles I,62",,93 633 44 50,,,,0,0,Ed. Secundària pública,
Llar d'infants Tic-Tac,"Carrer de Sant Pere,58",desc prueba2 ,,,,,0,0,Llars d'infants privades,
La Casa Gran: Centre d'Informació i Recursos per a Joves,"Carrer Major,37",,93 635 54 35,93 635 54 35 ,lacasagran@gava.cat,http://espaijove.gavaciutat.net,41.304901123046875,2.005500078201294,Juvenils,"(41.3049, 2.0055)"
Escola Salvador Lluch,"Carrer de Sant Joan,31",,93 662 06 85,,,,0,0,Ed. Primària pública,
Escola Jacme March,"Carrer de Sant Pere,114",,93 662 01 97,,,,0,0,Ed. Primària pública,
Escola Gavà Mar,"Carrer dels Tellinaires,59-61",,93 645 18 45,,,,0,0,Ed. Primària pública,
Centre de Recursos Pedagògics,"Rambla de Pompeu Fabra,s/n",,93 638 18 02,,,,0,0,Altres serveis,
Escola d'Adults Eramprunyà,"Carrer de Sarrià,5",,93 662 07 04,,a8062471@xtec.cat,,0,0,Altres serveis,
Llar d'infants Ralet-Ralet,"Carrer dels Màrtirs del Setge de 1714,21",,93 633 67 62,,,,0,0,Llars d'infants privades,
Escola Bressol El Guirigall ,"Rambla de Salvador Lluch,9",,936 38 99 90,,,,0,0,Llars d'infants privades,
Col·legi Immaculada Concepció,"Plaça  de l' Església,1",,93 662 04 36,,,,0,0,Ed. Primària concertada,
Col·legi San Pedro,"Carrer de Montflorit,138",,93 662 63 53,,,,0,0,Ed. Primària concertada,
Lycée Français de Gavà Bon Soleil,"Camí de la Pava,15",,93 633 13 58,,,,0,0,Ed. Primària privada,
Parc Arqueològic Mines de Gavà,"Carrer de Jaume I,7",,,932 639 621,,http://www.parcarqueologic.cat,41.309791564941406,1.998720049858093,Culturals,"Carrer de Jaume I,7
Gav&agrave;, Barcelona 08850
(41.30979, 1.99872)"
Casal Municipal de Cultura American Lake,"Carrer de Castelldefels,11",,93 263 91 71,93 638 41 16 ,,,41.30160903930664,2.004250049591064,Culturals,"Carrer de Castelldefels,11
Gav&agrave;, Barcelona 08850
(41.30161, 2.00425)"
Casal Municipal de la Gent Gran Torre Lluch,"Carrer del Centre,3",,0,,,,41.30609893798828,2.005810022354126,Gent gran,"Carrer del Centre,3
Gav&agrave;, Barcelona 08850
(41.3061, 2.00581)"
Biblioteca Marian Colomé,"Carrer de Rafael Casanova,2",,,936 383 661,b.gava.mc@diba.cat,http://biblioteques.gavaciutat.cat/,41.30967330932617,1.999338030815124,Culturals,"Carrer de Rafael Casanova,2
Gav&agrave;, Barcelona 08850
(41.309673, 1.999338)"
