Lloc de treball,Nº Efectius,Destí,Grup,Salari Base ,C. Destí ,C. Específic ,Assistència Ple,Assistència C.Informativa,Mensual,Plus mensual (12),Plus mensual (14),Plusos anuals,Sou Base per calcular extres,Pagues extres,Paga extra nadal,Productivitat,Total retribucions anuals ,Observacions
Secretari General ,1,30,A1,1120.15,978.44,4374.44,,,6473.03,,,,684.36,5984.24,5984.24,1385.28,91030.12,
Interventor Municipal ,1,30,A1,1120.15,978.44,4374.44,,,6473.03,,,,684.36,5984.24,5984.24,1385.28,91030.12,
Cap departament tresoreria - Tresorer Municipal,1,30,A1,1120.15,978.44,2125.84,,,4224.43,,,,684.36,3757.90,3757.90,1385.28,59594.24,
"Cap servei d'obres, manteniment i medi ambient",1,26,A1,1120.15,705.19,1558.45,,,4602.56,,1218.77,17062.78,,4556.97,4556.97,1385.28,65729.94," Plus 548,43 (plena dedicació) 670,34 (distribució horària)"
Tècnic servei jurídic,1,26,A1,1120.15,705.19,1971.65,,,4088.90,291.91,,3502.92,684.36,3334.69,3334.69,1385.28,57121.46,"Factor encàrrec funcions: 291,91"
Tècnic servei jurídic,1,26,A1,1120.15,705.19,2049.28,,,3874.62,,,,684.36,3411.55,3411.55,1385.28,54703.82,
Cap de la Unitat de Gestió Urbanística,1,26,A1,1120.15,705.19,1966.77,,,3792.11,,,,684.36,3329.86,3329.86,1385.28,53550.32,
Tècnic de prevenció de riscos laborals,1,,A1,2527.31,,,,,3763.74,,1236.43,17310.02,684.36,3301.79,3301.79,1385.28,53153.74,"C. Específic 1236,43"
"Cap departament llicències obres, inspeccions, disciplina urbanística i activitats",1,26,A1,1120.15,705.19,1845.03,,,3670.37,,,,684.36,3209.32,3209.32,1385.28,51848.36,
Cap departament de planificació estratègica i planejament urbanístic,1,,A1,3601.05,,,,,3610.21,9.16,,109.92,,3565.40,3565.40,1385.28,51838.60,"Plus 9,16 (Vestuari)"
Tècnic de responsabilitat patrimonial,1,26,A1,1120.15,705.19,1728.59,,,3553.93,,,,684.36,3094.04,3094.04,1385.28,50220.52,
Cap de Serveis Generals,1,26,A1,1120.15,705.19,1728.59,,,3553.93,,,,684.36,3094.04,3094.04,1385.28,50220.52,
Cap departament administratiu de serveis a la persona,1,24,A1,1120.15,705.19,1728.59,,,3553.93,,,,684.36,3094.04,3094.04,1385.28,50220.52,
Cap Oficina Local d'Habitatge,1,,A1,3062.93,,,,,3410.37,347.44,,4169.28,,3032.60,3032.60,,46989.64,"Plus 339,36 (Disponibilitat) 8,08 (Vestuari)"
Coordinadora mitjans comunicació local,1,,A1,2205.67,,,,,3419.89,1214.22,,14570.64,,2183.83,2183.83,1385.28,46791.62,"Plus: 1.214,22 (Coordinació mitjans)"
Cap de l'Oficina Municipal de Seguiment de l'Aeroport i qualitat acústica,1,24,A1,1120.15,588.75,1256.88,,,2965.78,,,,684.36,2511.72,2511.72,1385.28,41998.08,
Tècnica de Protecció Civil ,1,24,A1,1120.15,588.75,1256.88,,,2965.78,,,,684.36,2511.72,2511.72,1385.28,41998.08,
Cap departament medi ambient,1,24,A1,1120.15,588.75,1256.88,,,2965.78,,,,684.36,2511.72,2511.72,1385.28,41998.08,
Tècnica unitat llicències urbanístiques,1,24,A1,1120.15,588.75,1272.10,,,2981.00,,,,684.36,2349.16,2349.16,1385.28,41855.60,
Cap de patrimoni - Directora tècnica,1,,A1,2527.31,,423.43,,,2950.74,,,,684.36,2496.84,2496.84,1385.28,41787.84,"C. Específic 423,43"
Directora tècnica de comerç i fires,1,,A1,2900.53,,,,,2933.24,32.71,,392.52,684.36,2447.12,2447.12,1385.28,41478.40,"Plus: 32,71 (Disponibilitat horària)"
Tècnic d'obra i energia,1,24,A1,1120.15,588.75,1137.64,,,2846.54,,,,684.36,2393.66,2393.66,1385.28,40331.08,
Tècnic d'edificació,1,24,A1,1120.15,588.75,1137.64,,,2846.54,,,,684.36,2393.66,2393.66,1385.28,40331.08,
Cap del Departament de Salut Pública i Consum,1,24,A1,1120.15,588.75,964.69,,,2673.59,,,,684.36,2222.42,2222.42,1385.28,37913.20,
Cap departament d'esports,1,,A1,2527.31,,,,,2687.48,,160.17,2242.38,684.36,2077.60,2077.60,1385.28,37790.24,"Plus: 160,17 (Disponibilitat horària)"
Cap departament educació,1,,A1,2527.31,,,,,2608.00,32.71,47.98,1064.24,684.36,2125.10,2125.10,1385.28,36931.48,"47,98 (plus comandament)  i 32,71 (disp horària)"
Conservador del Patrimoni cultural,1,,A1,2527.31,,,,,2560.02,32.71,,392.52,684.36,2077.60,2077.60,1385.28,36260.72,"Plus: 32,71 (Disponibilitat horària)"
Conservador del Patrimoni natural,1,,A1,2527.31,,,,,2527.31,,,,684.36,2077.60,2077.60,1385.28,35868.20,
Arxivera municipal,1,,A1,2527.31,,,,,2527.31,,,,684.36,2077.60,2077.60,1385.28,35868.20,
Directora Ràdio Gavà i Bruguers Digital,1,,A1,2205.66,,,,,2443.18,32.71,204.81,3259.86,684.36,2067.16,2067.16,1385.28,34837.76,"Plus: 204,81 (Plena dedicació) i 32,71 (Distribució horària)"
Directora Diari Bruguers,1,,A1,2205.66,,,,,2443.18,32.71,204.81,3259.86,684.36,2067.16,2067.16,1385.28,34837.76,"Plus: 204,81 (Direcció diari) i 32,71 (Distribució horària)"
Tècnic unitat de plànol de la ciutat,1,,A1,2372.44,,,,,2382.04,9.60,,115.20,,2348.95,2348.95,1385.28,34667.66,"Plus 9,60 (Vestuari)"
"Psicologa ""Escola Especial Maria Felip""",1,,A1,1751.28,,34.49,,,2272.62,,486.85,6815.90,684.36,1825.43,1825.43,1385.28,32307.58,"Plus analogia 486,85"
Periodista,2,,A1,2205.66,,,,,2238.37,32.71,,392.52,684.36,1917.00,1917.00,1385.28,32079.72,"Plus: 32,71 (Disponibilitat horària)"
Coordinador de continguts Gava TV,1,,A1,1784.58,,,,,2188.58,404.00,,4848.00,,1766.91,1766.91,1385.28,31182.06,Plus: 404 (Coordinació continguts)
ENG,2,,A1,1784.58,,,,,1784.58,,,,,1766.91,1766.91,1385.28,26334.06,
Cap departament obres i manteniment,1,,A2,3100.41,,,,,3584.36,483.95,,5807.40,699.38,2810.11,2810.11,1385.28,50017.82,"Plus: 163,55 (plena dedicació) i 320,40 (comandament)"
Cap del departament de Serveis Socials,1,,A2,2007.92,,798.43,,,3390.74,,584.39,8181.46,699.38,3097.57,3097.57,1385.28,48269.30,"Compl. Productivitat  536,41 i plus comandament 47,98"
Cap del departament tecnologies de la informació i comunicació,1,24,A2,968.57,444.10,1956.00,,,3368.67,,,,684.36,3050.57,3050.57,1385.28,47910.42,
